timestamp, power.draw [W], utilization.gpu [%]
2025/12/04 00:49:58.335, 91.32 W, 48 %
2025/12/04 00:49:58.437, 95.99 W, 7 %
2025/12/04 00:49:58.537, 96.58 W, 7 %
2025/12/04 00:49:58.637, 90.45 W, 2 %
2025/12/04 00:49:58.738, 89.85 W, 2 %
2025/12/04 00:49:58.838, 89.58 W, 6 %
2025/12/04 00:49:58.938, 89.58 W, 6 %
2025/12/04 00:49:59.038, 89.26 W, 0 %
2025/12/04 00:49:59.138, 89.26 W, 0 %
2025/12/04 00:49:59.238, 89.26 W, 0 %
2025/12/04 00:49:59.339, 88.99 W, 0 %
2025/12/04 00:49:59.439, 88.99 W, 0 %
2025/12/04 00:49:59.539, 88.99 W, 0 %
2025/12/04 00:49:59.639, 88.71 W, 0 %
2025/12/04 00:49:59.739, 88.99 W, 0 %
2025/12/04 00:49:59.839, 88.99 W, 0 %
2025/12/04 00:49:59.939, 88.71 W, 0 %
2025/12/04 00:50:00.040, 88.71 W, 0 %
2025/12/04 00:50:00.140, 88.71 W, 0 %
2025/12/04 00:50:00.240, 88.99 W, 0 %
2025/12/04 00:50:00.340, 87.79 W, 0 %
2025/12/04 00:50:00.440, 87.79 W, 0 %
2025/12/04 00:50:00.540, 87.79 W, 0 %
2025/12/04 00:50:00.641, 87.79 W, 0 %
2025/12/04 00:50:00.741, 87.52 W, 0 %
2025/12/04 00:50:00.841, 87.52 W, 0 %
2025/12/04 00:50:00.941, 87.52 W, 0 %
2025/12/04 00:50:01.041, 87.52 W, 0 %
2025/12/04 00:50:01.141, 87.52 W, 0 %
2025/12/04 00:50:01.242, 87.52 W, 0 %
2025/12/04 00:50:01.342, 87.52 W, 0 %
2025/12/04 00:50:01.442, 87.52 W, 0 %
2025/12/04 00:50:01.542, 87.25 W, 0 %
2025/12/04 00:50:01.642, 87.25 W, 0 %
2025/12/04 00:50:01.742, 87.25 W, 0 %
2025/12/04 00:50:01.842, 87.25 W, 0 %
2025/12/04 00:50:01.943, 87.52 W, 0 %
2025/12/04 00:50:02.043, 88.99 W, 11 %
2025/12/04 00:50:02.143, 87.25 W, 11 %
2025/12/04 00:50:02.243, 87.25 W, 9 %
2025/12/04 00:50:02.343, 86.92 W, 9 %
2025/12/04 00:50:02.443, 87.25 W, 0 %
2025/12/04 00:50:02.544, 86.92 W, 0 %
2025/12/04 00:50:02.644, 86.92 W, 1 %
2025/12/04 00:50:02.744, 86.92 W, 1 %
2025/12/04 00:50:02.844, 86.92 W, 0 %
2025/12/04 00:50:02.944, 86.92 W, 0 %
2025/12/04 00:50:03.044, 87.52 W, 0 %
2025/12/04 00:50:03.145, 86.92 W, 0 %
2025/12/04 00:50:03.245, 86.65 W, 0 %
2025/12/04 00:50:03.345, 86.65 W, 0 %
2025/12/04 00:50:03.445, 86.65 W, 0 %
2025/12/04 00:50:03.545, 86.65 W, 0 %
2025/12/04 00:50:03.645, 86.65 W, 0 %
2025/12/04 00:50:03.745, 86.65 W, 0 %
2025/12/04 00:50:03.846, 86.65 W, 0 %
2025/12/04 00:50:03.946, 86.65 W, 0 %
2025/12/04 00:50:04.046, 86.65 W, 0 %
2025/12/04 00:50:04.146, 87.52 W, 0 %
2025/12/04 00:50:04.246, 88.12 W, 5 %
2025/12/04 00:50:04.346, 303.18 W, 5 %
2025/12/04 00:50:04.447, 312.46 W, 70 %
2025/12/04 00:50:04.547, 308.39 W, 70 %
2025/12/04 00:50:04.647, 312.46 W, 99 %
2025/12/04 00:50:04.747, 311.32 W, 99 %
2025/12/04 00:50:04.847, 308.99 W, 99 %
2025/12/04 00:50:04.947, 303.73 W, 99 %
2025/12/04 00:50:05.048, 308.66 W, 99 %
2025/12/04 00:50:05.148, 313.33 W, 99 %
2025/12/04 00:50:05.248, 320.64 W, 99 %
2025/12/04 00:50:05.348, 314.51 W, 99 %
2025/12/04 00:50:05.448, 313.05 W, 99 %
2025/12/04 00:50:05.548, 316.25 W, 99 %
2025/12/04 00:50:05.648, 308.39 W, 99 %
2025/12/04 00:50:05.749, 309.26 W, 99 %
2025/12/04 00:50:05.849, 310.13 W, 99 %
2025/12/04 00:50:05.949, 319.45 W, 99 %
2025/12/04 00:50:06.049, 316.52 W, 99 %
2025/12/04 00:50:06.149, 315.11 W, 99 %
2025/12/04 00:50:06.249, 314.51 W, 99 %
2025/12/04 00:50:06.350, 311.59 W, 99 %
2025/12/04 00:50:06.450, 306.06 W, 99 %
2025/12/04 00:50:06.550, 310.45 W, 99 %
2025/12/04 00:50:06.650, 315.11 W, 99 %
2025/12/04 00:50:06.750, 321.78 W, 99 %
2025/12/04 00:50:06.850, 315.98 W, 99 %
2025/12/04 00:50:06.951, 313.65 W, 99 %
2025/12/04 00:50:07.051, 313.65 W, 99 %
2025/12/04 00:50:07.151, 315.65 W, 99 %
2025/12/04 00:50:07.251, 311.86 W, 99 %
2025/12/04 00:50:07.351, 310.18 W, 99 %
2025/12/04 00:50:07.451, 310.99 W, 99 %
2025/12/04 00:50:07.551, 320.32 W, 99 %
2025/12/04 00:50:07.652, 317.45 W, 99 %
2025/12/04 00:50:07.752, 315.38 W, 99 %
2025/12/04 00:50:07.852, 315.11 W, 99 %
2025/12/04 00:50:07.952, 312.19 W, 99 %
2025/12/04 00:50:08.052, 312.19 W, 99 %
2025/12/04 00:50:08.152, 317.71 W, 99 %
2025/12/04 00:50:08.253, 311.86 W, 99 %
2025/12/04 00:50:08.353, 319.18 W, 99 %
2025/12/04 00:50:08.453, 319.77 W, 99 %
2025/12/04 00:50:08.553, 315.98 W, 99 %
2025/12/04 00:50:08.653, 316.52 W, 99 %
2025/12/04 00:50:08.753, 312.19 W, 99 %
2025/12/04 00:50:08.854, 307.52 W, 99 %
2025/12/04 00:50:08.954, 309.26 W, 99 %
2025/12/04 00:50:09.054, 309.26 W, 99 %
2025/12/04 00:50:09.154, 306.06 W, 99 %
2025/12/04 00:50:09.254, 325.30 W, 99 %
2025/12/04 00:50:09.354, 321.51 W, 99 %
2025/12/04 00:50:09.455, 317.98 W, 99 %
2025/12/04 00:50:09.555, 319.77 W, 99 %
2025/12/04 00:50:09.655, 310.99 W, 99 %
2025/12/04 00:50:09.755, 313.92 W, 99 %
2025/12/04 00:50:09.855, 317.45 W, 99 %
2025/12/04 00:50:09.955, 325.84 W, 99 %
2025/12/04 00:50:10.055, 324.97 W, 99 %
2025/12/04 00:50:10.156, 317.45 W, 99 %
2025/12/04 00:50:10.256, 322.64 W, 99 %
2025/12/04 00:50:10.356, 313.33 W, 99 %
2025/12/04 00:50:10.456, 312.19 W, 99 %
2025/12/04 00:50:10.556, 315.65 W, 99 %
2025/12/04 00:50:10.656, 323.51 W, 99 %
2025/12/04 00:50:10.757, 133.62 W, 99 %
2025/12/04 00:50:10.857, 304.01 W, 66 %
2025/12/04 00:50:10.957, 311.86 W, 66 %
2025/12/04 00:50:11.057, 315.65 W, 99 %
2025/12/04 00:50:11.157, 325.30 W, 99 %
2025/12/04 00:50:11.257, 322.37 W, 99 %
2025/12/04 00:50:11.358, 320.64 W, 99 %
2025/12/04 00:50:11.458, 320.32 W, 99 %
2025/12/04 00:50:11.558, 317.45 W, 99 %
2025/12/04 00:50:11.658, 313.05 W, 99 %
2025/12/04 00:50:11.758, 315.38 W, 99 %
2025/12/04 00:50:11.858, 319.45 W, 99 %
2025/12/04 00:50:11.958, 325.57 W, 99 %
2025/12/04 00:50:12.059, 320.91 W, 99 %
2025/12/04 00:50:12.159, 319.77 W, 99 %
2025/12/04 00:50:12.259, 320.05 W, 99 %
2025/12/04 00:50:12.359, 311.86 W, 99 %
2025/12/04 00:50:12.459, 315.65 W, 99 %
2025/12/04 00:50:12.559, 320.32 W, 99 %
2025/12/04 00:50:12.660, 326.16 W, 99 %
2025/12/04 00:50:12.760, 320.64 W, 99 %
2025/12/04 00:50:12.860, 320.32 W, 99 %
2025/12/04 00:50:12.960, 319.18 W, 99 %
2025/12/04 00:50:13.060, 314.79 W, 99 %
2025/12/04 00:50:13.160, 315.98 W, 99 %
2025/12/04 00:50:13.261, 318.31 W, 99 %
2025/12/04 00:50:13.361, 325.84 W, 99 %
2025/12/04 00:50:13.461, 322.97 W, 99 %
2025/12/04 00:50:13.561, 318.85 W, 99 %
2025/12/04 00:50:13.661, 320.05 W, 99 %
2025/12/04 00:50:13.761, 317.98 W, 99 %
2025/12/04 00:50:13.861, 312.46 W, 99 %
2025/12/04 00:50:13.962, 316.52 W, 99 %
2025/12/04 00:50:14.062, 320.91 W, 99 %
2025/12/04 00:50:14.162, 326.16 W, 99 %
2025/12/04 00:50:14.262, 321.18 W, 99 %
2025/12/04 00:50:14.362, 320.91 W, 99 %
2025/12/04 00:50:14.462, 320.64 W, 99 %
2025/12/04 00:50:14.563, 312.19 W, 99 %
2025/12/04 00:50:14.663, 316.84 W, 99 %
2025/12/04 00:50:14.763, 320.91 W, 99 %
2025/12/04 00:50:14.863, 326.43 W, 99 %
2025/12/04 00:50:14.963, 323.83 W, 99 %
2025/12/04 00:50:15.063, 317.98 W, 99 %
2025/12/04 00:50:15.164, 321.18 W, 99 %
2025/12/04 00:50:15.264, 314.79 W, 99 %
2025/12/04 00:50:15.364, 312.19 W, 99 %
2025/12/04 00:50:15.464, 317.71 W, 99 %
2025/12/04 00:50:15.564, 325.84 W, 99 %
2025/12/04 00:50:15.664, 323.83 W, 99 %
2025/12/04 00:50:15.765, 318.58 W, 99 %
2025/12/04 00:50:15.865, 322.97 W, 99 %
2025/12/04 00:50:15.965, 316.25 W, 99 %
2025/12/04 00:50:16.065, 312.78 W, 99 %
2025/12/04 00:50:16.165, 316.52 W, 99 %
2025/12/04 00:50:16.265, 321.18 W, 99 %
2025/12/04 00:50:16.365, 328.50 W, 99 %
2025/12/04 00:50:16.466, 323.83 W, 99 %
2025/12/04 00:50:16.566, 318.31 W, 99 %
2025/12/04 00:50:16.666, 321.51 W, 99 %
2025/12/04 00:50:16.766, 315.65 W, 99 %
2025/12/04 00:50:16.866, 315.65 W, 99 %
2025/12/04 00:50:16.966, 317.71 W, 99 %
2025/12/04 00:50:17.067, 325.84 W, 99 %
2025/12/04 00:50:17.167, 324.70 W, 99 %
2025/12/04 00:50:17.267, 212.23 W, 69 %
2025/12/04 00:50:17.367, 318.31 W, 69 %
2025/12/04 00:50:17.467, 320.05 W, 99 %
2025/12/04 00:50:17.567, 317.45 W, 99 %
2025/12/04 00:50:17.668, 312.19 W, 99 %
2025/12/04 00:50:17.768, 317.45 W, 99 %
2025/12/04 00:50:17.868, 325.57 W, 99 %
2025/12/04 00:50:17.968, 327.03 W, 99 %
2025/12/04 00:50:18.068, 321.18 W, 99 %
2025/12/04 00:50:18.168, 320.64 W, 99 %
2025/12/04 00:50:18.269, 321.18 W, 99 %
2025/12/04 00:50:18.369, 317.98 W, 99 %
2025/12/04 00:50:18.469, 311.86 W, 99 %
2025/12/04 00:50:18.569, 317.71 W, 99 %
2025/12/04 00:50:18.669, 325.30 W, 99 %
2025/12/04 00:50:18.769, 327.30 W, 99 %
2025/12/04 00:50:18.869, 321.51 W, 99 %
2025/12/04 00:50:18.970, 321.18 W, 99 %
2025/12/04 00:50:19.070, 320.91 W, 99 %
2025/12/04 00:50:19.170, 313.33 W, 99 %
2025/12/04 00:50:19.270, 316.84 W, 99 %
2025/12/04 00:50:19.370, 318.85 W, 99 %
2025/12/04 00:50:19.470, 327.30 W, 99 %
2025/12/04 00:50:19.571, 326.76 W, 99 %
2025/12/04 00:50:19.671, 319.18 W, 99 %
2025/12/04 00:50:19.771, 323.51 W, 99 %
2025/12/04 00:50:19.871, 314.19 W, 99 %
2025/12/04 00:50:19.971, 317.11 W, 99 %
2025/12/04 00:50:20.071, 318.85 W, 99 %
2025/12/04 00:50:20.172, 327.30 W, 99 %
2025/12/04 00:50:20.272, 322.64 W, 99 %
2025/12/04 00:50:20.372, 319.77 W, 99 %
2025/12/04 00:50:20.472, 321.18 W, 99 %
2025/12/04 00:50:20.572, 317.98 W, 99 %
