timestamp, power.draw [W], utilization.gpu [%]
2025/12/03 03:32:52.013, 60.97 W, 19 %
2025/12/03 03:32:52.116, 60.70 W, 13 %
2025/12/03 03:32:52.216, 61.84 W, 13 %
2025/12/03 03:32:52.316, 62.71 W, 0 %
2025/12/03 03:32:52.416, 61.84 W, 0 %
2025/12/03 03:32:52.516, 61.24 W, 14 %
2025/12/03 03:32:52.617, 91.05 W, 14 %
2025/12/03 03:32:52.717, 92.19 W, 78 %
2025/12/03 03:32:52.817, 92.46 W, 78 %
2025/12/03 03:32:52.917, 92.46 W, 97 %
2025/12/03 03:32:53.017, 91.60 W, 97 %
2025/12/03 03:32:53.117, 92.78 W, 97 %
2025/12/03 03:32:53.217, 92.19 W, 97 %
2025/12/03 03:32:53.317, 92.46 W, 97 %
2025/12/03 03:32:53.417, 92.19 W, 97 %
2025/12/03 03:32:53.518, 92.78 W, 97 %
2025/12/03 03:32:53.618, 91.60 W, 97 %
2025/12/03 03:32:53.718, 92.46 W, 97 %
2025/12/03 03:32:53.818, 91.60 W, 97 %
2025/12/03 03:32:53.918, 92.19 W, 97 %
2025/12/03 03:32:54.018, 92.78 W, 97 %
2025/12/03 03:32:54.118, 92.19 W, 97 %
2025/12/03 03:32:54.218, 91.92 W, 97 %
2025/12/03 03:32:54.318, 91.92 W, 97 %
2025/12/03 03:32:54.419, 92.78 W, 97 %
2025/12/03 03:32:54.519, 92.19 W, 97 %
2025/12/03 03:32:54.619, 92.19 W, 97 %
2025/12/03 03:32:54.719, 92.78 W, 97 %
2025/12/03 03:32:54.819, 92.78 W, 97 %
2025/12/03 03:32:54.919, 92.46 W, 97 %
2025/12/03 03:32:55.019, 92.78 W, 97 %
2025/12/03 03:32:55.119, 92.19 W, 97 %
2025/12/03 03:32:55.220, 92.19 W, 97 %
2025/12/03 03:32:55.320, 91.60 W, 97 %
2025/12/03 03:32:55.420, 92.46 W, 97 %
2025/12/03 03:32:55.520, 92.46 W, 97 %
2025/12/03 03:32:55.620, 92.19 W, 97 %
2025/12/03 03:32:55.720, 92.78 W, 97 %
2025/12/03 03:32:55.820, 92.78 W, 97 %
2025/12/03 03:32:55.920, 91.60 W, 97 %
2025/12/03 03:32:56.020, 92.46 W, 97 %
2025/12/03 03:32:56.121, 92.78 W, 97 %
2025/12/03 03:32:56.221, 92.78 W, 97 %
2025/12/03 03:32:56.321, 93.06 W, 97 %
2025/12/03 03:32:56.421, 92.78 W, 97 %
2025/12/03 03:32:56.521, 91.92 W, 97 %
2025/12/03 03:32:56.621, 92.19 W, 97 %
2025/12/03 03:32:56.721, 84.92 W, 97 %
2025/12/03 03:32:56.821, 93.06 W, 97 %
2025/12/03 03:32:56.921, 92.19 W, 94 %
2025/12/03 03:32:57.022, 91.92 W, 94 %
2025/12/03 03:32:57.122, 93.06 W, 97 %
2025/12/03 03:32:57.222, 93.39 W, 97 %
2025/12/03 03:32:57.322, 92.78 W, 97 %
2025/12/03 03:32:57.422, 92.78 W, 97 %
2025/12/03 03:32:57.522, 92.19 W, 97 %
2025/12/03 03:32:57.622, 93.06 W, 97 %
2025/12/03 03:32:57.722, 93.06 W, 97 %
2025/12/03 03:32:57.822, 92.78 W, 97 %
2025/12/03 03:32:57.923, 92.46 W, 97 %
2025/12/03 03:32:58.023, 92.78 W, 97 %
2025/12/03 03:32:58.123, 92.19 W, 97 %
2025/12/03 03:32:58.223, 92.19 W, 97 %
2025/12/03 03:32:58.323, 92.19 W, 97 %
2025/12/03 03:32:58.423, 92.19 W, 97 %
2025/12/03 03:32:58.523, 92.19 W, 97 %
2025/12/03 03:32:58.623, 92.19 W, 97 %
2025/12/03 03:32:58.723, 92.19 W, 97 %
2025/12/03 03:32:58.824, 91.92 W, 97 %
2025/12/03 03:32:58.924, 92.46 W, 97 %
2025/12/03 03:32:59.024, 92.19 W, 97 %
2025/12/03 03:32:59.124, 92.46 W, 97 %
2025/12/03 03:32:59.224, 92.46 W, 97 %
2025/12/03 03:32:59.324, 91.92 W, 97 %
2025/12/03 03:32:59.424, 92.46 W, 97 %
2025/12/03 03:32:59.524, 92.78 W, 97 %
2025/12/03 03:32:59.624, 92.19 W, 97 %
2025/12/03 03:32:59.725, 92.19 W, 97 %
2025/12/03 03:32:59.825, 91.92 W, 97 %
2025/12/03 03:32:59.925, 92.78 W, 97 %
2025/12/03 03:33:00.025, 92.46 W, 97 %
2025/12/03 03:33:00.125, 92.78 W, 97 %
2025/12/03 03:33:00.225, 92.46 W, 97 %
2025/12/03 03:33:00.325, 92.19 W, 97 %
2025/12/03 03:33:00.425, 92.46 W, 97 %
2025/12/03 03:33:00.525, 91.92 W, 97 %
2025/12/03 03:33:00.626, 92.19 W, 97 %
2025/12/03 03:33:00.726, 91.92 W, 97 %
2025/12/03 03:33:00.826, 92.19 W, 97 %
2025/12/03 03:33:00.926, 92.78 W, 97 %
2025/12/03 03:33:01.026, 93.06 W, 97 %
2025/12/03 03:33:01.126, 92.19 W, 97 %
2025/12/03 03:33:01.226, 92.46 W, 97 %
2025/12/03 03:33:01.326, 92.19 W, 97 %
2025/12/03 03:33:01.427, 91.92 W, 97 %
2025/12/03 03:33:01.527, 92.19 W, 97 %
2025/12/03 03:33:01.627, 92.46 W, 97 %
2025/12/03 03:33:01.727, 91.92 W, 97 %
2025/12/03 03:33:01.827, 92.46 W, 97 %
2025/12/03 03:33:01.927, 92.78 W, 97 %
2025/12/03 03:33:02.027, 92.19 W, 97 %
