timestamp, power.draw [W], utilization.gpu [%]
2025/12/03 14:16:07.609, 66.24 W, 57 %
2025/12/03 14:16:07.711, 63.58 W, 57 %
2025/12/03 14:16:07.811, 64.77 W, 10 %
2025/12/03 14:16:07.911, 66.24 W, 10 %
2025/12/03 14:16:08.011, 64.17 W, 0 %
2025/12/03 14:16:08.111, 63.58 W, 0 %
2025/12/03 14:16:08.212, 63.58 W, 11 %
2025/12/03 14:16:08.312, 67.97 W, 11 %
2025/12/03 14:16:08.412, 119.33 W, 7 %
2025/12/03 14:16:08.512, 123.14 W, 7 %
2025/12/03 14:16:08.612, 123.41 W, 79 %
2025/12/03 14:16:08.712, 123.41 W, 79 %
2025/12/03 14:16:08.812, 123.14 W, 94 %
2025/12/03 14:16:08.913, 122.87 W, 94 %
2025/12/03 14:16:09.013, 123.41 W, 93 %
2025/12/03 14:16:09.113, 122.87 W, 93 %
2025/12/03 14:16:09.213, 124.00 W, 94 %
2025/12/03 14:16:09.313, 108.26 W, 94 %
2025/12/03 14:16:09.413, 123.73 W, 92 %
2025/12/03 14:16:09.514, 122.54 W, 92 %
2025/12/03 14:16:09.614, 123.41 W, 94 %
2025/12/03 14:16:09.714, 122.87 W, 94 %
2025/12/03 14:16:09.814, 122.87 W, 94 %
2025/12/03 14:16:09.914, 122.27 W, 94 %
2025/12/03 14:16:10.014, 124.60 W, 94 %
2025/12/03 14:16:10.114, 123.14 W, 94 %
2025/12/03 14:16:10.215, 123.73 W, 94 %
2025/12/03 14:16:10.315, 124.28 W, 94 %
2025/12/03 14:16:10.415, 123.73 W, 93 %
2025/12/03 14:16:10.515, 122.27 W, 93 %
2025/12/03 14:16:10.615, 121.07 W, 94 %
2025/12/03 14:16:10.715, 103.59 W, 94 %
2025/12/03 14:16:10.816, 121.40 W, 89 %
2025/12/03 14:16:10.916, 124.00 W, 89 %
2025/12/03 14:16:11.016, 122.54 W, 94 %
2025/12/03 14:16:11.116, 122.27 W, 94 %
2025/12/03 14:16:11.216, 119.93 W, 94 %
2025/12/03 14:16:11.316, 124.00 W, 94 %
2025/12/03 14:16:11.416, 122.54 W, 92 %
2025/12/03 14:16:11.517, 122.87 W, 92 %
2025/12/03 14:16:11.617, 123.14 W, 94 %
2025/12/03 14:16:11.717, 122.54 W, 94 %
2025/12/03 14:16:11.817, 123.41 W, 94 %
2025/12/03 14:16:11.917, 123.73 W, 94 %
2025/12/03 14:16:12.017, 123.14 W, 94 %
2025/12/03 14:16:12.117, 123.41 W, 94 %
2025/12/03 14:16:12.218, 123.73 W, 92 %
2025/12/03 14:16:12.318, 122.27 W, 92 %
2025/12/03 14:16:12.418, 122.54 W, 94 %
2025/12/03 14:16:12.518, 123.73 W, 94 %
2025/12/03 14:16:12.618, 122.54 W, 94 %
2025/12/03 14:16:12.718, 122.27 W, 94 %
2025/12/03 14:16:12.819, 121.94 W, 94 %
2025/12/03 14:16:12.919, 123.41 W, 94 %
2025/12/03 14:16:13.019, 124.28 W, 94 %
2025/12/03 14:16:13.119, 123.41 W, 94 %
2025/12/03 14:16:13.219, 123.41 W, 91 %
2025/12/03 14:16:13.319, 124.60 W, 91 %
2025/12/03 14:16:13.420, 123.14 W, 94 %
2025/12/03 14:16:13.520, 123.14 W, 94 %
2025/12/03 14:16:13.620, 123.73 W, 94 %
2025/12/03 14:16:13.720, 122.87 W, 94 %
2025/12/03 14:16:13.820, 122.87 W, 94 %
2025/12/03 14:16:13.920, 123.14 W, 94 %
2025/12/03 14:16:14.020, 119.93 W, 94 %
2025/12/03 14:16:14.121, 123.41 W, 94 %
2025/12/03 14:16:14.221, 122.54 W, 92 %
2025/12/03 14:16:14.321, 123.14 W, 92 %
2025/12/03 14:16:14.421, 123.73 W, 94 %
2025/12/03 14:16:14.521, 123.14 W, 94 %
2025/12/03 14:16:14.621, 123.41 W, 94 %
2025/12/03 14:16:14.722, 123.73 W, 94 %
2025/12/03 14:16:14.822, 123.73 W, 94 %
2025/12/03 14:16:14.922, 123.73 W, 94 %
2025/12/03 14:16:15.022, 122.87 W, 94 %
2025/12/03 14:16:15.122, 124.00 W, 94 %
2025/12/03 14:16:15.222, 122.87 W, 93 %
2025/12/03 14:16:15.322, 123.14 W, 93 %
2025/12/03 14:16:15.423, 111.46 W, 94 %
2025/12/03 14:16:15.523, 123.14 W, 94 %
2025/12/03 14:16:15.623, 122.54 W, 92 %
2025/12/03 14:16:15.723, 124.00 W, 92 %
2025/12/03 14:16:15.823, 121.94 W, 94 %
2025/12/03 14:16:15.923, 122.54 W, 94 %
2025/12/03 14:16:16.024, 124.28 W, 93 %
2025/12/03 14:16:16.124, 122.87 W, 93 %
2025/12/03 14:16:16.224, 123.73 W, 94 %
