timestamp, power.draw [W], utilization.gpu [%]
2025/12/04 09:11:45.336, 88.39 W, 48 %
2025/12/04 09:11:45.438, 84.92 W, 48 %
2025/12/04 09:11:45.538, 90.12 W, 21 %
2025/12/04 09:11:45.639, 91.05 W, 21 %
2025/12/04 09:11:45.739, 84.92 W, 0 %
2025/12/04 09:11:45.839, 84.32 W, 0 %
2025/12/04 09:11:45.939, 84.32 W, 8 %
2025/12/04 09:11:46.039, 84.58 W, 8 %
2025/12/04 09:11:46.139, 84.58 W, 0 %
2025/12/04 09:11:46.240, 84.32 W, 0 %
2025/12/04 09:11:46.340, 84.32 W, 0 %
2025/12/04 09:11:46.440, 84.32 W, 0 %
2025/12/04 09:11:46.540, 84.04 W, 0 %
2025/12/04 09:11:46.640, 84.04 W, 0 %
2025/12/04 09:11:46.740, 84.04 W, 0 %
2025/12/04 09:11:46.840, 84.04 W, 0 %
2025/12/04 09:11:46.941, 84.04 W, 0 %
2025/12/04 09:11:47.041, 84.04 W, 0 %
2025/12/04 09:11:47.141, 97.73 W, 0 %
2025/12/04 09:11:47.242, 84.04 W, 0 %
2025/12/04 09:11:47.342, 84.04 W, 10 %
2025/12/04 09:11:47.442, 84.04 W, 10 %
2025/12/04 09:11:47.542, 84.04 W, 1 %
2025/12/04 09:11:47.642, 84.04 W, 1 %
2025/12/04 09:11:47.742, 84.04 W, 0 %
2025/12/04 09:11:47.842, 84.04 W, 0 %
2025/12/04 09:11:47.943, 84.04 W, 0 %
2025/12/04 09:11:48.043, 84.04 W, 0 %
2025/12/04 09:11:48.143, 169.06 W, 0 %
2025/12/04 09:11:48.243, 147.62 W, 0 %
2025/12/04 09:11:48.343, 150.28 W, 43 %
2025/12/04 09:11:48.443, 150.28 W, 43 %
2025/12/04 09:11:48.544, 149.96 W, 98 %
2025/12/04 09:11:48.644, 151.15 W, 98 %
2025/12/04 09:11:48.744, 149.53 W, 98 %
2025/12/04 09:11:48.844, 149.41 W, 98 %
2025/12/04 09:11:48.944, 132.75 W, 98 %
