timestamp, power.draw [W], utilization.gpu [%]
2025/12/04 12:41:22.253, 88.71 W, 33 %
2025/12/04 12:41:22.355, 91.60 W, 7 %
2025/12/04 12:41:22.455, 92.46 W, 7 %
2025/12/04 12:41:22.555, 86.92 W, 8 %
2025/12/04 12:41:22.655, 97.73 W, 8 %
2025/12/04 12:41:22.755, 154.79 W, 32 %
2025/12/04 12:41:22.855, 158.26 W, 32 %
2025/12/04 12:41:22.956, 161.36 W, 87 %
2025/12/04 12:41:23.056, 158.43 W, 87 %
2025/12/04 12:41:23.156, 157.56 W, 87 %
2025/12/04 12:41:23.256, 157.72 W, 87 %
2025/12/04 12:41:23.356, 158.16 W, 86 %
2025/12/04 12:41:23.456, 160.76 W, 86 %
2025/12/04 12:41:23.557, 142.68 W, 84 %
2025/12/04 12:41:23.657, 158.86 W, 84 %
2025/12/04 12:41:23.757, 155.06 W, 87 %
2025/12/04 12:41:23.857, 157.29 W, 87 %
2025/12/04 12:41:23.957, 155.66 W, 87 %
2025/12/04 12:41:24.057, 154.63 W, 87 %
2025/12/04 12:41:24.157, 152.73 W, 87 %
2025/12/04 12:41:24.258, 154.46 W, 87 %
2025/12/04 12:41:24.358, 163.96 W, 87 %
2025/12/04 12:41:24.458, 161.78 W, 87 %
2025/12/04 12:41:24.558, 159.73 W, 86 %
2025/12/04 12:41:24.658, 157.12 W, 86 %
2025/12/04 12:41:24.758, 161.95 W, 87 %
2025/12/04 12:41:24.859, 159.13 W, 87 %
2025/12/04 12:41:24.959, 159.02 W, 87 %
2025/12/04 12:41:25.059, 157.72 W, 87 %
2025/12/04 12:41:25.159, 157.88 W, 86 %
2025/12/04 12:41:25.259, 152.46 W, 86 %
2025/12/04 12:41:25.359, 156.53 W, 86 %
2025/12/04 12:41:25.460, 161.63 W, 86 %
2025/12/04 12:41:25.560, 156.53 W, 87 %
2025/12/04 12:41:25.660, 160.05 W, 87 %
2025/12/04 12:41:25.760, 158.26 W, 87 %
2025/12/04 12:41:25.860, 159.46 W, 87 %
2025/12/04 12:41:25.960, 157.72 W, 87 %
2025/12/04 12:41:26.060, 157.72 W, 87 %
2025/12/04 12:41:26.161, 154.20 W, 86 %
2025/12/04 12:41:26.261, 157.56 W, 86 %
2025/12/04 12:41:26.361, 156.25 W, 87 %
2025/12/04 12:41:26.461, 156.80 W, 87 %
2025/12/04 12:41:26.561, 161.95 W, 86 %
2025/12/04 12:41:26.661, 159.29 W, 86 %
2025/12/04 12:41:26.762, 159.62 W, 87 %
2025/12/04 12:41:26.862, 161.36 W, 87 %
2025/12/04 12:41:26.962, 160.22 W, 86 %
2025/12/04 12:41:27.062, 157.12 W, 86 %
2025/12/04 12:41:27.162, 160.49 W, 87 %
2025/12/04 12:41:27.262, 161.78 W, 87 %
2025/12/04 12:41:27.363, 157.39 W, 87 %
2025/12/04 12:41:27.463, 160.05 W, 87 %
2025/12/04 12:41:27.563, 155.66 W, 87 %
2025/12/04 12:41:27.663, 159.13 W, 87 %
2025/12/04 12:41:27.763, 157.12 W, 87 %
2025/12/04 12:41:27.863, 160.76 W, 87 %
2025/12/04 12:41:27.963, 155.39 W, 86 %
2025/12/04 12:41:28.064, 161.36 W, 86 %
2025/12/04 12:41:28.164, 158.26 W, 87 %
2025/12/04 12:41:28.264, 154.95 W, 87 %
2025/12/04 12:41:28.364, 155.93 W, 87 %
2025/12/04 12:41:28.464, 153.05 W, 87 %
2025/12/04 12:41:28.564, 157.29 W, 86 %
2025/12/04 12:41:28.665, 156.25 W, 86 %
2025/12/04 12:41:28.765, 156.53 W, 87 %
2025/12/04 12:41:28.865, 160.60 W, 87 %
2025/12/04 12:41:28.965, 158.59 W, 87 %
2025/12/04 12:41:29.065, 159.13 W, 87 %
2025/12/04 12:41:29.165, 156.53 W, 87 %
2025/12/04 12:41:29.266, 158.86 W, 87 %
2025/12/04 12:41:29.366, 163.79 W, 87 %
2025/12/04 12:41:29.466, 156.80 W, 87 %
2025/12/04 12:41:29.566, 155.39 W, 86 %
