timestamp, power.draw [W], utilization.gpu [%]
2025/12/04 18:27:58.718, 122.27 W, 89 %
2025/12/04 18:27:58.820, 93.06 W, 89 %
2025/12/04 18:27:58.920, 88.39 W, 7 %
2025/12/04 18:27:59.020, 88.71 W, 7 %
2025/12/04 18:27:59.120, 90.45 W, 1 %
2025/12/04 18:27:59.220, 87.52 W, 1 %
2025/12/04 18:27:59.321, 87.52 W, 7 %
2025/12/04 18:27:59.421, 86.65 W, 7 %
2025/12/04 18:27:59.521, 86.38 W, 1 %
2025/12/04 18:27:59.621, 220.37 W, 1 %
2025/12/04 18:27:59.721, 217.44 W, 93 %
2025/12/04 18:27:59.821, 223.02 W, 93 %
2025/12/04 18:27:59.922, 218.03 W, 100 %
2025/12/04 18:28:00.022, 226.22 W, 100 %
2025/12/04 18:28:00.122, 219.49 W, 99 %
2025/12/04 18:28:00.222, 215.70 W, 99 %
2025/12/04 18:28:00.322, 223.02 W, 100 %
2025/12/04 18:28:00.422, 208.43 W, 100 %
2025/12/04 18:28:00.523, 215.43 W, 100 %
2025/12/04 18:28:00.623, 220.69 W, 100 %
2025/12/04 18:28:00.723, 214.83 W, 100 %
2025/12/04 18:28:00.823, 219.49 W, 100 %
2025/12/04 18:28:00.923, 221.23 W, 100 %
2025/12/04 18:28:01.023, 214.56 W, 100 %
2025/12/04 18:28:01.124, 222.42 W, 100 %
2025/12/04 18:28:01.224, 218.35 W, 100 %
2025/12/04 18:28:01.324, 218.62 W, 97 %
2025/12/04 18:28:01.424, 219.49 W, 97 %
2025/12/04 18:28:01.524, 215.70 W, 100 %
2025/12/04 18:28:01.624, 221.83 W, 100 %
2025/12/04 18:28:01.725, 217.16 W, 100 %
2025/12/04 18:28:01.825, 217.44 W, 100 %
2025/12/04 18:28:01.925, 221.83 W, 100 %
2025/12/04 18:28:02.025, 216.89 W, 100 %
2025/12/04 18:28:02.125, 220.96 W, 100 %
2025/12/04 18:28:02.225, 216.89 W, 100 %
2025/12/04 18:28:02.326, 217.16 W, 100 %
2025/12/04 18:28:02.426, 222.42 W, 100 %
2025/12/04 18:28:02.526, 215.10 W, 100 %
2025/12/04 18:28:02.626, 219.49 W, 100 %
2025/12/04 18:28:02.726, 217.16 W, 100 %
2025/12/04 18:28:02.826, 220.96 W, 100 %
2025/12/04 18:28:02.927, 219.49 W, 99 %
2025/12/04 18:28:03.027, 222.15 W, 99 %
2025/12/04 18:28:03.127, 214.56 W, 100 %
2025/12/04 18:28:03.227, 220.09 W, 100 %
2025/12/04 18:28:03.327, 219.76 W, 100 %
2025/12/04 18:28:03.427, 217.76 W, 100 %
2025/12/04 18:28:03.528, 222.42 W, 100 %
2025/12/04 18:28:03.628, 214.83 W, 100 %
2025/12/04 18:28:03.728, 220.37 W, 100 %
2025/12/04 18:28:03.828, 217.44 W, 100 %
2025/12/04 18:28:03.928, 217.16 W, 100 %
2025/12/04 18:28:04.028, 221.56 W, 100 %
2025/12/04 18:28:04.128, 217.16 W, 100 %
2025/12/04 18:28:04.229, 221.83 W, 100 %
2025/12/04 18:28:04.329, 216.89 W, 100 %
2025/12/04 18:28:04.429, 216.30 W, 100 %
2025/12/04 18:28:04.529, 219.76 W, 99 %
2025/12/04 18:28:04.629, 222.42 W, 99 %
2025/12/04 18:28:04.729, 211.04 W, 100 %
2025/12/04 18:28:04.830, 221.56 W, 100 %
2025/12/04 18:28:04.930, 216.89 W, 100 %
2025/12/04 18:28:05.030, 219.49 W, 100 %
2025/12/04 18:28:05.130, 219.49 W, 100 %
2025/12/04 18:28:05.230, 217.76 W, 100 %
2025/12/04 18:28:05.330, 221.23 W, 100 %
2025/12/04 18:28:05.431, 214.83 W, 100 %
2025/12/04 18:28:05.531, 221.83 W, 100 %
2025/12/04 18:28:05.631, 214.83 W, 100 %
2025/12/04 18:28:05.731, 220.37 W, 100 %
2025/12/04 18:28:05.831, 219.76 W, 100 %
2025/12/04 18:28:05.931, 217.16 W, 100 %
2025/12/04 18:28:06.032, 223.29 W, 100 %
2025/12/04 18:28:06.132, 225.35 W, 99 %
2025/12/04 18:28:06.232, 217.16 W, 99 %
2025/12/04 18:28:06.332, 223.29 W, 100 %
2025/12/04 18:28:06.432, 216.57 W, 100 %
2025/12/04 18:28:06.532, 220.69 W, 100 %
2025/12/04 18:28:06.633, 218.62 W, 100 %
2025/12/04 18:28:06.733, 217.44 W, 100 %
2025/12/04 18:28:06.833, 220.96 W, 100 %
2025/12/04 18:28:06.933, 207.56 W, 100 %
2025/12/04 18:28:07.033, 216.89 W, 100 %
2025/12/04 18:28:07.133, 219.76 W, 100 %
2025/12/04 18:28:07.233, 216.57 W, 100 %
2025/12/04 18:28:07.334, 221.23 W, 100 %
2025/12/04 18:28:07.434, 215.43 W, 100 %
2025/12/04 18:28:07.534, 222.69 W, 100 %
2025/12/04 18:28:07.634, 216.57 W, 100 %
2025/12/04 18:28:07.734, 218.03 W, 99 %
2025/12/04 18:28:07.834, 219.76 W, 99 %
2025/12/04 18:28:07.935, 217.16 W, 100 %
2025/12/04 18:28:08.035, 218.03 W, 100 %
2025/12/04 18:28:08.135, 221.23 W, 100 %
2025/12/04 18:28:08.235, 215.43 W, 100 %
2025/12/04 18:28:08.335, 222.42 W, 100 %
2025/12/04 18:28:08.435, 217.16 W, 100 %
2025/12/04 18:28:08.536, 221.23 W, 100 %
2025/12/04 18:28:08.636, 219.49 W, 100 %
2025/12/04 18:28:08.736, 219.76 W, 100 %
2025/12/04 18:28:08.836, 221.56 W, 100 %
2025/12/04 18:28:08.936, 217.44 W, 100 %
2025/12/04 18:28:09.036, 222.15 W, 100 %
2025/12/04 18:28:09.137, 216.89 W, 100 %
2025/12/04 18:28:09.237, 205.50 W, 100 %
2025/12/04 18:28:09.337, 220.96 W, 99 %
2025/12/04 18:28:09.437, 219.76 W, 99 %
2025/12/04 18:28:09.537, 219.49 W, 100 %
2025/12/04 18:28:09.637, 222.42 W, 100 %
2025/12/04 18:28:09.738, 215.70 W, 100 %
2025/12/04 18:28:09.838, 223.02 W, 100 %
2025/12/04 18:28:09.938, 216.02 W, 100 %
2025/12/04 18:28:10.038, 222.15 W, 100 %
2025/12/04 18:28:10.138, 218.03 W, 100 %
2025/12/04 18:28:10.238, 218.62 W, 100 %
2025/12/04 18:28:10.339, 222.42 W, 100 %
2025/12/04 18:28:10.439, 217.16 W, 100 %
2025/12/04 18:28:10.539, 212.50 W, 100 %
2025/12/04 18:28:10.639, 217.44 W, 100 %
2025/12/04 18:28:10.739, 218.62 W, 100 %
2025/12/04 18:28:10.839, 223.89 W, 100 %
2025/12/04 18:28:10.940, 217.76 W, 99 %
2025/12/04 18:28:11.040, 215.10 W, 99 %
2025/12/04 18:28:11.140, 222.69 W, 100 %
2025/12/04 18:28:11.240, 215.10 W, 100 %
2025/12/04 18:28:11.340, 221.56 W, 100 %
2025/12/04 18:28:11.440, 217.16 W, 100 %
2025/12/04 18:28:11.541, 218.90 W, 100 %
2025/12/04 18:28:11.641, 223.29 W, 100 %
2025/12/04 18:28:11.741, 215.43 W, 100 %
2025/12/04 18:28:11.841, 222.15 W, 100 %
2025/12/04 18:28:11.941, 218.03 W, 100 %
2025/12/04 18:28:12.041, 217.16 W, 100 %
2025/12/04 18:28:12.141, 225.03 W, 100 %
