timestamp, power.draw [W], utilization.gpu [%]
2025/12/05 16:15:06.309, 93.65 W, 61 %
2025/12/05 16:15:06.412, 88.39 W, 7 %
2025/12/05 16:15:06.513, 93.39 W, 7 %
2025/12/05 16:15:06.613, 93.92 W, 0 %
2025/12/05 16:15:06.713, 87.79 W, 0 %
2025/12/05 16:15:06.813, 87.25 W, 8 %
2025/12/05 16:15:06.913, 86.65 W, 8 %
2025/12/05 16:15:07.013, 89.58 W, 5 %
2025/12/05 16:15:07.113, 225.35 W, 5 %
2025/12/05 16:15:07.214, 227.68 W, 77 %
2025/12/05 16:15:07.314, 227.68 W, 77 %
2025/12/05 16:15:07.414, 228.22 W, 92 %
2025/12/05 16:15:07.514, 230.02 W, 92 %
2025/12/05 16:15:07.614, 232.89 W, 91 %
2025/12/05 16:15:07.714, 232.35 W, 91 %
2025/12/05 16:15:07.815, 231.48 W, 91 %
2025/12/05 16:15:07.915, 232.35 W, 91 %
2025/12/05 16:15:08.015, 230.29 W, 92 %
2025/12/05 16:15:08.115, 230.56 W, 92 %
2025/12/05 16:15:08.215, 230.29 W, 92 %
2025/12/05 16:15:08.315, 232.89 W, 92 %
2025/12/05 16:15:08.415, 230.02 W, 92 %
2025/12/05 16:15:08.516, 230.88 W, 92 %
2025/12/05 16:15:08.616, 227.09 W, 91 %
2025/12/05 16:15:08.716, 228.82 W, 91 %
2025/12/05 16:15:08.816, 229.70 W, 88 %
2025/12/05 16:15:08.916, 233.82 W, 88 %
2025/12/05 16:15:09.016, 230.02 W, 92 %
2025/12/05 16:15:09.117, 230.02 W, 92 %
2025/12/05 16:15:09.217, 232.62 W, 91 %
2025/12/05 16:15:09.317, 232.35 W, 91 %
2025/12/05 16:15:09.417, 235.55 W, 92 %
2025/12/05 16:15:09.517, 230.88 W, 92 %
2025/12/05 16:15:09.617, 231.48 W, 92 %
2025/12/05 16:15:09.717, 231.16 W, 92 %
2025/12/05 16:15:09.818, 207.83 W, 90 %
2025/12/05 16:15:09.918, 229.15 W, 90 %
2025/12/05 16:15:10.018, 232.89 W, 92 %
2025/12/05 16:15:10.118, 232.62 W, 92 %
2025/12/05 16:15:10.218, 234.09 W, 92 %
2025/12/05 16:15:10.318, 231.16 W, 92 %
2025/12/05 16:15:10.419, 232.02 W, 92 %
2025/12/05 16:15:10.519, 212.77 W, 92 %
2025/12/05 16:15:10.619, 232.89 W, 89 %
2025/12/05 16:15:10.719, 231.48 W, 89 %
2025/12/05 16:15:10.819, 232.02 W, 92 %
2025/12/05 16:15:10.919, 236.14 W, 92 %
2025/12/05 16:15:11.019, 229.42 W, 92 %
2025/12/05 16:15:11.120, 233.82 W, 92 %
2025/12/05 16:15:11.220, 231.75 W, 90 %
2025/12/05 16:15:11.320, 229.15 W, 90 %
2025/12/05 16:15:11.420, 230.29 W, 92 %
2025/12/05 16:15:11.520, 231.48 W, 92 %
2025/12/05 16:15:11.620, 230.29 W, 92 %
2025/12/05 16:15:11.721, 232.02 W, 92 %
2025/12/05 16:15:11.821, 232.62 W, 92 %
2025/12/05 16:15:11.921, 231.16 W, 92 %
2025/12/05 16:15:12.021, 233.49 W, 91 %
2025/12/05 16:15:12.121, 234.95 W, 91 %
2025/12/05 16:15:12.221, 232.02 W, 92 %
2025/12/05 16:15:12.321, 230.56 W, 92 %
2025/12/05 16:15:12.422, 232.02 W, 90 %
2025/12/05 16:15:12.522, 232.02 W, 90 %
2025/12/05 16:15:12.622, 229.15 W, 91 %
2025/12/05 16:15:12.722, 232.02 W, 91 %
2025/12/05 16:15:12.822, 231.75 W, 92 %
2025/12/05 16:15:12.922, 234.36 W, 92 %
2025/12/05 16:15:13.023, 235.23 W, 92 %
2025/12/05 16:15:13.123, 235.23 W, 92 %
2025/12/05 16:15:13.223, 229.70 W, 92 %
