timestamp, power.draw [W], utilization.gpu [%]
2025/12/05 16:19:45.028, 94.80 W, 56 %
2025/12/05 16:19:45.129, 88.71 W, 11 %
2025/12/05 16:19:45.229, 92.46 W, 11 %
2025/12/05 16:19:45.330, 93.92 W, 0 %
2025/12/05 16:19:45.430, 96.86 W, 0 %
2025/12/05 16:19:45.530, 100.66 W, 44 %
2025/12/05 16:19:45.630, 100.39 W, 44 %
2025/12/05 16:19:45.730, 100.39 W, 95 %
2025/12/05 16:19:45.830, 100.39 W, 95 %
2025/12/05 16:19:45.931, 100.39 W, 95 %
2025/12/05 16:19:46.031, 99.46 W, 95 %
2025/12/05 16:19:46.131, 99.19 W, 95 %
2025/12/05 16:19:46.231, 99.19 W, 95 %
2025/12/05 16:19:46.331, 99.19 W, 94 %
2025/12/05 16:19:46.431, 99.19 W, 94 %
2025/12/05 16:19:46.531, 99.19 W, 94 %
2025/12/05 16:19:46.632, 98.92 W, 94 %
2025/12/05 16:19:46.732, 98.92 W, 94 %
2025/12/05 16:19:46.832, 98.92 W, 94 %
2025/12/05 16:19:46.932, 98.92 W, 92 %
2025/12/05 16:19:47.032, 98.92 W, 92 %
2025/12/05 16:19:47.132, 98.92 W, 94 %
2025/12/05 16:19:47.232, 98.92 W, 94 %
2025/12/05 16:19:47.333, 98.60 W, 95 %
2025/12/05 16:19:47.433, 98.60 W, 95 %
2025/12/05 16:19:47.533, 98.60 W, 94 %
2025/12/05 16:19:47.633, 98.60 W, 94 %
2025/12/05 16:19:47.733, 98.60 W, 95 %
2025/12/05 16:19:47.833, 98.60 W, 95 %
2025/12/05 16:19:47.934, 98.60 W, 95 %
2025/12/05 16:19:48.034, 98.60 W, 95 %
2025/12/05 16:19:48.134, 98.60 W, 95 %
2025/12/05 16:19:48.234, 98.60 W, 95 %
2025/12/05 16:19:48.334, 98.60 W, 94 %
2025/12/05 16:19:48.434, 98.60 W, 94 %
2025/12/05 16:19:48.534, 98.60 W, 95 %
2025/12/05 16:19:48.635, 98.33 W, 95 %
2025/12/05 16:19:48.735, 98.33 W, 94 %
2025/12/05 16:19:48.835, 98.33 W, 94 %
2025/12/05 16:19:48.935, 98.33 W, 94 %
2025/12/05 16:19:49.035, 98.33 W, 94 %
2025/12/05 16:19:49.135, 98.33 W, 95 %
2025/12/05 16:19:49.236, 98.33 W, 95 %
2025/12/05 16:19:49.336, 98.33 W, 94 %
2025/12/05 16:19:49.436, 98.33 W, 94 %
2025/12/05 16:19:49.536, 98.33 W, 95 %
2025/12/05 16:19:49.636, 98.33 W, 95 %
2025/12/05 16:19:49.736, 98.33 W, 94 %
2025/12/05 16:19:49.837, 98.33 W, 94 %
2025/12/05 16:19:49.937, 98.33 W, 94 %
2025/12/05 16:19:50.037, 98.33 W, 94 %
2025/12/05 16:19:50.137, 98.05 W, 95 %
2025/12/05 16:19:50.237, 98.33 W, 95 %
2025/12/05 16:19:50.337, 98.33 W, 94 %
2025/12/05 16:19:50.437, 98.05 W, 94 %
