timestamp, power.draw [W], utilization.gpu [%]
2025/12/05 17:31:38.891, 98.92 W, 13 %
2025/12/05 17:31:38.993, 93.06 W, 13 %
2025/12/05 17:31:39.093, 94.26 W, 42 %
2025/12/05 17:31:39.194, 95.12 W, 42 %
2025/12/05 17:31:39.294, 93.39 W, 0 %
2025/12/05 17:31:39.394, 90.72 W, 0 %
2025/12/05 17:31:39.494, 90.45 W, 8 %
2025/12/05 17:31:39.594, 90.12 W, 8 %
2025/12/05 17:31:39.694, 90.12 W, 0 %
2025/12/05 17:31:39.794, 89.85 W, 0 %
2025/12/05 17:31:39.894, 89.85 W, 0 %
2025/12/05 17:31:39.994, 89.58 W, 0 %
2025/12/05 17:31:40.095, 89.58 W, 0 %
2025/12/05 17:31:40.195, 89.58 W, 0 %
2025/12/05 17:31:40.295, 89.58 W, 0 %
2025/12/05 17:31:40.395, 89.26 W, 0 %
2025/12/05 17:31:40.495, 89.26 W, 0 %
2025/12/05 17:31:40.595, 89.26 W, 0 %
2025/12/05 17:31:40.695, 89.26 W, 0 %
2025/12/05 17:31:40.795, 89.26 W, 0 %
2025/12/05 17:31:40.896, 89.26 W, 0 %
2025/12/05 17:31:40.996, 88.99 W, 0 %
2025/12/05 17:31:41.096, 88.99 W, 0 %
2025/12/05 17:31:41.196, 88.99 W, 0 %
2025/12/05 17:31:41.296, 88.99 W, 0 %
2025/12/05 17:31:41.396, 88.99 W, 0 %
2025/12/05 17:31:41.496, 88.71 W, 0 %
2025/12/05 17:31:41.596, 88.99 W, 0 %
2025/12/05 17:31:41.696, 88.71 W, 0 %
2025/12/05 17:31:41.797, 88.71 W, 0 %
2025/12/05 17:31:41.897, 88.71 W, 0 %
2025/12/05 17:31:41.997, 88.71 W, 0 %
2025/12/05 17:31:42.097, 88.39 W, 0 %
2025/12/05 17:31:42.197, 87.79 W, 0 %
2025/12/05 17:31:42.297, 87.79 W, 0 %
2025/12/05 17:31:42.397, 87.79 W, 0 %
2025/12/05 17:31:42.497, 87.79 W, 0 %
2025/12/05 17:31:42.598, 87.79 W, 0 %
2025/12/05 17:31:42.698, 88.12 W, 0 %
2025/12/05 17:31:42.798, 88.12 W, 0 %
2025/12/05 17:31:42.898, 87.79 W, 11 %
2025/12/05 17:31:42.999, 87.52 W, 11 %
2025/12/05 17:31:43.099, 87.52 W, 9 %
2025/12/05 17:31:43.199, 87.79 W, 9 %
2025/12/05 17:31:43.299, 87.79 W, 1 %
2025/12/05 17:31:43.399, 87.52 W, 1 %
2025/12/05 17:31:43.499, 87.52 W, 0 %
2025/12/05 17:31:43.599, 87.52 W, 0 %
2025/12/05 17:31:43.700, 87.25 W, 0 %
2025/12/05 17:31:43.800, 87.25 W, 0 %
2025/12/05 17:31:43.900, 87.25 W, 0 %
2025/12/05 17:31:44.000, 87.25 W, 0 %
2025/12/05 17:31:44.100, 87.25 W, 0 %
2025/12/05 17:31:44.200, 87.25 W, 0 %
2025/12/05 17:31:44.300, 87.25 W, 0 %
2025/12/05 17:31:44.400, 87.25 W, 0 %
2025/12/05 17:31:44.500, 86.92 W, 0 %
2025/12/05 17:31:44.601, 86.92 W, 0 %
2025/12/05 17:31:44.701, 86.92 W, 0 %
2025/12/05 17:31:44.801, 86.92 W, 0 %
2025/12/05 17:31:44.901, 87.25 W, 0 %
2025/12/05 17:31:45.001, 88.12 W, 0 %
2025/12/05 17:31:45.101, 297.88 W, 5 %
2025/12/05 17:31:45.201, 309.26 W, 5 %
2025/12/05 17:31:45.302, 306.93 W, 86 %
2025/12/05 17:31:45.402, 310.13 W, 86 %
2025/12/05 17:31:45.502, 311.59 W, 99 %
2025/12/05 17:31:45.602, 307.20 W, 99 %
2025/12/05 17:31:45.702, 304.60 W, 99 %
2025/12/05 17:31:45.802, 310.73 W, 99 %
2025/12/05 17:31:45.902, 319.18 W, 99 %
2025/12/05 17:31:46.002, 317.45 W, 99 %
2025/12/05 17:31:46.103, 312.19 W, 99 %
2025/12/05 17:31:46.203, 317.11 W, 99 %
2025/12/05 17:31:46.303, 309.53 W, 99 %
2025/12/05 17:31:46.403, 307.20 W, 99 %
2025/12/05 17:31:46.503, 310.73 W, 99 %
2025/12/05 17:31:46.603, 314.19 W, 99 %
2025/12/05 17:31:46.703, 320.32 W, 99 %
2025/12/05 17:31:46.803, 316.25 W, 99 %
2025/12/05 17:31:46.903, 312.78 W, 99 %
2025/12/05 17:31:47.003, 315.65 W, 99 %
2025/12/05 17:31:47.104, 306.66 W, 99 %
2025/12/05 17:31:47.204, 310.13 W, 99 %
2025/12/05 17:31:47.304, 312.78 W, 99 %
2025/12/05 17:31:47.404, 323.51 W, 99 %
2025/12/05 17:31:47.504, 318.85 W, 99 %
2025/12/05 17:31:47.604, 314.79 W, 99 %
2025/12/05 17:31:47.704, 315.98 W, 99 %
2025/12/05 17:31:47.804, 313.33 W, 99 %
2025/12/05 17:31:47.905, 307.79 W, 99 %
2025/12/05 17:31:48.005, 312.78 W, 99 %
2025/12/05 17:31:48.105, 316.25 W, 99 %
2025/12/05 17:31:48.205, 321.78 W, 99 %
2025/12/05 17:31:48.305, 314.79 W, 99 %
2025/12/05 17:31:48.405, 316.25 W, 99 %
2025/12/05 17:31:48.505, 314.79 W, 99 %
2025/12/05 17:31:48.605, 308.39 W, 99 %
2025/12/05 17:31:48.705, 311.32 W, 99 %
2025/12/05 17:31:48.806, 315.11 W, 99 %
2025/12/05 17:31:48.906, 321.51 W, 99 %
2025/12/05 17:31:49.006, 320.32 W, 99 %
2025/12/05 17:31:49.106, 314.79 W, 99 %
2025/12/05 17:31:49.206, 316.84 W, 99 %
2025/12/05 17:31:49.306, 313.65 W, 99 %
2025/12/05 17:31:49.406, 308.99 W, 99 %
2025/12/05 17:31:49.506, 314.19 W, 99 %
2025/12/05 17:31:49.606, 319.45 W, 99 %
2025/12/05 17:31:49.707, 320.91 W, 99 %
2025/12/05 17:31:49.807, 315.98 W, 99 %
2025/12/05 17:31:49.907, 316.84 W, 99 %
2025/12/05 17:31:50.007, 314.51 W, 99 %
2025/12/05 17:31:50.107, 313.65 W, 99 %
2025/12/05 17:31:50.207, 308.39 W, 99 %
2025/12/05 17:31:50.307, 313.05 W, 99 %
2025/12/05 17:31:50.407, 320.91 W, 99 %
2025/12/05 17:31:50.507, 322.97 W, 99 %
2025/12/05 17:31:50.608, 317.98 W, 99 %
2025/12/05 17:31:50.708, 317.11 W, 99 %
2025/12/05 17:31:50.808, 314.51 W, 99 %
2025/12/05 17:31:50.908, 317.45 W, 99 %
2025/12/05 17:31:51.008, 313.05 W, 99 %
2025/12/05 17:31:51.108, 317.11 W, 99 %
2025/12/05 17:31:51.208, 319.77 W, 99 %
2025/12/05 17:31:51.308, 327.03 W, 99 %
2025/12/05 17:31:51.408, 322.37 W, 99 %
2025/12/05 17:31:51.509, 148.66 W, 99 %
2025/12/05 17:31:51.609, 314.84 W, 99 %
2025/12/05 17:31:51.709, 317.11 W, 67 %
2025/12/05 17:31:51.809, 328.77 W, 67 %
2025/12/05 17:31:51.909, 323.83 W, 99 %
2025/12/05 17:31:52.009, 319.45 W, 99 %
2025/12/05 17:31:52.109, 321.51 W, 99 %
2025/12/05 17:31:52.209, 318.58 W, 99 %
2025/12/05 17:31:52.310, 313.33 W, 99 %
2025/12/05 17:31:52.410, 317.98 W, 99 %
2025/12/05 17:31:52.510, 321.51 W, 99 %
2025/12/05 17:31:52.610, 327.03 W, 99 %
2025/12/05 17:31:52.710, 318.85 W, 99 %
2025/12/05 17:31:52.810, 322.10 W, 99 %
2025/12/05 17:31:52.910, 317.98 W, 99 %
2025/12/05 17:31:53.010, 313.65 W, 99 %
2025/12/05 17:31:53.110, 317.11 W, 99 %
2025/12/05 17:31:53.211, 320.32 W, 99 %
2025/12/05 17:31:53.311, 327.30 W, 99 %
2025/12/05 17:31:53.411, 321.78 W, 99 %
2025/12/05 17:31:53.511, 319.77 W, 99 %
2025/12/05 17:31:53.611, 318.31 W, 99 %
2025/12/05 17:31:53.711, 321.51 W, 97 %
2025/12/05 17:31:53.811, 327.03 W, 97 %
2025/12/05 17:31:53.911, 320.32 W, 99 %
2025/12/05 17:31:54.011, 320.32 W, 99 %
2025/12/05 17:31:54.112, 321.78 W, 99 %
2025/12/05 17:31:54.212, 319.18 W, 99 %
2025/12/05 17:31:54.312, 313.65 W, 99 %
2025/12/05 17:31:54.412, 317.98 W, 99 %
2025/12/05 17:31:54.512, 326.43 W, 99 %
2025/12/05 17:31:54.612, 327.03 W, 99 %
2025/12/05 17:31:54.712, 320.64 W, 99 %
2025/12/05 17:31:54.812, 322.37 W, 99 %
2025/12/05 17:31:54.912, 318.85 W, 99 %
2025/12/05 17:31:55.013, 312.78 W, 99 %
2025/12/05 17:31:55.113, 319.45 W, 99 %
2025/12/05 17:31:55.213, 325.84 W, 99 %
2025/12/05 17:31:55.313, 324.97 W, 99 %
2025/12/05 17:31:55.413, 320.64 W, 99 %
2025/12/05 17:31:55.513, 322.37 W, 99 %
2025/12/05 17:31:55.613, 319.45 W, 99 %
2025/12/05 17:31:55.713, 313.33 W, 99 %
2025/12/05 17:31:55.813, 318.31 W, 99 %
2025/12/05 17:31:55.914, 326.76 W, 99 %
2025/12/05 17:31:56.014, 324.97 W, 99 %
2025/12/05 17:31:56.114, 319.45 W, 99 %
2025/12/05 17:31:56.214, 322.37 W, 99 %
2025/12/05 17:31:56.314, 316.52 W, 99 %
2025/12/05 17:31:56.414, 316.84 W, 99 %
2025/12/05 17:31:56.514, 319.18 W, 99 %
2025/12/05 17:31:56.614, 327.03 W, 99 %
2025/12/05 17:31:56.714, 325.84 W, 99 %
2025/12/05 17:31:56.815, 322.64 W, 99 %
2025/12/05 17:31:56.915, 322.37 W, 99 %
2025/12/05 17:31:57.015, 319.18 W, 99 %
2025/12/05 17:31:57.115, 313.65 W, 99 %
2025/12/05 17:31:57.215, 317.98 W, 99 %
2025/12/05 17:31:57.315, 322.37 W, 99 %
2025/12/05 17:31:57.415, 328.50 W, 99 %
2025/12/05 17:31:57.515, 322.97 W, 99 %
2025/12/05 17:31:57.615, 320.05 W, 99 %
2025/12/05 17:31:57.716, 322.10 W, 99 %
2025/12/05 17:31:57.816, 313.65 W, 99 %
2025/12/05 17:31:57.916, 316.25 W, 99 %
2025/12/05 17:31:58.016, 108.53 W, 99 %
2025/12/05 17:31:58.116, 322.37 W, 68 %
2025/12/05 17:31:58.216, 324.70 W, 68 %
2025/12/05 17:31:58.316, 320.32 W, 99 %
2025/12/05 17:31:58.417, 324.43 W, 99 %
2025/12/05 17:31:58.517, 318.85 W, 99 %
2025/12/05 17:31:58.617, 314.79 W, 99 %
2025/12/05 17:31:58.717, 318.31 W, 99 %
2025/12/05 17:31:58.817, 322.64 W, 99 %
2025/12/05 17:31:58.917, 327.90 W, 99 %
2025/12/05 17:31:59.017, 320.32 W, 99 %
2025/12/05 17:31:59.117, 324.70 W, 99 %
2025/12/05 17:31:59.217, 321.78 W, 99 %
2025/12/05 17:31:59.318, 314.19 W, 99 %
2025/12/05 17:31:59.418, 318.31 W, 99 %
2025/12/05 17:31:59.518, 318.85 W, 99 %
2025/12/05 17:31:59.618, 329.96 W, 99 %
2025/12/05 17:31:59.718, 322.64 W, 99 %
2025/12/05 17:31:59.818, 321.51 W, 99 %
2025/12/05 17:31:59.918, 324.70 W, 99 %
2025/12/05 17:32:00.018, 316.84 W, 99 %
2025/12/05 17:32:00.118, 317.71 W, 99 %
2025/12/05 17:32:00.219, 319.45 W, 99 %
2025/12/05 17:32:00.319, 327.90 W, 99 %
2025/12/05 17:32:00.419, 325.57 W, 99 %
2025/12/05 17:32:00.519, 321.18 W, 99 %
2025/12/05 17:32:00.619, 322.64 W, 99 %
2025/12/05 17:32:00.719, 320.05 W, 99 %
2025/12/05 17:32:00.819, 315.98 W, 99 %
2025/12/05 17:32:00.919, 318.31 W, 99 %
2025/12/05 17:32:01.019, 321.18 W, 99 %
2025/12/05 17:32:01.120, 328.50 W, 99 %
2025/12/05 17:32:01.220, 324.11 W, 99 %
2025/12/05 17:32:01.320, 323.83 W, 99 %
2025/12/05 17:32:01.420, 322.64 W, 99 %
2025/12/05 17:32:01.520, 316.84 W, 99 %
2025/12/05 17:32:01.620, 317.45 W, 99 %
2025/12/05 17:32:01.720, 319.18 W, 99 %
2025/12/05 17:32:01.820, 327.30 W, 99 %
2025/12/05 17:32:01.920, 326.43 W, 99 %
2025/12/05 17:32:02.021, 321.18 W, 99 %
2025/12/05 17:32:02.121, 322.64 W, 99 %
2025/12/05 17:32:02.221, 319.77 W, 99 %
2025/12/05 17:32:02.321, 313.92 W, 99 %
2025/12/05 17:32:02.421, 319.18 W, 99 %
2025/12/05 17:32:02.521, 327.30 W, 99 %
2025/12/05 17:32:02.621, 329.09 W, 99 %
2025/12/05 17:32:02.721, 322.97 W, 99 %
2025/12/05 17:32:02.821, 322.10 W, 99 %
2025/12/05 17:32:02.922, 320.32 W, 99 %
2025/12/05 17:32:03.022, 315.38 W, 99 %
2025/12/05 17:32:03.122, 318.58 W, 99 %
2025/12/05 17:32:03.222, 321.78 W, 99 %
2025/12/05 17:32:03.322, 327.30 W, 99 %
2025/12/05 17:32:03.422, 323.83 W, 99 %
2025/12/05 17:32:03.522, 320.91 W, 99 %
2025/12/05 17:32:03.622, 322.97 W, 99 %
2025/12/05 17:32:03.722, 317.45 W, 99 %
2025/12/05 17:32:03.823, 317.45 W, 99 %
2025/12/05 17:32:03.923, 321.78 W, 99 %
2025/12/05 17:32:04.023, 327.03 W, 99 %
2025/12/05 17:32:04.123, 326.43 W, 99 %
2025/12/05 17:32:04.223, 321.51 W, 99 %
2025/12/05 17:32:04.323, 322.97 W, 99 %
2025/12/05 17:32:04.423, 253.34 W, 99 %
2025/12/05 17:32:04.523, 287.15 W, 67 %
2025/12/05 17:32:04.624, 321.78 W, 67 %
2025/12/05 17:32:04.724, 327.90 W, 99 %
2025/12/05 17:32:04.824, 325.57 W, 99 %
2025/12/05 17:32:04.924, 320.05 W, 99 %
2025/12/05 17:32:05.024, 322.97 W, 99 %
2025/12/05 17:32:05.124, 316.84 W, 99 %
2025/12/05 17:32:05.224, 314.79 W, 99 %
2025/12/05 17:32:05.324, 319.18 W, 99 %
2025/12/05 17:32:05.424, 321.78 W, 99 %
2025/12/05 17:32:05.525, 328.17 W, 99 %
2025/12/05 17:32:05.625, 324.11 W, 99 %
2025/12/05 17:32:05.725, 323.83 W, 99 %
