timestamp, power.draw [W], utilization.gpu [%]
2025/12/06 15:48:39.833, 88.39 W, 0 %
2025/12/06 15:48:39.935, 82.26 W, 0 %
2025/12/06 15:48:40.035, 81.71 W, 0 %
2025/12/06 15:48:40.135, 81.71 W, 0 %
2025/12/06 15:48:40.235, 83.72 W, 0 %
2025/12/06 15:48:40.335, 87.52 W, 0 %
2025/12/06 15:48:40.436, 82.26 W, 4 %
2025/12/06 15:48:40.536, 81.71 W, 4 %
2025/12/06 15:48:40.636, 81.71 W, 4 %
2025/12/06 15:48:40.736, 81.71 W, 4 %
2025/12/06 15:48:40.836, 81.71 W, 0 %
2025/12/06 15:48:40.936, 81.71 W, 0 %
2025/12/06 15:48:41.037, 81.71 W, 0 %
2025/12/06 15:48:41.137, 81.71 W, 0 %
2025/12/06 15:48:41.237, 81.71 W, 0 %
2025/12/06 15:48:41.337, 81.71 W, 0 %
2025/12/06 15:48:41.437, 81.71 W, 0 %
2025/12/06 15:48:41.537, 81.71 W, 0 %
2025/12/06 15:48:41.637, 81.39 W, 0 %
2025/12/06 15:48:41.738, 81.11 W, 0 %
2025/12/06 15:48:41.838, 81.11 W, 0 %
2025/12/06 15:48:41.938, 81.11 W, 0 %
2025/12/06 15:48:42.038, 82.26 W, 0 %
2025/12/06 15:48:42.138, 83.45 W, 0 %
2025/12/06 15:48:42.238, 81.39 W, 10 %
2025/12/06 15:48:42.339, 81.39 W, 10 %
2025/12/06 15:48:42.439, 81.11 W, 1 %
2025/12/06 15:48:42.539, 81.11 W, 1 %
2025/12/06 15:48:42.639, 81.39 W, 0 %
2025/12/06 15:48:42.739, 81.39 W, 0 %
2025/12/06 15:48:42.839, 81.11 W, 0 %
2025/12/06 15:48:42.939, 81.39 W, 0 %
2025/12/06 15:48:43.040, 81.11 W, 0 %
2025/12/06 15:48:43.140, 85.19 W, 0 %
2025/12/06 15:48:43.240, 283.06 W, 35 %
2025/12/06 15:48:43.340, 277.80 W, 35 %
2025/12/06 15:48:43.440, 282.17 W, 92 %
2025/12/06 15:48:43.540, 286.83 W, 92 %
2025/12/06 15:48:43.641, 257.14 W, 98 %
2025/12/06 15:48:43.741, 290.06 W, 98 %
2025/12/06 15:48:43.841, 286.54 W, 94 %
2025/12/06 15:48:43.941, 292.09 W, 94 %
2025/12/06 15:48:44.041, 292.98 W, 94 %
2025/12/06 15:48:44.141, 278.99 W, 94 %
2025/12/06 15:48:44.241, 287.45 W, 94 %
2025/12/06 15:48:44.342, 291.20 W, 94 %
2025/12/06 15:48:44.442, 294.12 W, 94 %
2025/12/06 15:48:44.542, 294.99 W, 94 %
2025/12/06 15:48:44.642, 284.23 W, 94 %
2025/12/06 15:48:44.742, 294.12 W, 94 %
2025/12/06 15:48:44.842, 236.69 W, 98 %
2025/12/06 15:48:44.943, 297.32 W, 98 %
2025/12/06 15:48:45.043, 297.05 W, 94 %
2025/12/06 15:48:45.143, 297.01 W, 94 %
2025/12/06 15:48:45.243, 296.78 W, 94 %
2025/12/06 15:48:45.343, 284.52 W, 94 %
2025/12/06 15:48:45.443, 297.34 W, 94 %
2025/12/06 15:48:45.543, 245.74 W, 94 %
2025/12/06 15:48:45.644, 288.02 W, 79 %
2025/12/06 15:48:45.744, 297.01 W, 79 %
2025/12/06 15:48:45.844, 258.28 W, 98 %
2025/12/06 15:48:45.944, 294.72 W, 98 %
2025/12/06 15:48:46.044, 295.86 W, 94 %
2025/12/06 15:48:46.144, 296.46 W, 94 %
2025/12/06 15:48:46.245, 295.32 W, 94 %
2025/12/06 15:48:46.345, 286.26 W, 94 %
2025/12/06 15:48:46.445, 292.12 W, 94 %
2025/12/06 15:48:46.545, 218.35 W, 94 %
2025/12/06 15:48:46.645, 293.53 W, 93 %
2025/12/06 15:48:46.745, 297.32 W, 93 %
2025/12/06 15:48:46.846, 296.74 W, 94 %
2025/12/06 15:48:46.946, 295.32 W, 94 %
2025/12/06 15:48:47.046, 199.10 W, 98 %
2025/12/06 15:48:47.146, 292.39 W, 98 %
2025/12/06 15:48:47.246, 297.05 W, 94 %
2025/12/06 15:48:47.346, 295.01 W, 94 %
2025/12/06 15:48:47.446, 294.99 W, 94 %
2025/12/06 15:48:47.547, 277.53 W, 94 %
2025/12/06 15:48:47.647, 296.78 W, 94 %
2025/12/06 15:48:47.747, 296.46 W, 94 %
2025/12/06 15:48:47.847, 298.19 W, 94 %
2025/12/06 15:48:47.947, 294.99 W, 94 %
2025/12/06 15:48:48.047, 231.16 W, 93 %
