timestamp, power.draw [W], utilization.gpu [%]
2025/12/06 16:15:19.433, 97.73 W, 17 %
2025/12/06 16:15:19.535, 93.65 W, 17 %
2025/12/06 16:15:19.635, 98.05 W, 42 %
2025/12/06 16:15:19.736, 95.99 W, 42 %
2025/12/06 16:15:19.836, 94.53 W, 0 %
2025/12/06 16:15:19.936, 91.32 W, 0 %
2025/12/06 16:15:20.036, 91.32 W, 8 %
2025/12/06 16:15:20.136, 91.05 W, 8 %
2025/12/06 16:15:20.236, 96.26 W, 0 %
2025/12/06 16:15:20.337, 90.72 W, 0 %
2025/12/06 16:15:20.437, 96.86 W, 0 %
2025/12/06 16:15:20.537, 91.32 W, 0 %
2025/12/06 16:15:20.637, 232.89 W, 6 %
2025/12/06 16:15:20.737, 227.36 W, 6 %
2025/12/06 16:15:20.837, 234.36 W, 87 %
2025/12/06 16:15:20.938, 133.62 W, 87 %
2025/12/06 16:15:21.038, 224.16 W, 81 %
2025/12/06 16:15:21.138, 236.42 W, 81 %
2025/12/06 16:15:21.238, 223.89 W, 91 %
2025/12/06 16:15:21.338, 229.42 W, 91 %
2025/12/06 16:15:21.438, 234.36 W, 89 %
2025/12/06 16:15:21.539, 212.50 W, 89 %
2025/12/06 16:15:21.639, 231.16 W, 89 %
2025/12/06 16:15:21.739, 232.35 W, 89 %
2025/12/06 16:15:21.839, 230.02 W, 90 %
2025/12/06 16:15:21.939, 232.62 W, 90 %
2025/12/06 16:15:22.039, 219.49 W, 91 %
2025/12/06 16:15:22.140, 235.82 W, 91 %
2025/12/06 16:15:22.240, 233.21 W, 89 %
2025/12/06 16:15:22.340, 221.56 W, 89 %
2025/12/06 16:15:22.440, 218.03 W, 89 %
2025/12/06 16:15:22.540, 237.55 W, 89 %
2025/12/06 16:15:22.640, 218.62 W, 85 %
2025/12/06 16:15:22.740, 230.29 W, 85 %
2025/12/06 16:15:22.841, 236.69 W, 90 %
2025/12/06 16:15:22.941, 230.56 W, 90 %
2025/12/06 16:15:23.041, 234.36 W, 90 %
2025/12/06 16:15:23.141, 233.49 W, 90 %
2025/12/06 16:15:23.241, 225.35 W, 89 %
