timestamp, power.draw [W], utilization.gpu [%]
2025/12/06 15:55:08.111, 98.33 W, 18 %
2025/12/06 15:55:08.212, 98.33 W, 18 %
2025/12/06 15:55:08.312, 97.13 W, 6 %
2025/12/06 15:55:08.413, 96.26 W, 6 %
2025/12/06 15:55:08.513, 95.99 W, 0 %
2025/12/06 15:55:08.613, 90.45 W, 0 %
2025/12/06 15:55:08.713, 89.58 W, 8 %
2025/12/06 15:55:08.813, 103.26 W, 8 %
2025/12/06 15:55:08.913, 161.09 W, 51 %
2025/12/06 15:55:09.013, 164.12 W, 51 %
2025/12/06 15:55:09.114, 158.43 W, 87 %
2025/12/06 15:55:09.214, 160.76 W, 87 %
2025/12/06 15:55:09.314, 163.26 W, 87 %
2025/12/06 15:55:09.414, 163.79 W, 87 %
2025/12/06 15:55:09.514, 163.79 W, 86 %
2025/12/06 15:55:09.614, 163.52 W, 86 %
2025/12/06 15:55:09.714, 160.32 W, 84 %
2025/12/06 15:55:09.814, 162.06 W, 84 %
2025/12/06 15:55:09.914, 164.39 W, 87 %
2025/12/06 15:55:10.015, 161.19 W, 87 %
2025/12/06 15:55:10.115, 161.78 W, 87 %
2025/12/06 15:55:10.215, 162.38 W, 87 %
2025/12/06 15:55:10.315, 165.26 W, 87 %
2025/12/06 15:55:10.415, 167.32 W, 87 %
2025/12/06 15:55:10.515, 162.38 W, 87 %
2025/12/06 15:55:10.615, 160.05 W, 87 %
2025/12/06 15:55:10.715, 164.12 W, 87 %
2025/12/06 15:55:10.816, 166.02 W, 87 %
2025/12/06 15:55:10.916, 164.89 W, 87 %
2025/12/06 15:55:11.016, 162.38 W, 87 %
2025/12/06 15:55:11.116, 162.82 W, 87 %
2025/12/06 15:55:11.216, 157.39 W, 87 %
2025/12/06 15:55:11.316, 165.26 W, 87 %
2025/12/06 15:55:11.416, 160.92 W, 87 %
2025/12/06 15:55:11.516, 156.80 W, 86 %
2025/12/06 15:55:11.616, 164.39 W, 86 %
2025/12/06 15:55:11.717, 162.06 W, 88 %
2025/12/06 15:55:11.817, 160.60 W, 88 %
2025/12/06 15:55:11.917, 157.72 W, 87 %
2025/12/06 15:55:12.017, 162.92 W, 87 %
2025/12/06 15:55:12.117, 164.12 W, 87 %
2025/12/06 15:55:12.217, 158.86 W, 87 %
2025/12/06 15:55:12.317, 160.92 W, 86 %
2025/12/06 15:55:12.417, 157.99 W, 86 %
2025/12/06 15:55:12.517, 157.72 W, 87 %
2025/12/06 15:55:12.618, 160.60 W, 87 %
2025/12/06 15:55:12.718, 161.46 W, 87 %
2025/12/06 15:55:12.818, 159.46 W, 87 %
2025/12/06 15:55:12.918, 158.86 W, 87 %
2025/12/06 15:55:13.018, 154.63 W, 87 %
2025/12/06 15:55:13.118, 160.60 W, 87 %
2025/12/06 15:55:13.218, 165.43 W, 87 %
2025/12/06 15:55:13.318, 157.12 W, 87 %
2025/12/06 15:55:13.418, 159.46 W, 87 %
2025/12/06 15:55:13.519, 157.56 W, 87 %
2025/12/06 15:55:13.619, 157.72 W, 87 %
2025/12/06 15:55:13.719, 161.78 W, 87 %
2025/12/06 15:55:13.819, 163.26 W, 87 %
2025/12/06 15:55:13.919, 160.05 W, 87 %
2025/12/06 15:55:14.019, 162.38 W, 87 %
2025/12/06 15:55:14.119, 162.06 W, 87 %
2025/12/06 15:55:14.219, 161.46 W, 87 %
2025/12/06 15:55:14.319, 161.19 W, 87 %
2025/12/06 15:55:14.420, 162.92 W, 87 %
2025/12/06 15:55:14.520, 162.65 W, 87 %
2025/12/06 15:55:14.620, 164.89 W, 87 %
2025/12/06 15:55:14.720, 162.55 W, 86 %
2025/12/06 15:55:14.820, 162.92 W, 86 %
2025/12/06 15:55:14.920, 160.05 W, 87 %
2025/12/06 15:55:15.020, 161.46 W, 87 %
2025/12/06 15:55:15.120, 160.60 W, 87 %
2025/12/06 15:55:15.220, 162.06 W, 87 %
2025/12/06 15:55:15.321, 161.46 W, 87 %
2025/12/06 15:55:15.421, 161.78 W, 87 %
2025/12/06 15:55:15.521, 161.09 W, 87 %
2025/12/06 15:55:15.621, 162.38 W, 87 %
2025/12/06 15:55:15.721, 160.32 W, 87 %
2025/12/06 15:55:15.821, 160.60 W, 87 %
2025/12/06 15:55:15.921, 161.78 W, 87 %
2025/12/06 15:55:16.021, 159.73 W, 87 %
2025/12/06 15:55:16.121, 160.05 W, 87 %
2025/12/06 15:55:16.222, 161.78 W, 87 %
2025/12/06 15:55:16.322, 161.78 W, 87 %
2025/12/06 15:55:16.422, 163.26 W, 87 %
2025/12/06 15:55:16.522, 159.13 W, 87 %
2025/12/06 15:55:16.622, 161.46 W, 87 %
2025/12/06 15:55:16.722, 161.09 W, 87 %
2025/12/06 15:55:16.822, 160.76 W, 87 %
2025/12/06 15:55:16.922, 166.30 W, 87 %
2025/12/06 15:55:17.022, 161.46 W, 87 %
2025/12/06 15:55:17.123, 161.19 W, 87 %
2025/12/06 15:55:17.223, 156.25 W, 87 %
2025/12/06 15:55:17.323, 160.92 W, 87 %
2025/12/06 15:55:17.423, 159.73 W, 87 %
2025/12/06 15:55:17.523, 164.72 W, 87 %
2025/12/06 15:55:17.623, 161.78 W, 87 %
2025/12/06 15:55:17.723, 160.60 W, 87 %
2025/12/06 15:55:17.823, 163.26 W, 87 %
2025/12/06 15:55:17.923, 162.38 W, 87 %
2025/12/06 15:55:18.024, 161.46 W, 87 %
2025/12/06 15:55:18.124, 158.86 W, 87 %
2025/12/06 15:55:18.224, 160.05 W, 87 %
2025/12/06 15:55:18.324, 162.65 W, 87 %
2025/12/06 15:55:18.424, 161.78 W, 87 %
2025/12/06 15:55:18.524, 158.16 W, 87 %
2025/12/06 15:55:18.624, 160.05 W, 87 %
2025/12/06 15:55:18.724, 158.86 W, 87 %
2025/12/06 15:55:18.824, 157.99 W, 87 %
2025/12/06 15:55:18.925, 160.05 W, 87 %
2025/12/06 15:55:19.025, 162.38 W, 87 %
2025/12/06 15:55:19.125, 158.86 W, 87 %
2025/12/06 15:55:19.225, 157.39 W, 87 %
2025/12/06 15:55:19.325, 155.93 W, 87 %
2025/12/06 15:55:19.425, 159.73 W, 87 %
2025/12/06 15:55:19.525, 158.26 W, 87 %
2025/12/06 15:55:19.625, 160.60 W, 87 %
2025/12/06 15:55:19.726, 153.32 W, 86 %
2025/12/06 15:55:19.826, 162.92 W, 86 %
2025/12/06 15:55:19.926, 159.46 W, 87 %
2025/12/06 15:55:20.026, 157.39 W, 87 %
2025/12/06 15:55:20.126, 157.29 W, 87 %
2025/12/06 15:55:20.226, 159.73 W, 87 %
2025/12/06 15:55:20.326, 158.59 W, 88 %
2025/12/06 15:55:20.426, 161.19 W, 88 %
2025/12/06 15:55:20.526, 160.22 W, 87 %
2025/12/06 15:55:20.627, 160.32 W, 87 %
2025/12/06 15:55:20.727, 161.19 W, 87 %
2025/12/06 15:55:20.827, 162.23 W, 87 %
2025/12/06 15:55:20.927, 159.46 W, 87 %
2025/12/06 15:55:21.027, 156.53 W, 87 %
2025/12/06 15:55:21.127, 157.12 W, 87 %
2025/12/06 15:55:21.227, 156.25 W, 87 %
2025/12/06 15:55:21.327, 161.36 W, 87 %
2025/12/06 15:55:21.427, 163.79 W, 87 %
2025/12/06 15:55:21.528, 163.43 W, 87 %
2025/12/06 15:55:21.628, 161.78 W, 87 %
2025/12/06 15:55:21.728, 158.43 W, 87 %
2025/12/06 15:55:21.828, 161.36 W, 87 %
2025/12/06 15:55:21.928, 156.41 W, 87 %
2025/12/06 15:55:22.028, 159.62 W, 87 %
2025/12/06 15:55:22.128, 157.56 W, 87 %
2025/12/06 15:55:22.228, 154.09 W, 87 %
2025/12/06 15:55:22.328, 158.26 W, 86 %
2025/12/06 15:55:22.429, 157.72 W, 86 %
2025/12/06 15:55:22.529, 160.32 W, 87 %
2025/12/06 15:55:22.629, 158.59 W, 87 %
2025/12/06 15:55:22.729, 157.99 W, 87 %
2025/12/06 15:55:22.829, 156.25 W, 87 %
2025/12/06 15:55:22.929, 158.26 W, 86 %
2025/12/06 15:55:23.029, 160.92 W, 86 %
2025/12/06 15:55:23.129, 163.26 W, 87 %
2025/12/06 15:55:23.229, 157.99 W, 87 %
2025/12/06 15:55:23.330, 157.99 W, 87 %
2025/12/06 15:55:23.430, 164.12 W, 87 %
2025/12/06 15:55:23.530, 155.39 W, 87 %
2025/12/06 15:55:23.630, 163.96 W, 87 %
2025/12/06 15:55:23.730, 164.39 W, 87 %
2025/12/06 15:55:23.830, 160.92 W, 87 %
2025/12/06 15:55:23.930, 160.22 W, 87 %
2025/12/06 15:55:24.030, 164.72 W, 87 %
2025/12/06 15:55:24.130, 161.19 W, 87 %
2025/12/06 15:55:24.231, 159.13 W, 87 %
2025/12/06 15:55:24.331, 161.36 W, 87 %
2025/12/06 15:55:24.431, 159.29 W, 87 %
2025/12/06 15:55:24.531, 159.62 W, 87 %
2025/12/06 15:55:24.631, 163.70 W, 87 %
2025/12/06 15:55:24.731, 162.82 W, 87 %
2025/12/06 15:55:24.831, 164.56 W, 87 %
2025/12/06 15:55:24.931, 161.78 W, 86 %
2025/12/06 15:55:25.031, 162.65 W, 86 %
2025/12/06 15:55:25.132, 161.78 W, 87 %
2025/12/06 15:55:25.232, 161.19 W, 87 %
2025/12/06 15:55:25.332, 162.38 W, 87 %
2025/12/06 15:55:25.432, 162.06 W, 87 %
2025/12/06 15:55:25.532, 161.19 W, 87 %
2025/12/06 15:55:25.632, 161.46 W, 87 %
2025/12/06 15:55:25.732, 162.65 W, 87 %
2025/12/06 15:55:25.832, 162.65 W, 87 %
2025/12/06 15:55:25.932, 160.32 W, 87 %
2025/12/06 15:55:26.033, 161.19 W, 87 %
2025/12/06 15:55:26.133, 159.73 W, 87 %
2025/12/06 15:55:26.233, 161.95 W, 87 %
2025/12/06 15:55:26.333, 163.43 W, 87 %
2025/12/06 15:55:26.433, 158.75 W, 87 %
2025/12/06 15:55:26.533, 157.39 W, 87 %
2025/12/06 15:55:26.633, 159.73 W, 87 %
2025/12/06 15:55:26.733, 163.26 W, 87 %
2025/12/06 15:55:26.833, 162.65 W, 87 %
2025/12/06 15:55:26.934, 158.86 W, 87 %
2025/12/06 15:55:27.034, 159.73 W, 87 %
2025/12/06 15:55:27.134, 161.19 W, 87 %
2025/12/06 15:55:27.234, 161.19 W, 87 %
2025/12/06 15:55:27.334, 163.52 W, 87 %
2025/12/06 15:55:27.434, 164.39 W, 87 %
2025/12/06 15:55:27.534, 157.72 W, 87 %
2025/12/06 15:55:27.634, 158.26 W, 87 %
2025/12/06 15:55:27.734, 157.99 W, 87 %
2025/12/06 15:55:27.835, 160.22 W, 87 %
2025/12/06 15:55:27.935, 161.09 W, 87 %
2025/12/06 15:55:28.035, 159.13 W, 87 %
2025/12/06 15:55:28.135, 161.46 W, 87 %
2025/12/06 15:55:28.235, 158.75 W, 87 %
2025/12/06 15:55:28.335, 163.26 W, 87 %
2025/12/06 15:55:28.435, 160.49 W, 87 %
2025/12/06 15:55:28.535, 160.49 W, 87 %
2025/12/06 15:55:28.635, 163.43 W, 87 %
2025/12/06 15:55:28.736, 159.29 W, 87 %
2025/12/06 15:55:28.836, 161.19 W, 87 %
2025/12/06 15:55:28.936, 158.16 W, 86 %
2025/12/06 15:55:29.036, 160.05 W, 86 %
2025/12/06 15:55:29.136, 160.32 W, 88 %
2025/12/06 15:55:29.236, 160.32 W, 88 %
2025/12/06 15:55:29.336, 162.65 W, 87 %
2025/12/06 15:55:29.436, 165.58 W, 87 %
2025/12/06 15:55:29.536, 161.78 W, 87 %
2025/12/06 15:55:29.637, 161.78 W, 87 %
2025/12/06 15:55:29.737, 158.86 W, 87 %
2025/12/06 15:55:29.837, 161.78 W, 87 %
2025/12/06 15:55:29.937, 159.13 W, 87 %
2025/12/06 15:55:30.037, 160.92 W, 87 %
2025/12/06 15:55:30.137, 159.02 W, 88 %
2025/12/06 15:55:30.237, 159.62 W, 88 %
2025/12/06 15:55:30.337, 159.02 W, 88 %
2025/12/06 15:55:30.437, 162.06 W, 88 %
2025/12/06 15:55:30.538, 157.72 W, 87 %
2025/12/06 15:55:30.638, 161.46 W, 87 %
2025/12/06 15:55:30.738, 160.32 W, 87 %
2025/12/06 15:55:30.838, 160.60 W, 87 %
2025/12/06 15:55:30.938, 159.73 W, 86 %
2025/12/06 15:55:31.038, 162.06 W, 86 %
2025/12/06 15:55:31.138, 164.72 W, 87 %
2025/12/06 15:55:31.238, 160.60 W, 87 %
2025/12/06 15:55:31.339, 160.92 W, 87 %
2025/12/06 15:55:31.439, 160.32 W, 87 %
2025/12/06 15:55:31.539, 156.25 W, 87 %
2025/12/06 15:55:31.639, 160.92 W, 87 %
2025/12/06 15:55:31.739, 157.72 W, 86 %
2025/12/06 15:55:31.839, 161.09 W, 86 %
2025/12/06 15:55:31.939, 160.92 W, 87 %
2025/12/06 15:55:32.039, 161.36 W, 87 %
2025/12/06 15:55:32.139, 161.46 W, 87 %
2025/12/06 15:55:32.240, 159.46 W, 87 %
2025/12/06 15:55:32.340, 160.76 W, 87 %
2025/12/06 15:55:32.440, 161.09 W, 87 %
2025/12/06 15:55:32.540, 157.39 W, 87 %
2025/12/06 15:55:32.640, 161.63 W, 87 %
2025/12/06 15:55:32.740, 158.26 W, 87 %
2025/12/06 15:55:32.840, 157.12 W, 87 %
2025/12/06 15:55:32.940, 159.62 W, 87 %
2025/12/06 15:55:33.040, 160.92 W, 87 %
2025/12/06 15:55:33.141, 157.72 W, 87 %
2025/12/06 15:55:33.241, 161.78 W, 87 %
2025/12/06 15:55:33.341, 158.86 W, 85 %
2025/12/06 15:55:33.441, 156.53 W, 85 %
2025/12/06 15:55:33.541, 160.32 W, 87 %
2025/12/06 15:55:33.641, 158.86 W, 87 %
2025/12/06 15:55:33.741, 156.25 W, 87 %
2025/12/06 15:55:33.841, 158.26 W, 87 %
2025/12/06 15:55:33.941, 155.93 W, 87 %
2025/12/06 15:55:34.042, 148.82 W, 87 %
2025/12/06 15:55:34.142, 153.32 W, 87 %
2025/12/06 15:55:34.242, 161.46 W, 87 %
2025/12/06 15:55:34.342, 163.09 W, 87 %
2025/12/06 15:55:34.442, 162.55 W, 87 %
2025/12/06 15:55:34.542, 160.22 W, 87 %
2025/12/06 15:55:34.642, 160.32 W, 87 %
2025/12/06 15:55:34.742, 161.09 W, 87 %
2025/12/06 15:55:34.842, 157.88 W, 87 %
2025/12/06 15:55:34.943, 156.80 W, 87 %
2025/12/06 15:55:35.043, 158.86 W, 87 %
2025/12/06 15:55:35.143, 157.99 W, 87 %
2025/12/06 15:55:35.243, 153.60 W, 87 %
2025/12/06 15:55:35.343, 160.05 W, 87 %
2025/12/06 15:55:35.443, 159.13 W, 87 %
2025/12/06 15:55:35.543, 157.99 W, 87 %
2025/12/06 15:55:35.643, 158.59 W, 87 %
2025/12/06 15:55:35.743, 159.46 W, 87 %
2025/12/06 15:55:35.844, 162.38 W, 87 %
2025/12/06 15:55:35.944, 160.92 W, 87 %
2025/12/06 15:55:36.044, 160.05 W, 87 %
2025/12/06 15:55:36.144, 158.43 W, 87 %
2025/12/06 15:55:36.244, 158.75 W, 87 %
2025/12/06 15:55:36.344, 162.06 W, 87 %
2025/12/06 15:55:36.444, 160.60 W, 87 %
2025/12/06 15:55:36.544, 159.46 W, 87 %
2025/12/06 15:55:36.644, 161.95 W, 87 %
2025/12/06 15:55:36.745, 159.89 W, 87 %
2025/12/06 15:55:36.845, 161.19 W, 87 %
2025/12/06 15:55:36.945, 164.56 W, 87 %
2025/12/06 15:55:37.045, 162.92 W, 87 %
2025/12/06 15:55:37.145, 161.95 W, 87 %
2025/12/06 15:55:37.245, 158.59 W, 87 %
2025/12/06 15:55:37.345, 163.79 W, 87 %
2025/12/06 15:55:37.445, 160.76 W, 87 %
2025/12/06 15:55:37.545, 159.13 W, 87 %
2025/12/06 15:55:37.646, 162.06 W, 87 %
2025/12/06 15:55:37.746, 161.19 W, 87 %
2025/12/06 15:55:37.846, 158.86 W, 87 %
2025/12/06 15:55:37.946, 162.92 W, 87 %
2025/12/06 15:55:38.046, 160.32 W, 87 %
2025/12/06 15:55:38.146, 158.26 W, 87 %
2025/12/06 15:55:38.246, 157.12 W, 87 %
2025/12/06 15:55:38.346, 158.59 W, 86 %
2025/12/06 15:55:38.446, 161.63 W, 86 %
2025/12/06 15:55:38.547, 158.59 W, 88 %
2025/12/06 15:55:38.647, 160.60 W, 88 %
2025/12/06 15:55:38.747, 163.43 W, 87 %
2025/12/06 15:55:38.847, 159.73 W, 87 %
2025/12/06 15:55:38.947, 157.29 W, 87 %
2025/12/06 15:55:39.047, 164.29 W, 87 %
2025/12/06 15:55:39.147, 160.05 W, 87 %
2025/12/06 15:55:39.247, 161.46 W, 87 %
2025/12/06 15:55:39.347, 158.59 W, 87 %
2025/12/06 15:55:39.448, 162.06 W, 87 %
2025/12/06 15:55:39.548, 159.02 W, 87 %
2025/12/06 15:55:39.648, 163.09 W, 87 %
2025/12/06 15:55:39.748, 158.59 W, 87 %
2025/12/06 15:55:39.848, 160.05 W, 87 %
2025/12/06 15:55:39.948, 159.46 W, 87 %
2025/12/06 15:55:40.048, 155.93 W, 87 %
2025/12/06 15:55:40.148, 161.78 W, 87 %
2025/12/06 15:55:40.248, 160.92 W, 87 %
2025/12/06 15:55:40.349, 159.46 W, 87 %
2025/12/06 15:55:40.449, 158.86 W, 87 %
2025/12/06 15:55:40.549, 158.59 W, 87 %
2025/12/06 15:55:40.649, 158.86 W, 87 %
2025/12/06 15:55:40.749, 161.95 W, 87 %
2025/12/06 15:55:40.849, 161.46 W, 87 %
2025/12/06 15:55:40.949, 161.95 W, 87 %
2025/12/06 15:55:41.049, 157.88 W, 87 %
2025/12/06 15:55:41.150, 158.26 W, 87 %
2025/12/06 15:55:41.250, 160.76 W, 87 %
2025/12/06 15:55:41.350, 160.76 W, 87 %
2025/12/06 15:55:41.450, 161.09 W, 87 %
2025/12/06 15:55:41.550, 159.73 W, 87 %
2025/12/06 15:55:41.650, 158.59 W, 87 %
2025/12/06 15:55:41.750, 161.46 W, 87 %
2025/12/06 15:55:41.850, 160.32 W, 87 %
2025/12/06 15:55:41.950, 159.13 W, 87 %
2025/12/06 15:55:42.050, 162.92 W, 87 %
2025/12/06 15:55:42.151, 159.46 W, 87 %
2025/12/06 15:55:42.251, 158.16 W, 87 %
2025/12/06 15:55:42.351, 160.05 W, 87 %
2025/12/06 15:55:42.451, 157.99 W, 87 %
2025/12/06 15:55:42.551, 161.78 W, 87 %
2025/12/06 15:55:42.651, 161.19 W, 87 %
2025/12/06 15:55:42.751, 159.73 W, 87 %
2025/12/06 15:55:42.851, 155.93 W, 87 %
2025/12/06 15:55:42.952, 160.22 W, 87 %
2025/12/06 15:55:43.052, 161.09 W, 87 %
2025/12/06 15:55:43.152, 159.29 W, 87 %
2025/12/06 15:55:43.252, 159.29 W, 87 %
2025/12/06 15:55:43.352, 159.62 W, 86 %
2025/12/06 15:55:43.452, 158.43 W, 86 %
2025/12/06 15:55:43.552, 157.29 W, 86 %
2025/12/06 15:55:43.652, 160.60 W, 86 %
2025/12/06 15:55:43.752, 161.95 W, 87 %
2025/12/06 15:55:43.852, 159.73 W, 87 %
2025/12/06 15:55:43.953, 160.92 W, 87 %
2025/12/06 15:55:44.053, 158.86 W, 87 %
2025/12/06 15:55:44.153, 155.66 W, 87 %
2025/12/06 15:55:44.253, 159.73 W, 87 %
