timestamp, power.draw [W], utilization.gpu [%]
2025/12/06 16:00:43.888, 93.39 W, 32 %
2025/12/06 16:00:43.990, 87.79 W, 32 %
2025/12/06 16:00:44.090, 86.65 W, 0 %
2025/12/06 16:00:44.190, 88.39 W, 0 %
2025/12/06 16:00:44.290, 84.92 W, 8 %
2025/12/06 16:00:44.390, 150.13 W, 8 %
2025/12/06 16:00:44.490, 154.20 W, 40 %
2025/12/06 16:00:44.590, 158.26 W, 40 %
2025/12/06 16:00:44.691, 154.79 W, 88 %
2025/12/06 16:00:44.791, 157.88 W, 88 %
2025/12/06 16:00:44.891, 161.36 W, 88 %
2025/12/06 16:00:44.991, 159.02 W, 88 %
2025/12/06 16:00:45.091, 160.76 W, 87 %
2025/12/06 16:00:45.191, 145.02 W, 87 %
2025/12/06 16:00:45.292, 156.69 W, 85 %
2025/12/06 16:00:45.392, 160.49 W, 85 %
2025/12/06 16:00:45.492, 158.75 W, 88 %
2025/12/06 16:00:45.592, 159.62 W, 88 %
2025/12/06 16:00:45.692, 157.88 W, 88 %
2025/12/06 16:00:45.792, 161.46 W, 88 %
2025/12/06 16:00:45.892, 156.80 W, 88 %
2025/12/06 16:00:45.993, 161.46 W, 88 %
2025/12/06 16:00:46.093, 157.39 W, 87 %
2025/12/06 16:00:46.193, 155.39 W, 87 %
2025/12/06 16:00:46.293, 158.26 W, 88 %
2025/12/06 16:00:46.393, 160.92 W, 88 %
2025/12/06 16:00:46.493, 158.86 W, 88 %
2025/12/06 16:00:46.594, 157.88 W, 88 %
2025/12/06 16:00:46.694, 157.88 W, 88 %
2025/12/06 16:00:46.794, 157.56 W, 88 %
2025/12/06 16:00:46.894, 155.55 W, 87 %
2025/12/06 16:00:46.994, 157.56 W, 87 %
2025/12/06 16:00:47.094, 157.88 W, 88 %
2025/12/06 16:00:47.195, 154.79 W, 88 %
2025/12/06 16:00:47.295, 154.79 W, 88 %
2025/12/06 16:00:47.395, 154.46 W, 88 %
2025/12/06 16:00:47.495, 160.22 W, 88 %
2025/12/06 16:00:47.595, 160.05 W, 88 %
2025/12/06 16:00:47.695, 154.46 W, 87 %
2025/12/06 16:00:47.796, 159.46 W, 87 %
2025/12/06 16:00:47.896, 157.29 W, 88 %
2025/12/06 16:00:47.996, 159.46 W, 88 %
2025/12/06 16:00:48.096, 158.26 W, 88 %
2025/12/06 16:00:48.196, 157.88 W, 88 %
2025/12/06 16:00:48.296, 159.02 W, 88 %
2025/12/06 16:00:48.396, 154.95 W, 88 %
2025/12/06 16:00:48.497, 157.72 W, 87 %
2025/12/06 16:00:48.597, 156.96 W, 87 %
2025/12/06 16:00:48.697, 156.96 W, 88 %
2025/12/06 16:00:48.797, 160.49 W, 88 %
2025/12/06 16:00:48.897, 157.56 W, 88 %
2025/12/06 16:00:48.997, 160.22 W, 88 %
2025/12/06 16:00:49.098, 159.73 W, 88 %
2025/12/06 16:00:49.198, 159.46 W, 88 %
2025/12/06 16:00:49.298, 157.99 W, 88 %
2025/12/06 16:00:49.398, 155.66 W, 88 %
2025/12/06 16:00:49.498, 160.05 W, 87 %
2025/12/06 16:00:49.598, 154.79 W, 87 %
2025/12/06 16:00:49.699, 159.89 W, 88 %
2025/12/06 16:00:49.799, 157.88 W, 88 %
2025/12/06 16:00:49.899, 153.05 W, 88 %
2025/12/06 16:00:49.999, 156.96 W, 88 %
2025/12/06 16:00:50.099, 156.41 W, 88 %
2025/12/06 16:00:50.199, 156.69 W, 88 %
2025/12/06 16:00:50.300, 157.88 W, 87 %
2025/12/06 16:00:50.400, 161.36 W, 87 %
2025/12/06 16:00:50.500, 158.75 W, 88 %
2025/12/06 16:00:50.600, 156.69 W, 88 %
2025/12/06 16:00:50.700, 163.09 W, 88 %
2025/12/06 16:00:50.800, 161.36 W, 88 %
2025/12/06 16:00:50.900, 159.02 W, 88 %
2025/12/06 16:00:51.001, 157.99 W, 88 %
2025/12/06 16:00:51.101, 160.05 W, 87 %
2025/12/06 16:00:51.201, 156.09 W, 87 %
2025/12/06 16:00:51.301, 160.05 W, 88 %
2025/12/06 16:00:51.401, 159.46 W, 88 %
2025/12/06 16:00:51.501, 159.13 W, 88 %
2025/12/06 16:00:51.602, 162.55 W, 88 %
2025/12/06 16:00:51.702, 155.66 W, 88 %
2025/12/06 16:00:51.802, 156.25 W, 88 %
2025/12/06 16:00:51.902, 157.88 W, 87 %
2025/12/06 16:00:52.002, 162.23 W, 87 %
2025/12/06 16:00:52.102, 157.39 W, 88 %
2025/12/06 16:00:52.203, 157.12 W, 88 %
2025/12/06 16:00:52.303, 158.59 W, 88 %
2025/12/06 16:00:52.403, 158.16 W, 88 %
2025/12/06 16:00:52.503, 155.06 W, 88 %
2025/12/06 16:00:52.603, 159.13 W, 88 %
2025/12/06 16:00:52.703, 159.02 W, 87 %
2025/12/06 16:00:52.804, 159.02 W, 87 %
2025/12/06 16:00:52.904, 157.29 W, 87 %
2025/12/06 16:00:53.004, 156.09 W, 87 %
2025/12/06 16:00:53.104, 157.99 W, 88 %
2025/12/06 16:00:53.204, 159.89 W, 88 %
2025/12/06 16:00:53.304, 160.22 W, 88 %
2025/12/06 16:00:53.404, 160.22 W, 88 %
2025/12/06 16:00:53.505, 157.56 W, 87 %
2025/12/06 16:00:53.605, 157.29 W, 87 %
2025/12/06 16:00:53.705, 157.88 W, 88 %
2025/12/06 16:00:53.805, 158.16 W, 88 %
2025/12/06 16:00:53.905, 156.96 W, 88 %
2025/12/06 16:00:54.005, 161.36 W, 88 %
2025/12/06 16:00:54.106, 159.62 W, 88 %
2025/12/06 16:00:54.206, 155.93 W, 88 %
2025/12/06 16:00:54.306, 156.09 W, 87 %
2025/12/06 16:00:54.406, 159.89 W, 87 %
2025/12/06 16:00:54.506, 160.49 W, 88 %
2025/12/06 16:00:54.606, 157.39 W, 88 %
2025/12/06 16:00:54.707, 156.53 W, 88 %
2025/12/06 16:00:54.807, 162.92 W, 88 %
2025/12/06 16:00:54.907, 156.25 W, 88 %
2025/12/06 16:00:55.007, 156.09 W, 88 %
2025/12/06 16:00:55.107, 157.12 W, 88 %
2025/12/06 16:00:55.207, 156.25 W, 88 %
2025/12/06 16:00:55.308, 157.72 W, 88 %
2025/12/06 16:00:55.408, 159.73 W, 88 %
2025/12/06 16:00:55.508, 154.36 W, 88 %
2025/12/06 16:00:55.608, 159.29 W, 88 %
2025/12/06 16:00:55.708, 158.43 W, 88 %
2025/12/06 16:00:55.808, 161.95 W, 88 %
2025/12/06 16:00:55.909, 155.82 W, 87 %
2025/12/06 16:00:56.009, 157.12 W, 87 %
2025/12/06 16:00:56.109, 159.29 W, 88 %
2025/12/06 16:00:56.209, 155.82 W, 88 %
2025/12/06 16:00:56.309, 159.13 W, 87 %
2025/12/06 16:00:56.409, 161.36 W, 87 %
2025/12/06 16:00:56.510, 154.20 W, 88 %
2025/12/06 16:00:56.610, 160.92 W, 88 %
2025/12/06 16:00:56.710, 158.59 W, 87 %
2025/12/06 16:00:56.810, 157.88 W, 87 %
2025/12/06 16:00:56.910, 159.29 W, 88 %
2025/12/06 16:00:57.010, 157.88 W, 88 %
2025/12/06 16:00:57.110, 158.43 W, 88 %
2025/12/06 16:00:57.211, 163.09 W, 88 %
2025/12/06 16:00:57.311, 159.89 W, 88 %
2025/12/06 16:00:57.411, 159.02 W, 88 %
2025/12/06 16:00:57.511, 157.29 W, 87 %
2025/12/06 16:00:57.611, 158.43 W, 87 %
