timestamp, power.draw [W], utilization.gpu [%]
2025/12/06 16:06:10.650, 88.99 W, 72 %
2025/12/06 16:06:10.752, 85.78 W, 72 %
2025/12/06 16:06:10.852, 85.46 W, 7 %
2025/12/06 16:06:10.952, 87.52 W, 7 %
2025/12/06 16:06:11.052, 85.19 W, 3 %
2025/12/06 16:06:11.152, 84.92 W, 3 %
2025/12/06 16:06:11.252, 84.92 W, 6 %
2025/12/06 16:06:11.352, 84.92 W, 6 %
2025/12/06 16:06:11.453, 84.92 W, 0 %
2025/12/06 16:06:11.553, 84.58 W, 0 %
2025/12/06 16:06:11.653, 84.58 W, 0 %
2025/12/06 16:06:11.753, 84.58 W, 0 %
2025/12/06 16:06:11.853, 84.58 W, 0 %
2025/12/06 16:06:11.953, 84.58 W, 0 %
2025/12/06 16:06:12.053, 84.58 W, 0 %
2025/12/06 16:06:12.153, 84.58 W, 0 %
2025/12/06 16:06:12.254, 84.58 W, 0 %
2025/12/06 16:06:12.354, 84.58 W, 0 %
2025/12/06 16:06:12.454, 84.32 W, 0 %
2025/12/06 16:06:12.554, 84.58 W, 0 %
2025/12/06 16:06:12.655, 84.58 W, 0 %
2025/12/06 16:06:12.755, 84.32 W, 0 %
2025/12/06 16:06:12.855, 84.58 W, 0 %
2025/12/06 16:06:12.955, 84.32 W, 0 %
2025/12/06 16:06:13.055, 84.32 W, 0 %
2025/12/06 16:06:13.155, 84.32 W, 0 %
2025/12/06 16:06:13.255, 84.32 W, 0 %
2025/12/06 16:06:13.355, 84.32 W, 0 %
2025/12/06 16:06:13.455, 84.32 W, 0 %
2025/12/06 16:06:13.556, 84.32 W, 0 %
2025/12/06 16:06:13.656, 84.32 W, 0 %
2025/12/06 16:06:13.756, 84.32 W, 0 %
2025/12/06 16:06:13.856, 84.32 W, 0 %
2025/12/06 16:06:13.956, 84.32 W, 0 %
2025/12/06 16:06:14.056, 84.32 W, 0 %
2025/12/06 16:06:14.156, 84.32 W, 0 %
2025/12/06 16:06:14.256, 84.32 W, 0 %
2025/12/06 16:06:14.356, 84.32 W, 0 %
2025/12/06 16:06:14.456, 84.32 W, 0 %
2025/12/06 16:06:14.557, 84.04 W, 0 %
2025/12/06 16:06:14.657, 84.58 W, 0 %
2025/12/06 16:06:14.757, 94.53 W, 0 %
2025/12/06 16:06:14.857, 85.19 W, 11 %
2025/12/06 16:06:14.957, 84.32 W, 11 %
2025/12/06 16:06:15.058, 84.04 W, 9 %
2025/12/06 16:06:15.158, 84.04 W, 9 %
2025/12/06 16:06:15.258, 84.04 W, 0 %
2025/12/06 16:06:15.358, 84.32 W, 0 %
2025/12/06 16:06:15.458, 84.04 W, 1 %
2025/12/06 16:06:15.558, 84.04 W, 1 %
2025/12/06 16:06:15.658, 84.04 W, 0 %
2025/12/06 16:06:15.758, 84.04 W, 0 %
2025/12/06 16:06:15.858, 84.04 W, 0 %
2025/12/06 16:06:15.959, 84.04 W, 0 %
2025/12/06 16:06:16.059, 84.04 W, 0 %
2025/12/06 16:06:16.159, 84.04 W, 0 %
2025/12/06 16:06:16.259, 84.04 W, 0 %
2025/12/06 16:06:16.359, 84.04 W, 0 %
2025/12/06 16:06:16.459, 84.04 W, 0 %
2025/12/06 16:06:16.559, 84.04 W, 0 %
2025/12/06 16:06:16.659, 84.32 W, 0 %
2025/12/06 16:06:16.759, 84.04 W, 0 %
2025/12/06 16:06:16.860, 84.32 W, 0 %
2025/12/06 16:06:16.960, 88.71 W, 0 %
2025/12/06 16:06:17.060, 221.56 W, 5 %
2025/12/06 16:06:17.160, 221.56 W, 5 %
2025/12/06 16:06:17.260, 304.60 W, 67 %
2025/12/06 16:06:17.360, 304.60 W, 67 %
2025/12/06 16:06:17.460, 305.79 W, 99 %
2025/12/06 16:06:17.560, 301.12 W, 99 %
2025/12/06 16:06:17.661, 301.99 W, 99 %
2025/12/06 16:06:17.761, 270.20 W, 99 %
2025/12/06 16:06:17.861, 307.25 W, 79 %
2025/12/06 16:06:17.961, 307.25 W, 79 %
2025/12/06 16:06:18.061, 304.33 W, 99 %
2025/12/06 16:06:18.161, 305.79 W, 99 %
2025/12/06 16:06:18.261, 313.92 W, 99 %
2025/12/06 16:06:18.361, 308.66 W, 99 %
2025/12/06 16:06:18.462, 304.60 W, 99 %
2025/12/06 16:06:18.562, 310.13 W, 99 %
2025/12/06 16:06:18.662, 306.06 W, 84 %
2025/12/06 16:06:18.762, 306.98 W, 84 %
2025/12/06 16:06:18.862, 301.45 W, 99 %
2025/12/06 16:06:18.962, 306.38 W, 99 %
2025/12/06 16:06:19.062, 311.64 W, 99 %
2025/12/06 16:06:19.163, 302.55 W, 99 %
2025/12/06 16:06:19.263, 302.55 W, 84 %
2025/12/06 16:06:19.363, 316.52 W, 84 %
2025/12/06 16:06:19.463, 311.05 W, 99 %
2025/12/06 16:06:19.563, 306.65 W, 99 %
2025/12/06 16:06:19.663, 306.65 W, 99 %
2025/12/06 16:06:19.763, 301.68 W, 99 %
2025/12/06 16:06:19.863, 166.02 W, 92 %
2025/12/06 16:06:19.963, 313.65 W, 92 %
2025/12/06 16:06:20.064, 307.52 W, 91 %
2025/12/06 16:06:20.164, 309.26 W, 91 %
2025/12/06 16:06:20.264, 302.58 W, 99 %
2025/12/06 16:06:20.364, 307.20 W, 99 %
2025/12/06 16:06:20.465, 302.87 W, 99 %
2025/12/06 16:06:20.565, 146.48 W, 99 %
2025/12/06 16:06:20.665, 304.92 W, 84 %
2025/12/06 16:06:20.765, 309.58 W, 84 %
2025/12/06 16:06:20.865, 315.65 W, 99 %
2025/12/06 16:06:20.965, 309.58 W, 99 %
2025/12/06 16:06:21.065, 308.99 W, 99 %
2025/12/06 16:06:21.165, 300.54 W, 99 %
2025/12/06 16:06:21.266, 245.15 W, 85 %
2025/12/06 16:06:21.366, 315.38 W, 85 %
2025/12/06 16:06:21.466, 308.66 W, 99 %
2025/12/06 16:06:21.566, 309.53 W, 99 %
2025/12/06 16:06:21.666, 302.58 W, 99 %
2025/12/06 16:06:21.766, 307.52 W, 99 %
2025/12/06 16:06:21.866, 318.58 W, 99 %
2025/12/06 16:06:21.966, 283.06 W, 99 %
2025/12/06 16:06:22.066, 308.98 W, 82 %
2025/12/06 16:06:22.167, 316.58 W, 82 %
2025/12/06 16:06:22.267, 307.52 W, 99 %
2025/12/06 16:06:22.367, 310.45 W, 99 %
2025/12/06 16:06:22.467, 303.18 W, 99 %
2025/12/06 16:06:22.567, 308.66 W, 99 %
2025/12/06 16:06:22.667, 295.28 W, 84 %
2025/12/06 16:06:22.767, 306.33 W, 84 %
2025/12/06 16:06:22.867, 315.98 W, 99 %
2025/12/06 16:06:22.967, 310.45 W, 99 %
2025/12/06 16:06:23.068, 313.05 W, 99 %
2025/12/06 16:06:23.168, 308.98 W, 99 %
2025/12/06 16:06:23.268, 273.14 W, 97 %
2025/12/06 16:06:23.368, 308.39 W, 97 %
2025/12/06 16:06:23.468, 302.55 W, 86 %
2025/12/06 16:06:23.568, 306.38 W, 86 %
2025/12/06 16:06:23.668, 318.31 W, 99 %
2025/12/06 16:06:23.768, 314.79 W, 99 %
2025/12/06 16:06:23.868, 310.73 W, 99 %
2025/12/06 16:06:23.969, 148.22 W, 99 %
2025/12/06 16:06:24.069, 90.45 W, 52 %
2025/12/06 16:06:24.169, 313.11 W, 52 %
2025/12/06 16:06:24.269, 311.91 W, 97 %
2025/12/06 16:06:24.369, 313.38 W, 97 %
2025/12/06 16:06:24.469, 306.66 W, 99 %
2025/12/06 16:06:24.569, 305.79 W, 99 %
2025/12/06 16:06:24.669, 314.25 W, 99 %
2025/12/06 16:06:24.770, 242.54 W, 99 %
2025/12/06 16:06:24.870, 308.98 W, 84 %
2025/12/06 16:06:24.970, 306.06 W, 84 %
2025/12/06 16:06:25.070, 313.65 W, 99 %
2025/12/06 16:06:25.170, 314.51 W, 99 %
2025/12/06 16:06:25.270, 311.32 W, 99 %
2025/12/06 16:06:25.370, 310.45 W, 99 %
2025/12/06 16:06:25.470, 285.99 W, 84 %
2025/12/06 16:06:25.570, 318.91 W, 84 %
2025/12/06 16:06:25.671, 312.51 W, 99 %
2025/12/06 16:06:25.771, 310.77 W, 99 %
2025/12/06 16:06:25.871, 305.52 W, 99 %
2025/12/06 16:06:25.971, 307.84 W, 99 %
2025/12/06 16:06:26.071, 317.98 W, 99 %
2025/12/06 16:06:26.171, 298.80 W, 99 %
2025/12/06 16:06:26.271, 315.44 W, 84 %
2025/12/06 16:06:26.371, 317.45 W, 84 %
2025/12/06 16:06:26.472, 311.32 W, 99 %
2025/12/06 16:06:26.572, 308.99 W, 99 %
2025/12/06 16:06:26.672, 303.46 W, 99 %
2025/12/06 16:06:26.772, 294.12 W, 99 %
2025/12/06 16:06:26.872, 302.27 W, 84 %
2025/12/06 16:06:26.972, 306.66 W, 84 %
2025/12/06 16:06:27.072, 318.64 W, 99 %
2025/12/06 16:06:27.172, 313.05 W, 99 %
2025/12/06 16:06:27.272, 315.65 W, 99 %
2025/12/06 16:06:27.373, 304.32 W, 99 %
2025/12/06 16:06:27.473, 160.76 W, 93 %
2025/12/06 16:06:27.573, 316.52 W, 93 %
2025/12/06 16:06:27.673, 309.31 W, 91 %
2025/12/06 16:06:27.773, 311.91 W, 91 %
