timestamp, power.draw [W], utilization.gpu [%]
2025/12/06 16:10:53.664, 98.60 W, 17 %
2025/12/06 16:10:53.766, 92.19 W, 17 %
2025/12/06 16:10:53.866, 97.46 W, 38 %
2025/12/06 16:10:53.966, 97.46 W, 38 %
2025/12/06 16:10:54.066, 91.05 W, 0 %
2025/12/06 16:10:54.166, 90.72 W, 0 %
2025/12/06 16:10:54.266, 90.72 W, 8 %
2025/12/06 16:10:54.367, 90.72 W, 8 %
2025/12/06 16:10:54.467, 90.45 W, 0 %
2025/12/06 16:10:54.567, 90.12 W, 0 %
2025/12/06 16:10:54.667, 90.12 W, 0 %
2025/12/06 16:10:54.767, 90.12 W, 0 %
2025/12/06 16:10:54.867, 90.12 W, 0 %
2025/12/06 16:10:54.968, 89.85 W, 0 %
2025/12/06 16:10:55.068, 89.85 W, 0 %
2025/12/06 16:10:55.168, 89.85 W, 0 %
2025/12/06 16:10:55.268, 89.85 W, 0 %
2025/12/06 16:10:55.368, 89.58 W, 0 %
2025/12/06 16:10:55.468, 89.85 W, 0 %
2025/12/06 16:10:55.569, 89.58 W, 0 %
2025/12/06 16:10:55.669, 89.58 W, 0 %
2025/12/06 16:10:55.769, 89.58 W, 0 %
2025/12/06 16:10:55.869, 89.26 W, 0 %
2025/12/06 16:10:55.969, 89.58 W, 0 %
2025/12/06 16:10:56.069, 88.39 W, 0 %
2025/12/06 16:10:56.170, 88.71 W, 0 %
2025/12/06 16:10:56.270, 88.39 W, 0 %
2025/12/06 16:10:56.370, 88.39 W, 0 %
2025/12/06 16:10:56.470, 88.39 W, 0 %
2025/12/06 16:10:56.570, 88.71 W, 0 %
2025/12/06 16:10:56.670, 88.39 W, 0 %
2025/12/06 16:10:56.770, 88.39 W, 0 %
2025/12/06 16:10:56.871, 88.39 W, 0 %
2025/12/06 16:10:56.971, 88.12 W, 0 %
2025/12/06 16:10:57.071, 88.12 W, 0 %
2025/12/06 16:10:57.171, 88.12 W, 0 %
2025/12/06 16:10:57.271, 88.12 W, 0 %
2025/12/06 16:10:57.371, 88.12 W, 0 %
2025/12/06 16:10:57.472, 88.12 W, 0 %
2025/12/06 16:10:57.572, 88.12 W, 0 %
2025/12/06 16:10:57.672, 88.12 W, 0 %
2025/12/06 16:10:57.772, 87.79 W, 0 %
2025/12/06 16:10:57.872, 88.39 W, 0 %
2025/12/06 16:10:57.972, 88.39 W, 0 %
2025/12/06 16:10:58.073, 88.99 W, 5 %
2025/12/06 16:10:58.173, 87.79 W, 5 %
2025/12/06 16:10:58.273, 87.79 W, 14 %
2025/12/06 16:10:58.373, 87.79 W, 14 %
2025/12/06 16:10:58.473, 87.79 W, 0 %
2025/12/06 16:10:58.573, 87.52 W, 0 %
2025/12/06 16:10:58.673, 87.52 W, 1 %
2025/12/06 16:10:58.774, 87.52 W, 1 %
2025/12/06 16:10:58.874, 87.52 W, 0 %
2025/12/06 16:10:58.974, 87.52 W, 0 %
2025/12/06 16:10:59.074, 87.52 W, 0 %
2025/12/06 16:10:59.174, 87.52 W, 0 %
2025/12/06 16:10:59.274, 87.52 W, 0 %
2025/12/06 16:10:59.375, 87.52 W, 0 %
2025/12/06 16:10:59.475, 87.52 W, 0 %
2025/12/06 16:10:59.575, 87.52 W, 0 %
2025/12/06 16:10:59.675, 87.52 W, 0 %
2025/12/06 16:10:59.775, 87.25 W, 0 %
2025/12/06 16:10:59.875, 87.25 W, 0 %
2025/12/06 16:10:59.976, 87.25 W, 0 %
2025/12/06 16:11:00.076, 87.25 W, 0 %
2025/12/06 16:11:00.176, 98.92 W, 0 %
2025/12/06 16:11:00.276, 126.07 W, 1 %
2025/12/06 16:11:00.376, 302.55 W, 1 %
2025/12/06 16:11:00.476, 311.32 W, 44 %
2025/12/06 16:11:00.576, 306.93 W, 44 %
2025/12/06 16:11:00.677, 312.46 W, 99 %
2025/12/06 16:11:00.777, 314.51 W, 99 %
2025/12/06 16:11:00.877, 313.33 W, 99 %
2025/12/06 16:11:00.977, 308.39 W, 99 %
2025/12/06 16:11:01.077, 310.18 W, 99 %
2025/12/06 16:11:01.177, 311.86 W, 99 %
2025/12/06 16:11:01.278, 319.77 W, 99 %
2025/12/06 16:11:01.378, 320.32 W, 99 %
2025/12/06 16:11:01.478, 312.78 W, 99 %
2025/12/06 16:11:01.578, 318.58 W, 99 %
2025/12/06 16:11:01.678, 312.46 W, 99 %
2025/12/06 16:11:01.778, 307.79 W, 99 %
2025/12/06 16:11:01.879, 311.59 W, 99 %
2025/12/06 16:11:01.979, 315.11 W, 99 %
2025/12/06 16:11:02.079, 320.91 W, 99 %
2025/12/06 16:11:02.179, 316.52 W, 99 %
2025/12/06 16:11:02.279, 313.05 W, 99 %
2025/12/06 16:11:02.379, 315.98 W, 99 %
2025/12/06 16:11:02.479, 310.45 W, 99 %
2025/12/06 16:11:02.580, 320.05 W, 99 %
2025/12/06 16:11:02.680, 311.32 W, 99 %
2025/12/06 16:11:02.780, 315.11 W, 99 %
2025/12/06 16:11:02.880, 322.10 W, 99 %
2025/12/06 16:11:02.980, 322.10 W, 99 %
2025/12/06 16:11:03.080, 316.58 W, 99 %
2025/12/06 16:11:03.181, 315.38 W, 99 %
2025/12/06 16:11:03.281, 315.38 W, 99 %
2025/12/06 16:11:03.381, 312.46 W, 99 %
2025/12/06 16:11:03.481, 317.71 W, 99 %
2025/12/06 16:11:03.581, 321.18 W, 99 %
2025/12/06 16:11:03.681, 324.43 W, 99 %
2025/12/06 16:11:03.782, 320.64 W, 99 %
2025/12/06 16:11:03.882, 322.97 W, 99 %
2025/12/06 16:11:03.982, 318.58 W, 99 %
2025/12/06 16:11:04.082, 312.19 W, 99 %
2025/12/06 16:11:04.182, 316.84 W, 99 %
2025/12/06 16:11:04.282, 321.18 W, 99 %
2025/12/06 16:11:04.383, 327.30 W, 99 %
2025/12/06 16:11:04.483, 322.64 W, 99 %
2025/12/06 16:11:04.583, 320.32 W, 99 %
2025/12/06 16:11:04.683, 321.18 W, 99 %
2025/12/06 16:11:04.783, 315.38 W, 99 %
2025/12/06 16:11:04.883, 316.52 W, 99 %
2025/12/06 16:11:04.983, 318.04 W, 99 %
2025/12/06 16:11:05.084, 329.36 W, 99 %
2025/12/06 16:11:05.184, 324.11 W, 99 %
2025/12/06 16:11:05.284, 320.32 W, 99 %
2025/12/06 16:11:05.384, 322.97 W, 99 %
2025/12/06 16:11:05.484, 316.25 W, 99 %
2025/12/06 16:11:05.584, 314.79 W, 99 %
2025/12/06 16:11:05.685, 317.98 W, 99 %
2025/12/06 16:11:05.785, 327.30 W, 99 %
2025/12/06 16:11:05.885, 324.70 W, 99 %
2025/12/06 16:11:05.985, 322.97 W, 99 %
2025/12/06 16:11:06.085, 322.10 W, 99 %
2025/12/06 16:11:06.185, 319.18 W, 99 %
