timestamp, power.draw [W], utilization.gpu [%]
2025/12/06 15:51:58.972, 93.92 W, 38 %
2025/12/06 15:51:59.074, 91.60 W, 7 %
2025/12/06 15:51:59.174, 91.60 W, 7 %
2025/12/06 15:51:59.274, 93.92 W, 0 %
2025/12/06 15:51:59.374, 90.72 W, 0 %
2025/12/06 15:51:59.474, 90.12 W, 8 %
2025/12/06 15:51:59.575, 90.12 W, 8 %
2025/12/06 15:51:59.675, 90.12 W, 0 %
2025/12/06 15:51:59.775, 89.85 W, 0 %
2025/12/06 15:51:59.875, 89.85 W, 0 %
2025/12/06 15:51:59.975, 89.58 W, 0 %
2025/12/06 15:52:00.075, 90.12 W, 0 %
2025/12/06 15:52:00.175, 89.58 W, 0 %
2025/12/06 15:52:00.275, 89.58 W, 0 %
2025/12/06 15:52:00.375, 89.58 W, 0 %
2025/12/06 15:52:00.476, 89.26 W, 0 %
2025/12/06 15:52:00.576, 89.26 W, 0 %
2025/12/06 15:52:00.676, 90.45 W, 0 %
2025/12/06 15:52:00.776, 90.72 W, 0 %
2025/12/06 15:52:00.876, 89.26 W, 10 %
2025/12/06 15:52:00.976, 89.26 W, 10 %
2025/12/06 15:52:01.077, 89.26 W, 1 %
2025/12/06 15:52:01.177, 89.26 W, 1 %
2025/12/06 15:52:01.277, 89.58 W, 0 %
2025/12/06 15:52:01.377, 89.58 W, 0 %
2025/12/06 15:52:01.477, 89.26 W, 0 %
2025/12/06 15:52:01.577, 89.26 W, 0 %
2025/12/06 15:52:01.677, 89.26 W, 0 %
2025/12/06 15:52:01.777, 89.85 W, 0 %
2025/12/06 15:52:01.878, 292.09 W, 46 %
2025/12/06 15:52:01.978, 296.74 W, 46 %
2025/12/06 15:52:02.078, 298.48 W, 98 %
2025/12/06 15:52:02.178, 295.55 W, 98 %
2025/12/06 15:52:02.278, 299.07 W, 98 %
2025/12/06 15:52:02.378, 291.20 W, 98 %
2025/12/06 15:52:02.478, 300.54 W, 97 %
2025/12/06 15:52:02.578, 297.88 W, 97 %
2025/12/06 15:52:02.678, 300.54 W, 98 %
2025/12/06 15:52:02.779, 302.87 W, 98 %
2025/12/06 15:52:02.879, 305.47 W, 98 %
2025/12/06 15:52:02.979, 301.41 W, 98 %
2025/12/06 15:52:03.079, 302.27 W, 98 %
2025/12/06 15:52:03.179, 301.68 W, 98 %
2025/12/06 15:52:03.279, 302.27 W, 98 %
2025/12/06 15:52:03.379, 299.34 W, 98 %
