timestamp, power.draw [W], utilization.gpu [%]
2025/12/06 16:20:12.888, 93.65 W, 79 %
2025/12/06 16:20:12.992, 93.65 W, 11 %
2025/12/06 16:20:13.092, 93.39 W, 11 %
2025/12/06 16:20:13.192, 93.39 W, 0 %
2025/12/06 16:20:13.293, 87.25 W, 0 %
2025/12/06 16:20:13.393, 86.65 W, 8 %
2025/12/06 16:20:13.493, 86.65 W, 8 %
2025/12/06 16:20:13.593, 88.71 W, 4 %
2025/12/06 16:20:13.693, 221.23 W, 4 %
2025/12/06 16:20:13.793, 223.56 W, 68 %
2025/12/06 16:20:13.893, 225.63 W, 68 %
2025/12/06 16:20:13.994, 225.90 W, 92 %
2025/12/06 16:20:14.094, 230.29 W, 92 %
2025/12/06 16:20:14.194, 229.70 W, 91 %
2025/12/06 16:20:14.294, 228.82 W, 91 %
2025/12/06 16:20:14.394, 227.36 W, 91 %
2025/12/06 16:20:14.494, 232.02 W, 91 %
2025/12/06 16:20:14.595, 226.49 W, 92 %
2025/12/06 16:20:14.695, 230.29 W, 92 %
2025/12/06 16:20:14.795, 226.22 W, 92 %
2025/12/06 16:20:14.895, 228.55 W, 92 %
2025/12/06 16:20:14.995, 229.70 W, 92 %
2025/12/06 16:20:15.095, 230.02 W, 92 %
2025/12/06 16:20:15.196, 227.09 W, 91 %
2025/12/06 16:20:15.296, 226.49 W, 91 %
2025/12/06 16:20:15.396, 93.39 W, 81 %
2025/12/06 16:20:15.496, 225.35 W, 81 %
2025/12/06 16:20:15.596, 226.49 W, 67 %
2025/12/06 16:20:15.696, 225.03 W, 67 %
2025/12/06 16:20:15.796, 218.90 W, 92 %
2025/12/06 16:20:15.897, 226.49 W, 92 %
2025/12/06 16:20:15.997, 230.56 W, 91 %
2025/12/06 16:20:16.097, 227.68 W, 91 %
2025/12/06 16:20:16.197, 229.70 W, 92 %
2025/12/06 16:20:16.297, 225.90 W, 92 %
2025/12/06 16:20:16.397, 227.09 W, 92 %
2025/12/06 16:20:16.498, 225.90 W, 92 %
2025/12/06 16:20:16.598, 229.15 W, 91 %
2025/12/06 16:20:16.698, 229.15 W, 91 %
2025/12/06 16:20:16.798, 228.82 W, 92 %
2025/12/06 16:20:16.898, 227.95 W, 92 %
2025/12/06 16:20:16.998, 227.36 W, 92 %
2025/12/06 16:20:17.099, 226.81 W, 92 %
2025/12/06 16:20:17.199, 232.02 W, 89 %
2025/12/06 16:20:17.299, 227.68 W, 89 %
2025/12/06 16:20:17.399, 229.42 W, 92 %
2025/12/06 16:20:17.499, 230.56 W, 92 %
2025/12/06 16:20:17.599, 232.89 W, 92 %
2025/12/06 16:20:17.699, 232.35 W, 92 %
2025/12/06 16:20:17.800, 229.42 W, 92 %
2025/12/06 16:20:17.900, 231.75 W, 92 %
2025/12/06 16:20:18.000, 226.49 W, 90 %
2025/12/06 16:20:18.100, 230.02 W, 90 %
2025/12/06 16:20:18.200, 230.02 W, 92 %
2025/12/06 16:20:18.300, 231.16 W, 92 %
2025/12/06 16:20:18.401, 234.36 W, 92 %
2025/12/06 16:20:18.501, 230.56 W, 92 %
2025/12/06 16:20:18.601, 235.23 W, 91 %
2025/12/06 16:20:18.701, 235.82 W, 91 %
2025/12/06 16:20:18.801, 231.75 W, 92 %
2025/12/06 16:20:18.901, 211.04 W, 92 %
2025/12/06 16:20:19.002, 232.02 W, 90 %
2025/12/06 16:20:19.102, 230.88 W, 90 %
2025/12/06 16:20:19.202, 231.75 W, 92 %
2025/12/06 16:20:19.302, 230.88 W, 92 %
2025/12/06 16:20:19.402, 232.89 W, 91 %
2025/12/06 16:20:19.502, 232.62 W, 91 %
2025/12/06 16:20:19.603, 229.15 W, 92 %
2025/12/06 16:20:19.703, 230.88 W, 92 %
2025/12/06 16:20:19.803, 232.02 W, 92 %
2025/12/06 16:20:19.903, 229.70 W, 92 %
2025/12/06 16:20:20.003, 232.89 W, 90 %
2025/12/06 16:20:20.103, 232.62 W, 90 %
2025/12/06 16:20:20.203, 231.48 W, 92 %
2025/12/06 16:20:20.304, 232.89 W, 92 %
2025/12/06 16:20:20.404, 234.36 W, 92 %
2025/12/06 16:20:20.504, 232.02 W, 92 %
2025/12/06 16:20:20.604, 232.62 W, 92 %
2025/12/06 16:20:20.704, 230.02 W, 92 %
2025/12/06 16:20:20.804, 234.09 W, 89 %
2025/12/06 16:20:20.905, 230.88 W, 89 %
2025/12/06 16:20:21.005, 233.49 W, 92 %
2025/12/06 16:20:21.105, 233.49 W, 92 %
2025/12/06 16:20:21.205, 231.16 W, 92 %
2025/12/06 16:20:21.305, 231.48 W, 92 %
2025/12/06 16:20:21.405, 230.02 W, 91 %
2025/12/06 16:20:21.506, 232.62 W, 91 %
2025/12/06 16:20:21.606, 231.75 W, 92 %
2025/12/06 16:20:21.706, 231.75 W, 92 %
2025/12/06 16:20:21.806, 229.42 W, 92 %
2025/12/06 16:20:21.906, 232.62 W, 92 %
2025/12/06 16:20:22.006, 233.49 W, 92 %
2025/12/06 16:20:22.106, 234.95 W, 92 %
2025/12/06 16:20:22.207, 229.70 W, 91 %
