timestamp, power.draw [W], utilization.gpu [%]
2025/12/06 16:24:52.256, 88.99 W, 65 %
2025/12/06 16:24:52.361, 88.99 W, 65 %
2025/12/06 16:24:52.461, 88.71 W, 7 %
2025/12/06 16:24:52.562, 88.39 W, 7 %
2025/12/06 16:24:52.662, 88.39 W, 8 %
2025/12/06 16:24:52.762, 100.06 W, 8 %
2025/12/06 16:24:52.862, 99.79 W, 54 %
2025/12/06 16:24:52.962, 99.79 W, 54 %
2025/12/06 16:24:53.062, 99.79 W, 95 %
2025/12/06 16:24:53.163, 99.79 W, 95 %
2025/12/06 16:24:53.263, 99.46 W, 95 %
2025/12/06 16:24:53.363, 99.46 W, 95 %
2025/12/06 16:24:53.463, 99.46 W, 95 %
2025/12/06 16:24:53.563, 99.46 W, 95 %
2025/12/06 16:24:53.663, 99.46 W, 94 %
2025/12/06 16:24:53.764, 99.19 W, 94 %
2025/12/06 16:24:53.864, 99.19 W, 94 %
2025/12/06 16:24:53.964, 99.19 W, 94 %
2025/12/06 16:24:54.064, 99.19 W, 94 %
2025/12/06 16:24:54.164, 98.92 W, 94 %
2025/12/06 16:24:54.264, 98.92 W, 91 %
2025/12/06 16:24:54.365, 99.19 W, 91 %
2025/12/06 16:24:54.465, 98.92 W, 94 %
2025/12/06 16:24:54.565, 98.92 W, 94 %
2025/12/06 16:24:54.665, 98.92 W, 94 %
2025/12/06 16:24:54.765, 98.92 W, 94 %
2025/12/06 16:24:54.865, 98.92 W, 95 %
2025/12/06 16:24:54.966, 98.92 W, 95 %
2025/12/06 16:24:55.066, 98.92 W, 95 %
2025/12/06 16:24:55.166, 98.92 W, 95 %
2025/12/06 16:24:55.266, 98.60 W, 95 %
2025/12/06 16:24:55.366, 98.92 W, 95 %
2025/12/06 16:24:55.466, 98.92 W, 95 %
2025/12/06 16:24:55.566, 98.60 W, 95 %
2025/12/06 16:24:55.667, 98.60 W, 94 %
2025/12/06 16:24:55.767, 98.60 W, 94 %
2025/12/06 16:24:55.867, 98.60 W, 95 %
2025/12/06 16:24:55.967, 98.60 W, 95 %
2025/12/06 16:24:56.067, 98.60 W, 94 %
2025/12/06 16:24:56.167, 98.60 W, 94 %
2025/12/06 16:24:56.268, 98.60 W, 95 %
2025/12/06 16:24:56.368, 98.60 W, 95 %
2025/12/06 16:24:56.468, 98.60 W, 94 %
2025/12/06 16:24:56.568, 98.60 W, 94 %
2025/12/06 16:24:56.668, 98.60 W, 94 %
2025/12/06 16:24:56.768, 98.60 W, 94 %
2025/12/06 16:24:56.869, 98.60 W, 95 %
2025/12/06 16:24:56.969, 98.33 W, 95 %
2025/12/06 16:24:57.069, 98.33 W, 94 %
2025/12/06 16:24:57.169, 98.33 W, 94 %
2025/12/06 16:24:57.269, 98.33 W, 95 %
2025/12/06 16:24:57.369, 98.33 W, 95 %
2025/12/06 16:24:57.470, 98.33 W, 95 %
2025/12/06 16:24:57.570, 98.33 W, 95 %
2025/12/06 16:24:57.670, 98.33 W, 95 %
2025/12/06 16:24:57.770, 98.33 W, 95 %
2025/12/06 16:24:57.870, 98.33 W, 95 %
2025/12/06 16:24:57.970, 98.33 W, 95 %
2025/12/06 16:24:58.070, 98.33 W, 94 %
2025/12/06 16:24:58.171, 98.33 W, 94 %
2025/12/06 16:24:58.271, 98.33 W, 94 %
2025/12/06 16:24:58.371, 98.33 W, 94 %
2025/12/06 16:24:58.471, 98.33 W, 95 %
2025/12/06 16:24:58.571, 98.33 W, 95 %
2025/12/06 16:24:58.671, 98.33 W, 95 %
2025/12/06 16:24:58.772, 98.33 W, 95 %
2025/12/06 16:24:58.872, 98.05 W, 95 %
2025/12/06 16:24:58.972, 98.33 W, 95 %
2025/12/06 16:24:59.072, 98.05 W, 95 %
2025/12/06 16:24:59.172, 98.05 W, 95 %
2025/12/06 16:24:59.272, 98.05 W, 94 %
2025/12/06 16:24:59.373, 98.05 W, 94 %
2025/12/06 16:24:59.473, 98.05 W, 95 %
2025/12/06 16:24:59.573, 98.05 W, 95 %
2025/12/06 16:24:59.673, 98.05 W, 95 %
2025/12/06 16:24:59.773, 98.05 W, 95 %
2025/12/06 16:24:59.873, 98.05 W, 95 %
2025/12/06 16:24:59.974, 98.05 W, 95 %
2025/12/06 16:25:00.074, 98.05 W, 94 %
2025/12/06 16:25:00.174, 98.05 W, 94 %
2025/12/06 16:25:00.274, 98.05 W, 95 %
2025/12/06 16:25:00.374, 98.05 W, 95 %
2025/12/06 16:25:00.474, 98.05 W, 95 %
2025/12/06 16:25:00.574, 98.05 W, 95 %
2025/12/06 16:25:00.675, 98.05 W, 95 %
2025/12/06 16:25:00.775, 98.05 W, 95 %
2025/12/06 16:25:00.875, 98.05 W, 95 %
2025/12/06 16:25:00.975, 98.05 W, 95 %
2025/12/06 16:25:01.075, 98.05 W, 95 %
2025/12/06 16:25:01.175, 98.05 W, 95 %
2025/12/06 16:25:01.276, 97.73 W, 95 %
2025/12/06 16:25:01.376, 98.05 W, 95 %
2025/12/06 16:25:01.476, 98.05 W, 94 %
2025/12/06 16:25:01.576, 97.73 W, 94 %
2025/12/06 16:25:01.676, 97.73 W, 95 %
2025/12/06 16:25:01.776, 98.05 W, 95 %
2025/12/06 16:25:01.877, 97.73 W, 95 %
2025/12/06 16:25:01.977, 97.73 W, 95 %
2025/12/06 16:25:02.077, 97.73 W, 95 %
2025/12/06 16:25:02.177, 97.73 W, 95 %
2025/12/06 16:25:02.277, 97.73 W, 95 %
2025/12/06 16:25:02.377, 97.73 W, 95 %
2025/12/06 16:25:02.478, 97.73 W, 94 %
2025/12/06 16:25:02.578, 97.73 W, 94 %
2025/12/06 16:25:02.678, 97.73 W, 95 %
2025/12/06 16:25:02.778, 97.73 W, 95 %
2025/12/06 16:25:02.878, 97.73 W, 95 %
2025/12/06 16:25:02.978, 97.73 W, 95 %
2025/12/06 16:25:03.079, 97.73 W, 95 %
2025/12/06 16:25:03.179, 97.73 W, 95 %
2025/12/06 16:25:03.279, 97.73 W, 95 %
2025/12/06 16:25:03.379, 97.73 W, 95 %
2025/12/06 16:25:03.479, 97.73 W, 95 %
2025/12/06 16:25:03.579, 97.73 W, 95 %
2025/12/06 16:25:03.680, 97.73 W, 95 %
2025/12/06 16:25:03.780, 97.73 W, 95 %
2025/12/06 16:25:03.880, 97.73 W, 95 %
2025/12/06 16:25:03.980, 97.73 W, 95 %
2025/12/06 16:25:04.080, 97.73 W, 95 %
2025/12/06 16:25:04.180, 97.73 W, 95 %
2025/12/06 16:25:04.280, 97.73 W, 95 %
2025/12/06 16:25:04.381, 97.46 W, 95 %
2025/12/06 16:25:04.481, 97.46 W, 94 %
2025/12/06 16:25:04.581, 97.73 W, 94 %
2025/12/06 16:25:04.681, 97.46 W, 95 %
2025/12/06 16:25:04.781, 97.73 W, 95 %
2025/12/06 16:25:04.881, 97.46 W, 95 %
2025/12/06 16:25:04.982, 97.46 W, 95 %
2025/12/06 16:25:05.082, 97.46 W, 95 %
2025/12/06 16:25:05.182, 97.73 W, 95 %
2025/12/06 16:25:05.282, 97.46 W, 95 %
2025/12/06 16:25:05.382, 97.46 W, 95 %
2025/12/06 16:25:05.482, 97.46 W, 94 %
2025/12/06 16:25:05.583, 97.46 W, 94 %
2025/12/06 16:25:05.683, 97.46 W, 95 %
2025/12/06 16:25:05.783, 97.46 W, 95 %
2025/12/06 16:25:05.883, 97.46 W, 95 %
2025/12/06 16:25:05.983, 97.46 W, 95 %
2025/12/06 16:25:06.083, 97.46 W, 95 %
2025/12/06 16:25:06.184, 97.46 W, 95 %
2025/12/06 16:25:06.284, 97.46 W, 95 %
2025/12/06 16:25:06.384, 97.46 W, 95 %
2025/12/06 16:25:06.484, 97.46 W, 95 %
2025/12/06 16:25:06.584, 97.46 W, 95 %
2025/12/06 16:25:06.684, 97.46 W, 95 %
2025/12/06 16:25:06.784, 97.46 W, 95 %
2025/12/06 16:25:06.885, 97.46 W, 95 %
