timestamp, power.draw [W], utilization.gpu [%]
2025/12/06 16:48:56.142, 87.52 W, 95 %
2025/12/06 16:48:56.244, 84.04 W, 95 %
2025/12/06 16:48:56.344, 86.65 W, 17 %
2025/12/06 16:48:56.444, 89.26 W, 17 %
2025/12/06 16:48:56.544, 83.45 W, 2 %
2025/12/06 16:48:56.644, 184.51 W, 2 %
2025/12/06 16:48:56.744, 192.11 W, 33 %
2025/12/06 16:48:56.845, 192.38 W, 33 %
2025/12/06 16:48:56.945, 192.97 W, 96 %
2025/12/06 16:48:57.045, 192.70 W, 96 %
2025/12/06 16:48:57.145, 192.97 W, 96 %
2025/12/06 16:48:57.245, 193.25 W, 96 %
2025/12/06 16:48:57.345, 188.31 W, 96 %
2025/12/06 16:48:57.445, 193.25 W, 96 %
2025/12/06 16:48:57.545, 193.57 W, 95 %
2025/12/06 16:48:57.645, 193.57 W, 95 %
2025/12/06 16:48:57.746, 193.57 W, 96 %
2025/12/06 16:48:57.846, 192.70 W, 96 %
2025/12/06 16:48:57.946, 193.25 W, 96 %
2025/12/06 16:48:58.046, 193.84 W, 96 %
2025/12/06 16:48:58.146, 193.84 W, 96 %
2025/12/06 16:48:58.246, 193.84 W, 96 %
2025/12/06 16:48:58.346, 193.25 W, 96 %
2025/12/06 16:48:58.446, 195.30 W, 96 %
2025/12/06 16:48:58.546, 193.84 W, 96 %
2025/12/06 16:48:58.647, 196.18 W, 96 %
2025/12/06 16:48:58.747, 167.50 W, 96 %
2025/12/06 16:48:58.847, 194.71 W, 96 %
2025/12/06 16:48:58.947, 196.44 W, 93 %
2025/12/06 16:48:59.047, 194.71 W, 93 %
2025/12/06 16:48:59.147, 194.44 W, 96 %
2025/12/06 16:48:59.247, 197.04 W, 96 %
2025/12/06 16:48:59.347, 195.03 W, 96 %
2025/12/06 16:48:59.447, 194.71 W, 96 %
2025/12/06 16:48:59.548, 196.77 W, 96 %
2025/12/06 16:48:59.648, 194.71 W, 96 %
2025/12/06 16:48:59.748, 196.77 W, 96 %
2025/12/06 16:48:59.848, 196.77 W, 96 %
2025/12/06 16:48:59.948, 194.71 W, 96 %
2025/12/06 16:49:00.048, 196.44 W, 96 %
2025/12/06 16:49:00.148, 194.71 W, 96 %
2025/12/06 16:49:00.248, 194.44 W, 96 %
2025/12/06 16:49:00.348, 194.44 W, 96 %
2025/12/06 16:49:00.449, 196.77 W, 96 %
2025/12/06 16:49:00.549, 194.71 W, 96 %
2025/12/06 16:49:00.649, 195.03 W, 96 %
2025/12/06 16:49:00.749, 194.11 W, 96 %
2025/12/06 16:49:00.849, 194.11 W, 96 %
2025/12/06 16:49:00.949, 194.71 W, 96 %
2025/12/06 16:49:01.049, 194.71 W, 96 %
2025/12/06 16:49:01.149, 194.71 W, 96 %
2025/12/06 16:49:01.249, 194.71 W, 96 %
2025/12/06 16:49:01.350, 195.03 W, 96 %
2025/12/06 16:49:01.450, 195.03 W, 96 %
2025/12/06 16:49:01.550, 195.03 W, 96 %
2025/12/06 16:49:01.650, 195.03 W, 96 %
2025/12/06 16:49:01.750, 195.30 W, 96 %
2025/12/06 16:49:01.850, 195.03 W, 96 %
2025/12/06 16:49:01.950, 194.71 W, 96 %
2025/12/06 16:49:02.050, 194.11 W, 96 %
2025/12/06 16:49:02.150, 194.71 W, 96 %
2025/12/06 16:49:02.251, 194.44 W, 96 %
2025/12/06 16:49:02.351, 194.71 W, 96 %
2025/12/06 16:49:02.451, 194.44 W, 96 %
2025/12/06 16:49:02.551, 195.03 W, 96 %
2025/12/06 16:49:02.651, 194.44 W, 96 %
2025/12/06 16:49:02.751, 195.03 W, 96 %
2025/12/06 16:49:02.851, 195.03 W, 96 %
2025/12/06 16:49:02.951, 194.71 W, 96 %
2025/12/06 16:49:03.051, 195.57 W, 96 %
2025/12/06 16:49:03.152, 195.03 W, 96 %
2025/12/06 16:49:03.252, 195.30 W, 96 %
2025/12/06 16:49:03.352, 194.71 W, 96 %
2025/12/06 16:49:03.452, 195.03 W, 96 %
2025/12/06 16:49:03.552, 197.04 W, 96 %
2025/12/06 16:49:03.652, 195.03 W, 96 %
2025/12/06 16:49:03.752, 195.30 W, 96 %
2025/12/06 16:49:03.852, 197.64 W, 96 %
2025/12/06 16:49:03.952, 195.30 W, 96 %
2025/12/06 16:49:04.053, 194.71 W, 96 %
2025/12/06 16:49:04.153, 197.04 W, 96 %
2025/12/06 16:49:04.253, 195.30 W, 96 %
2025/12/06 16:49:04.353, 194.71 W, 96 %
2025/12/06 16:49:04.453, 194.71 W, 96 %
2025/12/06 16:49:04.553, 195.30 W, 96 %
2025/12/06 16:49:04.653, 197.64 W, 96 %
2025/12/06 16:49:04.753, 195.90 W, 96 %
2025/12/06 16:49:04.853, 195.30 W, 96 %
2025/12/06 16:49:04.954, 195.57 W, 96 %
2025/12/06 16:49:05.054, 197.64 W, 96 %
2025/12/06 16:49:05.154, 197.64 W, 96 %
2025/12/06 16:49:05.254, 195.57 W, 96 %
2025/12/06 16:49:05.354, 195.30 W, 96 %
2025/12/06 16:49:05.454, 195.57 W, 96 %
2025/12/06 16:49:05.554, 195.90 W, 96 %
2025/12/06 16:49:05.654, 195.90 W, 96 %
2025/12/06 16:49:05.754, 195.90 W, 96 %
2025/12/06 16:49:05.855, 197.91 W, 96 %
2025/12/06 16:49:05.955, 195.90 W, 96 %
2025/12/06 16:49:06.055, 195.90 W, 96 %
2025/12/06 16:49:06.155, 195.57 W, 96 %
2025/12/06 16:49:06.255, 195.90 W, 96 %
2025/12/06 16:49:06.355, 195.30 W, 96 %
2025/12/06 16:49:06.455, 195.30 W, 96 %
2025/12/06 16:49:06.555, 197.91 W, 96 %
