timestamp, power.draw [W], utilization.gpu [%]
2025/12/06 17:03:05.136, 91.05 W, 72 %
2025/12/06 17:03:05.238, 90.72 W, 72 %
2025/12/06 17:03:05.339, 89.85 W, 7 %
2025/12/06 17:03:05.439, 91.32 W, 7 %
2025/12/06 17:03:05.539, 88.12 W, 3 %
2025/12/06 17:03:05.639, 87.79 W, 3 %
2025/12/06 17:03:05.739, 86.92 W, 5 %
2025/12/06 17:03:05.839, 88.39 W, 5 %
2025/12/06 17:03:05.939, 86.65 W, 1 %
2025/12/06 17:03:06.039, 86.65 W, 1 %
2025/12/06 17:03:06.140, 363.44 W, 1 %
2025/12/06 17:03:06.240, 363.44 W, 1 %
2025/12/06 17:03:06.340, 390.20 W, 94 %
2025/12/06 17:03:06.440, 377.42 W, 94 %
2025/12/06 17:03:06.540, 383.21 W, 99 %
2025/12/06 17:03:06.640, 383.21 W, 99 %
2025/12/06 17:03:06.740, 394.32 W, 100 %
2025/12/06 17:03:06.840, 394.32 W, 100 %
2025/12/06 17:03:06.940, 392.27 W, 100 %
2025/12/06 17:03:07.041, 398.38 W, 100 %
2025/12/06 17:03:07.141, 402.45 W, 100 %
2025/12/06 17:03:07.241, 392.27 W, 100 %
2025/12/06 17:03:07.341, 390.80 W, 100 %
2025/12/06 17:03:07.441, 394.87 W, 100 %
2025/12/06 17:03:07.541, 390.20 W, 96 %
2025/12/06 17:03:07.641, 396.92 W, 96 %
2025/12/06 17:03:07.741, 402.78 W, 100 %
2025/12/06 17:03:07.841, 400.71 W, 100 %
2025/12/06 17:03:07.942, 392.53 W, 100 %
2025/12/06 17:03:08.042, 396.06 W, 100 %
2025/12/06 17:03:08.142, 400.12 W, 100 %
2025/12/06 17:03:08.242, 403.05 W, 100 %
2025/12/06 17:03:08.342, 396.33 W, 100 %
2025/12/06 17:03:08.442, 392.53 W, 100 %
2025/12/06 17:03:08.542, 396.65 W, 100 %
2025/12/06 17:03:08.642, 404.51 W, 100 %
2025/12/06 17:03:08.742, 397.20 W, 100 %
2025/12/06 17:03:08.843, 401.58 W, 100 %
2025/12/06 17:03:08.943, 397.20 W, 99 %
2025/12/06 17:03:09.043, 392.86 W, 99 %
2025/12/06 17:03:09.143, 395.46 W, 100 %
2025/12/06 17:03:09.243, 395.46 W, 100 %
2025/12/06 17:03:09.343, 395.78 W, 100 %
2025/12/06 17:03:09.443, 399.25 W, 100 %
2025/12/06 17:03:09.543, 401.85 W, 100 %
2025/12/06 17:03:09.643, 403.32 W, 100 %
2025/12/06 17:03:09.744, 396.33 W, 100 %
2025/12/06 17:03:09.844, 396.06 W, 100 %
2025/12/06 17:03:09.944, 402.18 W, 100 %
2025/12/06 17:03:10.044, 394.60 W, 100 %
2025/12/06 17:03:10.144, 402.78 W, 99 %
2025/12/06 17:03:10.244, 403.05 W, 99 %
2025/12/06 17:03:10.344, 394.32 W, 100 %
2025/12/06 17:03:10.444, 396.06 W, 100 %
2025/12/06 17:03:10.544, 404.19 W, 100 %
2025/12/06 17:03:10.645, 402.78 W, 100 %
2025/12/06 17:03:10.745, 393.46 W, 100 %
2025/12/06 17:03:10.845, 399.25 W, 100 %
2025/12/06 17:03:10.945, 388.20 W, 100 %
2025/12/06 17:03:11.045, 385.55 W, 100 %
2025/12/06 17:03:11.145, 395.78 W, 100 %
2025/12/06 17:03:11.245, 396.06 W, 100 %
2025/12/06 17:03:11.345, 393.73 W, 100 %
2025/12/06 17:03:11.445, 394.60 W, 100 %
2025/12/06 17:03:11.546, 399.52 W, 99 %
2025/12/06 17:03:11.646, 405.65 W, 99 %
2025/12/06 17:03:11.746, 397.52 W, 100 %
2025/12/06 17:03:11.846, 395.46 W, 100 %
2025/12/06 17:03:11.946, 400.71 W, 100 %
2025/12/06 17:03:12.046, 404.51 W, 100 %
2025/12/06 17:03:12.146, 394.32 W, 100 %
2025/12/06 17:03:12.246, 394.32 W, 100 %
2025/12/06 17:03:12.347, 391.67 W, 100 %
2025/12/06 17:03:12.447, 389.34 W, 100 %
2025/12/06 17:03:12.547, 403.05 W, 100 %
2025/12/06 17:03:12.647, 397.20 W, 100 %
2025/12/06 17:03:12.747, 400.71 W, 99 %
2025/12/06 17:03:12.847, 400.71 W, 99 %
2025/12/06 17:03:12.947, 408.84 W, 100 %
2025/12/06 17:03:13.047, 408.84 W, 100 %
2025/12/06 17:03:13.147, 392.27 W, 100 %
2025/12/06 17:03:13.248, 404.19 W, 100 %
2025/12/06 17:03:13.348, 401.32 W, 100 %
2025/12/06 17:03:13.448, 385.28 W, 100 %
2025/12/06 17:03:13.548, 385.87 W, 100 %
2025/12/06 17:03:13.648, 390.53 W, 100 %
2025/12/06 17:03:13.748, 391.13 W, 100 %
2025/12/06 17:03:13.848, 407.70 W, 100 %
2025/12/06 17:03:13.948, 393.73 W, 100 %
2025/12/06 17:03:14.048, 401.85 W, 100 %
2025/12/06 17:03:14.148, 403.32 W, 99 %
2025/12/06 17:03:14.249, 404.19 W, 99 %
2025/12/06 17:03:14.349, 410.63 W, 100 %
2025/12/06 17:03:14.449, 392.53 W, 100 %
2025/12/06 17:03:14.549, 405.10 W, 100 %
2025/12/06 17:03:14.649, 385.55 W, 100 %
2025/12/06 17:03:14.749, 375.69 W, 100 %
2025/12/06 17:03:14.849, 407.43 W, 100 %
2025/12/06 17:03:14.949, 389.93 W, 100 %
2025/12/06 17:03:15.050, 393.73 W, 100 %
2025/12/06 17:03:15.150, 404.78 W, 100 %
2025/12/06 17:03:15.250, 403.32 W, 100 %
2025/12/06 17:03:15.350, 409.17 W, 100 %
2025/12/06 17:03:15.450, 387.33 W, 100 %
2025/12/06 17:03:15.550, 391.13 W, 99 %
2025/12/06 17:03:15.650, 382.08 W, 99 %
2025/12/06 17:03:15.750, 391.67 W, 100 %
2025/12/06 17:03:15.850, 411.07 W, 100 %
2025/12/06 17:03:15.951, 404.78 W, 100 %
2025/12/06 17:03:16.051, 383.21 W, 100 %
2025/12/06 17:03:16.151, 392.00 W, 100 %
2025/12/06 17:03:16.251, 386.74 W, 100 %
2025/12/06 17:03:16.351, 392.00 W, 100 %
2025/12/06 17:03:16.451, 410.90 W, 100 %
2025/12/06 17:03:16.551, 403.05 W, 100 %
2025/12/06 17:03:16.651, 381.48 W, 100 %
2025/12/06 17:03:16.751, 388.20 W, 99 %
2025/12/06 17:03:16.852, 402.45 W, 99 %
2025/12/06 17:03:16.952, 392.27 W, 100 %
2025/12/06 17:03:17.052, 382.08 W, 100 %
2025/12/06 17:03:17.152, 389.07 W, 100 %
2025/12/06 17:03:17.252, 393.73 W, 100 %
2025/12/06 17:03:17.352, 408.30 W, 100 %
2025/12/06 17:03:17.452, 403.32 W, 100 %
2025/12/06 17:03:17.552, 385.28 W, 100 %
2025/12/06 17:03:17.652, 386.14 W, 100 %
2025/12/06 17:03:17.753, 387.88 W, 100 %
2025/12/06 17:03:17.853, 389.93 W, 100 %
2025/12/06 17:03:17.953, 419.36 W, 100 %
2025/12/06 17:03:18.053, 412.37 W, 100 %
2025/12/06 17:03:18.153, 394.60 W, 99 %
2025/12/06 17:03:18.253, 405.10 W, 99 %
2025/12/06 17:03:18.353, 402.45 W, 100 %
2025/12/06 17:03:18.453, 391.67 W, 100 %
2025/12/06 17:03:18.553, 388.79 W, 100 %
2025/12/06 17:03:18.654, 394.87 W, 100 %
2025/12/06 17:03:18.754, 413.51 W, 100 %
2025/12/06 17:03:18.854, 379.47 W, 100 %
2025/12/06 17:03:18.954, 405.97 W, 100 %
2025/12/06 17:03:19.054, 387.60 W, 100 %
2025/12/06 17:03:19.154, 388.79 W, 100 %
2025/12/06 17:03:19.254, 410.48 W, 100 %
2025/12/06 17:03:19.354, 384.14 W, 99 %
2025/12/06 17:03:19.454, 383.21 W, 99 %
2025/12/06 17:03:19.555, 394.60 W, 100 %
2025/12/06 17:03:19.655, 414.10 W, 100 %
2025/12/06 17:03:19.755, 404.19 W, 100 %
2025/12/06 17:03:19.855, 386.47 W, 100 %
2025/12/06 17:03:19.955, 386.47 W, 100 %
2025/12/06 17:03:20.055, 388.79 W, 100 %
2025/12/06 17:03:20.155, 389.34 W, 100 %
2025/12/06 17:03:20.255, 407.70 W, 100 %
2025/12/06 17:03:20.355, 411.77 W, 100 %
2025/12/06 17:03:20.456, 380.34 W, 100 %
2025/12/06 17:03:20.556, 382.95 W, 100 %
2025/12/06 17:03:20.656, 384.14 W, 100 %
2025/12/06 17:03:20.756, 407.55 W, 99 %
2025/12/06 17:03:20.856, 401.17 W, 99 %
2025/12/06 17:03:20.956, 383.82 W, 100 %
2025/12/06 17:03:21.056, 386.14 W, 100 %
2025/12/06 17:03:21.156, 386.74 W, 100 %
2025/12/06 17:03:21.256, 389.07 W, 100 %
2025/12/06 17:03:21.357, 389.66 W, 100 %
2025/12/06 17:03:21.457, 415.29 W, 100 %
2025/12/06 17:03:21.557, 404.78 W, 100 %
2025/12/06 17:03:21.657, 383.82 W, 100 %
2025/12/06 17:03:21.757, 383.21 W, 100 %
2025/12/06 17:03:21.857, 383.82 W, 100 %
2025/12/06 17:03:21.957, 387.01 W, 100 %
2025/12/06 17:03:22.057, 387.88 W, 100 %
2025/12/06 17:03:22.157, 403.32 W, 99 %
2025/12/06 17:03:22.258, 386.14 W, 99 %
2025/12/06 17:03:22.358, 387.01 W, 100 %
2025/12/06 17:03:22.458, 392.53 W, 100 %
2025/12/06 17:03:22.558, 417.29 W, 100 %
2025/12/06 17:03:22.658, 391.13 W, 100 %
2025/12/06 17:03:22.758, 383.21 W, 100 %
2025/12/06 17:03:22.858, 385.01 W, 100 %
2025/12/06 17:03:22.958, 385.01 W, 100 %
2025/12/06 17:03:23.059, 389.66 W, 100 %
2025/12/06 17:03:23.159, 390.20 W, 100 %
2025/12/06 17:03:23.259, 413.99 W, 100 %
2025/12/06 17:03:23.359, 405.38 W, 99 %
2025/12/06 17:03:23.469, 417.89 W, 99 %
2025/12/06 17:03:23.569, 414.26 W, 100 %
2025/12/06 17:03:23.669, 380.34 W, 100 %
2025/12/06 17:03:23.770, 385.28 W, 100 %
2025/12/06 17:03:23.870, 393.14 W, 100 %
2025/12/06 17:03:23.970, 413.23 W, 100 %
2025/12/06 17:03:24.070, 396.06 W, 100 %
2025/12/06 17:03:24.170, 393.14 W, 100 %
2025/12/06 17:03:24.270, 390.80 W, 100 %
2025/12/06 17:03:24.370, 384.14 W, 100 %
2025/12/06 17:03:24.470, 385.01 W, 100 %
2025/12/06 17:03:24.570, 384.68 W, 100 %
2025/12/06 17:03:24.671, 376.23 W, 100 %
2025/12/06 17:03:24.771, 412.64 W, 99 %
2025/12/06 17:03:24.871, 384.68 W, 99 %
2025/12/06 17:03:24.971, 385.01 W, 100 %
2025/12/06 17:03:25.071, 384.68 W, 100 %
2025/12/06 17:03:25.171, 386.74 W, 100 %
2025/12/06 17:03:25.271, 406.51 W, 100 %
2025/12/06 17:03:25.371, 411.77 W, 100 %
2025/12/06 17:03:25.472, 415.29 W, 100 %
2025/12/06 17:03:25.572, 390.53 W, 100 %
2025/12/06 17:03:25.672, 384.14 W, 100 %
2025/12/06 17:03:25.772, 385.87 W, 100 %
2025/12/06 17:03:25.872, 391.39 W, 100 %
2025/12/06 17:03:25.972, 392.86 W, 100 %
2025/12/06 17:03:26.072, 388.20 W, 100 %
2025/12/06 17:03:26.172, 385.87 W, 99 %
2025/12/06 17:03:26.272, 392.86 W, 99 %
2025/12/06 17:03:26.373, 405.65 W, 100 %
2025/12/06 17:03:26.473, 417.89 W, 100 %
2025/12/06 17:03:26.573, 389.66 W, 100 %
2025/12/06 17:03:26.673, 393.14 W, 100 %
2025/12/06 17:03:26.773, 386.14 W, 100 %
2025/12/06 17:03:26.873, 384.41 W, 100 %
2025/12/06 17:03:26.973, 386.14 W, 100 %
