timestamp, power.draw [W], utilization.gpu [%]
2025/12/04 21:26:30.816, 153.76 W, 10 %
2025/12/04 21:26:30.919, 143.41 W, 10 %
2025/12/04 21:26:31.019, 133.24 W, 0 %
2025/12/04 21:26:31.119, 122.46 W, 0 %
2025/12/04 21:26:31.220, 112.26 W, 0 %
2025/12/04 21:26:31.320, 101.76 W, 0 %
2025/12/04 21:26:31.420, 91.14 W, 0 %
2025/12/04 21:26:31.520, 80.68 W, 0 %
2025/12/04 21:26:31.620, 69.68 W, 0 %
2025/12/04 21:26:31.720, 69.38 W, 0 %
2025/12/04 21:26:31.820, 69.27 W, 0 %
2025/12/04 21:26:31.921, 69.04 W, 0 %
2025/12/04 21:26:32.021, 68.71 W, 0 %
2025/12/04 21:26:32.121, 68.37 W, 0 %
2025/12/04 21:26:32.221, 68.25 W, 0 %
2025/12/04 21:26:32.321, 68.19 W, 0 %
2025/12/04 21:26:32.421, 68.12 W, 0 %
2025/12/04 21:26:32.521, 68.14 W, 0 %
2025/12/04 21:26:32.622, 68.73 W, 93 %
2025/12/04 21:26:32.722, 68.72 W, 93 %
2025/12/04 21:26:32.822, 68.69 W, 0 %
2025/12/04 21:26:32.922, 68.64 W, 0 %
2025/12/04 21:26:33.022, 68.60 W, 0 %
2025/12/04 21:26:33.122, 68.55 W, 0 %
2025/12/04 21:26:33.222, 68.52 W, 0 %
2025/12/04 21:26:33.323, 68.47 W, 0 %
2025/12/04 21:26:33.423, 68.46 W, 0 %
2025/12/04 21:26:33.523, 68.43 W, 0 %
2025/12/04 21:26:33.623, 68.62 W, 4 %
2025/12/04 21:26:33.723, 78.16 W, 4 %
2025/12/04 21:26:33.823, 88.47 W, 99 %
2025/12/04 21:26:33.923, 98.98 W, 99 %
2025/12/04 21:26:34.024, 109.83 W, 99 %
2025/12/04 21:26:34.124, 119.99 W, 99 %
2025/12/04 21:26:34.224, 130.42 W, 99 %
2025/12/04 21:26:34.324, 140.80 W, 99 %
2025/12/04 21:26:34.424, 151.20 W, 99 %
2025/12/04 21:26:34.524, 161.94 W, 99 %
2025/12/04 21:26:34.625, 172.61 W, 99 %
2025/12/04 21:26:34.725, 182.95 W, 99 %
2025/12/04 21:26:34.825, 183.23 W, 99 %
2025/12/04 21:26:34.925, 183.39 W, 99 %
2025/12/04 21:26:35.025, 183.52 W, 99 %
2025/12/04 21:26:35.125, 183.16 W, 99 %
2025/12/04 21:26:35.225, 183.62 W, 99 %
2025/12/04 21:26:35.326, 183.97 W, 99 %
2025/12/04 21:26:35.426, 184.37 W, 99 %
2025/12/04 21:26:35.526, 184.56 W, 99 %
2025/12/04 21:26:35.626, 184.49 W, 99 %
2025/12/04 21:26:35.726, 184.64 W, 99 %
2025/12/04 21:26:35.826, 184.75 W, 99 %
2025/12/04 21:26:35.926, 185.04 W, 99 %
2025/12/04 21:26:36.027, 184.87 W, 99 %
2025/12/04 21:26:36.127, 183.51 W, 99 %
2025/12/04 21:26:36.227, 183.50 W, 99 %
2025/12/04 21:26:36.327, 183.38 W, 99 %
2025/12/04 21:26:36.427, 183.40 W, 99 %
2025/12/04 21:26:36.527, 183.26 W, 99 %
2025/12/04 21:26:36.627, 183.43 W, 99 %
2025/12/04 21:26:36.728, 183.67 W, 99 %
2025/12/04 21:26:36.828, 183.82 W, 99 %
2025/12/04 21:26:36.928, 183.59 W, 99 %
2025/12/04 21:26:37.028, 183.22 W, 99 %
2025/12/04 21:26:37.128, 183.34 W, 99 %
2025/12/04 21:26:37.228, 184.54 W, 99 %
