timestamp, power.draw [W], utilization.gpu [%]
2025/12/05 12:15:53.001, 185.24 W, 28 %
2025/12/05 12:15:53.103, 172.12 W, 10 %
2025/12/05 12:15:53.204, 159.17 W, 10 %
2025/12/05 12:15:53.304, 146.55 W, 0 %
2025/12/05 12:15:53.404, 133.13 W, 0 %
2025/12/05 12:15:53.504, 119.84 W, 2 %
2025/12/05 12:15:53.604, 107.32 W, 2 %
2025/12/05 12:15:53.704, 99.50 W, 58 %
2025/12/05 12:15:53.804, 91.77 W, 58 %
2025/12/05 12:15:53.905, 93.84 W, 94 %
2025/12/05 12:15:54.005, 98.36 W, 94 %
2025/12/05 12:15:54.105, 103.11 W, 93 %
2025/12/05 12:15:54.205, 108.33 W, 93 %
2025/12/05 12:15:54.305, 113.09 W, 92 %
2025/12/05 12:15:54.405, 117.90 W, 92 %
2025/12/05 12:15:54.505, 123.24 W, 94 %
2025/12/05 12:15:54.605, 128.54 W, 94 %
2025/12/05 12:15:54.706, 133.04 W, 93 %
2025/12/05 12:15:54.806, 133.14 W, 93 %
2025/12/05 12:15:54.906, 133.17 W, 94 %
2025/12/05 12:15:55.006, 133.18 W, 94 %
2025/12/05 12:15:55.106, 133.09 W, 93 %
2025/12/05 12:15:55.206, 133.16 W, 93 %
2025/12/05 12:15:55.306, 133.14 W, 94 %
2025/12/05 12:15:55.407, 132.95 W, 94 %
2025/12/05 12:15:55.507, 132.99 W, 93 %
2025/12/05 12:15:55.607, 132.94 W, 93 %
2025/12/05 12:15:55.707, 132.65 W, 93 %
2025/12/05 12:15:55.807, 132.79 W, 93 %
2025/12/05 12:15:55.907, 132.84 W, 92 %
2025/12/05 12:15:56.007, 132.76 W, 92 %
2025/12/05 12:15:56.108, 132.65 W, 93 %
2025/12/05 12:15:56.208, 132.85 W, 93 %
2025/12/05 12:15:56.308, 132.83 W, 93 %
2025/12/05 12:15:56.408, 132.63 W, 93 %
2025/12/05 12:15:56.508, 132.87 W, 94 %
2025/12/05 12:15:56.608, 132.92 W, 94 %
2025/12/05 12:15:56.708, 132.44 W, 93 %
2025/12/05 12:15:56.809, 132.62 W, 93 %
2025/12/05 12:15:56.909, 132.60 W, 83 %
2025/12/05 12:15:57.009, 132.59 W, 83 %
2025/12/05 12:15:57.109, 132.38 W, 93 %
2025/12/05 12:15:57.209, 132.33 W, 93 %
2025/12/05 12:15:57.309, 132.24 W, 94 %
2025/12/05 12:15:57.409, 132.23 W, 94 %
2025/12/05 12:15:57.509, 132.29 W, 93 %
2025/12/05 12:15:57.609, 132.28 W, 93 %
2025/12/05 12:15:57.709, 132.27 W, 94 %
2025/12/05 12:15:57.809, 132.56 W, 94 %
2025/12/05 12:15:57.910, 132.55 W, 94 %
2025/12/05 12:15:58.010, 132.57 W, 94 %
2025/12/05 12:15:58.110, 132.33 W, 91 %
2025/12/05 12:15:58.210, 132.49 W, 91 %
2025/12/05 12:15:58.310, 132.51 W, 94 %
2025/12/05 12:15:58.410, 132.50 W, 94 %
2025/12/05 12:15:58.510, 132.46 W, 93 %
2025/12/05 12:15:58.610, 132.62 W, 93 %
2025/12/05 12:15:58.710, 132.69 W, 94 %
2025/12/05 12:15:58.810, 132.50 W, 94 %
2025/12/05 12:15:58.911, 132.59 W, 93 %
2025/12/05 12:15:59.011, 132.52 W, 93 %
2025/12/05 12:15:59.111, 132.10 W, 92 %
2025/12/05 12:15:59.211, 132.33 W, 92 %
2025/12/05 12:15:59.311, 132.37 W, 94 %
2025/12/05 12:15:59.411, 132.07 W, 94 %
2025/12/05 12:15:59.511, 132.05 W, 94 %
2025/12/05 12:15:59.611, 132.02 W, 94 %
2025/12/05 12:15:59.711, 131.79 W, 93 %
2025/12/05 12:15:59.811, 131.65 W, 93 %
2025/12/05 12:15:59.912, 131.80 W, 94 %
2025/12/05 12:16:00.012, 131.80 W, 94 %
2025/12/05 12:16:00.112, 131.62 W, 93 %
2025/12/05 12:16:00.212, 131.82 W, 93 %
2025/12/05 12:16:00.312, 131.82 W, 94 %
2025/12/05 12:16:00.412, 131.51 W, 94 %
2025/12/05 12:16:00.512, 131.83 W, 94 %
2025/12/05 12:16:00.612, 131.86 W, 94 %
2025/12/05 12:16:00.712, 131.65 W, 93 %
2025/12/05 12:16:00.812, 131.72 W, 93 %
2025/12/05 12:16:00.913, 131.78 W, 94 %
2025/12/05 12:16:01.013, 131.78 W, 94 %
2025/12/05 12:16:01.113, 131.68 W, 93 %
2025/12/05 12:16:01.213, 131.82 W, 93 %
2025/12/05 12:16:01.313, 132.00 W, 93 %
2025/12/05 12:16:01.413, 131.76 W, 93 %
2025/12/05 12:16:01.513, 131.87 W, 93 %
2025/12/05 12:16:01.613, 131.89 W, 93 %
2025/12/05 12:16:01.713, 131.69 W, 93 %
2025/12/05 12:16:01.813, 131.78 W, 93 %
2025/12/05 12:16:01.913, 131.67 W, 94 %
2025/12/05 12:16:02.014, 131.42 W, 94 %
2025/12/05 12:16:02.114, 131.32 W, 94 %
2025/12/05 12:16:02.214, 131.44 W, 94 %
2025/12/05 12:16:02.314, 131.48 W, 93 %
2025/12/05 12:16:02.414, 131.17 W, 93 %
2025/12/05 12:16:02.514, 131.35 W, 94 %
2025/12/05 12:16:02.614, 131.54 W, 94 %
2025/12/05 12:16:02.714, 131.40 W, 93 %
2025/12/05 12:16:02.814, 131.54 W, 93 %
2025/12/05 12:16:02.914, 131.63 W, 94 %
2025/12/05 12:16:03.015, 131.58 W, 94 %
2025/12/05 12:16:03.115, 131.82 W, 94 %
2025/12/05 12:16:03.215, 131.88 W, 94 %
2025/12/05 12:16:03.315, 131.75 W, 93 %
2025/12/05 12:16:03.415, 131.70 W, 93 %
2025/12/05 12:16:03.515, 132.00 W, 93 %
2025/12/05 12:16:03.615, 131.85 W, 93 %
2025/12/05 12:16:03.715, 131.71 W, 93 %
2025/12/05 12:16:03.815, 131.76 W, 93 %
