timestamp, power.draw [W], utilization.gpu [%]
2025/12/07 14:07:06.584, 173.91 W, 49 %
2025/12/07 14:07:06.686, 157.49 W, 49 %
2025/12/07 14:07:06.786, 149.49 W, 0 %
2025/12/07 14:07:06.887, 140.84 W, 0 %
2025/12/07 14:07:06.987, 132.21 W, 0 %
2025/12/07 14:07:07.087, 123.51 W, 0 %
2025/12/07 14:07:07.187, 114.96 W, 0 %
2025/12/07 14:07:07.287, 106.29 W, 0 %
2025/12/07 14:07:07.387, 97.60 W, 0 %
2025/12/07 14:07:07.487, 88.79 W, 0 %
2025/12/07 14:07:07.588, 87.91 W, 0 %
2025/12/07 14:07:07.688, 87.69 W, 0 %
2025/12/07 14:07:07.788, 86.93 W, 0 %
2025/12/07 14:07:07.888, 86.93 W, 0 %
2025/12/07 14:07:07.988, 86.93 W, 0 %
2025/12/07 14:07:08.088, 86.93 W, 0 %
2025/12/07 14:07:08.188, 86.93 W, 0 %
2025/12/07 14:07:08.289, 85.54 W, 0 %
2025/12/07 14:07:08.389, 85.46 W, 0 %
2025/12/07 14:07:08.489, 85.40 W, 0 %
2025/12/07 14:07:08.589, 85.33 W, 0 %
2025/12/07 14:07:08.689, 85.29 W, 0 %
2025/12/07 14:07:08.789, 85.23 W, 0 %
2025/12/07 14:07:08.890, 85.19 W, 0 %
2025/12/07 14:07:08.990, 85.20 W, 0 %
2025/12/07 14:07:09.090, 85.19 W, 0 %
2025/12/07 14:07:09.190, 85.19 W, 0 %
2025/12/07 14:07:09.290, 85.19 W, 0 %
2025/12/07 14:07:09.390, 85.19 W, 0 %
2025/12/07 14:07:09.490, 85.19 W, 0 %
2025/12/07 14:07:09.591, 85.19 W, 0 %
2025/12/07 14:07:09.691, 85.19 W, 0 %
2025/12/07 14:07:09.791, 85.19 W, 0 %
2025/12/07 14:07:09.891, 85.19 W, 0 %
2025/12/07 14:07:09.991, 85.19 W, 0 %
2025/12/07 14:07:10.091, 85.19 W, 0 %
2025/12/07 14:07:10.191, 84.07 W, 0 %
2025/12/07 14:07:10.292, 84.07 W, 0 %
2025/12/07 14:07:10.392, 84.07 W, 0 %
2025/12/07 14:07:10.492, 84.07 W, 0 %
2025/12/07 14:07:10.592, 84.28 W, 1 %
2025/12/07 14:07:10.692, 84.34 W, 1 %
2025/12/07 14:07:10.792, 85.37 W, 73 %
2025/12/07 14:07:10.892, 85.33 W, 73 %
2025/12/07 14:07:10.993, 85.43 W, 17 %
2025/12/07 14:07:11.093, 85.39 W, 17 %
2025/12/07 14:07:11.193, 86.74 W, 0 %
2025/12/07 14:07:11.293, 86.54 W, 0 %
2025/12/07 14:07:11.393, 86.37 W, 2 %
2025/12/07 14:07:11.493, 86.23 W, 2 %
2025/12/07 14:07:11.593, 86.53 W, 0 %
2025/12/07 14:07:11.694, 86.35 W, 0 %
2025/12/07 14:07:11.794, 86.33 W, 0 %
2025/12/07 14:07:11.894, 84.85 W, 0 %
2025/12/07 14:07:11.994, 84.83 W, 0 %
2025/12/07 14:07:12.094, 84.59 W, 0 %
2025/12/07 14:07:12.194, 84.55 W, 0 %
2025/12/07 14:07:12.294, 84.54 W, 0 %
2025/12/07 14:07:12.395, 84.54 W, 0 %
2025/12/07 14:07:12.495, 84.54 W, 0 %
2025/12/07 14:07:12.595, 84.54 W, 0 %
2025/12/07 14:07:12.695, 84.54 W, 0 %
2025/12/07 14:07:12.795, 84.54 W, 0 %
2025/12/07 14:07:12.895, 84.54 W, 0 %
2025/12/07 14:07:12.995, 84.02 W, 8 %
2025/12/07 14:07:13.096, 84.59 W, 8 %
2025/12/07 14:07:13.196, 99.61 W, 37 %
2025/12/07 14:07:13.296, 118.16 W, 37 %
2025/12/07 14:07:13.396, 136.95 W, 100 %
2025/12/07 14:07:13.496, 150.16 W, 100 %
2025/12/07 14:07:13.596, 162.12 W, 100 %
2025/12/07 14:07:13.696, 171.24 W, 100 %
2025/12/07 14:07:13.797, 179.77 W, 100 %
2025/12/07 14:07:13.897, 187.17 W, 100 %
2025/12/07 14:07:13.997, 269.52 W, 100 %
2025/12/07 14:07:14.097, 289.29 W, 100 %
2025/12/07 14:07:14.197, 282.89 W, 70 %
2025/12/07 14:07:14.297, 284.61 W, 70 %
2025/12/07 14:07:14.397, 285.42 W, 100 %
2025/12/07 14:07:14.498, 285.37 W, 100 %
2025/12/07 14:07:14.598, 286.07 W, 100 %
2025/12/07 14:07:14.698, 285.08 W, 100 %
2025/12/07 14:07:14.798, 284.59 W, 100 %
2025/12/07 14:07:14.898, 284.38 W, 100 %
2025/12/07 14:07:14.998, 282.96 W, 100 %
2025/12/07 14:07:15.098, 284.15 W, 100 %
2025/12/07 14:07:15.199, 283.09 W, 92 %
2025/12/07 14:07:15.299, 281.33 W, 92 %
2025/12/07 14:07:15.399, 281.12 W, 100 %
2025/12/07 14:07:15.499, 283.72 W, 100 %
2025/12/07 14:07:15.599, 284.42 W, 100 %
2025/12/07 14:07:15.699, 283.91 W, 100 %
2025/12/07 14:07:15.800, 284.92 W, 100 %
2025/12/07 14:07:15.900, 283.83 W, 100 %
2025/12/07 14:07:16.000, 284.30 W, 100 %
2025/12/07 14:07:16.100, 284.60 W, 100 %
2025/12/07 14:07:16.200, 283.11 W, 100 %
2025/12/07 14:07:16.300, 294.34 W, 100 %
2025/12/07 14:07:16.400, 295.13 W, 100 %
2025/12/07 14:07:16.501, 294.49 W, 100 %
2025/12/07 14:07:16.601, 293.49 W, 100 %
2025/12/07 14:07:16.701, 294.11 W, 100 %
2025/12/07 14:07:16.801, 292.95 W, 100 %
2025/12/07 14:07:16.901, 293.09 W, 100 %
2025/12/07 14:07:17.001, 293.44 W, 100 %
2025/12/07 14:07:17.101, 294.41 W, 100 %
2025/12/07 14:07:17.202, 296.59 W, 100 %
2025/12/07 14:07:17.302, 293.40 W, 100 %
2025/12/07 14:07:17.402, 291.91 W, 100 %
2025/12/07 14:07:17.502, 291.39 W, 100 %
2025/12/07 14:07:17.602, 292.78 W, 100 %
2025/12/07 14:07:17.702, 291.14 W, 100 %
2025/12/07 14:07:17.802, 291.27 W, 100 %
2025/12/07 14:07:17.903, 292.93 W, 100 %
2025/12/07 14:07:18.003, 293.11 W, 100 %
2025/12/07 14:07:18.103, 292.48 W, 100 %
2025/12/07 14:07:18.203, 292.08 W, 100 %
2025/12/07 14:07:18.303, 278.11 W, 100 %
2025/12/07 14:07:18.403, 278.88 W, 100 %
2025/12/07 14:07:18.503, 278.58 W, 100 %
2025/12/07 14:07:18.604, 279.35 W, 100 %
2025/12/07 14:07:18.704, 278.61 W, 100 %
2025/12/07 14:07:18.804, 279.53 W, 100 %
2025/12/07 14:07:18.904, 280.43 W, 100 %
2025/12/07 14:07:19.004, 277.61 W, 100 %
2025/12/07 14:07:19.104, 278.67 W, 100 %
2025/12/07 14:07:19.204, 279.03 W, 100 %
2025/12/07 14:07:19.305, 268.08 W, 100 %
2025/12/07 14:07:19.405, 282.92 W, 86 %
2025/12/07 14:07:19.505, 283.70 W, 86 %
2025/12/07 14:07:19.605, 282.20 W, 100 %
2025/12/07 14:07:19.705, 282.67 W, 100 %
2025/12/07 14:07:19.805, 280.11 W, 100 %
2025/12/07 14:07:19.905, 280.57 W, 100 %
2025/12/07 14:07:20.006, 279.49 W, 100 %
2025/12/07 14:07:20.106, 281.00 W, 100 %
2025/12/07 14:07:20.206, 281.05 W, 100 %
2025/12/07 14:07:20.306, 281.62 W, 100 %
2025/12/07 14:07:20.406, 294.36 W, 71 %
2025/12/07 14:07:20.506, 295.11 W, 71 %
