timestamp, power.draw [W], utilization.gpu [%]
2025/12/01 17:19:20.457, 67.69 W, 3 %
2025/12/01 17:19:20.559, 66.74 W, 3 %
2025/12/01 17:19:20.660, 65.87 W, 0 %
2025/12/01 17:19:20.760, 65.03 W, 0 %
2025/12/01 17:19:20.860, 64.12 W, 8 %
2025/12/01 17:19:20.960, 63.28 W, 8 %
2025/12/01 17:19:21.060, 62.47 W, 100 %
2025/12/01 17:19:21.160, 61.67 W, 100 %
2025/12/01 17:19:21.260, 60.82 W, 100 %
2025/12/01 17:19:21.360, 60.01 W, 100 %
2025/12/01 17:19:21.461, 59.77 W, 100 %
2025/12/01 17:19:21.561, 59.77 W, 100 %
2025/12/01 17:19:21.661, 60.68 W, 73 %
2025/12/01 17:19:21.761, 61.59 W, 73 %
2025/12/01 17:19:21.861, 62.41 W, 99 %
2025/12/01 17:19:21.961, 63.28 W, 99 %
2025/12/01 17:19:22.061, 64.10 W, 99 %
2025/12/01 17:19:22.162, 64.90 W, 99 %
2025/12/01 17:19:22.262, 65.73 W, 99 %
2025/12/01 17:19:22.362, 66.57 W, 99 %
2025/12/01 17:19:22.462, 67.38 W, 99 %
2025/12/01 17:19:22.562, 68.27 W, 99 %
2025/12/01 17:19:22.662, 69.15 W, 99 %
2025/12/01 17:19:22.762, 69.16 W, 99 %
2025/12/01 17:19:22.863, 69.12 W, 99 %
2025/12/01 17:19:22.963, 69.15 W, 99 %
2025/12/01 17:19:23.063, 69.22 W, 99 %
2025/12/01 17:19:23.163, 69.25 W, 99 %
2025/12/01 17:19:23.263, 69.24 W, 99 %
2025/12/01 17:19:23.363, 69.22 W, 99 %
2025/12/01 17:19:23.463, 69.20 W, 99 %
2025/12/01 17:19:23.564, 69.17 W, 99 %
2025/12/01 17:19:23.664, 69.16 W, 99 %
2025/12/01 17:19:23.764, 69.14 W, 99 %
2025/12/01 17:19:23.864, 69.11 W, 99 %
2025/12/01 17:19:23.964, 69.10 W, 99 %
2025/12/01 17:19:24.064, 69.06 W, 99 %
2025/12/01 17:19:24.164, 69.00 W, 99 %
2025/12/01 17:19:24.265, 68.97 W, 99 %
2025/12/01 17:19:24.365, 69.02 W, 99 %
2025/12/01 17:19:24.465, 69.07 W, 99 %
2025/12/01 17:19:24.565, 69.08 W, 99 %
2025/12/01 17:19:24.665, 69.08 W, 99 %
