timestamp, power.draw [W], utilization.gpu [%]
2025/12/02 06:32:19.642, 78.61 W, 10 %
2025/12/02 06:32:19.744, 74.92 W, 10 %
2025/12/02 06:32:19.845, 71.93 W, 0 %
2025/12/02 06:32:19.945, 68.62 W, 0 %
2025/12/02 06:32:20.045, 65.69 W, 0 %
2025/12/02 06:32:20.145, 61.68 W, 0 %
2025/12/02 06:32:20.245, 61.36 W, 0 %
2025/12/02 06:32:20.345, 61.44 W, 0 %
2025/12/02 06:32:20.445, 61.52 W, 100 %
2025/12/02 06:32:20.546, 61.01 W, 100 %
2025/12/02 06:32:20.646, 61.01 W, 100 %
2025/12/02 06:32:20.746, 61.04 W, 100 %
2025/12/02 06:32:20.846, 61.07 W, 93 %
2025/12/02 06:32:20.946, 61.24 W, 93 %
2025/12/02 06:32:21.046, 63.34 W, 99 %
2025/12/02 06:32:21.146, 65.55 W, 99 %
2025/12/02 06:32:21.247, 67.73 W, 99 %
2025/12/02 06:32:21.347, 69.93 W, 99 %
2025/12/02 06:32:21.447, 72.02 W, 96 %
2025/12/02 06:32:21.547, 74.16 W, 96 %
2025/12/02 06:32:21.647, 76.23 W, 99 %
2025/12/02 06:32:21.747, 78.41 W, 99 %
2025/12/02 06:32:21.847, 80.46 W, 98 %
2025/12/02 06:32:21.948, 82.57 W, 98 %
2025/12/02 06:32:22.048, 84.53 W, 99 %
2025/12/02 06:32:22.148, 84.53 W, 99 %
2025/12/02 06:32:22.248, 84.59 W, 99 %
2025/12/02 06:32:22.348, 84.69 W, 99 %
2025/12/02 06:32:22.448, 84.79 W, 99 %
2025/12/02 06:32:22.548, 84.77 W, 99 %
2025/12/02 06:32:22.649, 84.81 W, 99 %
2025/12/02 06:32:22.749, 84.85 W, 99 %
2025/12/02 06:32:22.849, 84.72 W, 99 %
2025/12/02 06:32:22.949, 84.79 W, 99 %
2025/12/02 06:32:23.049, 84.86 W, 99 %
2025/12/02 06:32:23.149, 84.90 W, 99 %
2025/12/02 06:32:23.249, 84.96 W, 98 %
2025/12/02 06:32:23.350, 84.86 W, 98 %
2025/12/02 06:32:23.450, 84.76 W, 99 %
2025/12/02 06:32:23.550, 84.74 W, 99 %
2025/12/02 06:32:23.650, 84.78 W, 97 %
2025/12/02 06:32:23.750, 84.75 W, 97 %
2025/12/02 06:32:23.850, 84.75 W, 99 %
2025/12/02 06:32:23.950, 84.90 W, 99 %
2025/12/02 06:32:24.051, 84.75 W, 98 %
2025/12/02 06:32:24.151, 84.67 W, 98 %
2025/12/02 06:32:24.251, 84.67 W, 99 %
2025/12/02 06:32:24.351, 84.71 W, 99 %
2025/12/02 06:32:24.451, 84.75 W, 99 %
2025/12/02 06:32:24.551, 84.81 W, 99 %
2025/12/02 06:32:24.651, 84.71 W, 99 %
2025/12/02 06:32:24.752, 84.65 W, 99 %
2025/12/02 06:32:24.852, 84.65 W, 99 %
2025/12/02 06:32:24.952, 84.60 W, 99 %
2025/12/02 06:32:25.052, 84.52 W, 99 %
2025/12/02 06:32:25.152, 84.61 W, 99 %
2025/12/02 06:32:25.252, 84.68 W, 99 %
2025/12/02 06:32:25.352, 84.64 W, 99 %
2025/12/02 06:32:25.453, 84.57 W, 96 %
2025/12/02 06:32:25.553, 84.62 W, 96 %
2025/12/02 06:32:25.653, 84.65 W, 99 %
2025/12/02 06:32:25.753, 84.67 W, 99 %
2025/12/02 06:32:25.853, 84.69 W, 97 %
2025/12/02 06:32:25.953, 84.63 W, 97 %
2025/12/02 06:32:26.054, 84.61 W, 99 %
2025/12/02 06:32:26.154, 84.66 W, 99 %
2025/12/02 06:32:26.254, 84.46 W, 98 %
2025/12/02 06:32:26.354, 84.45 W, 98 %
2025/12/02 06:32:26.454, 84.44 W, 99 %
2025/12/02 06:32:26.554, 84.48 W, 99 %
2025/12/02 06:32:26.654, 84.46 W, 99 %
2025/12/02 06:32:26.755, 84.44 W, 99 %
2025/12/02 06:32:26.855, 84.44 W, 99 %
2025/12/02 06:32:26.955, 84.44 W, 99 %
2025/12/02 06:32:27.055, 84.44 W, 99 %
2025/12/02 06:32:27.155, 84.37 W, 99 %
2025/12/02 06:32:27.255, 84.32 W, 99 %
2025/12/02 06:32:27.355, 84.53 W, 99 %
2025/12/02 06:32:27.456, 84.54 W, 99 %
2025/12/02 06:32:27.556, 84.59 W, 99 %
2025/12/02 06:32:27.656, 84.57 W, 97 %
2025/12/02 06:32:27.756, 84.58 W, 97 %
2025/12/02 06:32:27.856, 84.53 W, 99 %
2025/12/02 06:32:27.956, 84.55 W, 99 %
2025/12/02 06:32:28.056, 84.50 W, 98 %
2025/12/02 06:32:28.157, 84.58 W, 98 %
2025/12/02 06:32:28.257, 84.75 W, 99 %
2025/12/02 06:32:28.357, 84.76 W, 99 %
2025/12/02 06:32:28.457, 84.62 W, 98 %
2025/12/02 06:32:28.557, 84.54 W, 98 %
2025/12/02 06:32:28.657, 84.61 W, 99 %
2025/12/02 06:32:28.757, 84.59 W, 99 %
2025/12/02 06:32:28.858, 84.60 W, 97 %
2025/12/02 06:32:28.958, 84.58 W, 97 %
2025/12/02 06:32:29.058, 84.64 W, 99 %
2025/12/02 06:32:29.158, 84.69 W, 99 %
2025/12/02 06:32:29.258, 84.57 W, 99 %
2025/12/02 06:32:29.358, 84.48 W, 99 %
2025/12/02 06:32:29.458, 84.50 W, 99 %
2025/12/02 06:32:29.559, 84.65 W, 99 %
2025/12/02 06:32:29.659, 84.71 W, 99 %
2025/12/02 06:32:29.759, 84.63 W, 99 %
2025/12/02 06:32:29.859, 84.66 W, 96 %
2025/12/02 06:32:29.959, 84.67 W, 96 %
2025/12/02 06:32:30.059, 84.71 W, 99 %
2025/12/02 06:32:30.160, 84.66 W, 99 %
2025/12/02 06:32:30.260, 84.72 W, 98 %
2025/12/02 06:32:30.360, 84.71 W, 98 %
2025/12/02 06:32:30.460, 84.78 W, 99 %
2025/12/02 06:32:30.560, 84.75 W, 99 %
2025/12/02 06:32:30.660, 84.64 W, 98 %
2025/12/02 06:32:30.760, 84.63 W, 98 %
2025/12/02 06:32:30.861, 84.57 W, 99 %
2025/12/02 06:32:30.961, 84.50 W, 99 %
2025/12/02 06:32:31.061, 84.43 W, 99 %
2025/12/02 06:32:31.161, 84.37 W, 99 %
2025/12/02 06:32:31.261, 84.37 W, 99 %
2025/12/02 06:32:31.361, 84.23 W, 99 %
2025/12/02 06:32:31.461, 84.32 W, 99 %
2025/12/02 06:32:31.562, 84.19 W, 99 %
2025/12/02 06:32:31.662, 84.14 W, 99 %
2025/12/02 06:32:31.762, 84.20 W, 99 %
2025/12/02 06:32:31.862, 84.25 W, 99 %
2025/12/02 06:32:31.962, 84.35 W, 99 %
2025/12/02 06:32:32.062, 84.42 W, 88 %
2025/12/02 06:32:32.162, 84.45 W, 88 %
2025/12/02 06:32:32.263, 84.49 W, 99 %
2025/12/02 06:32:32.363, 84.50 W, 99 %
2025/12/02 06:32:32.463, 84.54 W, 98 %
2025/12/02 06:32:32.563, 84.44 W, 98 %
2025/12/02 06:32:32.663, 84.61 W, 99 %
2025/12/02 06:32:32.763, 84.69 W, 99 %
2025/12/02 06:32:32.864, 84.76 W, 99 %
2025/12/02 06:32:32.964, 84.70 W, 99 %
2025/12/02 06:32:33.064, 84.63 W, 99 %
2025/12/02 06:32:33.164, 84.57 W, 99 %
2025/12/02 06:32:33.264, 84.53 W, 99 %
2025/12/02 06:32:33.364, 84.53 W, 99 %
2025/12/02 06:32:33.464, 84.56 W, 99 %
2025/12/02 06:32:33.565, 84.58 W, 99 %
2025/12/02 06:32:33.665, 84.61 W, 99 %
2025/12/02 06:32:33.765, 84.32 W, 99 %
2025/12/02 06:32:33.865, 84.26 W, 99 %
2025/12/02 06:32:33.965, 84.19 W, 99 %
2025/12/02 06:32:34.065, 84.21 W, 99 %
2025/12/02 06:32:34.165, 84.20 W, 99 %
2025/12/02 06:32:34.266, 84.21 W, 96 %
2025/12/02 06:32:34.366, 84.21 W, 96 %
2025/12/02 06:32:34.466, 84.25 W, 99 %
2025/12/02 06:32:34.566, 84.29 W, 99 %
2025/12/02 06:32:34.666, 84.29 W, 98 %
2025/12/02 06:32:34.766, 84.35 W, 98 %
2025/12/02 06:32:34.866, 84.60 W, 99 %
2025/12/02 06:32:34.967, 84.64 W, 99 %
2025/12/02 06:32:35.067, 84.71 W, 99 %
2025/12/02 06:32:35.167, 84.75 W, 99 %
2025/12/02 06:32:35.267, 84.74 W, 99 %
2025/12/02 06:32:35.367, 84.82 W, 99 %
2025/12/02 06:32:35.467, 84.86 W, 99 %
2025/12/02 06:32:35.568, 84.81 W, 99 %
2025/12/02 06:32:35.668, 84.73 W, 99 %
2025/12/02 06:32:35.768, 84.68 W, 99 %
2025/12/02 06:32:35.868, 84.63 W, 99 %
2025/12/02 06:32:35.968, 84.37 W, 99 %
2025/12/02 06:32:36.068, 84.38 W, 99 %
2025/12/02 06:32:36.168, 84.34 W, 99 %
2025/12/02 06:32:36.269, 84.35 W, 99 %
2025/12/02 06:32:36.369, 84.36 W, 99 %
2025/12/02 06:32:36.469, 84.27 W, 98 %
2025/12/02 06:32:36.569, 84.25 W, 98 %
2025/12/02 06:32:36.669, 84.27 W, 99 %
2025/12/02 06:32:36.769, 84.30 W, 99 %
2025/12/02 06:32:36.869, 84.30 W, 98 %
2025/12/02 06:32:36.970, 84.33 W, 98 %
2025/12/02 06:32:37.070, 84.59 W, 99 %
2025/12/02 06:32:37.170, 84.51 W, 99 %
2025/12/02 06:32:37.270, 84.54 W, 99 %
2025/12/02 06:32:37.370, 84.48 W, 99 %
2025/12/02 06:32:37.470, 84.50 W, 99 %
2025/12/02 06:32:37.570, 84.51 W, 99 %
2025/12/02 06:32:37.671, 84.49 W, 99 %
2025/12/02 06:32:37.771, 84.48 W, 99 %
2025/12/02 06:32:37.871, 84.47 W, 99 %
2025/12/02 06:32:37.971, 84.58 W, 99 %
2025/12/02 06:32:38.071, 84.61 W, 99 %
2025/12/02 06:32:38.171, 84.45 W, 99 %
2025/12/02 06:32:38.272, 84.47 W, 99 %
2025/12/02 06:32:38.372, 84.48 W, 99 %
2025/12/02 06:32:38.472, 84.50 W, 99 %
2025/12/02 06:32:38.572, 84.55 W, 99 %
2025/12/02 06:32:38.672, 84.57 W, 96 %
2025/12/02 06:32:38.772, 84.58 W, 96 %
2025/12/02 06:32:38.872, 84.65 W, 99 %
2025/12/02 06:32:38.973, 84.58 W, 99 %
2025/12/02 06:32:39.073, 84.57 W, 96 %
2025/12/02 06:32:39.173, 84.54 W, 96 %
2025/12/02 06:32:39.273, 84.70 W, 99 %
2025/12/02 06:32:39.373, 84.73 W, 99 %
2025/12/02 06:32:39.473, 84.74 W, 99 %
2025/12/02 06:32:39.573, 84.69 W, 99 %
2025/12/02 06:32:39.674, 84.64 W, 99 %
2025/12/02 06:32:39.774, 84.68 W, 99 %
2025/12/02 06:32:39.874, 84.66 W, 99 %
2025/12/02 06:32:39.974, 84.64 W, 99 %
2025/12/02 06:32:40.074, 84.68 W, 99 %
2025/12/02 06:32:40.174, 84.64 W, 99 %
2025/12/02 06:32:40.274, 84.64 W, 99 %
2025/12/02 06:32:40.375, 84.56 W, 99 %
2025/12/02 06:32:40.475, 84.59 W, 99 %
2025/12/02 06:32:40.575, 84.50 W, 99 %
2025/12/02 06:32:40.675, 84.60 W, 99 %
2025/12/02 06:32:40.775, 84.65 W, 99 %
2025/12/02 06:32:40.875, 84.65 W, 98 %
2025/12/02 06:32:40.976, 84.74 W, 98 %
2025/12/02 06:32:41.076, 84.69 W, 99 %
2025/12/02 06:32:41.176, 84.66 W, 99 %
2025/12/02 06:32:41.276, 84.68 W, 98 %
2025/12/02 06:32:41.376, 84.69 W, 98 %
