timestamp, power.draw [W], utilization.gpu [%]
2025/12/02 11:50:49.416, 65.12 W, 100 %
2025/12/02 11:50:49.519, 64.52 W, 9 %
2025/12/02 11:50:49.619, 64.01 W, 9 %
2025/12/02 11:50:49.719, 63.45 W, 0 %
2025/12/02 11:50:49.819, 62.86 W, 0 %
2025/12/02 11:50:49.919, 62.23 W, 0 %
2025/12/02 11:50:50.019, 61.63 W, 0 %
2025/12/02 11:50:50.120, 61.00 W, 1 %
2025/12/02 11:50:50.220, 61.38 W, 1 %
2025/12/02 11:50:50.320, 62.09 W, 100 %
2025/12/02 11:50:50.420, 62.82 W, 100 %
2025/12/02 11:50:50.520, 63.87 W, 100 %
2025/12/02 11:50:50.620, 65.01 W, 100 %
2025/12/02 11:50:50.720, 66.18 W, 100 %
2025/12/02 11:50:50.821, 67.51 W, 100 %
2025/12/02 11:50:50.921, 68.88 W, 100 %
2025/12/02 11:50:51.021, 70.03 W, 100 %
2025/12/02 11:50:51.121, 71.21 W, 100 %
2025/12/02 11:50:51.221, 72.47 W, 100 %
2025/12/02 11:50:51.321, 72.93 W, 100 %
2025/12/02 11:50:51.421, 72.92 W, 100 %
2025/12/02 11:50:51.521, 72.74 W, 100 %
2025/12/02 11:50:51.622, 72.79 W, 100 %
2025/12/02 11:50:51.722, 72.93 W, 100 %
2025/12/02 11:50:51.822, 73.10 W, 100 %
2025/12/02 11:50:51.922, 72.93 W, 100 %
2025/12/02 11:50:52.022, 72.72 W, 100 %
2025/12/02 11:50:52.122, 72.77 W, 100 %
2025/12/02 11:50:52.223, 72.93 W, 100 %
2025/12/02 11:50:52.323, 73.03 W, 100 %
2025/12/02 11:50:52.423, 72.74 W, 100 %
2025/12/02 11:50:52.523, 72.59 W, 100 %
2025/12/02 11:50:52.623, 72.66 W, 100 %
2025/12/02 11:50:52.723, 72.85 W, 100 %
2025/12/02 11:50:52.823, 72.93 W, 100 %
2025/12/02 11:50:52.924, 72.67 W, 100 %
2025/12/02 11:50:53.024, 72.60 W, 100 %
2025/12/02 11:50:53.124, 72.69 W, 100 %
2025/12/02 11:50:53.224, 72.91 W, 100 %
2025/12/02 11:50:53.324, 72.93 W, 100 %
2025/12/02 11:50:53.424, 72.72 W, 100 %
2025/12/02 11:50:53.524, 72.76 W, 100 %
2025/12/02 11:50:53.625, 72.87 W, 100 %
2025/12/02 11:50:53.725, 73.08 W, 100 %
2025/12/02 11:50:53.825, 72.98 W, 100 %
2025/12/02 11:50:53.925, 72.76 W, 100 %
2025/12/02 11:50:54.025, 72.82 W, 100 %
2025/12/02 11:50:54.125, 72.96 W, 100 %
2025/12/02 11:50:54.225, 73.10 W, 100 %
2025/12/02 11:50:54.326, 72.88 W, 100 %
2025/12/02 11:50:54.426, 72.68 W, 100 %
2025/12/02 11:50:54.526, 72.75 W, 100 %
2025/12/02 11:50:54.626, 72.90 W, 100 %
2025/12/02 11:50:54.726, 72.99 W, 100 %
2025/12/02 11:50:54.826, 72.71 W, 100 %
2025/12/02 11:50:54.926, 72.60 W, 100 %
2025/12/02 11:50:55.027, 72.68 W, 100 %
2025/12/02 11:50:55.127, 72.87 W, 100 %
2025/12/02 11:50:55.227, 72.97 W, 100 %
2025/12/02 11:50:55.327, 72.73 W, 100 %
2025/12/02 11:50:55.427, 72.71 W, 100 %
2025/12/02 11:50:55.527, 72.82 W, 100 %
2025/12/02 11:50:55.627, 73.05 W, 100 %
2025/12/02 11:50:55.728, 73.04 W, 100 %
2025/12/02 11:50:55.828, 72.84 W, 100 %
2025/12/02 11:50:55.928, 72.88 W, 100 %
2025/12/02 11:50:56.028, 72.99 W, 100 %
2025/12/02 11:50:56.128, 73.19 W, 100 %
2025/12/02 11:50:56.228, 73.06 W, 100 %
