timestamp, power.draw [W], utilization.gpu [%]
2025/12/02 22:46:30.249, 60.73 W, 0 %
2025/12/02 22:46:30.352, 60.95 W, 0 %
2025/12/02 22:46:30.452, 60.96 W, 0 %
2025/12/02 22:46:30.552, 61.08 W, 0 %
2025/12/02 22:46:30.652, 61.09 W, 7 %
2025/12/02 22:46:30.752, 61.10 W, 7 %
2025/12/02 22:46:30.852, 61.12 W, 0 %
2025/12/02 22:46:30.953, 61.13 W, 0 %
2025/12/02 22:46:31.053, 61.06 W, 0 %
2025/12/02 22:46:31.153, 61.02 W, 0 %
2025/12/02 22:46:31.253, 60.99 W, 0 %
2025/12/02 22:46:31.353, 60.95 W, 0 %
2025/12/02 22:46:31.453, 60.59 W, 0 %
2025/12/02 22:46:31.553, 60.55 W, 0 %
2025/12/02 22:46:31.654, 60.44 W, 0 %
2025/12/02 22:46:31.754, 60.44 W, 0 %
2025/12/02 22:46:31.854, 60.44 W, 0 %
2025/12/02 22:46:31.954, 60.47 W, 0 %
2025/12/02 22:46:32.054, 60.67 W, 63 %
2025/12/02 22:46:32.154, 60.87 W, 63 %
2025/12/02 22:46:32.254, 61.04 W, 100 %
2025/12/02 22:46:32.355, 61.04 W, 100 %
2025/12/02 22:46:32.455, 61.05 W, 6 %
2025/12/02 22:46:32.555, 61.06 W, 6 %
2025/12/02 22:46:32.655, 61.06 W, 0 %
2025/12/02 22:46:32.755, 61.06 W, 0 %
2025/12/02 22:46:32.855, 61.06 W, 0 %
2025/12/02 22:46:32.955, 61.04 W, 0 %
2025/12/02 22:46:33.056, 60.99 W, 0 %
2025/12/02 22:46:33.156, 60.79 W, 0 %
2025/12/02 22:46:33.256, 60.61 W, 1 %
2025/12/02 22:46:33.356, 64.05 W, 1 %
2025/12/02 22:46:33.456, 68.79 W, 100 %
2025/12/02 22:46:33.556, 73.31 W, 100 %
2025/12/02 22:46:33.656, 77.97 W, 100 %
2025/12/02 22:46:33.757, 82.67 W, 100 %
2025/12/02 22:46:33.857, 86.90 W, 100 %
2025/12/02 22:46:33.957, 91.39 W, 100 %
2025/12/02 22:46:34.057, 95.99 W, 100 %
2025/12/02 22:46:34.157, 100.71 W, 100 %
2025/12/02 22:46:34.257, 105.21 W, 100 %
2025/12/02 22:46:34.357, 110.00 W, 100 %
2025/12/02 22:46:34.458, 110.97 W, 87 %
2025/12/02 22:46:34.558, 110.93 W, 87 %
2025/12/02 22:46:34.658, 110.77 W, 100 %
2025/12/02 22:46:34.758, 110.56 W, 100 %
2025/12/02 22:46:34.858, 110.39 W, 100 %
2025/12/02 22:46:34.958, 110.71 W, 100 %
2025/12/02 22:46:35.058, 110.99 W, 100 %
2025/12/02 22:46:35.159, 110.94 W, 100 %
2025/12/02 22:46:35.259, 110.99 W, 100 %
2025/12/02 22:46:35.359, 111.26 W, 100 %
2025/12/02 22:46:35.459, 110.28 W, 90 %
2025/12/02 22:46:35.559, 110.44 W, 90 %
2025/12/02 22:46:35.659, 110.30 W, 100 %
2025/12/02 22:46:35.759, 110.43 W, 100 %
2025/12/02 22:46:35.860, 110.65 W, 100 %
2025/12/02 22:46:35.960, 110.50 W, 100 %
2025/12/02 22:46:36.060, 110.42 W, 100 %
2025/12/02 22:46:36.160, 110.31 W, 100 %
2025/12/02 22:46:36.260, 110.36 W, 100 %
2025/12/02 22:46:36.360, 110.27 W, 100 %
2025/12/02 22:46:36.460, 110.29 W, 100 %
2025/12/02 22:46:36.561, 111.29 W, 100 %
2025/12/02 22:46:36.661, 111.00 W, 100 %
2025/12/02 22:46:36.761, 110.96 W, 100 %
2025/12/02 22:46:36.861, 110.96 W, 100 %
2025/12/02 22:46:36.961, 111.01 W, 100 %
2025/12/02 22:46:37.061, 111.12 W, 100 %
2025/12/02 22:46:37.161, 111.23 W, 100 %
2025/12/02 22:46:37.262, 111.29 W, 100 %
2025/12/02 22:46:37.362, 111.46 W, 100 %
2025/12/02 22:46:37.462, 111.25 W, 100 %
2025/12/02 22:46:37.562, 110.55 W, 100 %
2025/12/02 22:46:37.662, 110.35 W, 100 %
2025/12/02 22:46:37.762, 110.60 W, 100 %
2025/12/02 22:46:37.862, 110.46 W, 100 %
2025/12/02 22:46:37.963, 110.31 W, 100 %
2025/12/02 22:46:38.063, 110.13 W, 100 %
2025/12/02 22:46:38.163, 110.16 W, 100 %
2025/12/02 22:46:38.263, 110.09 W, 100 %
2025/12/02 22:46:38.363, 109.98 W, 100 %
2025/12/02 22:46:38.463, 109.95 W, 100 %
2025/12/02 22:46:38.563, 110.26 W, 100 %
2025/12/02 22:46:38.664, 110.90 W, 92 %
2025/12/02 22:46:38.764, 110.78 W, 92 %
2025/12/02 22:46:38.864, 110.56 W, 100 %
2025/12/02 22:46:38.964, 110.79 W, 100 %
2025/12/02 22:46:39.064, 110.68 W, 100 %
2025/12/02 22:46:39.164, 110.72 W, 100 %
2025/12/02 22:46:39.264, 110.73 W, 100 %
2025/12/02 22:46:39.365, 110.81 W, 100 %
2025/12/02 22:46:39.465, 110.92 W, 100 %
2025/12/02 22:46:39.565, 110.96 W, 100 %
2025/12/02 22:46:39.665, 110.49 W, 91 %
2025/12/02 22:46:39.765, 110.53 W, 91 %
2025/12/02 22:46:39.865, 110.54 W, 100 %
2025/12/02 22:46:39.965, 110.48 W, 100 %
2025/12/02 22:46:40.066, 110.52 W, 100 %
2025/12/02 22:46:40.166, 110.59 W, 100 %
2025/12/02 22:46:40.266, 110.60 W, 100 %
2025/12/02 22:46:40.366, 110.55 W, 100 %
2025/12/02 22:46:40.466, 110.55 W, 100 %
2025/12/02 22:46:40.566, 110.58 W, 100 %
2025/12/02 22:46:40.666, 110.63 W, 100 %
2025/12/02 22:46:40.767, 110.86 W, 100 %
2025/12/02 22:46:40.867, 110.65 W, 100 %
2025/12/02 22:46:40.967, 110.82 W, 100 %
2025/12/02 22:46:41.067, 110.89 W, 100 %
2025/12/02 22:46:41.167, 110.78 W, 100 %
2025/12/02 22:46:41.267, 111.19 W, 100 %
2025/12/02 22:46:41.367, 110.97 W, 100 %
2025/12/02 22:46:41.468, 110.93 W, 100 %
2025/12/02 22:46:41.568, 110.76 W, 100 %
2025/12/02 22:46:41.668, 110.57 W, 100 %
2025/12/02 22:46:41.768, 110.19 W, 100 %
2025/12/02 22:46:41.868, 110.23 W, 100 %
2025/12/02 22:46:41.968, 110.34 W, 100 %
2025/12/02 22:46:42.068, 110.44 W, 100 %
2025/12/02 22:46:42.169, 110.58 W, 100 %
2025/12/02 22:46:42.269, 110.76 W, 100 %
2025/12/02 22:46:42.369, 110.26 W, 100 %
2025/12/02 22:46:42.469, 110.37 W, 100 %
2025/12/02 22:46:42.569, 110.42 W, 100 %
2025/12/02 22:46:42.669, 110.54 W, 100 %
2025/12/02 22:46:42.769, 108.76 W, 100 %
2025/12/02 22:46:42.870, 108.74 W, 97 %
2025/12/02 22:46:42.970, 108.65 W, 97 %
2025/12/02 22:46:43.070, 108.52 W, 100 %
2025/12/02 22:46:43.170, 108.29 W, 100 %
2025/12/02 22:46:43.270, 108.35 W, 100 %
2025/12/02 22:46:43.370, 108.34 W, 100 %
2025/12/02 22:46:43.470, 108.56 W, 100 %
2025/12/02 22:46:43.571, 108.81 W, 100 %
2025/12/02 22:46:43.671, 109.04 W, 100 %
2025/12/02 22:46:43.771, 109.28 W, 100 %
2025/12/02 22:46:43.871, 108.96 W, 64 %
2025/12/02 22:46:43.971, 109.04 W, 64 %
2025/12/02 22:46:44.071, 109.22 W, 100 %
2025/12/02 22:46:44.171, 109.39 W, 100 %
2025/12/02 22:46:44.272, 109.15 W, 100 %
2025/12/02 22:46:44.372, 108.91 W, 100 %
2025/12/02 22:46:44.472, 108.75 W, 100 %
2025/12/02 22:46:44.572, 108.82 W, 100 %
2025/12/02 22:46:44.672, 108.89 W, 100 %
2025/12/02 22:46:44.772, 108.70 W, 100 %
2025/12/02 22:46:44.872, 108.49 W, 100 %
2025/12/02 22:46:44.973, 110.42 W, 100 %
2025/12/02 22:46:45.073, 110.43 W, 100 %
2025/12/02 22:46:45.173, 110.36 W, 100 %
2025/12/02 22:46:45.273, 110.34 W, 100 %
2025/12/02 22:46:45.373, 110.82 W, 100 %
2025/12/02 22:46:45.473, 110.86 W, 100 %
2025/12/02 22:46:45.573, 110.86 W, 100 %
2025/12/02 22:46:45.674, 111.04 W, 100 %
2025/12/02 22:46:45.774, 111.07 W, 100 %
2025/12/02 22:46:45.874, 110.87 W, 100 %
