timestamp, power.draw [W], utilization.gpu [%]
2025/12/03 17:56:03.203, 104.64 W, 12 %
2025/12/03 17:56:03.322, 95.73 W, 12 %
2025/12/03 17:56:03.423, 91.08 W, 0 %
2025/12/03 17:56:03.523, 86.63 W, 0 %
2025/12/03 17:56:03.623, 82.13 W, 53 %
2025/12/03 17:56:03.723, 77.64 W, 53 %
2025/12/03 17:56:03.823, 73.22 W, 99 %
2025/12/03 17:56:03.923, 68.87 W, 99 %
2025/12/03 17:56:04.023, 64.48 W, 99 %
2025/12/03 17:56:04.123, 64.44 W, 99 %
2025/12/03 17:56:04.223, 64.19 W, 99 %
2025/12/03 17:56:04.323, 64.24 W, 99 %
2025/12/03 17:56:04.424, 64.32 W, 99 %
2025/12/03 17:56:04.524, 64.52 W, 99 %
2025/12/03 17:56:04.624, 64.50 W, 99 %
2025/12/03 17:56:04.724, 64.49 W, 99 %
2025/12/03 17:56:04.824, 64.47 W, 99 %
2025/12/03 17:56:04.924, 64.45 W, 99 %
2025/12/03 17:56:05.024, 64.42 W, 99 %
2025/12/03 17:56:05.124, 64.40 W, 99 %
2025/12/03 17:56:05.224, 64.38 W, 99 %
2025/12/03 17:56:05.325, 64.37 W, 99 %
2025/12/03 17:56:05.425, 64.35 W, 99 %
2025/12/03 17:56:05.525, 64.33 W, 99 %
2025/12/03 17:56:05.625, 64.31 W, 99 %
2025/12/03 17:56:05.725, 64.30 W, 99 %
2025/12/03 17:56:05.825, 64.27 W, 99 %
2025/12/03 17:56:05.925, 64.26 W, 99 %
2025/12/03 17:56:06.025, 64.26 W, 99 %
2025/12/03 17:56:06.125, 64.25 W, 99 %
2025/12/03 17:56:06.225, 64.26 W, 99 %
2025/12/03 17:56:06.326, 64.25 W, 99 %
2025/12/03 17:56:06.426, 64.24 W, 99 %
2025/12/03 17:56:06.526, 64.24 W, 99 %
2025/12/03 17:56:06.626, 64.24 W, 99 %
2025/12/03 17:56:06.726, 64.23 W, 99 %
2025/12/03 17:56:06.826, 64.21 W, 99 %
2025/12/03 17:56:06.926, 64.21 W, 99 %
2025/12/03 17:56:07.026, 64.21 W, 99 %
2025/12/03 17:56:07.126, 64.19 W, 99 %
2025/12/03 17:56:07.226, 64.18 W, 99 %
2025/12/03 17:56:07.327, 64.16 W, 99 %
