timestamp, power.draw [W], utilization.gpu [%]
2025/12/06 07:36:54.853, 91.92 W, 51 %
2025/12/06 07:36:54.955, 90.42 W, 5 %
2025/12/06 07:36:55.056, 89.08 W, 5 %
2025/12/06 07:36:55.156, 88.51 W, 9 %
2025/12/06 07:36:55.256, 94.17 W, 9 %
2025/12/06 07:36:55.356, 96.41 W, 98 %
2025/12/06 07:36:55.456, 98.73 W, 98 %
2025/12/06 07:36:55.556, 101.05 W, 98 %
2025/12/06 07:36:55.656, 102.55 W, 98 %
2025/12/06 07:36:55.757, 104.68 W, 98 %
2025/12/06 07:36:55.857, 107.98 W, 98 %
2025/12/06 07:36:55.957, 113.63 W, 98 %
2025/12/06 07:36:56.057, 116.30 W, 98 %
2025/12/06 07:36:56.157, 118.47 W, 98 %
2025/12/06 07:36:56.257, 118.28 W, 98 %
2025/12/06 07:36:56.357, 114.82 W, 98 %
2025/12/06 07:36:56.457, 114.87 W, 98 %
2025/12/06 07:36:56.558, 114.89 W, 98 %
2025/12/06 07:36:56.658, 114.68 W, 98 %
2025/12/06 07:36:56.758, 114.69 W, 98 %
2025/12/06 07:36:56.858, 114.61 W, 98 %
2025/12/06 07:36:56.958, 114.47 W, 98 %
2025/12/06 07:36:57.058, 114.07 W, 98 %
2025/12/06 07:36:57.158, 114.12 W, 98 %
2025/12/06 07:36:57.259, 115.02 W, 98 %
2025/12/06 07:36:57.359, 114.85 W, 98 %
2025/12/06 07:36:57.459, 115.04 W, 98 %
2025/12/06 07:36:57.559, 115.03 W, 98 %
2025/12/06 07:36:57.659, 115.04 W, 98 %
2025/12/06 07:36:57.759, 115.03 W, 98 %
2025/12/06 07:36:57.859, 115.04 W, 98 %
2025/12/06 07:36:57.960, 114.81 W, 98 %
2025/12/06 07:36:58.060, 114.74 W, 98 %
2025/12/06 07:36:58.160, 114.93 W, 98 %
2025/12/06 07:36:58.260, 114.75 W, 98 %
2025/12/06 07:36:58.360, 114.86 W, 98 %
2025/12/06 07:36:58.460, 114.97 W, 98 %
2025/12/06 07:36:58.561, 114.88 W, 92 %
2025/12/06 07:36:58.661, 115.02 W, 92 %
2025/12/06 07:36:58.761, 115.21 W, 98 %
2025/12/06 07:36:58.861, 115.19 W, 98 %
2025/12/06 07:36:58.961, 114.80 W, 98 %
2025/12/06 07:36:59.061, 114.64 W, 98 %
2025/12/06 07:36:59.161, 114.79 W, 98 %
2025/12/06 07:36:59.262, 114.92 W, 98 %
2025/12/06 07:36:59.362, 115.06 W, 98 %
2025/12/06 07:36:59.462, 114.91 W, 98 %
2025/12/06 07:36:59.562, 114.81 W, 98 %
2025/12/06 07:36:59.662, 114.73 W, 98 %
2025/12/06 07:36:59.762, 114.61 W, 98 %
2025/12/06 07:36:59.862, 114.54 W, 98 %
2025/12/06 07:36:59.963, 114.44 W, 98 %
2025/12/06 07:37:00.063, 114.54 W, 98 %
2025/12/06 07:37:00.163, 114.53 W, 98 %
2025/12/06 07:37:00.263, 114.92 W, 98 %
2025/12/06 07:37:00.363, 114.76 W, 98 %
2025/12/06 07:37:00.463, 114.70 W, 98 %
2025/12/06 07:37:00.563, 114.71 W, 98 %
2025/12/06 07:37:00.664, 114.91 W, 98 %
2025/12/06 07:37:00.764, 114.78 W, 98 %
2025/12/06 07:37:00.864, 114.92 W, 98 %
2025/12/06 07:37:00.964, 114.77 W, 98 %
2025/12/06 07:37:01.064, 114.52 W, 98 %
2025/12/06 07:37:01.164, 114.83 W, 98 %
2025/12/06 07:37:01.264, 114.84 W, 98 %
2025/12/06 07:37:01.365, 114.96 W, 98 %
2025/12/06 07:37:01.465, 114.80 W, 98 %
2025/12/06 07:37:01.565, 115.02 W, 98 %
2025/12/06 07:37:01.665, 115.19 W, 98 %
2025/12/06 07:37:01.765, 115.15 W, 98 %
2025/12/06 07:37:01.865, 115.00 W, 98 %
2025/12/06 07:37:01.965, 114.98 W, 98 %
2025/12/06 07:37:02.066, 114.82 W, 98 %
2025/12/06 07:37:02.166, 114.94 W, 98 %
2025/12/06 07:37:02.266, 114.91 W, 98 %
2025/12/06 07:37:02.366, 114.80 W, 98 %
2025/12/06 07:37:02.466, 114.72 W, 98 %
2025/12/06 07:37:02.566, 115.04 W, 98 %
2025/12/06 07:37:02.666, 115.12 W, 98 %
2025/12/06 07:37:02.767, 115.12 W, 98 %
2025/12/06 07:37:02.867, 115.14 W, 98 %
2025/12/06 07:37:02.967, 114.96 W, 98 %
2025/12/06 07:37:03.067, 114.83 W, 98 %
2025/12/06 07:37:03.167, 114.83 W, 98 %
2025/12/06 07:37:03.267, 114.84 W, 98 %
2025/12/06 07:37:03.367, 115.00 W, 98 %
2025/12/06 07:37:03.468, 114.75 W, 98 %
2025/12/06 07:37:03.568, 114.93 W, 98 %
2025/12/06 07:37:03.668, 114.89 W, 98 %
