timestamp, power.draw [W], utilization.gpu [%]
2025/12/06 08:57:12.623, 125.21 W, 94 %
2025/12/06 08:57:12.725, 120.90 W, 8 %
2025/12/06 08:57:12.825, 116.94 W, 8 %
2025/12/06 08:57:12.925, 113.22 W, 0 %
2025/12/06 08:57:13.025, 108.96 W, 0 %
2025/12/06 08:57:13.125, 104.71 W, 0 %
2025/12/06 08:57:13.225, 100.40 W, 0 %
2025/12/06 08:57:13.326, 96.13 W, 0 %
2025/12/06 08:57:13.426, 91.79 W, 0 %
2025/12/06 08:57:13.526, 87.43 W, 0 %
2025/12/06 08:57:13.626, 83.17 W, 0 %
2025/12/06 08:57:13.726, 83.56 W, 0 %
2025/12/06 08:57:13.826, 83.41 W, 0 %
2025/12/06 08:57:13.926, 82.79 W, 0 %
2025/12/06 08:57:14.026, 82.79 W, 0 %
2025/12/06 08:57:14.126, 82.03 W, 0 %
2025/12/06 08:57:14.227, 82.03 W, 0 %
2025/12/06 08:57:14.327, 81.99 W, 0 %
2025/12/06 08:57:14.427, 81.96 W, 0 %
2025/12/06 08:57:14.527, 81.93 W, 0 %
2025/12/06 08:57:14.627, 81.92 W, 0 %
2025/12/06 08:57:14.727, 81.89 W, 0 %
2025/12/06 08:57:14.827, 81.85 W, 0 %
2025/12/06 08:57:14.927, 81.79 W, 0 %
2025/12/06 08:57:15.027, 81.77 W, 0 %
2025/12/06 08:57:15.127, 81.80 W, 0 %
2025/12/06 08:57:15.228, 81.80 W, 0 %
2025/12/06 08:57:15.328, 81.80 W, 0 %
2025/12/06 08:57:15.428, 81.80 W, 0 %
2025/12/06 08:57:15.528, 81.80 W, 0 %
2025/12/06 08:57:15.628, 81.80 W, 0 %
2025/12/06 08:57:15.728, 81.80 W, 0 %
2025/12/06 08:57:15.828, 81.80 W, 0 %
2025/12/06 08:57:15.928, 81.80 W, 0 %
2025/12/06 08:57:16.028, 81.80 W, 0 %
2025/12/06 08:57:16.128, 81.16 W, 0 %
2025/12/06 08:57:16.229, 81.22 W, 0 %
2025/12/06 08:57:16.329, 81.29 W, 14 %
2025/12/06 08:57:16.429, 81.89 W, 14 %
2025/12/06 08:57:16.529, 82.10 W, 73 %
2025/12/06 08:57:16.629, 82.18 W, 73 %
2025/12/06 08:57:16.730, 82.14 W, 0 %
2025/12/06 08:57:16.830, 82.12 W, 0 %
2025/12/06 08:57:16.930, 82.10 W, 0 %
2025/12/06 08:57:17.030, 82.05 W, 0 %
2025/12/06 08:57:17.130, 82.03 W, 0 %
2025/12/06 08:57:17.230, 82.86 W, 0 %
2025/12/06 08:57:17.330, 82.78 W, 0 %
2025/12/06 08:57:17.430, 82.63 W, 0 %
2025/12/06 08:57:17.530, 81.96 W, 0 %
2025/12/06 08:57:17.631, 81.65 W, 0 %
2025/12/06 08:57:17.731, 81.51 W, 0 %
2025/12/06 08:57:17.831, 81.49 W, 0 %
2025/12/06 08:57:17.931, 81.49 W, 0 %
2025/12/06 08:57:18.031, 81.49 W, 0 %
2025/12/06 08:57:18.131, 81.49 W, 0 %
2025/12/06 08:57:18.231, 81.49 W, 0 %
2025/12/06 08:57:18.331, 81.49 W, 0 %
2025/12/06 08:57:18.431, 81.49 W, 0 %
2025/12/06 08:57:18.532, 81.56 W, 0 %
