timestamp, power.draw [W], utilization.gpu [%]
2025/12/06 10:51:58.210, 82.34 W, 0 %
2025/12/06 10:51:58.312, 82.55 W, 0 %
2025/12/06 10:51:58.412, 83.12 W, 0 %
2025/12/06 10:51:58.513, 83.22 W, 9 %
2025/12/06 10:51:58.613, 83.07 W, 9 %
2025/12/06 10:51:58.713, 82.95 W, 0 %
2025/12/06 10:51:58.813, 82.85 W, 0 %
2025/12/06 10:51:58.913, 82.76 W, 0 %
2025/12/06 10:51:59.013, 82.72 W, 0 %
2025/12/06 10:51:59.114, 82.66 W, 0 %
2025/12/06 10:51:59.214, 82.62 W, 0 %
2025/12/06 10:51:59.314, 82.56 W, 0 %
2025/12/06 10:51:59.414, 82.41 W, 0 %
2025/12/06 10:51:59.514, 82.04 W, 0 %
2025/12/06 10:51:59.614, 81.85 W, 0 %
2025/12/06 10:51:59.714, 81.82 W, 0 %
2025/12/06 10:51:59.815, 81.78 W, 0 %
2025/12/06 10:51:59.915, 81.85 W, 4 %
2025/12/06 10:52:00.015, 83.27 W, 4 %
2025/12/06 10:52:00.115, 83.28 W, 27 %
2025/12/06 10:52:00.215, 83.26 W, 27 %
2025/12/06 10:52:00.315, 83.28 W, 1 %
2025/12/06 10:52:00.415, 83.25 W, 1 %
2025/12/06 10:52:00.516, 83.23 W, 0 %
2025/12/06 10:52:00.616, 83.21 W, 0 %
2025/12/06 10:52:00.716, 83.18 W, 0 %
2025/12/06 10:52:00.816, 83.17 W, 0 %
2025/12/06 10:52:00.916, 83.17 W, 0 %
2025/12/06 10:52:01.016, 83.10 W, 0 %
2025/12/06 10:52:01.116, 96.64 W, 37 %
2025/12/06 10:52:01.217, 102.56 W, 37 %
2025/12/06 10:52:01.317, 108.64 W, 99 %
2025/12/06 10:52:01.417, 114.51 W, 99 %
2025/12/06 10:52:01.517, 120.88 W, 99 %
2025/12/06 10:52:01.617, 126.97 W, 99 %
2025/12/06 10:52:01.717, 133.04 W, 87 %
2025/12/06 10:52:01.817, 139.06 W, 87 %
2025/12/06 10:52:01.918, 142.79 W, 100 %
2025/12/06 10:52:02.018, 148.39 W, 100 %
2025/12/06 10:52:02.118, 154.25 W, 99 %
2025/12/06 10:52:02.218, 145.65 W, 99 %
2025/12/06 10:52:02.318, 145.69 W, 91 %
2025/12/06 10:52:02.418, 145.52 W, 91 %
2025/12/06 10:52:02.518, 145.71 W, 99 %
2025/12/06 10:52:02.619, 145.19 W, 99 %
2025/12/06 10:52:02.719, 145.09 W, 99 %
2025/12/06 10:52:02.819, 145.13 W, 99 %
2025/12/06 10:52:02.919, 144.18 W, 100 %
2025/12/06 10:52:03.019, 145.91 W, 100 %
2025/12/06 10:52:03.119, 146.20 W, 99 %
2025/12/06 10:52:03.219, 146.26 W, 99 %
2025/12/06 10:52:03.320, 145.78 W, 99 %
2025/12/06 10:52:03.420, 146.90 W, 99 %
2025/12/06 10:52:03.520, 147.26 W, 99 %
2025/12/06 10:52:03.620, 147.24 W, 99 %
2025/12/06 10:52:03.720, 147.21 W, 99 %
2025/12/06 10:52:03.820, 146.70 W, 99 %
2025/12/06 10:52:03.920, 145.91 W, 99 %
2025/12/06 10:52:04.021, 146.63 W, 99 %
2025/12/06 10:52:04.121, 146.82 W, 99 %
2025/12/06 10:52:04.221, 146.74 W, 99 %
2025/12/06 10:52:04.321, 146.75 W, 99 %
2025/12/06 10:52:04.421, 146.90 W, 99 %
2025/12/06 10:52:04.521, 145.65 W, 99 %
2025/12/06 10:52:04.621, 145.77 W, 99 %
2025/12/06 10:52:04.722, 145.40 W, 100 %
2025/12/06 10:52:04.822, 145.00 W, 100 %
2025/12/06 10:52:04.922, 145.23 W, 100 %
2025/12/06 10:52:05.022, 145.37 W, 100 %
2025/12/06 10:52:05.122, 144.64 W, 95 %
