timestamp, power.draw [W], utilization.gpu [%]
2025/12/06 11:44:51.306, 126.41 W, 83 %
2025/12/06 11:44:51.408, 120.80 W, 83 %
2025/12/06 11:44:51.508, 115.89 W, 0 %
2025/12/06 11:44:51.608, 110.93 W, 0 %
2025/12/06 11:44:51.708, 104.80 W, 9 %
2025/12/06 11:44:51.809, 99.22 W, 9 %
2025/12/06 11:44:51.909, 93.72 W, 0 %
2025/12/06 11:44:52.009, 88.40 W, 0 %
2025/12/06 11:44:52.109, 85.56 W, 32 %
2025/12/06 11:44:52.209, 85.96 W, 32 %
2025/12/06 11:44:52.309, 92.23 W, 73 %
2025/12/06 11:44:52.409, 97.90 W, 73 %
2025/12/06 11:44:52.510, 103.81 W, 95 %
2025/12/06 11:44:52.610, 109.94 W, 95 %
2025/12/06 11:44:52.710, 115.03 W, 95 %
2025/12/06 11:44:52.810, 120.71 W, 95 %
2025/12/06 11:44:52.910, 125.38 W, 95 %
2025/12/06 11:44:53.010, 131.01 W, 95 %
2025/12/06 11:44:53.110, 134.67 W, 97 %
2025/12/06 11:44:53.211, 139.39 W, 97 %
2025/12/06 11:44:53.311, 145.38 W, 95 %
2025/12/06 11:44:53.411, 145.24 W, 95 %
2025/12/06 11:44:53.511, 145.21 W, 95 %
2025/12/06 11:44:53.611, 144.31 W, 95 %
2025/12/06 11:44:53.711, 142.74 W, 95 %
2025/12/06 11:44:53.811, 142.56 W, 95 %
2025/12/06 11:44:53.912, 142.82 W, 95 %
2025/12/06 11:44:54.012, 143.29 W, 95 %
2025/12/06 11:44:54.112, 142.91 W, 96 %
2025/12/06 11:44:54.212, 145.29 W, 96 %
2025/12/06 11:44:54.312, 144.99 W, 95 %
2025/12/06 11:44:54.412, 144.70 W, 95 %
2025/12/06 11:44:54.513, 142.45 W, 94 %
2025/12/06 11:44:54.613, 142.12 W, 94 %
2025/12/06 11:44:54.713, 142.72 W, 96 %
2025/12/06 11:44:54.813, 143.55 W, 96 %
2025/12/06 11:44:54.913, 143.91 W, 93 %
2025/12/06 11:44:55.013, 143.38 W, 93 %
2025/12/06 11:44:55.113, 145.00 W, 87 %
2025/12/06 11:44:55.213, 145.34 W, 87 %
2025/12/06 11:44:55.314, 144.23 W, 95 %
2025/12/06 11:44:55.414, 143.76 W, 95 %
2025/12/06 11:44:55.514, 143.87 W, 97 %
2025/12/06 11:44:55.614, 145.54 W, 97 %
2025/12/06 11:44:55.714, 146.15 W, 93 %
2025/12/06 11:44:55.814, 146.52 W, 93 %
2025/12/06 11:44:55.914, 146.77 W, 95 %
2025/12/06 11:44:56.015, 146.16 W, 95 %
2025/12/06 11:44:56.115, 146.50 W, 95 %
2025/12/06 11:44:56.215, 144.36 W, 95 %
2025/12/06 11:44:56.315, 144.52 W, 96 %
2025/12/06 11:44:56.415, 145.30 W, 96 %
2025/12/06 11:44:56.515, 146.24 W, 95 %
2025/12/06 11:44:56.615, 146.27 W, 95 %
2025/12/06 11:44:56.716, 146.72 W, 95 %
2025/12/06 11:44:56.816, 146.90 W, 95 %
2025/12/06 11:44:56.916, 146.63 W, 95 %
2025/12/06 11:44:57.016, 145.58 W, 95 %
2025/12/06 11:44:57.116, 144.83 W, 95 %
2025/12/06 11:44:57.216, 144.61 W, 95 %
2025/12/06 11:44:57.317, 145.59 W, 95 %
2025/12/06 11:44:57.417, 145.94 W, 95 %
2025/12/06 11:44:57.517, 146.00 W, 95 %
2025/12/06 11:44:57.617, 145.61 W, 95 %
2025/12/06 11:44:57.717, 145.60 W, 95 %
2025/12/06 11:44:57.817, 145.21 W, 95 %
2025/12/06 11:44:57.917, 141.60 W, 89 %
2025/12/06 11:44:58.018, 141.00 W, 89 %
2025/12/06 11:44:58.118, 141.59 W, 96 %
2025/12/06 11:44:58.218, 142.77 W, 96 %
2025/12/06 11:44:58.318, 142.43 W, 93 %
2025/12/06 11:44:58.418, 142.97 W, 93 %
2025/12/06 11:44:58.518, 142.80 W, 95 %
2025/12/06 11:44:58.618, 142.90 W, 95 %
2025/12/06 11:44:58.719, 141.96 W, 95 %
2025/12/06 11:44:58.819, 140.89 W, 95 %
2025/12/06 11:44:58.919, 140.77 W, 97 %
2025/12/06 11:44:59.019, 143.74 W, 97 %
2025/12/06 11:44:59.119, 144.19 W, 95 %
2025/12/06 11:44:59.219, 144.28 W, 95 %
2025/12/06 11:44:59.319, 144.39 W, 96 %
2025/12/06 11:44:59.420, 144.95 W, 96 %
2025/12/06 11:44:59.520, 144.63 W, 95 %
2025/12/06 11:44:59.620, 143.82 W, 95 %
2025/12/06 11:44:59.720, 143.35 W, 95 %
2025/12/06 11:44:59.820, 143.90 W, 95 %
2025/12/06 11:44:59.920, 144.72 W, 94 %
2025/12/06 11:45:00.020, 144.98 W, 94 %
2025/12/06 11:45:00.121, 144.79 W, 95 %
2025/12/06 11:45:00.221, 145.57 W, 95 %
2025/12/06 11:45:00.321, 145.60 W, 95 %
2025/12/06 11:45:00.421, 145.59 W, 95 %
2025/12/06 11:45:00.521, 145.03 W, 96 %
2025/12/06 11:45:00.621, 144.75 W, 96 %
2025/12/06 11:45:00.721, 145.35 W, 96 %
2025/12/06 11:45:00.822, 145.56 W, 96 %
2025/12/06 11:45:00.922, 145.89 W, 95 %
2025/12/06 11:45:01.022, 145.84 W, 95 %
2025/12/06 11:45:01.122, 146.07 W, 95 %
2025/12/06 11:45:01.222, 146.36 W, 95 %
2025/12/06 11:45:01.322, 145.21 W, 94 %
2025/12/06 11:45:01.422, 144.37 W, 94 %
2025/12/06 11:45:01.523, 144.28 W, 96 %
2025/12/06 11:45:01.623, 144.50 W, 96 %
2025/12/06 11:45:01.723, 144.57 W, 95 %
2025/12/06 11:45:01.823, 144.51 W, 95 %
2025/12/06 11:45:01.923, 144.79 W, 95 %
2025/12/06 11:45:02.023, 144.62 W, 95 %
2025/12/06 11:45:02.124, 144.76 W, 96 %
2025/12/06 11:45:02.224, 144.62 W, 96 %
2025/12/06 11:45:02.324, 143.82 W, 96 %
2025/12/06 11:45:02.424, 143.41 W, 96 %
2025/12/06 11:45:02.524, 144.06 W, 97 %
2025/12/06 11:45:02.624, 144.07 W, 97 %
2025/12/06 11:45:02.724, 144.48 W, 95 %
2025/12/06 11:45:02.825, 144.56 W, 95 %
2025/12/06 11:45:02.925, 144.46 W, 95 %
2025/12/06 11:45:03.025, 144.02 W, 95 %
2025/12/06 11:45:03.125, 144.23 W, 95 %
2025/12/06 11:45:03.225, 143.32 W, 95 %
2025/12/06 11:45:03.325, 143.19 W, 95 %
2025/12/06 11:45:03.425, 143.85 W, 95 %
2025/12/06 11:45:03.526, 144.50 W, 95 %
2025/12/06 11:45:03.626, 145.28 W, 95 %
2025/12/06 11:45:03.726, 145.17 W, 95 %
2025/12/06 11:45:03.826, 145.38 W, 95 %
2025/12/06 11:45:03.926, 145.15 W, 96 %
2025/12/06 11:45:04.026, 145.26 W, 96 %
2025/12/06 11:45:04.126, 144.93 W, 95 %
2025/12/06 11:45:04.227, 144.77 W, 95 %
2025/12/06 11:45:04.327, 145.65 W, 97 %
2025/12/06 11:45:04.427, 145.52 W, 97 %
2025/12/06 11:45:04.527, 145.12 W, 96 %
2025/12/06 11:45:04.627, 145.67 W, 96 %
2025/12/06 11:45:04.727, 145.55 W, 94 %
2025/12/06 11:45:04.827, 145.58 W, 94 %
2025/12/06 11:45:04.928, 145.29 W, 95 %
2025/12/06 11:45:05.028, 144.79 W, 95 %
2025/12/06 11:45:05.128, 144.44 W, 96 %
2025/12/06 11:45:05.228, 145.15 W, 96 %
2025/12/06 11:45:05.328, 145.08 W, 95 %
2025/12/06 11:45:05.428, 145.03 W, 95 %
2025/12/06 11:45:05.528, 145.10 W, 95 %
2025/12/06 11:45:05.629, 146.05 W, 95 %
2025/12/06 11:45:05.729, 145.52 W, 96 %
2025/12/06 11:45:05.829, 145.27 W, 96 %
2025/12/06 11:45:05.929, 144.87 W, 96 %
2025/12/06 11:45:06.029, 143.82 W, 96 %
2025/12/06 11:45:06.129, 144.38 W, 97 %
2025/12/06 11:45:06.229, 144.67 W, 97 %
2025/12/06 11:45:06.330, 144.40 W, 95 %
2025/12/06 11:45:06.430, 144.74 W, 95 %
2025/12/06 11:45:06.530, 145.20 W, 95 %
2025/12/06 11:45:06.630, 145.09 W, 95 %
2025/12/06 11:45:06.730, 144.73 W, 95 %
