timestamp, power.draw [W], utilization.gpu [%]
2025/12/06 13:25:34.224, 145.44 W, 8 %
2025/12/06 13:25:34.327, 140.48 W, 8 %
2025/12/06 13:25:34.427, 133.95 W, 1 %
2025/12/06 13:25:34.527, 127.05 W, 1 %
2025/12/06 13:25:34.627, 121.38 W, 78 %
2025/12/06 13:25:34.727, 118.81 W, 78 %
2025/12/06 13:25:34.827, 122.53 W, 94 %
2025/12/06 13:25:34.927, 119.65 W, 94 %
2025/12/06 13:25:35.028, 123.61 W, 94 %
2025/12/06 13:25:35.128, 124.07 W, 94 %
2025/12/06 13:25:35.228, 130.52 W, 94 %
2025/12/06 13:25:35.328, 137.51 W, 94 %
2025/12/06 13:25:35.428, 143.65 W, 93 %
2025/12/06 13:25:35.528, 156.46 W, 93 %
2025/12/06 13:25:35.628, 159.01 W, 87 %
2025/12/06 13:25:35.728, 159.47 W, 87 %
2025/12/06 13:25:35.828, 157.90 W, 93 %
2025/12/06 13:25:35.928, 158.01 W, 93 %
2025/12/06 13:25:36.029, 158.20 W, 94 %
2025/12/06 13:25:36.129, 158.13 W, 94 %
2025/12/06 13:25:36.229, 157.76 W, 93 %
2025/12/06 13:25:36.329, 158.02 W, 93 %
2025/12/06 13:25:36.429, 157.80 W, 94 %
2025/12/06 13:25:36.529, 157.66 W, 94 %
2025/12/06 13:25:36.629, 157.65 W, 92 %
2025/12/06 13:25:36.729, 159.80 W, 92 %
2025/12/06 13:25:36.829, 159.96 W, 94 %
2025/12/06 13:25:36.929, 160.46 W, 94 %
2025/12/06 13:25:37.030, 160.58 W, 93 %
2025/12/06 13:25:37.130, 160.77 W, 93 %
2025/12/06 13:25:37.230, 160.70 W, 94 %
2025/12/06 13:25:37.330, 160.79 W, 94 %
2025/12/06 13:25:37.430, 160.57 W, 93 %
2025/12/06 13:25:37.530, 160.41 W, 93 %
2025/12/06 13:25:37.630, 159.86 W, 92 %
2025/12/06 13:25:37.730, 159.44 W, 92 %
2025/12/06 13:25:37.830, 159.63 W, 94 %
2025/12/06 13:25:37.930, 160.01 W, 94 %
2025/12/06 13:25:38.031, 160.03 W, 94 %
2025/12/06 13:25:38.131, 159.04 W, 94 %
2025/12/06 13:25:38.231, 159.61 W, 94 %
2025/12/06 13:25:38.331, 159.66 W, 94 %
2025/12/06 13:25:38.431, 159.24 W, 94 %
2025/12/06 13:25:38.531, 158.69 W, 94 %
2025/12/06 13:25:38.631, 158.32 W, 94 %
2025/12/06 13:25:38.731, 159.03 W, 94 %
2025/12/06 13:25:38.831, 159.67 W, 94 %
2025/12/06 13:25:38.931, 159.77 W, 94 %
2025/12/06 13:25:39.032, 160.02 W, 94 %
2025/12/06 13:25:39.132, 160.14 W, 94 %
2025/12/06 13:25:39.232, 160.20 W, 94 %
2025/12/06 13:25:39.332, 159.54 W, 94 %
2025/12/06 13:25:39.432, 159.37 W, 94 %
2025/12/06 13:25:39.532, 159.54 W, 94 %
2025/12/06 13:25:39.632, 159.99 W, 94 %
2025/12/06 13:25:39.732, 160.18 W, 94 %
2025/12/06 13:25:39.832, 160.45 W, 94 %
2025/12/06 13:25:39.932, 160.81 W, 94 %
2025/12/06 13:25:40.033, 160.71 W, 93 %
2025/12/06 13:25:40.133, 160.64 W, 93 %
2025/12/06 13:25:40.233, 160.54 W, 94 %
2025/12/06 13:25:40.333, 160.36 W, 94 %
2025/12/06 13:25:40.433, 160.11 W, 92 %
2025/12/06 13:25:40.533, 159.61 W, 92 %
2025/12/06 13:25:40.633, 159.57 W, 94 %
2025/12/06 13:25:40.733, 160.05 W, 94 %
2025/12/06 13:25:40.833, 160.31 W, 93 %
2025/12/06 13:25:40.933, 160.39 W, 93 %
2025/12/06 13:25:41.034, 160.12 W, 94 %
2025/12/06 13:25:41.134, 159.91 W, 94 %
2025/12/06 13:25:41.234, 159.89 W, 93 %
2025/12/06 13:25:41.334, 160.00 W, 93 %
2025/12/06 13:25:41.434, 160.11 W, 92 %
2025/12/06 13:25:41.534, 160.51 W, 92 %
2025/12/06 13:25:41.634, 160.88 W, 93 %
2025/12/06 13:25:41.734, 160.64 W, 93 %
2025/12/06 13:25:41.834, 160.95 W, 94 %
2025/12/06 13:25:41.934, 160.23 W, 94 %
2025/12/06 13:25:42.035, 160.51 W, 94 %
2025/12/06 13:25:42.135, 160.54 W, 94 %
2025/12/06 13:25:42.235, 160.57 W, 94 %
2025/12/06 13:25:42.335, 160.71 W, 94 %
2025/12/06 13:25:42.435, 160.63 W, 94 %
2025/12/06 13:25:42.535, 160.47 W, 94 %
2025/12/06 13:25:42.635, 160.24 W, 94 %
2025/12/06 13:25:42.735, 160.57 W, 94 %
2025/12/06 13:25:42.835, 160.49 W, 94 %
2025/12/06 13:25:42.935, 160.52 W, 94 %
2025/12/06 13:25:43.035, 160.63 W, 93 %
2025/12/06 13:25:43.136, 160.60 W, 93 %
2025/12/06 13:25:43.236, 160.58 W, 94 %
2025/12/06 13:25:43.336, 160.60 W, 94 %
2025/12/06 13:25:43.436, 160.38 W, 94 %
2025/12/06 13:25:43.536, 160.40 W, 94 %
2025/12/06 13:25:43.636, 160.28 W, 94 %
2025/12/06 13:25:43.736, 160.92 W, 94 %
2025/12/06 13:25:43.836, 160.59 W, 93 %
2025/12/06 13:25:43.936, 160.52 W, 93 %
2025/12/06 13:25:44.036, 160.29 W, 94 %
