timestamp, power.draw [W], utilization.gpu [%]
2026/03/18 04:31:01.002, 192.88 W, 4 %
2026/03/18 04:31:01.104, 178.21 W, 4 %
2026/03/18 04:31:01.205, 164.10 W, 0 %
2026/03/18 04:31:01.305, 146.74 W, 0 %
2026/03/18 04:31:01.405, 135.07 W, 0 %
2026/03/18 04:31:01.505, 118.53 W, 4 %
2026/03/18 04:31:01.605, 106.54 W, 4 %
2026/03/18 04:31:01.705, 95.54 W, 36 %
2026/03/18 04:31:01.805, 94.81 W, 36 %
2026/03/18 04:31:01.905, 99.54 W, 90 %
2026/03/18 04:31:02.006, 102.38 W, 90 %
2026/03/18 04:31:02.106, 106.21 W, 90 %
2026/03/18 04:31:02.206, 110.32 W, 90 %
2026/03/18 04:31:02.306, 114.54 W, 87 %
2026/03/18 04:31:02.406, 118.85 W, 87 %
2026/03/18 04:31:02.506, 122.99 W, 85 %
2026/03/18 04:31:02.606, 127.07 W, 85 %
2026/03/18 04:31:02.707, 127.68 W, 90 %
2026/03/18 04:31:02.807, 127.44 W, 90 %
2026/03/18 04:31:02.907, 127.67 W, 89 %
2026/03/18 04:31:03.007, 127.73 W, 89 %
2026/03/18 04:31:03.107, 128.08 W, 90 %
2026/03/18 04:31:03.207, 128.23 W, 90 %
2026/03/18 04:31:03.307, 128.02 W, 89 %
2026/03/18 04:31:03.408, 127.94 W, 89 %
2026/03/18 04:31:03.508, 127.83 W, 89 %
2026/03/18 04:31:03.608, 127.71 W, 89 %
2026/03/18 04:31:03.708, 127.55 W, 90 %
2026/03/18 04:31:03.808, 127.74 W, 90 %
2026/03/18 04:31:03.908, 127.63 W, 89 %
2026/03/18 04:31:04.009, 127.69 W, 89 %
2026/03/18 04:31:04.109, 127.45 W, 88 %
2026/03/18 04:31:04.209, 127.02 W, 88 %
2026/03/18 04:31:04.309, 127.01 W, 90 %
2026/03/18 04:31:04.409, 126.82 W, 90 %
2026/03/18 04:31:04.509, 127.00 W, 89 %
2026/03/18 04:31:04.609, 127.19 W, 89 %
2026/03/18 04:31:04.710, 127.05 W, 90 %
2026/03/18 04:31:04.810, 126.75 W, 90 %
2026/03/18 04:31:04.910, 126.46 W, 88 %
2026/03/18 04:31:05.010, 126.37 W, 88 %
2026/03/18 04:31:05.110, 126.32 W, 90 %
2026/03/18 04:31:05.210, 126.75 W, 90 %
2026/03/18 04:31:05.310, 126.94 W, 90 %
2026/03/18 04:31:05.411, 127.05 W, 90 %
2026/03/18 04:31:05.511, 126.97 W, 88 %
2026/03/18 04:31:05.611, 126.88 W, 88 %
2026/03/18 04:31:05.711, 126.86 W, 89 %
2026/03/18 04:31:05.811, 126.87 W, 89 %
2026/03/18 04:31:05.911, 127.00 W, 90 %
2026/03/18 04:31:06.011, 127.02 W, 90 %
2026/03/18 04:31:06.112, 127.34 W, 90 %
2026/03/18 04:31:06.212, 127.32 W, 90 %
2026/03/18 04:31:06.312, 127.21 W, 89 %
2026/03/18 04:31:06.412, 127.46 W, 89 %
2026/03/18 04:31:06.512, 127.55 W, 90 %
2026/03/18 04:31:06.612, 127.55 W, 90 %
2026/03/18 04:31:06.712, 127.61 W, 90 %
2026/03/18 04:31:06.813, 127.61 W, 90 %
2026/03/18 04:31:06.913, 127.64 W, 89 %
2026/03/18 04:31:07.013, 127.64 W, 89 %
2026/03/18 04:31:07.113, 127.78 W, 89 %
2026/03/18 04:31:07.213, 127.60 W, 89 %
2026/03/18 04:31:07.313, 127.38 W, 90 %
2026/03/18 04:31:07.413, 126.87 W, 90 %
2026/03/18 04:31:07.514, 127.01 W, 90 %
2026/03/18 04:31:07.614, 126.94 W, 90 %
2026/03/18 04:31:07.714, 127.12 W, 90 %
2026/03/18 04:31:07.814, 126.94 W, 90 %
2026/03/18 04:31:07.914, 127.10 W, 90 %
2026/03/18 04:31:08.014, 126.80 W, 90 %
2026/03/18 04:31:08.114, 126.57 W, 89 %
2026/03/18 04:31:08.215, 126.80 W, 89 %
2026/03/18 04:31:08.315, 126.91 W, 89 %
2026/03/18 04:31:08.415, 126.96 W, 89 %
2026/03/18 04:31:08.515, 126.60 W, 90 %
2026/03/18 04:31:08.615, 126.59 W, 90 %
2026/03/18 04:31:08.715, 126.52 W, 89 %
2026/03/18 04:31:08.815, 126.75 W, 89 %
2026/03/18 04:31:08.916, 126.79 W, 90 %
2026/03/18 04:31:09.016, 127.30 W, 90 %
2026/03/18 04:31:09.116, 127.27 W, 90 %
2026/03/18 04:31:09.216, 126.93 W, 90 %
2026/03/18 04:31:09.316, 127.08 W, 89 %
2026/03/18 04:31:09.416, 127.30 W, 89 %
2026/03/18 04:31:09.516, 127.40 W, 90 %
2026/03/18 04:31:09.616, 127.34 W, 90 %
2026/03/18 04:31:09.717, 127.30 W, 90 %
2026/03/18 04:31:09.817, 127.11 W, 90 %
2026/03/18 04:31:09.917, 126.86 W, 89 %
2026/03/18 04:31:10.017, 126.80 W, 89 %
2026/03/18 04:31:10.117, 126.62 W, 90 %
2026/03/18 04:31:10.217, 126.67 W, 90 %
2026/03/18 04:31:10.318, 126.75 W, 90 %
2026/03/18 04:31:10.418, 126.43 W, 90 %
2026/03/18 04:31:10.518, 126.55 W, 90 %
2026/03/18 04:31:10.618, 126.60 W, 90 %
2026/03/18 04:31:10.718, 126.57 W, 90 %
2026/03/18 04:31:10.818, 126.38 W, 90 %
2026/03/18 04:31:10.918, 126.59 W, 90 %
2026/03/18 04:31:11.019, 126.81 W, 90 %
2026/03/18 04:31:11.119, 126.96 W, 90 %
2026/03/18 04:31:11.219, 127.04 W, 90 %
2026/03/18 04:31:11.319, 126.73 W, 89 %
2026/03/18 04:31:11.419, 126.91 W, 89 %
2026/03/18 04:31:11.519, 127.01 W, 89 %
2026/03/18 04:31:11.619, 127.25 W, 89 %
2026/03/18 04:31:11.720, 127.37 W, 90 %
2026/03/18 04:31:11.820, 127.31 W, 90 %
2026/03/18 04:31:11.920, 127.29 W, 90 %
2026/03/18 04:31:12.020, 127.03 W, 90 %
2026/03/18 04:31:12.120, 127.04 W, 90 %
2026/03/18 04:31:12.220, 127.09 W, 90 %
2026/03/18 04:31:12.320, 127.42 W, 90 %
2026/03/18 04:31:12.421, 127.25 W, 90 %
2026/03/18 04:31:12.521, 127.04 W, 90 %
2026/03/18 04:31:12.621, 126.58 W, 90 %
2026/03/18 04:31:12.721, 126.47 W, 90 %
2026/03/18 04:31:12.821, 126.62 W, 90 %
2026/03/18 04:31:12.921, 126.64 W, 90 %
2026/03/18 04:31:13.021, 126.76 W, 90 %
2026/03/18 04:31:13.122, 126.85 W, 89 %
2026/03/18 04:31:13.222, 126.68 W, 89 %
2026/03/18 04:31:13.322, 126.88 W, 90 %
2026/03/18 04:31:13.422, 126.69 W, 90 %
2026/03/18 04:31:13.522, 126.67 W, 89 %
2026/03/18 04:31:13.622, 126.70 W, 89 %
2026/03/18 04:31:13.722, 126.51 W, 89 %
2026/03/18 04:31:13.823, 126.62 W, 89 %
2026/03/18 04:31:13.923, 126.68 W, 90 %
2026/03/18 04:31:14.023, 126.88 W, 90 %
2026/03/18 04:31:14.123, 126.85 W, 90 %
2026/03/18 04:31:14.223, 127.04 W, 90 %
2026/03/18 04:31:14.323, 126.70 W, 89 %
2026/03/18 04:31:14.423, 126.80 W, 89 %
2026/03/18 04:31:14.524, 127.22 W, 90 %
2026/03/18 04:31:14.624, 127.36 W, 90 %
2026/03/18 04:31:14.724, 127.32 W, 90 %
2026/03/18 04:31:14.824, 127.52 W, 90 %
2026/03/18 04:31:14.924, 127.16 W, 90 %
2026/03/18 04:31:15.024, 126.85 W, 90 %
2026/03/18 04:31:15.124, 126.69 W, 89 %
2026/03/18 04:31:15.225, 126.36 W, 89 %
2026/03/18 04:31:15.325, 126.09 W, 89 %
2026/03/18 04:31:15.425, 126.05 W, 89 %
2026/03/18 04:31:15.525, 125.85 W, 90 %
2026/03/18 04:31:15.625, 126.07 W, 90 %
2026/03/18 04:31:15.725, 126.26 W, 89 %
2026/03/18 04:31:15.825, 126.09 W, 89 %
2026/03/18 04:31:15.926, 126.35 W, 88 %
2026/03/18 04:31:16.026, 126.39 W, 88 %
2026/03/18 04:31:16.126, 126.40 W, 90 %
2026/03/18 04:31:16.226, 126.82 W, 90 %
2026/03/18 04:31:16.326, 126.88 W, 90 %
2026/03/18 04:31:16.426, 126.85 W, 90 %
2026/03/18 04:31:16.526, 126.99 W, 89 %
2026/03/18 04:31:16.627, 126.48 W, 89 %
2026/03/18 04:31:16.727, 126.43 W, 89 %
2026/03/18 04:31:16.827, 126.44 W, 89 %
2026/03/18 04:31:16.927, 126.75 W, 89 %
