timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 04:29:38.974, 115.08 W, 67 %
2026/03/17 04:29:39.076, 115.08 W, 67 %
2026/03/17 04:29:39.176, 110.62 W, 2 %
2026/03/17 04:29:39.276, 106.77 W, 2 %
2026/03/17 04:29:39.377, 102.87 W, 0 %
2026/03/17 04:29:39.477, 99.07 W, 0 %
2026/03/17 04:29:39.577, 95.69 W, 6 %
2026/03/17 04:29:39.677, 91.93 W, 6 %
2026/03/17 04:29:39.777, 88.18 W, 99 %
2026/03/17 04:29:39.877, 83.74 W, 99 %
2026/03/17 04:29:39.977, 82.62 W, 99 %
2026/03/17 04:29:40.078, 82.61 W, 99 %
2026/03/17 04:29:40.178, 82.66 W, 99 %
2026/03/17 04:29:40.278, 82.75 W, 99 %
2026/03/17 04:29:40.378, 82.84 W, 99 %
2026/03/17 04:29:40.478, 82.84 W, 99 %
2026/03/17 04:29:40.578, 82.81 W, 99 %
2026/03/17 04:29:40.679, 82.79 W, 99 %
2026/03/17 04:29:40.779, 82.80 W, 99 %
2026/03/17 04:29:40.879, 82.80 W, 99 %
2026/03/17 04:29:40.979, 82.82 W, 99 %
2026/03/17 04:29:41.079, 82.79 W, 99 %
2026/03/17 04:29:41.179, 82.76 W, 99 %
2026/03/17 04:29:41.279, 82.76 W, 99 %
2026/03/17 04:29:41.380, 82.79 W, 99 %
2026/03/17 04:29:41.480, 82.82 W, 99 %
2026/03/17 04:29:41.580, 82.79 W, 99 %
2026/03/17 04:29:41.680, 82.75 W, 99 %
2026/03/17 04:29:41.780, 82.75 W, 99 %
2026/03/17 04:29:41.880, 82.78 W, 99 %
2026/03/17 04:29:41.980, 82.78 W, 99 %
2026/03/17 04:29:42.081, 82.79 W, 99 %
2026/03/17 04:29:42.181, 82.75 W, 99 %
2026/03/17 04:29:42.281, 82.73 W, 99 %
2026/03/17 04:29:42.381, 82.75 W, 99 %
2026/03/17 04:29:42.481, 82.78 W, 99 %
2026/03/17 04:29:42.581, 82.81 W, 99 %
2026/03/17 04:29:42.682, 82.82 W, 99 %
2026/03/17 04:29:42.782, 82.78 W, 99 %
2026/03/17 04:29:42.882, 82.77 W, 99 %
2026/03/17 04:29:42.982, 82.77 W, 99 %
2026/03/17 04:29:43.082, 82.78 W, 99 %
2026/03/17 04:29:43.182, 82.81 W, 99 %
2026/03/17 04:29:43.282, 82.76 W, 99 %
2026/03/17 04:29:43.383, 82.73 W, 99 %
2026/03/17 04:29:43.483, 82.71 W, 99 %
2026/03/17 04:29:43.583, 82.73 W, 99 %
2026/03/17 04:29:43.683, 82.73 W, 99 %
2026/03/17 04:29:43.783, 82.76 W, 94 %
2026/03/17 04:29:43.883, 82.71 W, 94 %
2026/03/17 04:29:43.984, 82.70 W, 99 %
2026/03/17 04:29:44.084, 82.71 W, 99 %
2026/03/17 04:29:44.184, 82.71 W, 99 %
2026/03/17 04:29:44.284, 82.74 W, 99 %
2026/03/17 04:29:44.384, 82.73 W, 99 %
2026/03/17 04:29:44.484, 82.71 W, 99 %
2026/03/17 04:29:44.584, 82.72 W, 99 %
2026/03/17 04:29:44.685, 82.74 W, 99 %
2026/03/17 04:29:44.785, 82.75 W, 99 %
2026/03/17 04:29:44.885, 82.78 W, 99 %
2026/03/17 04:29:44.985, 82.75 W, 99 %
2026/03/17 04:29:45.085, 82.72 W, 99 %
2026/03/17 04:29:45.185, 82.74 W, 99 %
2026/03/17 04:29:45.286, 82.76 W, 99 %
2026/03/17 04:29:45.386, 82.79 W, 99 %
2026/03/17 04:29:45.486, 82.78 W, 99 %
2026/03/17 04:29:45.586, 82.73 W, 99 %
2026/03/17 04:29:45.686, 82.71 W, 99 %
2026/03/17 04:29:45.786, 82.73 W, 99 %
2026/03/17 04:29:45.886, 82.75 W, 99 %
2026/03/17 04:29:45.987, 82.77 W, 99 %
2026/03/17 04:29:46.087, 82.74 W, 99 %
2026/03/17 04:29:46.187, 82.69 W, 99 %
2026/03/17 04:29:46.287, 82.69 W, 99 %
2026/03/17 04:29:46.387, 82.71 W, 99 %
2026/03/17 04:29:46.487, 82.74 W, 99 %
2026/03/17 04:29:46.588, 82.74 W, 99 %
2026/03/17 04:29:46.688, 82.69 W, 99 %
2026/03/17 04:29:46.788, 82.68 W, 99 %
2026/03/17 04:29:46.888, 82.67 W, 99 %
2026/03/17 04:29:46.988, 82.72 W, 99 %
2026/03/17 04:29:47.088, 82.75 W, 99 %
2026/03/17 04:29:47.189, 82.75 W, 99 %
2026/03/17 04:29:47.289, 82.71 W, 99 %
2026/03/17 04:29:47.389, 82.69 W, 99 %
2026/03/17 04:29:47.489, 82.71 W, 99 %
2026/03/17 04:29:47.589, 82.75 W, 99 %
2026/03/17 04:29:47.689, 82.73 W, 99 %
2026/03/17 04:29:47.789, 82.71 W, 99 %
2026/03/17 04:29:47.890, 82.70 W, 99 %
2026/03/17 04:29:47.990, 82.70 W, 99 %
2026/03/17 04:29:48.090, 82.74 W, 99 %
2026/03/17 04:29:48.190, 82.74 W, 99 %
2026/03/17 04:29:48.290, 82.70 W, 99 %
2026/03/17 04:29:48.390, 82.70 W, 99 %
2026/03/17 04:29:48.490, 82.75 W, 99 %
2026/03/17 04:29:48.591, 82.77 W, 99 %
2026/03/17 04:29:48.691, 82.79 W, 99 %
2026/03/17 04:29:48.791, 82.75 W, 99 %
2026/03/17 04:29:48.891, 82.72 W, 99 %
2026/03/17 04:29:48.991, 82.73 W, 99 %
2026/03/17 04:29:49.091, 82.76 W, 99 %
2026/03/17 04:29:49.192, 82.80 W, 99 %
2026/03/17 04:29:49.292, 82.80 W, 99 %
2026/03/17 04:29:49.392, 82.75 W, 99 %
2026/03/17 04:29:49.492, 82.70 W, 99 %
2026/03/17 04:29:49.592, 82.69 W, 99 %
2026/03/17 04:29:49.692, 82.71 W, 99 %
2026/03/17 04:29:49.792, 82.76 W, 99 %
2026/03/17 04:29:49.893, 82.75 W, 98 %
2026/03/17 04:29:49.993, 82.69 W, 98 %
2026/03/17 04:29:50.093, 82.68 W, 99 %
2026/03/17 04:29:50.193, 82.68 W, 99 %
2026/03/17 04:29:50.293, 82.72 W, 99 %
2026/03/17 04:29:50.393, 82.74 W, 99 %
2026/03/17 04:29:50.494, 82.70 W, 99 %
2026/03/17 04:29:50.594, 82.69 W, 99 %
2026/03/17 04:29:50.694, 82.69 W, 99 %
2026/03/17 04:29:50.794, 82.71 W, 99 %
2026/03/17 04:29:50.894, 82.73 W, 99 %
2026/03/17 04:29:50.994, 82.73 W, 99 %
2026/03/17 04:29:51.095, 82.70 W, 99 %
2026/03/17 04:29:51.195, 82.68 W, 99 %
2026/03/17 04:29:51.295, 82.70 W, 99 %
2026/03/17 04:29:51.395, 82.73 W, 99 %
2026/03/17 04:29:51.495, 82.76 W, 99 %
2026/03/17 04:29:51.595, 82.73 W, 99 %
2026/03/17 04:29:51.695, 82.73 W, 99 %
2026/03/17 04:29:51.796, 82.72 W, 99 %
2026/03/17 04:29:51.896, 82.74 W, 98 %
2026/03/17 04:29:51.996, 82.77 W, 98 %
2026/03/17 04:29:52.096, 82.76 W, 99 %
2026/03/17 04:29:52.196, 82.74 W, 99 %
2026/03/17 04:29:52.296, 82.72 W, 99 %
2026/03/17 04:29:52.396, 82.74 W, 99 %
2026/03/17 04:29:52.497, 82.76 W, 99 %
2026/03/17 04:29:52.597, 82.78 W, 99 %
2026/03/17 04:29:52.697, 82.72 W, 99 %
2026/03/17 04:29:52.797, 82.69 W, 99 %
2026/03/17 04:29:52.897, 82.68 W, 99 %
2026/03/17 04:29:52.997, 82.69 W, 99 %
2026/03/17 04:29:53.098, 82.73 W, 99 %
2026/03/17 04:29:53.198, 82.76 W, 99 %
2026/03/17 04:29:53.298, 82.71 W, 99 %
2026/03/17 04:29:53.398, 82.69 W, 99 %
2026/03/17 04:29:53.498, 82.68 W, 99 %
2026/03/17 04:29:53.598, 82.69 W, 99 %
2026/03/17 04:29:53.698, 82.76 W, 99 %
2026/03/17 04:29:53.799, 82.75 W, 99 %
2026/03/17 04:29:53.899, 82.74 W, 99 %
2026/03/17 04:29:53.999, 82.72 W, 99 %
2026/03/17 04:29:54.099, 82.71 W, 99 %
2026/03/17 04:29:54.199, 82.71 W, 99 %
2026/03/17 04:29:54.299, 82.75 W, 99 %
2026/03/17 04:29:54.400, 82.71 W, 99 %
2026/03/17 04:29:54.500, 82.70 W, 99 %
2026/03/17 04:29:54.600, 82.71 W, 99 %
2026/03/17 04:29:54.700, 82.73 W, 99 %
2026/03/17 04:29:54.800, 82.76 W, 99 %
2026/03/17 04:29:54.900, 82.72 W, 99 %
2026/03/17 04:29:55.000, 82.72 W, 99 %
2026/03/17 04:29:55.101, 82.72 W, 99 %
2026/03/17 04:29:55.201, 82.74 W, 99 %
2026/03/17 04:29:55.301, 82.76 W, 99 %
2026/03/17 04:29:55.401, 82.78 W, 99 %
2026/03/17 04:29:55.501, 82.74 W, 99 %
2026/03/17 04:29:55.601, 82.71 W, 99 %
2026/03/17 04:29:55.702, 82.67 W, 99 %
2026/03/17 04:29:55.802, 82.68 W, 99 %
2026/03/17 04:29:55.902, 82.74 W, 99 %
2026/03/17 04:29:56.002, 82.72 W, 99 %
2026/03/17 04:29:56.102, 82.66 W, 98 %
2026/03/17 04:29:56.202, 82.63 W, 98 %
2026/03/17 04:29:56.302, 82.63 W, 99 %
2026/03/17 04:29:56.403, 82.66 W, 99 %
2026/03/17 04:29:56.503, 82.70 W, 99 %
2026/03/17 04:29:56.603, 82.68 W, 99 %
2026/03/17 04:29:56.703, 82.65 W, 99 %
2026/03/17 04:29:56.803, 82.64 W, 99 %
2026/03/17 04:29:56.903, 82.66 W, 99 %
2026/03/17 04:29:57.004, 82.68 W, 99 %
