timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 19:46:54.782, 143.21 W, 20 %
2026/03/17 19:46:54.884, 136.24 W, 20 %
2026/03/17 19:46:54.984, 130.03 W, 0 %
2026/03/17 19:46:55.084, 122.56 W, 0 %
2026/03/17 19:46:55.185, 116.27 W, 0 %
2026/03/17 19:46:55.285, 109.48 W, 0 %
2026/03/17 19:46:55.385, 102.43 W, 0 %
2026/03/17 19:46:55.485, 95.53 W, 0 %
2026/03/17 19:46:55.585, 93.38 W, 11 %
2026/03/17 19:46:55.685, 96.36 W, 11 %
2026/03/17 19:46:55.785, 102.94 W, 95 %
2026/03/17 19:46:55.886, 109.34 W, 95 %
2026/03/17 19:46:55.986, 116.60 W, 94 %
2026/03/17 19:46:56.086, 123.41 W, 94 %
2026/03/17 19:46:56.186, 130.32 W, 95 %
2026/03/17 19:46:56.286, 137.35 W, 95 %
2026/03/17 19:46:56.386, 142.90 W, 95 %
2026/03/17 19:46:56.486, 150.93 W, 95 %
2026/03/17 19:46:56.587, 153.13 W, 95 %
2026/03/17 19:46:56.687, 153.20 W, 95 %
2026/03/17 19:46:56.787, 153.48 W, 95 %
2026/03/17 19:46:56.887, 153.57 W, 95 %
2026/03/17 19:46:56.987, 153.76 W, 95 %
2026/03/17 19:46:57.087, 154.03 W, 95 %
2026/03/17 19:46:57.188, 154.27 W, 95 %
2026/03/17 19:46:57.288, 154.57 W, 95 %
2026/03/17 19:46:57.388, 154.79 W, 95 %
2026/03/17 19:46:57.488, 155.02 W, 95 %
2026/03/17 19:46:57.588, 154.95 W, 95 %
2026/03/17 19:46:57.688, 154.59 W, 95 %
2026/03/17 19:46:57.788, 154.46 W, 95 %
2026/03/17 19:46:57.889, 154.64 W, 95 %
2026/03/17 19:46:57.989, 154.62 W, 95 %
2026/03/17 19:46:58.089, 154.28 W, 95 %
2026/03/17 19:46:58.189, 154.16 W, 92 %
2026/03/17 19:46:58.289, 153.99 W, 92 %
2026/03/17 19:46:58.389, 153.93 W, 95 %
2026/03/17 19:46:58.489, 153.80 W, 95 %
2026/03/17 19:46:58.590, 154.14 W, 95 %
2026/03/17 19:46:58.690, 154.28 W, 95 %
2026/03/17 19:46:58.790, 154.08 W, 95 %
2026/03/17 19:46:58.890, 154.14 W, 95 %
2026/03/17 19:46:58.990, 153.99 W, 94 %
2026/03/17 19:46:59.090, 154.11 W, 94 %
2026/03/17 19:46:59.190, 153.81 W, 95 %
2026/03/17 19:46:59.291, 154.07 W, 95 %
2026/03/17 19:46:59.391, 154.23 W, 95 %
2026/03/17 19:46:59.491, 154.41 W, 95 %
2026/03/17 19:46:59.591, 154.11 W, 95 %
2026/03/17 19:46:59.691, 153.57 W, 95 %
2026/03/17 19:46:59.791, 153.81 W, 88 %
2026/03/17 19:46:59.891, 153.81 W, 88 %
2026/03/17 19:46:59.992, 154.05 W, 95 %
2026/03/17 19:47:00.092, 154.49 W, 95 %
2026/03/17 19:47:00.192, 154.42 W, 95 %
2026/03/17 19:47:00.292, 154.27 W, 95 %
2026/03/17 19:47:00.392, 154.20 W, 95 %
2026/03/17 19:47:00.492, 154.14 W, 95 %
2026/03/17 19:47:00.593, 154.28 W, 94 %
2026/03/17 19:47:00.693, 155.09 W, 94 %
2026/03/17 19:47:00.793, 155.12 W, 95 %
2026/03/17 19:47:00.893, 155.18 W, 95 %
2026/03/17 19:47:00.993, 155.08 W, 95 %
2026/03/17 19:47:01.093, 154.72 W, 95 %
2026/03/17 19:47:01.193, 154.88 W, 95 %
2026/03/17 19:47:01.294, 155.12 W, 95 %
2026/03/17 19:47:01.394, 154.67 W, 95 %
2026/03/17 19:47:01.494, 154.43 W, 95 %
2026/03/17 19:47:01.594, 154.12 W, 95 %
2026/03/17 19:47:01.694, 154.36 W, 95 %
2026/03/17 19:47:01.794, 153.74 W, 95 %
2026/03/17 19:47:01.894, 153.63 W, 95 %
2026/03/17 19:47:01.995, 153.49 W, 95 %
2026/03/17 19:47:02.095, 153.51 W, 95 %
2026/03/17 19:47:02.195, 153.04 W, 95 %
2026/03/17 19:47:02.295, 152.96 W, 95 %
2026/03/17 19:47:02.395, 153.11 W, 95 %
2026/03/17 19:47:02.495, 153.07 W, 95 %
2026/03/17 19:47:02.595, 153.08 W, 95 %
2026/03/17 19:47:02.696, 152.78 W, 95 %
2026/03/17 19:47:02.796, 153.09 W, 95 %
2026/03/17 19:47:02.896, 153.21 W, 95 %
2026/03/17 19:47:02.996, 153.17 W, 94 %
2026/03/17 19:47:03.096, 153.37 W, 94 %
2026/03/17 19:47:03.196, 153.73 W, 95 %
2026/03/17 19:47:03.297, 153.50 W, 95 %
2026/03/17 19:47:03.397, 153.51 W, 95 %
2026/03/17 19:47:03.497, 154.01 W, 95 %
2026/03/17 19:47:03.597, 154.20 W, 95 %
2026/03/17 19:47:03.697, 154.36 W, 95 %
2026/03/17 19:47:03.797, 154.30 W, 89 %
2026/03/17 19:47:03.897, 154.10 W, 89 %
2026/03/17 19:47:03.998, 154.32 W, 95 %
2026/03/17 19:47:04.098, 154.23 W, 95 %
2026/03/17 19:47:04.198, 154.29 W, 95 %
2026/03/17 19:47:04.298, 154.60 W, 95 %
2026/03/17 19:47:04.398, 154.58 W, 95 %
2026/03/17 19:47:04.498, 154.32 W, 95 %
2026/03/17 19:47:04.598, 154.42 W, 95 %
2026/03/17 19:47:04.699, 154.17 W, 95 %
2026/03/17 19:47:04.799, 154.48 W, 94 %
2026/03/17 19:47:04.899, 154.48 W, 94 %
2026/03/17 19:47:04.999, 153.96 W, 95 %
2026/03/17 19:47:05.099, 153.95 W, 95 %
2026/03/17 19:47:05.199, 153.83 W, 95 %
2026/03/17 19:47:05.300, 153.75 W, 95 %
2026/03/17 19:47:05.400, 153.62 W, 95 %
2026/03/17 19:47:05.500, 153.48 W, 95 %
2026/03/17 19:47:05.600, 153.24 W, 95 %
2026/03/17 19:47:05.700, 153.32 W, 95 %
2026/03/17 19:47:05.800, 153.17 W, 95 %
2026/03/17 19:47:05.900, 153.18 W, 95 %
2026/03/17 19:47:06.001, 153.45 W, 95 %
2026/03/17 19:47:06.101, 153.72 W, 95 %
2026/03/17 19:47:06.201, 153.59 W, 95 %
2026/03/17 19:47:06.301, 153.65 W, 95 %
2026/03/17 19:47:06.401, 153.99 W, 95 %
2026/03/17 19:47:06.501, 154.16 W, 95 %
2026/03/17 19:47:06.601, 154.16 W, 95 %
2026/03/17 19:47:06.702, 154.41 W, 95 %
2026/03/17 19:47:06.802, 154.53 W, 95 %
2026/03/17 19:47:06.902, 154.96 W, 95 %
2026/03/17 19:47:07.002, 154.59 W, 95 %
2026/03/17 19:47:07.102, 154.35 W, 95 %
2026/03/17 19:47:07.202, 154.44 W, 95 %
2026/03/17 19:47:07.303, 154.67 W, 95 %
2026/03/17 19:47:07.403, 154.89 W, 95 %
2026/03/17 19:47:07.503, 155.02 W, 95 %
2026/03/17 19:47:07.603, 155.10 W, 95 %
2026/03/17 19:47:07.703, 155.28 W, 95 %
2026/03/17 19:47:07.803, 155.21 W, 95 %
2026/03/17 19:47:07.903, 155.16 W, 95 %
2026/03/17 19:47:08.004, 154.67 W, 89 %
2026/03/17 19:47:08.104, 155.02 W, 89 %
2026/03/17 19:47:08.204, 154.94 W, 95 %
2026/03/17 19:47:08.304, 155.01 W, 95 %
2026/03/17 19:47:08.404, 154.67 W, 95 %
2026/03/17 19:47:08.504, 154.70 W, 95 %
2026/03/17 19:47:08.604, 154.71 W, 95 %
2026/03/17 19:47:08.705, 154.56 W, 95 %
2026/03/17 19:47:08.805, 154.11 W, 92 %
2026/03/17 19:47:08.905, 153.62 W, 92 %
2026/03/17 19:47:09.005, 154.29 W, 95 %
2026/03/17 19:47:09.105, 154.35 W, 95 %
2026/03/17 19:47:09.205, 154.31 W, 95 %
