timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 21:31:05.298, 174.21 W, 10 %
2026/03/17 21:31:05.400, 160.23 W, 10 %
2026/03/17 21:31:05.500, 145.39 W, 0 %
2026/03/17 21:31:05.600, 131.82 W, 0 %
2026/03/17 21:31:05.700, 118.37 W, 0 %
2026/03/17 21:31:05.800, 102.38 W, 0 %
2026/03/17 21:31:05.900, 88.24 W, 0 %
2026/03/17 21:31:06.000, 86.12 W, 0 %
2026/03/17 21:31:06.101, 86.12 W, 1 %
2026/03/17 21:31:06.201, 88.78 W, 1 %
2026/03/17 21:31:06.301, 95.98 W, 89 %
2026/03/17 21:31:06.401, 102.88 W, 89 %
2026/03/17 21:31:06.501, 110.11 W, 94 %
2026/03/17 21:31:06.601, 117.11 W, 94 %
2026/03/17 21:31:06.701, 123.75 W, 91 %
2026/03/17 21:31:06.802, 131.02 W, 91 %
2026/03/17 21:31:06.902, 140.74 W, 94 %
2026/03/17 21:31:07.002, 145.45 W, 94 %
2026/03/17 21:31:07.102, 153.98 W, 90 %
2026/03/17 21:31:07.202, 158.64 W, 90 %
2026/03/17 21:31:07.302, 158.65 W, 93 %
2026/03/17 21:31:07.402, 158.69 W, 93 %
2026/03/17 21:31:07.502, 158.71 W, 92 %
2026/03/17 21:31:07.603, 159.11 W, 92 %
2026/03/17 21:31:07.703, 158.63 W, 93 %
2026/03/17 21:31:07.803, 158.43 W, 93 %
2026/03/17 21:31:07.903, 158.45 W, 91 %
2026/03/17 21:31:08.003, 158.74 W, 91 %
2026/03/17 21:31:08.103, 158.56 W, 92 %
2026/03/17 21:31:08.203, 157.65 W, 92 %
2026/03/17 21:31:08.304, 157.50 W, 83 %
2026/03/17 21:31:08.404, 157.63 W, 83 %
2026/03/17 21:31:08.504, 157.68 W, 92 %
2026/03/17 21:31:08.604, 157.52 W, 92 %
2026/03/17 21:31:08.704, 157.81 W, 92 %
2026/03/17 21:31:08.804, 157.98 W, 92 %
2026/03/17 21:31:08.904, 158.00 W, 93 %
2026/03/17 21:31:09.005, 157.86 W, 93 %
2026/03/17 21:31:09.105, 158.12 W, 93 %
2026/03/17 21:31:09.205, 159.29 W, 93 %
2026/03/17 21:31:09.305, 159.41 W, 94 %
2026/03/17 21:31:09.405, 159.27 W, 94 %
2026/03/17 21:31:09.505, 159.01 W, 92 %
2026/03/17 21:31:09.605, 159.19 W, 92 %
2026/03/17 21:31:09.706, 159.39 W, 94 %
2026/03/17 21:31:09.806, 159.42 W, 94 %
2026/03/17 21:31:09.906, 159.51 W, 93 %
2026/03/17 21:31:10.006, 159.21 W, 93 %
2026/03/17 21:31:10.106, 159.14 W, 92 %
2026/03/17 21:31:10.206, 158.34 W, 92 %
2026/03/17 21:31:10.306, 158.26 W, 86 %
2026/03/17 21:31:10.407, 158.48 W, 86 %
2026/03/17 21:31:10.507, 158.52 W, 94 %
2026/03/17 21:31:10.607, 158.19 W, 94 %
2026/03/17 21:31:10.707, 157.65 W, 93 %
2026/03/17 21:31:10.807, 157.55 W, 93 %
2026/03/17 21:31:10.907, 157.79 W, 93 %
2026/03/17 21:31:11.007, 157.89 W, 93 %
2026/03/17 21:31:11.108, 157.65 W, 93 %
2026/03/17 21:31:11.208, 158.25 W, 93 %
2026/03/17 21:31:11.308, 158.40 W, 94 %
2026/03/17 21:31:11.408, 158.31 W, 94 %
2026/03/17 21:31:11.508, 158.55 W, 93 %
2026/03/17 21:31:11.608, 159.15 W, 93 %
2026/03/17 21:31:11.708, 159.43 W, 93 %
2026/03/17 21:31:11.809, 159.26 W, 93 %
2026/03/17 21:31:11.909, 158.86 W, 90 %
2026/03/17 21:31:12.009, 159.12 W, 90 %
2026/03/17 21:31:12.109, 159.53 W, 94 %
2026/03/17 21:31:12.209, 159.22 W, 94 %
2026/03/17 21:31:12.309, 158.97 W, 89 %
2026/03/17 21:31:12.409, 158.70 W, 89 %
2026/03/17 21:31:12.510, 158.38 W, 93 %
2026/03/17 21:31:12.610, 158.12 W, 93 %
2026/03/17 21:31:12.710, 158.20 W, 92 %
2026/03/17 21:31:12.810, 158.48 W, 92 %
2026/03/17 21:31:12.910, 158.76 W, 94 %
2026/03/17 21:31:13.010, 158.22 W, 94 %
2026/03/17 21:31:13.110, 157.91 W, 93 %
2026/03/17 21:31:13.211, 158.17 W, 93 %
2026/03/17 21:31:13.311, 158.20 W, 94 %
2026/03/17 21:31:13.411, 158.52 W, 94 %
2026/03/17 21:31:13.511, 158.44 W, 92 %
2026/03/17 21:31:13.611, 158.32 W, 92 %
2026/03/17 21:31:13.711, 158.32 W, 93 %
2026/03/17 21:31:13.811, 158.26 W, 93 %
2026/03/17 21:31:13.912, 158.21 W, 93 %
2026/03/17 21:31:14.012, 158.41 W, 93 %
2026/03/17 21:31:14.112, 158.46 W, 94 %
2026/03/17 21:31:14.212, 158.16 W, 94 %
2026/03/17 21:31:14.312, 158.37 W, 89 %
2026/03/17 21:31:14.412, 158.28 W, 89 %
2026/03/17 21:31:14.512, 158.67 W, 94 %
2026/03/17 21:31:14.613, 158.75 W, 94 %
2026/03/17 21:31:14.713, 158.84 W, 94 %
2026/03/17 21:31:14.813, 158.64 W, 94 %
2026/03/17 21:31:14.913, 158.74 W, 94 %
2026/03/17 21:31:15.013, 158.74 W, 94 %
2026/03/17 21:31:15.113, 159.00 W, 92 %
2026/03/17 21:31:15.213, 159.49 W, 92 %
2026/03/17 21:31:15.314, 159.25 W, 94 %
2026/03/17 21:31:15.414, 158.96 W, 94 %
2026/03/17 21:31:15.514, 158.95 W, 94 %
2026/03/17 21:31:15.614, 159.14 W, 94 %
2026/03/17 21:31:15.714, 158.98 W, 93 %
2026/03/17 21:31:15.814, 158.92 W, 93 %
2026/03/17 21:31:15.914, 158.57 W, 93 %
2026/03/17 21:31:16.015, 158.27 W, 93 %
2026/03/17 21:31:16.115, 158.10 W, 93 %
2026/03/17 21:31:16.215, 157.57 W, 93 %
2026/03/17 21:31:16.315, 157.68 W, 89 %
2026/03/17 21:31:16.415, 157.85 W, 89 %
2026/03/17 21:31:16.515, 157.64 W, 94 %
2026/03/17 21:31:16.615, 157.08 W, 94 %
2026/03/17 21:31:16.716, 157.24 W, 93 %
2026/03/17 21:31:16.816, 157.40 W, 93 %
2026/03/17 21:31:16.916, 157.70 W, 94 %
2026/03/17 21:31:17.016, 157.92 W, 94 %
2026/03/17 21:31:17.116, 158.20 W, 93 %
2026/03/17 21:31:17.216, 158.69 W, 93 %
2026/03/17 21:31:17.316, 158.78 W, 93 %
2026/03/17 21:31:17.416, 158.80 W, 93 %
2026/03/17 21:31:17.517, 158.89 W, 91 %
2026/03/17 21:31:17.617, 159.27 W, 91 %
2026/03/17 21:31:17.717, 159.29 W, 94 %
2026/03/17 21:31:17.817, 159.04 W, 94 %
2026/03/17 21:31:17.917, 159.19 W, 92 %
2026/03/17 21:31:18.017, 159.09 W, 92 %
2026/03/17 21:31:18.118, 158.75 W, 94 %
2026/03/17 21:31:18.218, 158.16 W, 94 %
2026/03/17 21:31:18.318, 158.27 W, 89 %
2026/03/17 21:31:18.418, 158.42 W, 89 %
2026/03/17 21:31:18.518, 158.40 W, 94 %
2026/03/17 21:31:18.618, 158.13 W, 94 %
2026/03/17 21:31:18.718, 158.20 W, 92 %
2026/03/17 21:31:18.818, 158.12 W, 92 %
