timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 03:46:41.152, 368.60 W, 4 %
2026/03/17 03:46:41.254, 368.60 W, 4 %
2026/03/17 03:46:41.354, 334.99 W, 4 %
2026/03/17 03:46:41.454, 299.01 W, 0 %
2026/03/17 03:46:41.555, 270.70 W, 0 %
2026/03/17 03:46:41.655, 241.58 W, 0 %
2026/03/17 03:46:41.755, 211.15 W, 0 %
2026/03/17 03:46:41.855, 179.20 W, 0 %
2026/03/17 03:46:41.955, 146.24 W, 0 %
2026/03/17 03:46:42.055, 124.33 W, 0 %
2026/03/17 03:46:42.155, 123.70 W, 0 %
2026/03/17 03:46:42.255, 122.73 W, 0 %
2026/03/17 03:46:42.356, 122.02 W, 0 %
2026/03/17 03:46:42.456, 121.31 W, 0 %
2026/03/17 03:46:42.556, 120.68 W, 0 %
2026/03/17 03:46:42.656, 119.95 W, 0 %
2026/03/17 03:46:42.756, 119.76 W, 0 %
2026/03/17 03:46:42.856, 119.63 W, 0 %
2026/03/17 03:46:42.956, 119.84 W, 0 %
2026/03/17 03:46:43.057, 119.81 W, 7 %
2026/03/17 03:46:43.157, 119.76 W, 7 %
2026/03/17 03:46:43.257, 119.71 W, 0 %
2026/03/17 03:46:43.357, 119.67 W, 0 %
2026/03/17 03:46:43.457, 119.60 W, 0 %
2026/03/17 03:46:43.557, 119.53 W, 0 %
2026/03/17 03:46:43.657, 119.50 W, 0 %
2026/03/17 03:46:43.758, 119.46 W, 0 %
2026/03/17 03:46:43.858, 119.41 W, 0 %
2026/03/17 03:46:43.958, 119.07 W, 0 %
2026/03/17 03:46:44.058, 136.66 W, 33 %
2026/03/17 03:46:44.158, 162.30 W, 33 %
2026/03/17 03:46:44.258, 206.66 W, 97 %
2026/03/17 03:46:44.358, 237.59 W, 97 %
2026/03/17 03:46:44.458, 273.62 W, 97 %
2026/03/17 03:46:44.559, 308.24 W, 97 %
2026/03/17 03:46:44.659, 342.27 W, 97 %
2026/03/17 03:46:44.759, 374.84 W, 97 %
2026/03/17 03:46:44.859, 414.08 W, 97 %
2026/03/17 03:46:44.959, 441.83 W, 97 %
2026/03/17 03:46:45.059, 452.12 W, 97 %
2026/03/17 03:46:45.159, 450.50 W, 97 %
2026/03/17 03:46:45.260, 444.53 W, 97 %
2026/03/17 03:46:45.360, 439.40 W, 97 %
2026/03/17 03:46:45.460, 429.56 W, 67 %
2026/03/17 03:46:45.560, 429.80 W, 67 %
2026/03/17 03:46:45.660, 430.67 W, 97 %
2026/03/17 03:46:45.760, 431.30 W, 97 %
2026/03/17 03:46:45.860, 432.28 W, 97 %
2026/03/17 03:46:45.961, 434.17 W, 97 %
2026/03/17 03:46:46.061, 443.38 W, 97 %
2026/03/17 03:46:46.161, 446.68 W, 97 %
2026/03/17 03:46:46.261, 448.39 W, 97 %
2026/03/17 03:46:46.361, 447.17 W, 97 %
2026/03/17 03:46:46.461, 451.79 W, 97 %
2026/03/17 03:46:46.561, 449.64 W, 97 %
2026/03/17 03:46:46.661, 446.06 W, 97 %
2026/03/17 03:46:46.762, 442.93 W, 97 %
2026/03/17 03:46:46.862, 434.57 W, 73 %
2026/03/17 03:46:46.962, 435.55 W, 73 %
2026/03/17 03:46:47.062, 431.30 W, 97 %
2026/03/17 03:46:47.162, 435.01 W, 97 %
