timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 04:27:26.061, 124.60 W, 64 %
2026/03/17 04:27:26.163, 124.60 W, 64 %
2026/03/17 04:27:26.263, 124.23 W, 64 %
2026/03/17 04:27:26.363, 123.83 W, 0 %
2026/03/17 04:27:26.463, 123.48 W, 0 %
2026/03/17 04:27:26.563, 123.24 W, 0 %
2026/03/17 04:27:26.663, 122.55 W, 0 %
2026/03/17 04:27:26.764, 134.49 W, 65 %
2026/03/17 04:27:26.864, 148.20 W, 65 %
2026/03/17 04:27:26.964, 160.73 W, 95 %
2026/03/17 04:27:27.064, 175.38 W, 95 %
2026/03/17 04:27:27.164, 189.17 W, 95 %
2026/03/17 04:27:27.264, 201.45 W, 95 %
2026/03/17 04:27:27.364, 216.70 W, 95 %
2026/03/17 04:27:27.465, 228.84 W, 95 %
2026/03/17 04:27:27.565, 242.48 W, 95 %
2026/03/17 04:27:27.665, 259.16 W, 95 %
2026/03/17 04:27:27.765, 260.33 W, 94 %
2026/03/17 04:27:27.865, 260.52 W, 94 %
2026/03/17 04:27:27.965, 260.96 W, 95 %
2026/03/17 04:27:28.065, 261.02 W, 95 %
2026/03/17 04:27:28.166, 260.68 W, 95 %
2026/03/17 04:27:28.266, 260.92 W, 95 %
2026/03/17 04:27:28.366, 261.39 W, 95 %
2026/03/17 04:27:28.466, 261.11 W, 95 %
2026/03/17 04:27:28.566, 261.18 W, 95 %
2026/03/17 04:27:28.666, 261.63 W, 95 %
2026/03/17 04:27:28.766, 261.63 W, 95 %
2026/03/17 04:27:28.867, 261.51 W, 95 %
2026/03/17 04:27:28.967, 261.82 W, 95 %
2026/03/17 04:27:29.067, 262.05 W, 95 %
2026/03/17 04:27:29.167, 262.42 W, 95 %
2026/03/17 04:27:29.267, 262.05 W, 95 %
2026/03/17 04:27:29.367, 262.41 W, 95 %
2026/03/17 04:27:29.467, 262.87 W, 95 %
2026/03/17 04:27:29.568, 262.55 W, 95 %
2026/03/17 04:27:29.668, 262.35 W, 95 %
2026/03/17 04:27:29.768, 262.55 W, 95 %
2026/03/17 04:27:29.868, 262.58 W, 95 %
2026/03/17 04:27:29.968, 262.34 W, 95 %
2026/03/17 04:27:30.068, 262.19 W, 95 %
2026/03/17 04:27:30.168, 262.37 W, 95 %
2026/03/17 04:27:30.269, 262.55 W, 95 %
2026/03/17 04:27:30.369, 262.35 W, 95 %
2026/03/17 04:27:30.469, 262.08 W, 95 %
2026/03/17 04:27:30.569, 262.38 W, 95 %
2026/03/17 04:27:30.669, 262.67 W, 95 %
2026/03/17 04:27:30.769, 262.59 W, 95 %
2026/03/17 04:27:30.869, 262.47 W, 95 %
2026/03/17 04:27:30.970, 262.66 W, 95 %
2026/03/17 04:27:31.070, 262.93 W, 95 %
2026/03/17 04:27:31.170, 262.80 W, 95 %
2026/03/17 04:27:31.270, 262.48 W, 95 %
2026/03/17 04:27:31.370, 262.64 W, 95 %
2026/03/17 04:27:31.470, 262.86 W, 95 %
2026/03/17 04:27:31.570, 262.90 W, 95 %
2026/03/17 04:27:31.671, 262.51 W, 95 %
2026/03/17 04:27:31.771, 262.62 W, 95 %
2026/03/17 04:27:31.871, 262.76 W, 95 %
2026/03/17 04:27:31.971, 262.68 W, 95 %
2026/03/17 04:27:32.071, 262.29 W, 95 %
2026/03/17 04:27:32.171, 262.36 W, 95 %
2026/03/17 04:27:32.271, 262.77 W, 95 %
2026/03/17 04:27:32.372, 262.64 W, 95 %
2026/03/17 04:27:32.472, 262.36 W, 95 %
2026/03/17 04:27:32.572, 262.04 W, 95 %
2026/03/17 04:27:32.672, 262.17 W, 95 %
2026/03/17 04:27:32.772, 262.25 W, 95 %
2026/03/17 04:27:32.872, 262.17 W, 95 %
2026/03/17 04:27:32.972, 262.20 W, 95 %
2026/03/17 04:27:33.073, 262.90 W, 95 %
2026/03/17 04:27:33.173, 262.86 W, 95 %
2026/03/17 04:27:33.273, 262.45 W, 95 %
2026/03/17 04:27:33.373, 262.65 W, 95 %
2026/03/17 04:27:33.473, 262.83 W, 95 %
2026/03/17 04:27:33.573, 262.85 W, 95 %
2026/03/17 04:27:33.673, 262.80 W, 95 %
2026/03/17 04:27:33.774, 262.80 W, 95 %
2026/03/17 04:27:33.874, 262.89 W, 95 %
2026/03/17 04:27:33.974, 262.63 W, 95 %
