timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 09:58:56.888, 370.15 W, 10 %
2026/03/17 09:58:56.993, 334.30 W, 2 %
2026/03/17 09:58:57.093, 279.70 W, 2 %
2026/03/17 09:58:57.193, 234.73 W, 0 %
2026/03/17 09:58:57.294, 194.92 W, 0 %
2026/03/17 09:58:57.394, 162.40 W, 0 %
2026/03/17 09:58:57.494, 127.03 W, 0 %
2026/03/17 09:58:57.594, 125.66 W, 0 %
2026/03/17 09:58:57.694, 125.61 W, 0 %
2026/03/17 09:58:57.794, 125.24 W, 0 %
2026/03/17 09:58:57.894, 124.56 W, 0 %
2026/03/17 09:58:57.995, 123.83 W, 0 %
2026/03/17 09:58:58.095, 123.21 W, 0 %
2026/03/17 09:58:58.195, 123.00 W, 3 %
2026/03/17 09:58:58.295, 141.52 W, 3 %
2026/03/17 09:58:58.395, 159.58 W, 87 %
2026/03/17 09:58:58.495, 178.46 W, 87 %
2026/03/17 09:58:58.595, 197.49 W, 87 %
2026/03/17 09:58:58.695, 215.16 W, 87 %
2026/03/17 09:58:58.796, 233.56 W, 88 %
2026/03/17 09:58:58.896, 255.46 W, 88 %
2026/03/17 09:58:58.996, 271.79 W, 88 %
2026/03/17 09:58:59.096, 290.88 W, 88 %
2026/03/17 09:58:59.196, 313.71 W, 88 %
2026/03/17 09:58:59.296, 314.03 W, 88 %
2026/03/17 09:58:59.396, 314.98 W, 88 %
2026/03/17 09:58:59.496, 313.95 W, 88 %
2026/03/17 09:58:59.597, 314.87 W, 88 %
2026/03/17 09:58:59.697, 312.91 W, 88 %
2026/03/17 09:58:59.797, 312.94 W, 87 %
2026/03/17 09:58:59.897, 313.20 W, 87 %
2026/03/17 09:58:59.997, 314.39 W, 88 %
2026/03/17 09:59:00.097, 314.05 W, 88 %
2026/03/17 09:59:00.197, 314.21 W, 88 %
2026/03/17 09:59:00.298, 314.49 W, 88 %
2026/03/17 09:59:00.398, 313.82 W, 88 %
2026/03/17 09:59:00.498, 314.85 W, 88 %
2026/03/17 09:59:00.598, 315.45 W, 89 %
2026/03/17 09:59:00.698, 315.73 W, 89 %
2026/03/17 09:59:00.798, 317.26 W, 83 %
2026/03/17 09:59:00.898, 318.12 W, 83 %
2026/03/17 09:59:00.999, 316.13 W, 88 %
2026/03/17 09:59:01.099, 316.74 W, 88 %
2026/03/17 09:59:01.199, 315.40 W, 86 %
2026/03/17 09:59:01.299, 314.61 W, 86 %
2026/03/17 09:59:01.399, 314.80 W, 88 %
2026/03/17 09:59:01.499, 316.06 W, 88 %
2026/03/17 09:59:01.599, 314.93 W, 88 %
2026/03/17 09:59:01.700, 313.92 W, 88 %
2026/03/17 09:59:01.800, 312.53 W, 89 %
2026/03/17 09:59:01.900, 310.40 W, 89 %
2026/03/17 09:59:02.000, 311.42 W, 85 %
2026/03/17 09:59:02.100, 311.13 W, 85 %
2026/03/17 09:59:02.200, 310.53 W, 87 %
2026/03/17 09:59:02.300, 313.10 W, 87 %
2026/03/17 09:59:02.400, 313.67 W, 89 %
2026/03/17 09:59:02.501, 313.82 W, 89 %
2026/03/17 09:59:02.601, 313.45 W, 88 %
2026/03/17 09:59:02.701, 315.07 W, 88 %
2026/03/17 09:59:02.801, 315.64 W, 87 %
2026/03/17 09:59:02.901, 317.32 W, 87 %
2026/03/17 09:59:03.001, 317.55 W, 89 %
2026/03/17 09:59:03.101, 316.42 W, 89 %
2026/03/17 09:59:03.201, 317.40 W, 83 %
2026/03/17 09:59:03.302, 316.82 W, 83 %
2026/03/17 09:59:03.402, 316.16 W, 87 %
2026/03/17 09:59:03.502, 316.49 W, 87 %
2026/03/17 09:59:03.602, 316.37 W, 88 %
2026/03/17 09:59:03.702, 316.18 W, 88 %
2026/03/17 09:59:03.802, 316.44 W, 88 %
2026/03/17 09:59:03.902, 315.98 W, 88 %
2026/03/17 09:59:04.003, 316.33 W, 88 %
2026/03/17 09:59:04.103, 317.17 W, 88 %
2026/03/17 09:59:04.203, 317.42 W, 87 %
2026/03/17 09:59:04.303, 317.08 W, 87 %
2026/03/17 09:59:04.403, 317.87 W, 84 %
2026/03/17 09:59:04.503, 316.92 W, 84 %
2026/03/17 09:59:04.603, 317.23 W, 88 %
2026/03/17 09:59:04.704, 318.28 W, 88 %
2026/03/17 09:59:04.804, 318.89 W, 88 %
2026/03/17 09:59:04.904, 318.80 W, 88 %
2026/03/17 09:59:05.004, 319.27 W, 89 %
2026/03/17 09:59:05.104, 319.88 W, 89 %
2026/03/17 09:59:05.204, 320.14 W, 88 %
2026/03/17 09:59:05.304, 320.13 W, 88 %
2026/03/17 09:59:05.404, 320.82 W, 88 %
2026/03/17 09:59:05.505, 319.77 W, 88 %
2026/03/17 09:59:05.605, 320.90 W, 83 %
2026/03/17 09:59:05.705, 320.85 W, 83 %
2026/03/17 09:59:05.805, 319.62 W, 88 %
2026/03/17 09:59:05.905, 319.47 W, 88 %
2026/03/17 09:59:06.005, 320.08 W, 89 %
2026/03/17 09:59:06.105, 319.83 W, 89 %
2026/03/17 09:59:06.206, 320.50 W, 89 %
2026/03/17 09:59:06.306, 319.49 W, 89 %
2026/03/17 09:59:06.406, 318.76 W, 87 %
2026/03/17 09:59:06.506, 319.23 W, 87 %
2026/03/17 09:59:06.606, 317.68 W, 89 %
2026/03/17 09:59:06.706, 317.09 W, 89 %
2026/03/17 09:59:06.806, 318.72 W, 85 %
2026/03/17 09:59:06.906, 318.99 W, 85 %
2026/03/17 09:59:07.007, 318.96 W, 87 %
2026/03/17 09:59:07.107, 320.26 W, 87 %
