timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 12:32:57.719, 251.59 W, 32 %
2026/03/17 12:32:57.822, 238.03 W, 32 %
2026/03/17 12:32:57.922, 220.53 W, 0 %
2026/03/17 12:32:58.023, 206.50 W, 0 %
2026/03/17 12:32:58.123, 192.74 W, 0 %
2026/03/17 12:32:58.223, 180.00 W, 0 %
2026/03/17 12:32:58.323, 163.70 W, 3 %
2026/03/17 12:32:58.423, 151.40 W, 3 %
2026/03/17 12:32:58.523, 137.27 W, 1 %
2026/03/17 12:32:58.623, 128.61 W, 1 %
2026/03/17 12:32:58.724, 170.96 W, 70 %
2026/03/17 12:32:58.824, 214.25 W, 70 %
2026/03/17 12:32:58.924, 259.65 W, 100 %
2026/03/17 12:32:59.024, 305.51 W, 100 %
2026/03/17 12:32:59.124, 354.69 W, 100 %
2026/03/17 12:32:59.224, 399.77 W, 100 %
2026/03/17 12:32:59.324, 438.64 W, 100 %
2026/03/17 12:32:59.425, 488.62 W, 100 %
2026/03/17 12:32:59.525, 525.95 W, 95 %
2026/03/17 12:32:59.625, 571.08 W, 95 %
2026/03/17 12:32:59.725, 575.58 W, 100 %
2026/03/17 12:32:59.825, 579.57 W, 100 %
2026/03/17 12:32:59.925, 579.38 W, 100 %
2026/03/17 12:33:00.025, 577.66 W, 100 %
2026/03/17 12:33:00.126, 577.13 W, 100 %
2026/03/17 12:33:00.226, 579.37 W, 100 %
2026/03/17 12:33:00.326, 579.96 W, 99 %
2026/03/17 12:33:00.426, 580.99 W, 99 %
2026/03/17 12:33:00.526, 582.99 W, 100 %
2026/03/17 12:33:00.626, 583.51 W, 100 %
2026/03/17 12:33:00.726, 584.81 W, 100 %
2026/03/17 12:33:00.826, 582.13 W, 100 %
2026/03/17 12:33:00.927, 583.50 W, 100 %
2026/03/17 12:33:01.027, 583.06 W, 100 %
2026/03/17 12:33:01.127, 580.90 W, 97 %
2026/03/17 12:33:01.227, 580.39 W, 97 %
2026/03/17 12:33:01.327, 579.50 W, 100 %
2026/03/17 12:33:01.427, 580.80 W, 100 %
2026/03/17 12:33:01.527, 582.11 W, 100 %
2026/03/17 12:33:01.628, 583.33 W, 100 %
2026/03/17 12:33:01.728, 583.95 W, 100 %
2026/03/17 12:33:01.828, 582.28 W, 98 %
2026/03/17 12:33:01.928, 583.25 W, 98 %
2026/03/17 12:33:02.028, 583.25 W, 98 %
2026/03/17 12:33:02.128, 585.49 W, 100 %
2026/03/17 12:33:02.228, 586.62 W, 100 %
2026/03/17 12:33:02.329, 586.42 W, 100 %
2026/03/17 12:33:02.429, 585.25 W, 100 %
2026/03/17 12:33:02.529, 585.51 W, 100 %
2026/03/17 12:33:02.629, 583.23 W, 98 %
2026/03/17 12:33:02.729, 585.97 W, 98 %
2026/03/17 12:33:02.829, 582.42 W, 100 %
2026/03/17 12:33:02.929, 584.90 W, 100 %
2026/03/17 12:33:03.030, 584.90 W, 100 %
2026/03/17 12:33:03.130, 584.85 W, 100 %
2026/03/17 12:33:03.230, 584.48 W, 100 %
2026/03/17 12:33:03.330, 584.46 W, 100 %
2026/03/17 12:33:03.430, 586.46 W, 98 %
2026/03/17 12:33:03.530, 584.42 W, 98 %
2026/03/17 12:33:03.630, 586.13 W, 100 %
2026/03/17 12:33:03.731, 587.24 W, 100 %
2026/03/17 12:33:03.831, 588.35 W, 100 %
2026/03/17 12:33:03.931, 589.86 W, 100 %
2026/03/17 12:33:04.031, 589.98 W, 100 %
2026/03/17 12:33:04.131, 588.94 W, 100 %
2026/03/17 12:33:04.231, 586.39 W, 98 %
2026/03/17 12:33:04.331, 588.06 W, 98 %
2026/03/17 12:33:04.432, 587.74 W, 100 %
2026/03/17 12:33:04.532, 585.21 W, 100 %
2026/03/17 12:33:04.632, 584.79 W, 100 %
