Architecture,Benchmark,Max_Perf (atom-ns/day),Max_Perf_Power (W),Opt_Eff_Perf (atom-ns/day),Opt_Eff_Power (W),Performance_Drop (%),Power_Saved (%)
A100freq,Cellulose_NPT,57765054.33,287.92836734693964,43136852.129999995,148.99000000000018,25.32361887246234,48.25449073572022
A100freq,Cellulose_NVE,60641661.69,297.0244065040654,44844837.75,151.0552280000006,26.04945758372077,49.14383306816469
A100freq,FactorIX_NPT,42799453.86,226.15296093214582,31967094.9,121.91481718230614,25.309572863787942,46.09187663084143
A100freq,FactorIX_NVE,45246643.38,230.15644073939845,33255232.919999998,122.93156914893531,26.502320535229952,46.58782141659539
A100freq,JAC_NPT,24254374.48,158.37912364945933,18686676.76,96.24418395573909,22.95543727417537,39.23177389921892
A100freq,JAC_NVE,25039562.62,157.54461300309546,19471629.32,96.64942339766391,22.236543762760025,38.652663804020435
A100freq,STMV_NPT,53248040.5,303.0537617554862,43035941.35,166.98439792175992,19.17835671342685,44.89941423116587
A100freq,STMV_NVE,56876163.5,319.4334387510002,43270702.25,163.1014134702513,23.921200750469044,48.9404070819932
A100freq,TRPCage,734837.92,95.67540436544972,614165.12,74.99035814441262,16.42168928897954,21.620024872878275
A100freq,myoglobin,4032978.0399999996,200.41092564314116,3045921.76,112.06808891251565,24.47462570364008,44.080848609986425
A100freq,nucleosome,1302681.45,394.38523658830565,964902.7500000001,185.73744121252844,25.929493353881703,52.90456538908994
A40freq,Cellulose_NPT,38164080.6,288.57615384615343,30098138.939999998,164.26700957592348,21.13490364025697,43.07672086325678
A40freq,Cellulose_NVE,39402165.870000005,295.689663287473,30960303.93,165.93318462401768,21.424867779736605,43.882656302836175
A40freq,FactorIX_NPT,35799691.86,266.383564894225,26799088.8,138.660703292005,25.14156572966659,47.946975126988754
A40freq,FactorIX_NVE,37086920.82,264.67397928994114,27536336.46,140.2221321914797,25.75189352158247,47.02080931126546
A40freq,JAC_NPT,21753928.36,180.46940246516584,16415921.14,104.13428166734127,24.53812999501851,42.29809582960123
A40freq,JAC_NVE,22412138.88,180.9555656732893,16840200.720000003,104.55257355988378,24.861251261352155,42.22196307095035
A40freq,STMV_NPT,35523592.55,288.6370199203191,29046325.9,172.009241349667,18.233703814959444,40.40638259182702
A40freq,STMV_NVE,37209602.65,290.44520586721495,30337510.85,174.96068276436287,18.468597648408366,39.761208231355354
A40freq,TRPCage,645121.4400000001,94.42954676835531,549957.28,74.76003926907092,14.75135596175505,20.829823050549603
A40freq,myoglobin,3127360.3200000003,167.3850204601256,2157648.36,89.26091744852305,31.007362784471226,46.67329417939955
A40freq,nucleosome,973184.1,292.7137030371192,704416.65,129.84359502115092,27.617328519855594,55.64143609474772
H100-freq,Cellulose_NPT,92995322.31,445.9159697508893,55235764.620000005,172.27902351738268,40.60371721077375,61.365137110109266
H100-freq,Cellulose_NVE,98850689.28,463.93032863849703,57045902.49,174.0708556430446,42.29083994708995,62.47909548101913
H100-freq,FactorIX_NPT,64985063.160000004,327.38277632268193,38680503.0,137.43335185185188,40.47785580393364,58.02059186021688
H100-freq,FactorIX_NVE,67433161.74,329.6536657681943,39766829.699999996,137.9916285714287,41.027784143760364,58.140423450209234
H100-freq,JAC_NPT,34678789.48,224.24222506393846,24490190.06,124.48126169634781,29.379916579487247,44.488036692975946
H100-freq,JAC_NVE,35501670.42,225.81828958880146,25254882.74,124.99669881767268,28.86283253372618,44.64722098228514
H100-freq,STMV_NPT,88728949.25,471.85344715447155,54816670.15,187.4811296703299,38.22008418520746,60.26708487541178
H100-freq,STMV_NVE,96113246.64999999,491.1644021739131,57985942.300000004,191.92060715721723,39.66914621960696,60.925383373109085
H100-freq,TRPCage,825812.96,133.02793931731998,710688.16,98.58888948932746,13.940783879197044,25.88858401079406
H100-freq,myoglobin,5751710.44,274.9695626576962,3513121.92,126.08083375906847,38.920396695074245,54.147349059130654
H100-freq,nucleosome,2017136.0999999999,498.09915210808265,1161898.5,200.1163150831987,42.39860661856183,59.82400005375326
H200-freq,Cellulose_NPT,96394949.19,444.1433578656854,61736733.81,206.00014351320297,35.95438938578271,53.61854683516397
H200-freq,Cellulose_NVE,102074614.29,458.95865628042856,67894471.44,222.4542667509482,33.485448941195315,51.53065233504904
H200-freq,FactorIX_NPT,64927792.38,304.5049867091976,48362901.06,176.88665766113505,25.512789997619812,41.91009494696326
H200-freq,FactorIX_NVE,68197681.2,322.7428610354228,45329367.839999996,162.72813961988322,33.53239136230339,49.57963156866762
H200-freq,JAC_NPT,34718602.5,211.13903630077778,26040777.62,126.96754245434124,24.994741306191685,39.865434322874414
H200-freq,JAC_NVE,35170444.940000005,203.32974902639546,26858475.799999997,127.73776455026454,23.633392054550466,37.17704115511295
H200-freq,STMV_NPT,95686408.65,485.7886243386243,61763458.6,227.5259302896418,35.45221367235419,53.16359443381236
H200-freq,STMV_NVE,104255181.5,512.3682483370286,65434265.4,233.51226397800173,37.236438075742065,54.424915139471985
H200-freq,TRPCage,908890.08,125.24096253902178,696789.28,91.72745023885307,23.3362432561702,26.759226071683045
H200-freq,myoglobin,5823181.0,262.1757106598985,4070682.0,143.61452048306907,30.09521771691452,45.222034443392914
H200-freq,nucleosome,2151394.35,588.458566103378,1243959.15,223.27446343916128,42.178933862125284,62.05774266867628
