Architecture,Benchmark,Max_Perf (atom-ns/day),Max_Perf_Power (W),Opt_Eff_Perf (atom-ns/day),Opt_Eff_Power (W),Performance_Drop (%),Power_Saved (%)
A100powercap,Cellulose_NPT,57773226.51,293.1861508810571,45662055.75,159.30231096006818,20.963293019308292,45.66513101613191
A100powercap,Cellulose_NVE,60694780.86,300.2280163487732,47161650.78,159.33265572390573,22.29702437053992,46.9294512678624
A100powercap,FactorIX_NPT,43019446.38,227.20030700241486,33926119.199999996,129.4795067750686,21.137713162732723,43.010857474901044
A100powercap,FactorIX_NVE,45259370.22,231.6565750452072,34824270.48,129.59476767108006,23.056219495048914,44.05737560188397
A100powercap,JAC_NPT,24430352.74,158.93191278195405,19248535.060000002,99.68915181753331,21.21057250031338,37.275560287063676
A100powercap,JAC_NVE,25368667.88,158.65861605748145,19852326.6,99.71711327649135,21.744702189699673,37.14989090768056
A100powercap,STMV_NPT,53472130.45,307.26881025248696,40538939.050000004,158.72133238231098,24.186789064059067,48.34447002548436
A100powercap,STMV_NVE,56993543.949999996,319.3327483974361,45885085.0,173.48252165543798,19.490732072645567,45.673432328486214
A100powercap,TRPCage,735725.6,95.86433650614445,734226.8799999999,95.60027157216011,0.20370638183584863,0.2754569046304495
A100powercap,myoglobin,4081372.6799999997,201.74259071032526,3116918.84,114.65830476190777,23.63062419479909,43.16603927896346
A100powercap,nucleosome,1295152.95,395.90535094339265,912705.1499999999,174.95305523163378,29.529161015307114,55.80937342353604
A40powercap,Cellulose_NPT,38159994.51,292.2479986077278,31364826.840000004,174.41332006822068,17.807045722240055,40.32009769130076
A40powercap,Cellulose_NVE,39467543.31,296.285037486612,32088064.77,174.68488675958216,18.697587742002284,41.04161038929429
A40powercap,FactorIX_NPT,35835145.199999996,266.6352920962197,27878143.020000003,144.58163328882904,22.204464738711298,45.77550775361935
A40powercap,FactorIX_NVE,37141464.42,266.1446957554167,28629026.580000002,144.51600547820163,22.91896125510928,45.70021203390435
A40powercap,JAC_NPT,21765942.939999998,180.67541700187726,17695356.12,114.78086833514692,18.701633240613454,36.4712309843711
A40powercap,JAC_NVE,22396119.439999998,181.14907611693337,18115159.68,114.74557803468188,19.114738923717752,36.65682403998982
A40powercap,STMV_NPT,35587618.25,289.9355650319832,29067667.799999997,173.78964874705537,18.320839580209903,40.05921669944686
A40powercap,STMV_NVE,37188260.75,291.03400358606507,29985369.5,174.16345609654567,19.368723098995698,40.15700778928337
A40powercap,TRPCage,647073.1200000001,94.57594312855844,646525.92,92.96000061651434,0.08456540429311447,1.7086189770769995
A40powercap,myoglobin,3122750.1199999996,167.55848660916863,2391996.04,99.80083971572665,23.400978365825814,40.43820654186688
A40powercap,nucleosome,975944.55,297.6677099064576,703663.7999999999,129.4841529698948,27.899202879917727,56.50043701058964
H100-cap,Cellulose_NPT,93395759.13,445.2514081996441,85889611.8,348.0123466884714,8.03692523078269,21.839136209440618
H100-cap,Cellulose_NVE,98789397.93,464.14102927289935,89820430.38,348.0708920985559,9.078876618273577,25.007514926265685
H100-cap,FactorIX_NPT,65004153.42,327.312668067227,63642381.54000001,315.4305367378838,2.0948998000195713,3.6302082041330244
H100-cap,FactorIX_NVE,67600428.78,330.94750812567736,67369527.54,325.2578328840968,0.3415677151271386,1.719207760107962
H100-cap,JAC_NPT,34818959.58,223.3335705155519,34818959.58,223.3335705155519,0.0,0.0
H100-cap,JAC_NVE,36021831.059999995,225.9363575865128,35720995.4,223.09100175746934,0.8351481619546424,1.2593616447737708
H100-cap,STMV_NPT,88782304.0,470.24474097331233,80437621.1,346.6039597780859,9.399038461538469,26.292857829587806
H100-cap,STMV_NVE,96444046.1,494.3874173553712,85591689.94999999,347.6166586102711,11.252489488824969,29.687397695156076
H100-cap,TRPCage,897401.92,132.94970558115773,897401.92,132.94970558115773,0.0,0.0
H100-cap,myoglobin,5880920.640000001,275.90178650348355,5880920.640000001,275.90178650348355,0.0,0.0
H100-cap,nucleosome,2158170.0,624.8913840399005,1732558.8,348.8040152274093,19.720930232558135,44.18165714297358
H200-cap,Cellulose_NPT,96456240.54,445.39388376383783,87777385.38,346.8779102040819,8.99771244598832,22.11884292780102
H200-cap,Cellulose_NVE,102115475.19,466.3286905916584,91401747.21,347.8451478260878,10.491777039734309,25.40773174715964
H200-cap,FactorIX_NPT,66013210.019999996,320.97414701042175,66013210.019999996,320.97414701042175,0.0,0.0
H200-cap,FactorIX_NVE,68616757.86,325.19042354235427,68454945.17999999,323.1427222832055,0.23582093506976307,0.6296929770694999
H200-cap,JAC_NPT,34868195.8,215.2546985261279,34608586.64,210.53141764176445,0.7445442875481285,2.194275394081644
H200-cap,JAC_NVE,36301228.940000005,214.2582868705038,36248223.440000005,213.54540080609024,0.14601571778082065,0.33272275010974506
H200-cap,STMV_NPT,95974524.3,486.4594618834079,84834052.5,365.00195359281474,11.607738492328217,24.967652560472448
H200-cap,STMV_NVE,104425916.7,512.7709211495941,89796044.25,366.73976507936413,14.009809932556717,28.47882944353377
H200-cap,TRPCage,913860.48,125.25604983446507,911294.72,124.89251302988266,0.28076058174657137,0.29023492682616897
H200-cap,myoglobin,5937439.2,263.67406724138,5937439.2,263.67406724138,0.0,0.0
H200-cap,nucleosome,2153151.0,589.4096022868496,1756399.0499999998,365.97452902963903,18.426573426573437,37.90828523836481
