Architecture,Run_Type,Benchmark,Max_Perf (atom-ns/day),Max_Perf_Efficiency,Opt_Eff_Perf (atom-ns/day),Opt_Eff_Efficiency,Perf_Drop_to_Max_Eff (%),Efficiency_Gain_to_Max_Eff (%),Min_EDP_Perf (atom-ns/day),Min_EDP_Efficiency,Perf_Drop_to_Min_EDP (%),Efficiency_Gain_to_Min_EDP (%)
A100freq,frequency,Cellulose_NPT,57765054.33,200623.0051671009,43136852.129999995,289528.50614135136,25.32361887246234,44.31470902362378,47717359.02,280384.2311998999,17.3940722925656,39.75676965179796
A100freq,frequency,Cellulose_NVE,60641661.69,204163.90155860808,44844837.75,296877.09815644263,26.04945758372077,45.411160293299915,54124348.14,263940.23131918017,10.747254228151737,29.278598863086707
A100freq,frequency,FactorIX_NPT,42799453.86,189250.02654659652,31967094.9,262208.4471668262,25.309572863787942,38.551339702066635,35278800.48,259364.41608963985,17.571844268388528,37.048549383310124
A100freq,frequency,FactorIX_NVE,45246643.38,196590.8198555776,33255232.92,270518.24970777263,26.502320535229945,37.60472127157548,39965004.78,246676.35664335368,11.67299539911197,25.47704761828179
A100freq,frequency,JAC_NPT,24198070.860000003,152785.73528135955,18686676.76,194159.02335037364,22.77617142245198,27.07928720755503,22339109.08,176653.5627182747,7.682272652043985,15.621764291647933
A100freq,frequency,JAC_NVE,25039562.62,158936.33011436588,19471629.32,201466.58547443175,22.236543762760025,26.759303759852994,23272477.04,182182.89199920767,7.057174307783503,14.626336136057915
A100freq,frequency,STMV_NPT,53248040.5,175704.93166477265,43035941.35,257724.32565924135,19.17835671342685,46.680188892451504,44935370.45,247466.9734326372,15.611222444889775,40.84236059166473
A100freq,frequency,STMV_NVE,56876163.5,178053.2549203004,43270702.25,265299.370062739,23.921200750469044,49.0000113626069,47517740.35,258471.3711631539,16.45403377110694,45.165204241197394
A100freq,frequency,TRPCage,734837.92,7680.531113233157,614165.12,8189.921147159639,16.42168928897954,6.632224079514883,705425.92,8034.433325705734,4.002515275749515,4.607783071965191
A100freq,frequency,myoglobin,4032978.04,20123.543799110354,3047740.92,27195.43939380617,24.4295185896921,35.142396713487706,3540459.16,25128.19974301801,12.212287672163963,24.86965513563723
A100freq,frequency,nucleosome,1302681.45,3303.0684953348155,964902.75,5194.982463960611,25.929493353881718,57.277467037026184,1139814.9,4498.988953517511,12.502408013870165,36.2063475181271
A100powercap,powercap,Cellulose_NPT,57773226.51,197053.05430145664,45662055.75,286637.74853489705,20.963293019308292,45.46222059384654,50013741.6,265635.7336798772,13.430935709739014,34.804169679857424
A100powercap,powercap,Cellulose_NVE,60694780.86,202162.2818487773,47161650.78,295994.88294303266,22.29702437053992,46.4144944527509,51876998.64,274325.19459021726,14.52807324626363,35.695537308695265
A100powercap,powercap,FactorIX_NPT,43019446.38,189345.8989892243,33926119.199999996,262019.21867787425,21.137713162732723,38.38124832731961,38172338.46,239309.92442722604,11.267248483823938,26.387698759108158
A100powercap,powercap,FactorIX_NVE,45259370.22,195372.69862151655,34824270.48,268716.63961299934,23.056219495048914,37.54052716115032,39723194.82,249113.4504454412,12.232108783417354,27.50678687610969
A100powercap,powercap,JAC_NPT,24430352.74,153715.84166055507,19248535.06,193085.55353376543,21.210572500313397,25.612006835410632,22548304.12,174144.45636700856,7.703730846745022,13.289856455761557
A100powercap,powercap,JAC_NVE,25368667.88,159894.675186181,19852326.6,199086.45514992316,21.744702189699673,24.5109975789421,23395449.8,180752.11674411345,7.778169864234899,13.044487900329441
A100powercap,powercap,STMV_NPT,53472130.45,174023.94472143537,40538939.05,255409.51831448937,24.18678906405908,46.76688240996375,45778375.5,244842.5013812744,14.3883456395929,40.6947197830736
A100powercap,powercap,STMV_NVE,56993543.95,178476.9781239812,45885085.0,264493.99375883286,19.490732072645574,48.19502018635642,48115313.55,255388.1789367245,15.577607189664866,43.09306534723824
A100powercap,powercap,TRPCage,735725.6,7674.653857880125,734226.8799999999,7680.175672365089,0.20370638183584863,0.07194871048541789,735725.6,7674.653857880125,0.0,0.0
A100powercap,powercap,myoglobin,4081372.68,20230.595164014187,3116918.84,27184.414129202396,23.630624194799097,34.372784927047206,3566525.48,24725.77866380232,12.614559864207258,22.219729391768386
A100powercap,powercap,nucleosome,1295152.95,3271.3701568160504,912705.15,5216.85745236972,29.52916101530711,59.47010586680804,1032408.3,5055.64722168813,20.286766130594838,54.54219422875324
A40freq,frequency,Cellulose_NPT,38164080.6,132249.59890603487,30098138.94,183226.9243696725,21.134903640256958,38.546298730068514,34135195.86,170783.9602061424,10.556745182012852,29.137601640279236
A40freq,frequency,Cellulose_NVE,39402165.870000005,133255.13456211943,30960303.93,186582.95506201425,21.424867779736605,40.019336346874525,33918633.09,176783.50712345887,13.916830861765012,32.665437398997824
A40freq,frequency,FactorIX_NPT,35799691.86,134391.51876436244,26799088.8,193270.97125393857,25.14156572966659,43.81188115956437,30755317.92,181963.63581803927,14.090551281074623,35.39815420725186
A40freq,frequency,FactorIX_NVE,37086920.82,140123.03332384847,27536336.46,196376.53507078244,25.75189352158247,40.145792174597325,31685286.3,185053.0644151325,14.56479643111013,32.06470058883395
A40freq,frequency,JAC_NPT,21753928.36,120540.81225319588,16415921.14,157641.85316456054,24.53812999501851,30.77882106305535,19470687.0,143507.62752335292,10.495765740399815,19.05314460791525
A40freq,frequency,JAC_NVE,22412138.88,123854.37715944338,16840200.720000003,161069.21280473855,24.861251261352155,30.047251053054687,20105339.52,147918.86599496834,10.292633703329967,19.429663599652716
A40freq,frequency,STMV_NPT,35523592.55,123073.5841154631,29046325.9,168864.9148853201,18.233703814959444,37.20646562701647,31660708.65,160074.84295011353,10.874136377290474,30.06433842045032
A40freq,frequency,STMV_NVE,37209602.65,128112.29759809287,30337510.85,173396.16175857393,18.468597648408366,35.34700806205443,33122628.8,164178.76425365722,10.983653570404353,28.152228421279403
A40freq,frequency,TRPCage,645121.4400000001,6831.77524490872,549957.28,7356.300041799519,14.75135596175505,7.6777232576802525,645121.4400000001,6831.77524490872,0.0,0.0
A40freq,frequency,myoglobin,3127360.3200000003,18683.63316743149,2157648.36,24172.374894581608,31.007362784471226,29.377271957564755,2847683.16,21583.86653887226,8.942914515203675,15.522855460983529
A40freq,frequency,nucleosome,973184.1,3324.6960764135797,704416.65,5425.116655813896,27.617328519855594,63.17631841001492,771922.2000000001,5006.0525951897225,20.68076328004125,50.571735886001875
A40powercap,powercap,Cellulose_NPT,38159994.51,130574.01484969808,31364826.840000004,179830.45576869845,17.807045722240055,37.72300405689353,34433480.43,168863.42420103177,9.76549951814969,29.323912108705613
A40powercap,powercap,Cellulose_NVE,39467543.31,133208.02037390563,32088064.77,183691.13301806484,18.697587742002284,37.89795276775124,35365108.949999996,173478.6933741513,10.394450771301393,30.23141766329738
A40powercap,powercap,FactorIX_NPT,35835145.199999996,134397.60700195792,27878143.020000003,192819.3947311977,22.204464738711298,43.46936603446272,31149849.96,178065.70359869135,13.074581430745802,32.49172181770861
A40powercap,powercap,FactorIX_NVE,37141464.42,139553.65262711263,28629026.58,198102.80864923517,22.91896125510929,41.9545851505341,34446101.52,168627.8055892828,7.257018381183146,20.833673941775142
A40powercap,powercap,JAC_NPT,21765942.94,120469.86414191502,17695356.12,154166.42491614193,18.701633240613464,27.970946106930057,19130509.48,147474.69201125603,12.108060134425772,22.416251617524015
A40powercap,powercap,JAC_NVE,22396119.44,123633.63876911576,18115159.68,157872.39900891593,19.114738923717766,27.69372525202516,19661271.220000003,151569.34854318263,12.211259309126094,22.595557367874978
A40powercap,powercap,STMV_NPT,35587618.25,122743.19725513592,29067667.799999997,167257.7625282329,18.320839580209903,36.266421495089716,32023520.950000003,157662.8005692559,10.014992503748116,28.449318654732075
A40powercap,powercap,STMV_NVE,37188260.75,127779.77931022971,29985369.5,172167.97468337978,19.368723098995698,34.738043540819035,33336047.799999997,163413.45863881646,10.358680057388817,27.88679047728955
A40powercap,powercap,TRPCage,647073.1200000001,6841.836291501998,646525.92,6954.882914288028,0.08456540429311447,1.6522848248567554,646525.92,6954.882914288028,0.08456540429311447,1.6522848248567554
A40powercap,powercap,myoglobin,3122750.1199999996,18636.776824583267,2391996.04,23967.69452855684,23.400978365825814,28.604290077357714,2651562.76,23114.311692443767,15.088858919009501,24.025264185995432
A40powercap,powercap,nucleosome,975944.55,3278.637613420319,703663.7999999999,5434.3623050428605,27.899202879917727,65.75062406405019,861511.35,4530.724004655892,11.725379274877866,38.18922793145715
H100-cap,powercap,Cellulose_NPT,93395759.13,209759.60414733316,85889611.8,246800.47307886297,8.03692523078269,17.65872370044742,85889611.8,246800.47307886297,8.03692523078269,17.65872370044742
H100-cap,powercap,Cellulose_NVE,98789397.93,212843.4930321903,89820430.38,258052.11644806957,9.078876618273577,21.240312669103744,89820430.38,258052.11644806957,9.078876618273577,21.240312669103744
H100-cap,powercap,FactorIX_NPT,65004153.42,198599.56476432117,63642381.54000001,201763.5394409689,2.0948998000195713,1.593142804921259,65004153.42,198599.56476432117,0.0,0.0
H100-cap,powercap,FactorIX_NVE,67600428.78,204263.29590107905,67369527.54,207126.53387199636,0.3415677151271386,1.4017388480326511,67369527.54,207126.53387199636,0.3415677151271386,1.4017388480326511
H100-cap,powercap,JAC_NPT,34818959.58,155905.6235908581,34818959.58,155905.6235908581,0.0,0.0,34818959.58,155905.6235908581,0.0,0.0
H100-cap,powercap,JAC_NVE,36021831.059999995,159433.5300647969,35720995.4,160118.49477834898,0.8351481619546424,0.4296240027262028,36021831.059999995,159433.5300647969,0.0,0.0
H100-cap,powercap,STMV_NPT,88782304.0,188800.20607192424,80437621.1,232073.57801538217,9.399038461538469,22.920193173397678,80437621.1,232073.57801538217,9.399038461538469,22.920193173397678
H100-cap,powercap,STMV_NVE,96444046.1,195077.87357515804,85591689.94999999,246224.36189388935,11.252489488824969,26.218497967698013,85591689.94999999,246224.36189388935,11.252489488824969,26.218497967698013
H100-cap,powercap,TRPCage,897401.92,6749.935368997042,897401.92,6749.935368997042,0.0,0.0,897401.92,6749.935368997042,0.0,0.0
H100-cap,powercap,myoglobin,5880920.640000001,21315.268431310964,5880920.640000001,21315.268431310964,0.0,0.0,5880920.640000001,21315.268431310964,0.0,0.0
H100-cap,powercap,nucleosome,2158170.0,3453.6721982746953,1732558.8,4967.141215018485,19.720930232558135,43.822022758843566,1795296.3,4876.007413651053,16.813953488372093,41.18327199920405
H100-freq,frequency,Cellulose_NPT,88537398.12,205795.9294399351,55235764.620000005,320618.0502551247,37.61306996492523,55.7941651847406,72417773.07,290352.195752382,18.206571903267506,41.08743381978602
H100-freq,frequency,Cellulose_NVE,93796195.95,210624.31371854196,57045902.49,327716.56277131307,39.1810063167066,55.59294033320479,75772452.96,297594.3290366048,19.21585711174037,41.29153647203388
H100-freq,frequency,FactorIX_NPT,61814261.88,192144.9962037971,38680503.0,281449.17138960684,37.42463013618048,46.47749197230717,53284551.9,253456.12568714636,13.798935262801853,31.908782791470703
H100-freq,frequency,FactorIX_NVE,63917826.72,196863.6721862222,39766829.7,288182.9145122051,37.784446467174874,46.387046077043586,55281756.72,260423.4204338985,13.51120719080669,32.286174255427014
H100-freq,frequency,JAC_NPT,32828308.58,149226.22191826237,24542724.4,197159.9907130445,25.23914431902175,32.121545515665154,28086083.18,187609.37642704183,14.44553680992601,25.721454323090466
H100-freq,frequency,JAC_NVE,34350390.96,154294.24081659186,25254882.74,202044.3978031629,26.478616300441672,30.947465526811985,29252910.92,193698.132552935,14.839656544043011,25.53814810442743
