timestamp, power.draw [W], utilization.gpu [%]
2026/05/11 14:45:39.892, 88.21 W, 97 %
2026/05/11 14:45:39.994, 87.34 W, 99 %
2026/05/11 14:45:40.094, 86.74 W, 99 %
2026/05/11 14:45:40.194, 86.47 W, 100 %
2026/05/11 14:45:40.295, 86.47 W, 100 %
2026/05/11 14:45:40.395, 86.74 W, 100 %
2026/05/11 14:45:40.495, 86.47 W, 100 %
2026/05/11 14:45:40.595, 86.47 W, 100 %
2026/05/11 14:45:40.695, 83.54 W, 100 %
2026/05/11 14:45:40.796, 83.21 W, 71 %
2026/05/11 14:45:40.896, 87.88 W, 71 %
2026/05/11 14:45:40.996, 85.28 W, 0 %
2026/05/11 14:45:41.096, 85.87 W, 0 %
2026/05/11 14:45:41.197, 83.81 W, 0 %
2026/05/11 14:45:41.297, 83.21 W, 0 %
2026/05/11 14:45:41.397, 88.48 W, 8 %
2026/05/11 14:45:41.498, 128.21 W, 8 %
2026/05/11 14:45:41.598, 349.82 W, 20 %
2026/05/11 14:45:41.698, 293.29 W, 20 %
2026/05/11 14:45:41.798, 291.82 W, 92 %
2026/05/11 14:45:41.898, 290.96 W, 92 %
2026/05/11 14:45:41.998, 289.76 W, 100 %
2026/05/11 14:45:42.098, 285.69 W, 100 %
2026/05/11 14:45:42.199, 296.77 W, 100 %
2026/05/11 14:45:42.299, 296.77 W, 100 %
2026/05/11 14:45:42.399, 297.65 W, 100 %
2026/05/11 14:45:42.499, 258.27 W, 100 %
2026/05/11 14:45:42.600, 287.43 W, 100 %
2026/05/11 14:45:42.701, 289.16 W, 100 %
2026/05/11 14:45:42.801, 286.55 W, 100 %
2026/05/11 14:45:42.901, 290.96 W, 100 %
2026/05/11 14:45:43.001, 291.50 W, 100 %
2026/05/11 14:45:43.101, 293.56 W, 100 %
2026/05/11 14:45:43.202, 297.96 W, 100 %
2026/05/11 14:45:43.302, 292.96 W, 100 %
2026/05/11 14:45:43.402, 278.69 W, 100 %
2026/05/11 14:45:43.503, 279.55 W, 100 %
2026/05/11 14:45:43.603, 284.23 W, 100 %
2026/05/11 14:45:43.703, 283.08 W, 100 %
2026/05/11 14:45:43.803, 297.36 W, 100 %
2026/05/11 14:45:43.903, 290.63 W, 100 %
2026/05/11 14:45:44.003, 290.96 W, 100 %
2026/05/11 14:45:44.103, 296.16 W, 100 %
2026/05/11 14:45:44.204, 296.50 W, 100 %
2026/05/11 14:45:44.304, 294.75 W, 100 %
2026/05/11 14:45:44.404, 284.23 W, 100 %
2026/05/11 14:45:44.505, 283.35 W, 100 %
2026/05/11 14:45:44.605, 283.62 W, 100 %
2026/05/11 14:45:44.705, 285.69 W, 100 %
2026/05/11 14:45:44.805, 290.09 W, 100 %
2026/05/11 14:45:44.906, 296.77 W, 100 %
2026/05/11 14:45:45.006, 292.42 W, 100 %
2026/05/11 14:45:45.106, 297.36 W, 100 %
2026/05/11 14:45:45.207, 290.36 W, 100 %
2026/05/11 14:45:45.307, 285.96 W, 100 %
2026/05/11 14:45:45.407, 289.16 W, 100 %
2026/05/11 14:45:45.507, 283.06 W, 100 %
2026/05/11 14:45:45.608, 283.35 W, 100 %
2026/05/11 14:45:45.708, 289.76 W, 100 %
2026/05/11 14:45:45.808, 290.09 W, 100 %
2026/05/11 14:45:45.908, 288.30 W, 100 %
2026/05/11 14:45:46.008, 289.76 W, 100 %
2026/05/11 14:45:46.108, 287.43 W, 100 %
2026/05/11 14:45:46.209, 290.09 W, 100 %
2026/05/11 14:45:46.309, 285.09 W, 100 %
2026/05/11 14:45:46.409, 297.63 W, 99 %
2026/05/11 14:45:46.509, 291.50 W, 99 %
2026/05/11 14:45:46.609, 288.02 W, 100 %
2026/05/11 14:45:46.709, 290.63 W, 100 %
2026/05/11 14:45:46.809, 287.43 W, 100 %
2026/05/11 14:45:46.910, 286.55 W, 100 %
2026/05/11 14:45:47.010, 288.62 W, 100 %
2026/05/11 14:45:47.110, 296.16 W, 100 %
2026/05/11 14:45:47.210, 283.95 W, 100 %
2026/05/11 14:45:47.311, 286.55 W, 100 %
2026/05/11 14:45:47.412, 291.82 W, 100 %
2026/05/11 14:45:47.513, 292.09 W, 100 %
2026/05/11 14:45:47.613, 292.09 W, 100 %
2026/05/11 14:45:47.713, 286.83 W, 100 %
2026/05/11 14:45:47.814, 287.16 W, 100 %
2026/05/11 14:45:47.914, 287.16 W, 100 %
2026/05/11 14:45:48.014, 291.82 W, 100 %
2026/05/11 14:45:48.114, 289.16 W, 100 %
2026/05/11 14:45:48.214, 280.75 W, 100 %
2026/05/11 14:45:48.314, 291.82 W, 100 %
2026/05/11 14:45:48.415, 292.42 W, 100 %
2026/05/11 14:45:48.516, 287.75 W, 100 %
2026/05/11 14:45:48.616, 287.75 W, 100 %
2026/05/11 14:45:48.716, 290.36 W, 100 %
2026/05/11 14:45:48.816, 292.66 W, 100 %
2026/05/11 14:45:48.917, 292.66 W, 100 %
2026/05/11 14:45:49.017, 285.96 W, 100 %
2026/05/11 14:45:49.117, 285.96 W, 100 %
2026/05/11 14:45:49.217, 291.50 W, 100 %
2026/05/11 14:45:49.317, 288.30 W, 100 %
2026/05/11 14:45:49.418, 292.09 W, 100 %
2026/05/11 14:45:49.519, 288.30 W, 100 %
2026/05/11 14:45:49.619, 286.29 W, 100 %
2026/05/11 14:45:49.719, 292.09 W, 100 %
2026/05/11 14:45:49.819, 292.09 W, 100 %
2026/05/11 14:45:49.920, 288.02 W, 100 %
2026/05/11 14:45:50.020, 292.69 W, 100 %
2026/05/11 14:45:50.121, 289.48 W, 100 %
2026/05/11 14:45:50.222, 285.69 W, 100 %
2026/05/11 14:45:50.322, 292.42 W, 100 %
2026/05/11 14:45:50.423, 285.69 W, 100 %
2026/05/11 14:45:50.524, 290.63 W, 100 %
2026/05/11 14:45:50.624, 291.23 W, 100 %
2026/05/11 14:45:50.725, 290.36 W, 100 %
2026/05/11 14:45:50.825, 287.75 W, 100 %
2026/05/11 14:45:50.925, 288.62 W, 100 %
2026/05/11 14:45:51.025, 297.32 W, 100 %
2026/05/11 14:45:51.125, 292.42 W, 100 %
2026/05/11 14:45:51.226, 292.42 W, 100 %
2026/05/11 14:45:51.326, 283.95 W, 100 %
2026/05/11 14:45:51.426, 292.42 W, 100 %
2026/05/11 14:45:51.527, 276.08 W, 100 %
2026/05/11 14:45:51.627, 291.23 W, 100 %
2026/05/11 14:45:51.728, 296.77 W, 100 %
2026/05/11 14:45:51.828, 284.50 W, 100 %
2026/05/11 14:45:51.928, 293.29 W, 100 %
2026/05/11 14:45:52.028, 293.56 W, 100 %
2026/05/11 14:45:52.128, 293.56 W, 100 %
2026/05/11 14:45:52.228, 281.02 W, 100 %
2026/05/11 14:45:52.328, 286.55 W, 100 %
2026/05/11 14:45:52.429, 285.96 W, 100 %
2026/05/11 14:45:52.529, 288.02 W, 100 %
2026/05/11 14:45:52.629, 291.82 W, 100 %
2026/05/11 14:45:52.729, 284.50 W, 100 %
2026/05/11 14:45:52.830, 291.50 W, 100 %
2026/05/11 14:45:52.930, 291.50 W, 100 %
