timestamp, power.draw [W], utilization.gpu [%]
2026/05/04 14:09:36.180, 240.35 W, 100 %
2026/05/04 14:09:36.286, 220.30 W, 100 %
2026/05/04 14:09:36.386, 200.43 W, 100 %
2026/05/04 14:09:36.486, 180.55 W, 100 %
2026/05/04 14:09:36.586, 146.42 W, 100 %
2026/05/04 14:09:36.687, 140.47 W, 100 %
2026/05/04 14:09:36.787, 102.72 W, 100 %
2026/05/04 14:09:36.887, 100.65 W, 100 %
2026/05/04 14:09:36.987, 80.85 W, 100 %
2026/05/04 14:09:37.087, 80.50 W, 100 %
2026/05/04 14:09:37.187, 80.66 W, 100 %
2026/05/04 14:09:37.287, 80.12 W, 45 %
2026/05/04 14:09:37.387, 79.44 W, 45 %
2026/05/04 14:09:37.488, 78.87 W, 3 %
2026/05/04 14:09:37.588, 88.19 W, 3 %
2026/05/04 14:09:37.688, 107.84 W, 100 %
2026/05/04 14:09:37.788, 128.65 W, 100 %
2026/05/04 14:09:37.888, 149.69 W, 100 %
2026/05/04 14:09:37.988, 170.36 W, 100 %
2026/05/04 14:09:38.088, 202.05 W, 100 %
2026/05/04 14:09:38.188, 211.53 W, 100 %
2026/05/04 14:09:38.288, 231.99 W, 100 %
2026/05/04 14:09:38.389, 252.63 W, 100 %
2026/05/04 14:09:38.489, 273.53 W, 100 %
2026/05/04 14:09:38.589, 291.34 W, 100 %
2026/05/04 14:09:38.689, 300.98 W, 100 %
2026/05/04 14:09:38.789, 301.62 W, 100 %
2026/05/04 14:09:38.889, 301.42 W, 100 %
2026/05/04 14:09:38.989, 300.86 W, 100 %
2026/05/04 14:09:39.089, 300.40 W, 100 %
2026/05/04 14:09:39.189, 300.07 W, 100 %
2026/05/04 14:09:39.289, 299.67 W, 100 %
2026/05/04 14:09:39.390, 299.27 W, 100 %
2026/05/04 14:09:39.490, 298.32 W, 100 %
2026/05/04 14:09:39.590, 296.82 W, 100 %
2026/05/04 14:09:39.690, 298.74 W, 100 %
2026/05/04 14:09:39.790, 299.51 W, 100 %
2026/05/04 14:09:39.890, 299.90 W, 100 %
2026/05/04 14:09:39.990, 299.68 W, 100 %
2026/05/04 14:09:40.090, 299.77 W, 100 %
2026/05/04 14:09:40.190, 299.50 W, 100 %
2026/05/04 14:09:40.290, 299.24 W, 100 %
2026/05/04 14:09:40.391, 298.98 W, 100 %
2026/05/04 14:09:40.491, 298.16 W, 100 %
2026/05/04 14:09:40.591, 297.95 W, 100 %
2026/05/04 14:09:40.691, 298.44 W, 100 %
2026/05/04 14:09:40.791, 299.44 W, 100 %
2026/05/04 14:09:40.891, 299.88 W, 100 %
2026/05/04 14:09:40.991, 299.45 W, 100 %
2026/05/04 14:09:41.091, 299.13 W, 100 %
2026/05/04 14:09:41.191, 299.34 W, 100 %
2026/05/04 14:09:41.292, 299.83 W, 100 %
2026/05/04 14:09:41.392, 299.40 W, 100 %
2026/05/04 14:09:41.492, 298.79 W, 100 %
2026/05/04 14:09:41.592, 298.28 W, 100 %
2026/05/04 14:09:41.692, 298.86 W, 100 %
2026/05/04 14:09:41.792, 299.98 W, 100 %
2026/05/04 14:09:41.892, 299.91 W, 100 %
2026/05/04 14:09:41.992, 299.88 W, 100 %
2026/05/04 14:09:42.092, 299.86 W, 100 %
2026/05/04 14:09:42.192, 299.87 W, 100 %
2026/05/04 14:09:42.293, 299.48 W, 100 %
2026/05/04 14:09:42.393, 298.74 W, 100 %
2026/05/04 14:09:42.493, 298.66 W, 100 %
2026/05/04 14:09:42.593, 298.36 W, 100 %
2026/05/04 14:09:42.693, 298.92 W, 100 %
2026/05/04 14:09:42.793, 299.44 W, 100 %
2026/05/04 14:09:42.893, 299.55 W, 100 %
2026/05/04 14:09:42.993, 299.67 W, 100 %
2026/05/04 14:09:43.093, 299.74 W, 100 %
2026/05/04 14:09:43.193, 299.80 W, 100 %
2026/05/04 14:09:43.294, 299.64 W, 100 %
2026/05/04 14:09:43.394, 299.11 W, 100 %
2026/05/04 14:09:43.494, 299.16 W, 100 %
2026/05/04 14:09:43.594, 299.08 W, 100 %
2026/05/04 14:09:43.694, 299.59 W, 100 %
2026/05/04 14:09:43.794, 299.82 W, 100 %
2026/05/04 14:09:43.894, 300.19 W, 100 %
2026/05/04 14:09:43.994, 299.90 W, 100 %
2026/05/04 14:09:44.094, 299.91 W, 100 %
2026/05/04 14:09:44.194, 299.90 W, 100 %
2026/05/04 14:09:44.295, 299.37 W, 100 %
2026/05/04 14:09:44.395, 299.14 W, 100 %
2026/05/04 14:09:44.495, 299.44 W, 100 %
2026/05/04 14:09:44.595, 299.16 W, 100 %
2026/05/04 14:09:44.695, 299.43 W, 100 %
2026/05/04 14:09:44.795, 299.46 W, 100 %
2026/05/04 14:09:44.895, 299.79 W, 100 %
2026/05/04 14:09:44.995, 299.90 W, 100 %
2026/05/04 14:09:45.095, 299.94 W, 100 %
2026/05/04 14:09:45.196, 299.71 W, 100 %
2026/05/04 14:09:45.296, 299.50 W, 100 %
2026/05/04 14:09:45.396, 299.58 W, 100 %
2026/05/04 14:09:45.496, 299.86 W, 100 %
2026/05/04 14:09:45.596, 299.07 W, 100 %
2026/05/04 14:09:45.696, 299.49 W, 100 %
2026/05/04 14:09:45.796, 299.43 W, 100 %
2026/05/04 14:09:45.896, 299.89 W, 100 %
2026/05/04 14:09:45.996, 299.90 W, 100 %
2026/05/04 14:09:46.096, 299.55 W, 100 %
2026/05/04 14:09:46.197, 299.42 W, 100 %
2026/05/04 14:09:46.297, 299.59 W, 100 %
2026/05/04 14:09:46.397, 299.62 W, 100 %
2026/05/04 14:09:46.497, 299.36 W, 100 %
2026/05/04 14:09:46.597, 299.38 W, 100 %
2026/05/04 14:09:46.697, 300.15 W, 100 %
2026/05/04 14:09:46.797, 299.88 W, 100 %
2026/05/04 14:09:46.897, 299.91 W, 100 %
2026/05/04 14:09:46.997, 300.06 W, 100 %
2026/05/04 14:09:47.098, 300.14 W, 100 %
2026/05/04 14:09:47.198, 300.15 W, 100 %
2026/05/04 14:09:47.298, 299.98 W, 100 %
2026/05/04 14:09:47.398, 299.54 W, 100 %
2026/05/04 14:09:47.498, 299.28 W, 100 %
2026/05/04 14:09:47.598, 299.75 W, 100 %
2026/05/04 14:09:47.698, 299.42 W, 100 %
2026/05/04 14:09:47.798, 299.14 W, 100 %
2026/05/04 14:09:47.898, 299.45 W, 100 %
2026/05/04 14:09:47.998, 299.49 W, 100 %
2026/05/04 14:09:48.099, 299.19 W, 100 %
2026/05/04 14:09:48.199, 299.10 W, 100 %
2026/05/04 14:09:48.299, 299.06 W, 100 %
2026/05/04 14:09:48.399, 299.27 W, 100 %
2026/05/04 14:09:48.499, 299.54 W, 100 %
2026/05/04 14:09:48.599, 299.54 W, 100 %
2026/05/04 14:09:48.699, 299.18 W, 100 %
2026/05/04 14:09:48.799, 299.43 W, 100 %
2026/05/04 14:09:48.899, 299.71 W, 100 %
2026/05/04 14:09:48.999, 299.51 W, 100 %
2026/05/04 14:09:49.100, 299.49 W, 100 %
2026/05/04 14:09:49.200, 299.76 W, 100 %
2026/05/04 14:09:49.300, 300.08 W, 100 %
2026/05/04 14:09:49.400, 299.63 W, 100 %
2026/05/04 14:09:49.500, 299.15 W, 100 %
2026/05/04 14:09:49.600, 298.91 W, 100 %
2026/05/04 14:09:49.700, 298.88 W, 100 %
2026/05/04 14:09:49.800, 299.21 W, 100 %
2026/05/04 14:09:49.900, 299.33 W, 100 %
2026/05/04 14:09:50.001, 299.13 W, 100 %
2026/05/04 14:09:50.101, 299.15 W, 100 %
2026/05/04 14:09:50.201, 299.71 W, 100 %
2026/05/04 14:09:50.301, 299.70 W, 100 %
2026/05/04 14:09:50.401, 299.20 W, 100 %
2026/05/04 14:09:50.501, 299.41 W, 100 %
