timestamp, power.draw [W], utilization.gpu [%]
2026/05/07 16:10:15.051, 159.21 W, 100 %
2026/05/07 16:10:15.152, 160.27 W, 100 %
2026/05/07 16:10:15.252, 148.36 W, 90 %
2026/05/07 16:10:15.352, 141.57 W, 90 %
2026/05/07 16:10:15.452, 138.15 W, 0 %
2026/05/07 16:10:15.552, 136.13 W, 0 %
2026/05/07 16:10:15.652, 134.74 W, 0 %
2026/05/07 16:10:15.753, 133.76 W, 0 %
2026/05/07 16:10:15.853, 132.95 W, 0 %
2026/05/07 16:10:15.953, 132.08 W, 0 %
2026/05/07 16:10:16.053, 131.49 W, 3 %
2026/05/07 16:10:16.153, 137.41 W, 3 %
2026/05/07 16:10:16.253, 157.20 W, 100 %
2026/05/07 16:10:16.353, 178.95 W, 100 %
2026/05/07 16:10:16.453, 199.23 W, 100 %
2026/05/07 16:10:16.554, 222.50 W, 100 %
2026/05/07 16:10:16.654, 244.35 W, 100 %
2026/05/07 16:10:16.754, 266.21 W, 100 %
2026/05/07 16:10:16.854, 287.19 W, 100 %
2026/05/07 16:10:16.954, 299.54 W, 100 %
2026/05/07 16:10:17.054, 309.95 W, 100 %
2026/05/07 16:10:17.154, 315.26 W, 100 %
2026/05/07 16:10:17.255, 313.43 W, 100 %
2026/05/07 16:10:17.355, 311.72 W, 100 %
2026/05/07 16:10:17.455, 310.35 W, 100 %
2026/05/07 16:10:17.555, 309.91 W, 100 %
2026/05/07 16:10:17.655, 309.76 W, 100 %
2026/05/07 16:10:17.755, 310.10 W, 100 %
2026/05/07 16:10:17.855, 305.49 W, 100 %
2026/05/07 16:10:17.955, 305.36 W, 100 %
2026/05/07 16:10:18.056, 310.06 W, 100 %
2026/05/07 16:10:18.156, 311.81 W, 100 %
2026/05/07 16:10:18.256, 311.60 W, 100 %
2026/05/07 16:10:18.356, 311.24 W, 100 %
2026/05/07 16:10:18.456, 310.80 W, 100 %
2026/05/07 16:10:18.556, 310.15 W, 100 %
2026/05/07 16:10:18.656, 309.43 W, 100 %
2026/05/07 16:10:18.757, 307.29 W, 100 %
2026/05/07 16:10:18.857, 307.16 W, 100 %
2026/05/07 16:10:18.957, 308.77 W, 100 %
2026/05/07 16:10:19.057, 309.65 W, 100 %
2026/05/07 16:10:19.157, 310.82 W, 100 %
2026/05/07 16:10:19.257, 310.77 W, 100 %
2026/05/07 16:10:19.357, 310.47 W, 100 %
2026/05/07 16:10:19.457, 310.27 W, 100 %
2026/05/07 16:10:19.558, 310.56 W, 100 %
2026/05/07 16:10:19.658, 308.74 W, 100 %
2026/05/07 16:10:19.758, 307.98 W, 100 %
2026/05/07 16:10:19.858, 307.91 W, 100 %
2026/05/07 16:10:19.958, 308.78 W, 100 %
2026/05/07 16:10:20.058, 310.31 W, 100 %
2026/05/07 16:10:20.158, 310.55 W, 100 %
2026/05/07 16:10:20.259, 310.74 W, 100 %
2026/05/07 16:10:20.359, 310.55 W, 100 %
2026/05/07 16:10:20.459, 310.86 W, 100 %
2026/05/07 16:10:20.559, 309.65 W, 100 %
2026/05/07 16:10:20.659, 308.82 W, 100 %
2026/05/07 16:10:20.759, 308.49 W, 100 %
2026/05/07 16:10:20.859, 308.35 W, 100 %
2026/05/07 16:10:20.959, 309.45 W, 100 %
2026/05/07 16:10:21.060, 309.89 W, 100 %
2026/05/07 16:10:21.160, 310.08 W, 100 %
2026/05/07 16:10:21.260, 310.30 W, 100 %
2026/05/07 16:10:21.360, 310.22 W, 100 %
2026/05/07 16:10:21.460, 309.93 W, 100 %
2026/05/07 16:10:21.560, 309.67 W, 100 %
2026/05/07 16:10:21.660, 309.06 W, 100 %
2026/05/07 16:10:21.760, 308.64 W, 100 %
2026/05/07 16:10:21.861, 309.12 W, 100 %
2026/05/07 16:10:21.961, 309.50 W, 100 %
2026/05/07 16:10:22.061, 309.69 W, 100 %
2026/05/07 16:10:22.161, 310.17 W, 100 %
2026/05/07 16:10:22.261, 310.36 W, 100 %
2026/05/07 16:10:22.361, 310.22 W, 100 %
2026/05/07 16:10:22.461, 310.06 W, 100 %
2026/05/07 16:10:22.562, 309.21 W, 100 %
2026/05/07 16:10:22.662, 309.21 W, 100 %
2026/05/07 16:10:22.762, 308.79 W, 100 %
2026/05/07 16:10:22.862, 308.99 W, 100 %
2026/05/07 16:10:22.962, 309.27 W, 100 %
2026/05/07 16:10:23.062, 309.35 W, 100 %
2026/05/07 16:10:23.162, 309.68 W, 100 %
2026/05/07 16:10:23.262, 310.06 W, 100 %
2026/05/07 16:10:23.363, 310.08 W, 100 %
2026/05/07 16:10:23.463, 310.14 W, 100 %
2026/05/07 16:10:23.563, 309.95 W, 100 %
2026/05/07 16:10:23.663, 309.62 W, 100 %
2026/05/07 16:10:23.763, 309.36 W, 100 %
2026/05/07 16:10:23.863, 309.14 W, 100 %
2026/05/07 16:10:23.963, 309.23 W, 100 %
2026/05/07 16:10:24.064, 309.55 W, 100 %
2026/05/07 16:10:24.164, 309.68 W, 100 %
2026/05/07 16:10:24.264, 310.02 W, 100 %
2026/05/07 16:10:24.364, 310.03 W, 100 %
2026/05/07 16:10:24.464, 310.10 W, 100 %
2026/05/07 16:10:24.564, 309.65 W, 100 %
2026/05/07 16:10:24.664, 309.37 W, 100 %
2026/05/07 16:10:24.764, 309.23 W, 100 %
2026/05/07 16:10:24.865, 309.20 W, 100 %
2026/05/07 16:10:24.965, 309.42 W, 100 %
2026/05/07 16:10:25.065, 309.51 W, 100 %
2026/05/07 16:10:25.165, 309.87 W, 100 %
2026/05/07 16:10:25.265, 309.86 W, 100 %
2026/05/07 16:10:25.365, 310.13 W, 100 %
2026/05/07 16:10:25.465, 309.74 W, 100 %
2026/05/07 16:10:25.565, 309.43 W, 100 %
2026/05/07 16:10:25.666, 309.38 W, 100 %
2026/05/07 16:10:25.766, 309.34 W, 100 %
2026/05/07 16:10:25.866, 309.51 W, 100 %
2026/05/07 16:10:25.966, 309.46 W, 100 %
2026/05/07 16:10:26.066, 309.73 W, 100 %
2026/05/07 16:10:26.166, 309.72 W, 100 %
2026/05/07 16:10:26.266, 309.92 W, 100 %
2026/05/07 16:10:26.367, 309.96 W, 100 %
2026/05/07 16:10:26.467, 309.84 W, 100 %
2026/05/07 16:10:26.567, 309.47 W, 100 %
2026/05/07 16:10:26.667, 309.42 W, 100 %
2026/05/07 16:10:26.767, 309.35 W, 100 %
2026/05/07 16:10:26.867, 309.22 W, 100 %
2026/05/07 16:10:26.967, 309.61 W, 100 %
2026/05/07 16:10:27.067, 309.59 W, 100 %
2026/05/07 16:10:27.168, 309.92 W, 100 %
2026/05/07 16:10:27.268, 309.96 W, 100 %
2026/05/07 16:10:27.368, 309.78 W, 100 %
2026/05/07 16:10:27.468, 309.62 W, 100 %
2026/05/07 16:10:27.568, 309.60 W, 100 %
2026/05/07 16:10:27.668, 309.46 W, 100 %
2026/05/07 16:10:27.768, 309.39 W, 100 %
2026/05/07 16:10:27.868, 309.67 W, 100 %
2026/05/07 16:10:27.969, 309.64 W, 100 %
2026/05/07 16:10:28.069, 309.71 W, 100 %
2026/05/07 16:10:28.169, 309.79 W, 100 %
2026/05/07 16:10:28.269, 309.82 W, 100 %
2026/05/07 16:10:28.369, 309.67 W, 100 %
2026/05/07 16:10:28.479, 309.67 W, 100 %
2026/05/07 16:10:28.579, 309.52 W, 100 %
2026/05/07 16:10:28.679, 309.39 W, 100 %
2026/05/07 16:10:28.779, 309.44 W, 100 %
2026/05/07 16:10:28.880, 309.38 W, 100 %
2026/05/07 16:10:28.980, 309.38 W, 100 %
2026/05/07 16:10:29.080, 309.50 W, 100 %
2026/05/07 16:10:29.180, 309.66 W, 100 %
2026/05/07 16:10:29.280, 309.65 W, 100 %
2026/05/07 16:10:29.380, 309.75 W, 100 %
2026/05/07 16:10:29.480, 309.74 W, 100 %
2026/05/07 16:10:29.581, 309.56 W, 100 %
2026/05/07 16:10:29.681, 309.61 W, 100 %
2026/05/07 16:10:29.781, 309.63 W, 100 %
2026/05/07 16:10:29.881, 309.66 W, 100 %
2026/05/07 16:10:29.981, 309.74 W, 100 %
2026/05/07 16:10:30.081, 309.87 W, 100 %
2026/05/07 16:10:30.181, 309.85 W, 100 %
2026/05/07 16:10:30.281, 309.84 W, 100 %
2026/05/07 16:10:30.382, 309.73 W, 100 %
2026/05/07 16:10:30.482, 309.50 W, 100 %
2026/05/07 16:10:30.582, 309.61 W, 100 %
2026/05/07 16:10:30.682, 309.61 W, 100 %
2026/05/07 16:10:30.782, 309.54 W, 100 %
2026/05/07 16:10:30.882, 309.71 W, 100 %
2026/05/07 16:10:30.982, 309.94 W, 100 %
2026/05/07 16:10:31.082, 309.88 W, 100 %
2026/05/07 16:10:31.183, 309.82 W, 100 %
2026/05/07 16:10:31.283, 309.73 W, 100 %
2026/05/07 16:10:31.383, 309.80 W, 100 %
2026/05/07 16:10:31.483, 309.73 W, 100 %
2026/05/07 16:10:31.583, 309.71 W, 100 %
2026/05/07 16:10:31.683, 309.51 W, 100 %
2026/05/07 16:10:31.783, 309.66 W, 100 %
2026/05/07 16:10:31.883, 309.68 W, 100 %
2026/05/07 16:10:31.984, 309.68 W, 100 %
2026/05/07 16:10:32.084, 309.64 W, 100 %
2026/05/07 16:10:32.184, 309.70 W, 100 %
2026/05/07 16:10:32.284, 309.77 W, 100 %
2026/05/07 16:10:32.384, 309.74 W, 100 %
2026/05/07 16:10:32.484, 309.56 W, 100 %
2026/05/07 16:10:32.584, 309.70 W, 100 %
2026/05/07 16:10:32.684, 309.80 W, 100 %
2026/05/07 16:10:32.785, 309.88 W, 100 %
2026/05/07 16:10:32.885, 309.71 W, 100 %
2026/05/07 16:10:32.985, 309.68 W, 100 %
2026/05/07 16:10:33.085, 309.80 W, 100 %
2026/05/07 16:10:33.185, 309.89 W, 100 %
2026/05/07 16:10:33.285, 309.58 W, 100 %
2026/05/07 16:10:33.385, 309.52 W, 100 %
2026/05/07 16:10:33.486, 309.60 W, 100 %
2026/05/07 16:10:33.586, 309.63 W, 100 %
2026/05/07 16:10:33.686, 309.63 W, 100 %
2026/05/07 16:10:33.786, 309.57 W, 100 %
2026/05/07 16:10:33.886, 309.57 W, 100 %
2026/05/07 16:10:33.986, 309.62 W, 100 %
2026/05/07 16:10:34.086, 309.71 W, 100 %
2026/05/07 16:10:34.186, 309.73 W, 100 %
2026/05/07 16:10:34.287, 309.85 W, 100 %
2026/05/07 16:10:34.387, 309.76 W, 100 %
2026/05/07 16:10:34.487, 309.73 W, 100 %
2026/05/07 16:10:34.587, 309.59 W, 100 %
2026/05/07 16:10:34.687, 309.56 W, 100 %
2026/05/07 16:10:34.787, 309.58 W, 100 %
2026/05/07 16:10:34.887, 309.60 W, 100 %
2026/05/07 16:10:34.987, 309.61 W, 100 %
2026/05/07 16:10:35.088, 309.80 W, 100 %
2026/05/07 16:10:35.188, 309.66 W, 100 %
2026/05/07 16:10:35.288, 309.59 W, 100 %
2026/05/07 16:10:35.388, 309.52 W, 100 %
2026/05/07 16:10:35.488, 309.43 W, 100 %
2026/05/07 16:10:35.588, 309.65 W, 100 %
2026/05/07 16:10:35.688, 309.71 W, 100 %
2026/05/07 16:10:35.788, 309.81 W, 100 %
2026/05/07 16:10:35.889, 309.87 W, 100 %
2026/05/07 16:10:35.989, 309.84 W, 100 %
