timestamp, power.draw [W], utilization.gpu [%]
2026/05/07 04:06:56.944, 66.99 W, 0 %
2026/05/07 04:06:57.046, 66.99 W, 0 %
2026/05/07 04:06:57.146, 66.99 W, 0 %
2026/05/07 04:06:57.247, 66.99 W, 0 %
2026/05/07 04:06:57.347, 66.99 W, 0 %
2026/05/07 04:06:57.447, 66.99 W, 0 %
2026/05/07 04:06:57.547, 69.06 W, 0 %
2026/05/07 04:06:57.647, 67.31 W, 0 %
2026/05/07 04:06:57.747, 68.18 W, 0 %
2026/05/07 04:06:57.847, 67.59 W, 2 %
2026/05/07 04:06:57.948, 66.99 W, 2 %
2026/05/07 04:06:58.048, 66.99 W, 7 %
2026/05/07 04:06:58.148, 66.99 W, 7 %
2026/05/07 04:06:58.248, 66.99 W, 0 %
2026/05/07 04:06:58.348, 66.99 W, 0 %
2026/05/07 04:06:58.448, 66.99 W, 0 %
2026/05/07 04:06:58.548, 66.71 W, 0 %
2026/05/07 04:06:58.648, 66.71 W, 0 %
2026/05/07 04:06:58.749, 66.99 W, 0 %
2026/05/07 04:06:58.849, 66.99 W, 0 %
2026/05/07 04:06:58.949, 66.99 W, 0 %
2026/05/07 04:06:59.049, 66.99 W, 0 %
2026/05/07 04:06:59.149, 66.99 W, 0 %
2026/05/07 04:06:59.250, 66.99 W, 0 %
2026/05/07 04:06:59.350, 66.99 W, 0 %
2026/05/07 04:06:59.450, 67.31 W, 0 %
2026/05/07 04:06:59.550, 67.31 W, 0 %
2026/05/07 04:06:59.650, 67.31 W, 0 %
2026/05/07 04:06:59.750, 69.06 W, 0 %
2026/05/07 04:06:59.850, 67.31 W, 2 %
2026/05/07 04:06:59.951, 66.99 W, 2 %
2026/05/07 04:07:00.051, 66.99 W, 0 %
2026/05/07 04:07:00.151, 66.99 W, 0 %
2026/05/07 04:07:00.251, 66.99 W, 0 %
2026/05/07 04:07:00.351, 67.91 W, 0 %
2026/05/07 04:07:00.451, 66.99 W, 1 %
2026/05/07 04:07:00.552, 66.99 W, 1 %
2026/05/07 04:07:00.652, 66.44 W, 0 %
2026/05/07 04:07:00.752, 66.44 W, 0 %
2026/05/07 04:07:00.852, 66.99 W, 1 %
2026/05/07 04:07:00.952, 68.46 W, 1 %
2026/05/07 04:07:01.052, 193.57 W, 45 %
2026/05/07 04:07:01.152, 188.62 W, 45 %
2026/05/07 04:07:01.252, 193.57 W, 98 %
2026/05/07 04:07:01.353, 195.64 W, 98 %
2026/05/07 04:07:01.453, 196.18 W, 99 %
2026/05/07 04:07:01.553, 188.02 W, 99 %
2026/05/07 04:07:01.653, 195.32 W, 99 %
2026/05/07 04:07:01.753, 196.18 W, 99 %
2026/05/07 04:07:01.853, 68.79 W, 55 %
2026/05/07 04:07:01.953, 195.05 W, 55 %
2026/05/07 04:07:02.053, 185.55 W, 89 %
2026/05/07 04:07:02.153, 194.38 W, 89 %
2026/05/07 04:07:02.253, 195.91 W, 99 %
2026/05/07 04:07:02.353, 196.51 W, 99 %
2026/05/07 04:07:02.453, 188.02 W, 98 %
2026/05/07 04:07:02.554, 195.32 W, 98 %
2026/05/07 04:07:02.654, 197.06 W, 99 %
2026/05/07 04:07:02.754, 123.52 W, 99 %
2026/05/07 04:07:02.854, 193.30 W, 66 %
2026/05/07 04:07:02.954, 195.91 W, 66 %
2026/05/07 04:07:03.054, 196.51 W, 99 %
