timestamp, power.draw [W], utilization.gpu [%]
2026/05/07 06:20:58.021, 79.63 W, 0 %
2026/05/07 06:20:58.122, 79.02 W, 0 %
2026/05/07 06:20:58.222, 79.63 W, 0 %
2026/05/07 06:20:58.322, 79.29 W, 0 %
2026/05/07 06:20:58.423, 79.29 W, 0 %
2026/05/07 06:20:58.523, 79.29 W, 0 %
2026/05/07 06:20:58.623, 79.29 W, 0 %
2026/05/07 06:20:58.723, 82.84 W, 0 %
2026/05/07 06:20:58.823, 84.31 W, 1 %
2026/05/07 06:20:58.923, 82.51 W, 1 %
2026/05/07 06:20:59.023, 79.63 W, 7 %
2026/05/07 06:20:59.123, 79.29 W, 7 %
2026/05/07 06:20:59.224, 84.58 W, 0 %
2026/05/07 06:20:59.324, 79.29 W, 0 %
2026/05/07 06:20:59.424, 78.70 W, 3 %
2026/05/07 06:20:59.524, 204.68 W, 3 %
2026/05/07 06:20:59.624, 214.63 W, 74 %
2026/05/07 06:20:59.724, 213.76 W, 74 %
2026/05/07 06:20:59.824, 212.29 W, 90 %
2026/05/07 06:20:59.924, 212.02 W, 90 %
2026/05/07 06:21:00.024, 199.72 W, 91 %
2026/05/07 06:21:00.124, 209.08 W, 91 %
2026/05/07 06:21:00.224, 209.68 W, 92 %
2026/05/07 06:21:00.324, 208.48 W, 92 %
2026/05/07 06:21:00.424, 205.27 W, 91 %
2026/05/07 06:21:00.525, 203.80 W, 91 %
2026/05/07 06:21:00.625, 204.40 W, 91 %
2026/05/07 06:21:00.725, 205.54 W, 91 %
2026/05/07 06:21:00.825, 204.07 W, 92 %
2026/05/07 06:21:00.925, 205.87 W, 92 %
2026/05/07 06:21:01.025, 203.80 W, 91 %
2026/05/07 06:21:01.125, 202.33 W, 91 %
2026/05/07 06:21:01.225, 204.07 W, 92 %
2026/05/07 06:21:01.325, 199.99 W, 92 %
2026/05/07 06:21:01.425, 202.06 W, 91 %
2026/05/07 06:21:01.525, 204.07 W, 91 %
2026/05/07 06:21:01.625, 203.21 W, 92 %
2026/05/07 06:21:01.725, 211.42 W, 92 %
2026/05/07 06:21:01.825, 216.69 W, 91 %
2026/05/07 06:21:01.926, 213.16 W, 91 %
2026/05/07 06:21:02.026, 213.43 W, 92 %
2026/05/07 06:21:02.126, 217.57 W, 92 %
2026/05/07 06:21:02.226, 217.24 W, 92 %
2026/05/07 06:21:02.326, 217.57 W, 92 %
2026/05/07 06:21:02.426, 213.16 W, 91 %
2026/05/07 06:21:02.526, 213.76 W, 91 %
2026/05/07 06:21:02.626, 215.77 W, 91 %
2026/05/07 06:21:02.726, 216.69 W, 91 %
2026/05/07 06:21:02.826, 215.77 W, 91 %
2026/05/07 06:21:02.926, 215.50 W, 91 %
2026/05/07 06:21:03.026, 213.43 W, 92 %
2026/05/07 06:21:03.126, 215.23 W, 92 %
2026/05/07 06:21:03.226, 215.23 W, 92 %
2026/05/07 06:21:03.327, 215.23 W, 92 %
2026/05/07 06:21:03.427, 214.90 W, 91 %
2026/05/07 06:21:03.527, 210.23 W, 91 %
2026/05/07 06:21:03.627, 213.16 W, 91 %
2026/05/07 06:21:03.727, 212.89 W, 91 %
2026/05/07 06:21:03.827, 212.29 W, 91 %
2026/05/07 06:21:03.927, 213.43 W, 91 %
2026/05/07 06:21:04.027, 208.21 W, 92 %
2026/05/07 06:21:04.127, 210.82 W, 92 %
2026/05/07 06:21:04.227, 211.09 W, 92 %
2026/05/07 06:21:04.327, 209.68 W, 92 %
2026/05/07 06:21:04.427, 210.55 W, 92 %
2026/05/07 06:21:04.527, 218.71 W, 92 %
2026/05/07 06:21:04.627, 209.68 W, 84 %
2026/05/07 06:21:04.728, 213.43 W, 84 %
2026/05/07 06:21:04.828, 211.42 W, 90 %
2026/05/07 06:21:04.928, 214.63 W, 90 %
2026/05/07 06:21:05.028, 213.16 W, 92 %
2026/05/07 06:21:05.128, 211.42 W, 92 %
2026/05/07 06:21:05.228, 211.42 W, 91 %
2026/05/07 06:21:05.328, 206.74 W, 91 %
2026/05/07 06:21:05.428, 214.36 W, 91 %
2026/05/07 06:21:05.528, 214.36 W, 91 %
2026/05/07 06:21:05.628, 209.08 W, 92 %
2026/05/07 06:21:05.728, 212.02 W, 92 %
2026/05/07 06:21:05.828, 206.74 W, 92 %
2026/05/07 06:21:05.928, 212.56 W, 92 %
2026/05/07 06:21:06.028, 211.09 W, 92 %
2026/05/07 06:21:06.129, 209.35 W, 92 %
2026/05/07 06:21:06.229, 208.48 W, 92 %
2026/05/07 06:21:06.329, 201.73 W, 92 %
2026/05/07 06:21:06.429, 207.61 W, 91 %
2026/05/07 06:21:06.529, 207.88 W, 91 %
2026/05/07 06:21:06.629, 206.14 W, 91 %
2026/05/07 06:21:06.729, 205.27 W, 91 %
2026/05/07 06:21:06.829, 195.32 W, 91 %
2026/05/07 06:21:06.929, 201.73 W, 91 %
2026/05/07 06:21:07.029, 202.93 W, 92 %
2026/05/07 06:21:07.129, 200.32 W, 92 %
2026/05/07 06:21:07.229, 201.19 W, 91 %
2026/05/07 06:21:07.329, 197.06 W, 91 %
2026/05/07 06:21:07.429, 203.21 W, 92 %
2026/05/07 06:21:07.530, 203.80 W, 92 %
2026/05/07 06:21:07.630, 216.69 W, 91 %
2026/05/07 06:21:07.730, 217.57 W, 91 %
2026/05/07 06:21:07.830, 218.71 W, 92 %
2026/05/07 06:21:07.930, 216.97 W, 92 %
2026/05/07 06:21:08.030, 217.57 W, 92 %
2026/05/07 06:21:08.130, 217.24 W, 92 %
2026/05/07 06:21:08.230, 216.97 W, 91 %
2026/05/07 06:21:08.330, 216.69 W, 91 %
2026/05/07 06:21:08.430, 216.69 W, 92 %
2026/05/07 06:21:08.530, 216.69 W, 92 %
2026/05/07 06:21:08.630, 215.77 W, 92 %
2026/05/07 06:21:08.730, 215.23 W, 92 %
2026/05/07 06:21:08.830, 215.77 W, 92 %
2026/05/07 06:21:08.931, 214.63 W, 92 %
2026/05/07 06:21:09.031, 214.36 W, 92 %
2026/05/07 06:21:09.131, 213.76 W, 92 %
2026/05/07 06:21:09.231, 211.69 W, 91 %
2026/05/07 06:21:09.331, 213.43 W, 91 %
2026/05/07 06:21:09.431, 214.36 W, 92 %
2026/05/07 06:21:09.531, 213.16 W, 92 %
2026/05/07 06:21:09.631, 212.02 W, 92 %
2026/05/07 06:21:09.731, 207.61 W, 92 %
2026/05/07 06:21:09.831, 209.35 W, 91 %
2026/05/07 06:21:09.931, 210.23 W, 91 %
2026/05/07 06:21:10.031, 208.48 W, 91 %
2026/05/07 06:21:10.131, 207.01 W, 91 %
2026/05/07 06:21:10.231, 206.14 W, 92 %
2026/05/07 06:21:10.332, 207.01 W, 92 %
2026/05/07 06:21:10.432, 205.54 W, 92 %
2026/05/07 06:21:10.532, 204.07 W, 92 %
2026/05/07 06:21:10.632, 197.98 W, 92 %
2026/05/07 06:21:10.732, 199.13 W, 92 %
2026/05/07 06:21:10.832, 204.68 W, 92 %
2026/05/07 06:21:10.932, 215.23 W, 92 %
2026/05/07 06:21:11.032, 217.57 W, 92 %
2026/05/07 06:21:11.132, 215.50 W, 92 %
2026/05/07 06:21:11.232, 214.04 W, 91 %
2026/05/07 06:21:11.332, 216.69 W, 91 %
2026/05/07 06:21:11.432, 215.77 W, 91 %
2026/05/07 06:21:11.532, 214.63 W, 91 %
2026/05/07 06:21:11.632, 210.82 W, 91 %
2026/05/07 06:21:11.733, 214.63 W, 91 %
2026/05/07 06:21:11.833, 212.29 W, 91 %
2026/05/07 06:21:11.933, 213.16 W, 91 %
2026/05/07 06:21:12.033, 212.29 W, 92 %
2026/05/07 06:21:12.133, 204.40 W, 92 %
2026/05/07 06:21:12.233, 210.55 W, 92 %
2026/05/07 06:21:12.333, 210.82 W, 92 %
2026/05/07 06:21:12.433, 210.23 W, 92 %
2026/05/07 06:21:12.533, 209.68 W, 92 %
2026/05/07 06:21:12.633, 200.87 W, 91 %
2026/05/07 06:21:12.733, 207.61 W, 91 %
2026/05/07 06:21:12.833, 205.54 W, 92 %
2026/05/07 06:21:12.933, 202.33 W, 92 %
2026/05/07 06:21:13.033, 202.33 W, 92 %
2026/05/07 06:21:13.134, 203.53 W, 92 %
2026/05/07 06:21:13.234, 190.97 W, 91 %
2026/05/07 06:21:13.334, 204.07 W, 91 %
2026/05/07 06:21:13.434, 204.68 W, 91 %
2026/05/07 06:21:13.534, 208.76 W, 91 %
2026/05/07 06:21:13.634, 217.57 W, 91 %
2026/05/07 06:21:13.734, 216.97 W, 91 %
2026/05/07 06:21:13.834, 216.37 W, 92 %
2026/05/07 06:21:13.934, 216.97 W, 92 %
2026/05/07 06:21:14.034, 216.69 W, 92 %
2026/05/07 06:21:14.134, 216.37 W, 92 %
2026/05/07 06:21:14.234, 214.63 W, 92 %
2026/05/07 06:21:14.334, 214.36 W, 92 %
2026/05/07 06:21:14.434, 215.50 W, 92 %
2026/05/07 06:21:14.535, 213.76 W, 92 %
