timestamp, power.draw [W], utilization.gpu [%]
2026/05/06 15:08:14.796, 56.75 W, 0 %
2026/05/06 15:08:14.903, 56.75 W, 0 %
2026/05/06 15:08:15.003, 56.75 W, 0 %
2026/05/06 15:08:15.103, 56.81 W, 0 %
2026/05/06 15:08:15.203, 56.54 W, 0 %
2026/05/06 15:08:15.303, 57.13 W, 0 %
2026/05/06 15:08:15.404, 57.41 W, 0 %
2026/05/06 15:08:15.504, 56.75 W, 0 %
2026/05/06 15:08:15.604, 57.68 W, 0 %
2026/05/06 15:08:15.704, 57.68 W, 0 %
2026/05/06 15:08:15.804, 56.81 W, 7 %
2026/05/06 15:08:15.904, 56.75 W, 7 %
2026/05/06 15:08:16.004, 56.75 W, 7 %
2026/05/06 15:08:16.104, 56.81 W, 10 %
2026/05/06 15:08:16.205, 56.75 W, 0 %
2026/05/06 15:08:16.305, 56.75 W, 0 %
2026/05/06 15:08:16.405, 56.48 W, 0 %
2026/05/06 15:08:16.505, 57.62 W, 0 %
2026/05/06 15:08:16.605, 57.08 W, 0 %
2026/05/06 15:08:16.705, 56.75 W, 0 %
2026/05/06 15:08:16.805, 56.54 W, 4 %
2026/05/06 15:08:16.905, 56.54 W, 4 %
2026/05/06 15:08:17.005, 56.81 W, 2 %
2026/05/06 15:08:17.106, 56.81 W, 2 %
2026/05/06 15:08:17.206, 70.26 W, 13 %
2026/05/06 15:08:17.306, 87.52 W, 13 %
2026/05/06 15:08:17.406, 87.80 W, 89 %
2026/05/06 15:08:17.506, 84.31 W, 89 %
2026/05/06 15:08:17.606, 87.52 W, 99 %
2026/05/06 15:08:17.706, 86.92 W, 99 %
2026/05/06 15:08:17.806, 84.85 W, 100 %
2026/05/06 15:08:17.906, 87.19 W, 100 %
2026/05/06 15:08:18.006, 87.19 W, 100 %
2026/05/06 15:08:18.106, 84.58 W, 99 %
2026/05/06 15:08:18.207, 87.80 W, 99 %
2026/05/06 15:08:18.307, 87.52 W, 99 %
2026/05/06 15:08:18.407, 85.18 W, 100 %
2026/05/06 15:08:18.507, 87.19 W, 100 %
2026/05/06 15:08:18.607, 86.92 W, 99 %
2026/05/06 15:08:18.707, 87.52 W, 99 %
2026/05/06 15:08:18.807, 58.28 W, 62 %
2026/05/06 15:08:18.907, 86.92 W, 62 %
2026/05/06 15:08:19.007, 86.92 W, 62 %
2026/05/06 15:08:19.107, 87.19 W, 92 %
2026/05/06 15:08:19.207, 87.52 W, 92 %
2026/05/06 15:08:19.307, 87.52 W, 99 %
2026/05/06 15:08:19.408, 87.52 W, 100 %
2026/05/06 15:08:19.508, 87.52 W, 100 %
2026/05/06 15:08:19.608, 87.52 W, 100 %
2026/05/06 15:08:19.708, 87.80 W, 99 %
2026/05/06 15:08:19.808, 87.52 W, 99 %
2026/05/06 15:08:19.908, 87.80 W, 99 %
2026/05/06 15:08:20.008, 87.80 W, 99 %
2026/05/06 15:08:20.108, 87.19 W, 100 %
2026/05/06 15:08:20.208, 87.19 W, 100 %
2026/05/06 15:08:20.308, 87.19 W, 99 %
2026/05/06 15:08:20.409, 87.19 W, 99 %
2026/05/06 15:08:20.509, 80.25 W, 82 %
2026/05/06 15:08:20.609, 87.80 W, 82 %
2026/05/06 15:08:20.709, 83.11 W, 99 %
2026/05/06 15:08:20.809, 87.80 W, 99 %
2026/05/06 15:08:20.909, 87.52 W, 99 %
2026/05/06 15:08:21.009, 87.52 W, 99 %
2026/05/06 15:08:21.109, 82.84 W, 100 %
2026/05/06 15:08:21.209, 87.80 W, 100 %
2026/05/06 15:08:21.309, 87.80 W, 99 %
2026/05/06 15:08:21.410, 81.64 W, 99 %
2026/05/06 15:08:21.510, 87.80 W, 99 %
2026/05/06 15:08:21.610, 87.80 W, 99 %
2026/05/06 15:08:21.710, 79.02 W, 100 %
2026/05/06 15:08:21.810, 86.92 W, 100 %
2026/05/06 15:08:21.910, 87.52 W, 99 %
2026/05/06 15:08:22.010, 61.49 W, 99 %
2026/05/06 15:08:22.110, 87.19 W, 86 %
2026/05/06 15:08:22.210, 87.19 W, 86 %
2026/05/06 15:08:22.310, 86.92 W, 100 %
2026/05/06 15:08:22.410, 86.92 W, 100 %
2026/05/06 15:08:22.510, 86.92 W, 99 %
2026/05/06 15:08:22.611, 87.19 W, 99 %
2026/05/06 15:08:22.711, 87.19 W, 99 %
2026/05/06 15:08:22.811, 87.52 W, 99 %
2026/05/06 15:08:22.911, 87.19 W, 100 %
2026/05/06 15:08:23.011, 87.19 W, 100 %
2026/05/06 15:08:23.111, 87.80 W, 99 %
2026/05/06 15:08:23.211, 87.52 W, 99 %
2026/05/06 15:08:23.311, 87.52 W, 99 %
2026/05/06 15:08:23.411, 87.80 W, 99 %
2026/05/06 15:08:23.511, 87.80 W, 100 %
2026/05/06 15:08:23.611, 81.64 W, 100 %
2026/05/06 15:08:23.711, 87.80 W, 80 %
2026/05/06 15:08:23.812, 87.52 W, 80 %
2026/05/06 15:08:23.912, 82.23 W, 100 %
2026/05/06 15:08:24.012, 87.80 W, 100 %
2026/05/06 15:08:24.112, 87.52 W, 99 %
2026/05/06 15:08:24.212, 83.38 W, 99 %
2026/05/06 15:08:24.312, 87.80 W, 99 %
2026/05/06 15:08:24.412, 87.52 W, 99 %
2026/05/06 15:08:24.512, 84.31 W, 100 %
2026/05/06 15:08:24.612, 87.52 W, 100 %
2026/05/06 15:08:24.712, 87.80 W, 99 %
2026/05/06 15:08:24.812, 84.31 W, 99 %
2026/05/06 15:08:24.912, 86.92 W, 99 %
2026/05/06 15:08:25.013, 87.19 W, 99 %
2026/05/06 15:08:25.113, 67.59 W, 100 %
2026/05/06 15:08:25.213, 87.19 W, 100 %
2026/05/06 15:08:25.313, 88.39 W, 86 %
2026/05/06 15:08:25.413, 87.80 W, 86 %
2026/05/06 15:08:25.513, 87.52 W, 99 %
2026/05/06 15:08:25.613, 87.80 W, 99 %
2026/05/06 15:08:25.713, 87.52 W, 100 %
2026/05/06 15:08:25.813, 87.52 W, 100 %
2026/05/06 15:08:25.913, 87.19 W, 99 %
2026/05/06 15:08:26.013, 87.19 W, 99 %
2026/05/06 15:08:26.114, 87.19 W, 99 %
2026/05/06 15:08:26.215, 87.19 W, 99 %
2026/05/06 15:08:26.315, 87.52 W, 100 %
2026/05/06 15:08:26.415, 87.80 W, 100 %
2026/05/06 15:08:26.515, 87.19 W, 99 %
2026/05/06 15:08:26.615, 87.80 W, 99 %
2026/05/06 15:08:26.715, 87.52 W, 81 %
2026/05/06 15:08:26.815, 59.15 W, 81 %
2026/05/06 15:08:26.915, 87.52 W, 93 %
2026/05/06 15:08:27.016, 87.52 W, 93 %
2026/05/06 15:08:27.116, 87.52 W, 100 %
2026/05/06 15:08:27.216, 80.25 W, 100 %
2026/05/06 15:08:27.316, 87.80 W, 99 %
2026/05/06 15:08:27.416, 87.19 W, 99 %
2026/05/06 15:08:27.516, 87.52 W, 99 %
2026/05/06 15:08:27.616, 87.52 W, 99 %
2026/05/06 15:08:27.716, 86.92 W, 100 %
2026/05/06 15:08:27.816, 88.39 W, 100 %
2026/05/06 15:08:27.916, 84.85 W, 99 %
2026/05/06 15:08:28.016, 87.80 W, 99 %
2026/05/06 15:08:28.116, 87.19 W, 100 %
2026/05/06 15:08:28.217, 87.52 W, 100 %
2026/05/06 15:08:28.317, 83.38 W, 99 %
2026/05/06 15:08:28.417, 87.80 W, 99 %
2026/05/06 15:08:28.517, 87.19 W, 100 %
2026/05/06 15:08:28.617, 87.52 W, 100 %
2026/05/06 15:08:28.717, 75.81 W, 84 %
2026/05/06 15:08:28.817, 87.52 W, 84 %
2026/05/06 15:08:28.917, 87.52 W, 100 %
2026/05/06 15:08:29.017, 87.80 W, 100 %
2026/05/06 15:08:29.117, 87.52 W, 99 %
2026/05/06 15:08:29.217, 87.19 W, 99 %
2026/05/06 15:08:29.317, 87.52 W, 100 %
2026/05/06 15:08:29.418, 84.85 W, 100 %
2026/05/06 15:08:29.518, 87.52 W, 99 %
2026/05/06 15:08:29.618, 87.52 W, 99 %
2026/05/06 15:08:29.718, 87.19 W, 100 %
2026/05/06 15:08:29.818, 84.31 W, 100 %
2026/05/06 15:08:29.918, 87.80 W, 99 %
2026/05/06 15:08:30.018, 88.07 W, 99 %
2026/05/06 15:08:30.118, 87.52 W, 99 %
2026/05/06 15:08:30.218, 87.19 W, 99 %
2026/05/06 15:08:30.318, 87.80 W, 100 %
2026/05/06 15:08:30.418, 88.07 W, 100 %
2026/05/06 15:08:30.518, 65.64 W, 81 %
2026/05/06 15:08:30.619, 86.32 W, 81 %
2026/05/06 15:08:30.719, 87.52 W, 100 %
2026/05/06 15:08:30.819, 87.52 W, 100 %
2026/05/06 15:08:30.919, 85.18 W, 99 %
2026/05/06 15:08:31.019, 87.52 W, 99 %
2026/05/06 15:08:31.119, 87.52 W, 100 %
2026/05/06 15:08:31.219, 87.80 W, 100 %
2026/05/06 15:08:31.319, 86.05 W, 99 %
2026/05/06 15:08:31.419, 87.52 W, 99 %
2026/05/06 15:08:31.519, 87.52 W, 99 %
2026/05/06 15:08:31.619, 87.52 W, 99 %
2026/05/06 15:08:31.719, 87.52 W, 100 %
2026/05/06 15:08:31.820, 87.80 W, 100 %
2026/05/06 15:08:31.920, 87.80 W, 99 %
2026/05/06 15:08:32.020, 82.84 W, 99 %
2026/05/06 15:08:32.120, 87.52 W, 99 %
2026/05/06 15:08:32.220, 87.52 W, 99 %
2026/05/06 15:08:32.320, 87.52 W, 99 %
2026/05/06 15:08:32.420, 81.04 W, 99 %
2026/05/06 15:08:32.520, 87.80 W, 87 %
2026/05/06 15:08:32.620, 87.80 W, 87 %
2026/05/06 15:08:32.720, 87.52 W, 99 %
2026/05/06 15:08:32.820, 87.80 W, 99 %
2026/05/06 15:08:32.920, 86.92 W, 99 %
2026/05/06 15:08:33.021, 87.52 W, 99 %
2026/05/06 15:08:33.121, 80.49 W, 100 %
2026/05/06 15:08:33.221, 87.52 W, 100 %
2026/05/06 15:08:33.321, 87.52 W, 99 %
2026/05/06 15:08:33.421, 88.07 W, 99 %
2026/05/06 15:08:33.521, 87.80 W, 100 %
2026/05/06 15:08:33.621, 87.52 W, 100 %
2026/05/06 15:08:33.721, 87.52 W, 99 %
2026/05/06 15:08:33.821, 84.85 W, 99 %
2026/05/06 15:08:33.921, 87.80 W, 100 %
2026/05/06 15:08:34.021, 87.80 W, 100 %
2026/05/06 15:08:34.121, 87.80 W, 99 %
2026/05/06 15:08:34.222, 74.94 W, 99 %
2026/05/06 15:08:34.322, 87.52 W, 86 %
2026/05/06 15:08:34.422, 87.19 W, 86 %
2026/05/06 15:08:34.522, 87.52 W, 96 %
2026/05/06 15:08:34.622, 87.19 W, 96 %
2026/05/06 15:08:34.722, 87.19 W, 99 %
2026/05/06 15:08:34.822, 87.19 W, 99 %
2026/05/06 15:08:34.922, 84.31 W, 100 %
2026/05/06 15:08:35.022, 87.19 W, 100 %
2026/05/06 15:08:35.122, 87.80 W, 99 %
2026/05/06 15:08:35.222, 84.85 W, 99 %
2026/05/06 15:08:35.322, 87.19 W, 100 %
2026/05/06 15:08:35.422, 87.52 W, 100 %
2026/05/06 15:08:35.523, 87.80 W, 99 %
2026/05/06 15:08:35.623, 87.19 W, 99 %
2026/05/06 15:08:35.723, 87.52 W, 99 %
2026/05/06 15:08:35.823, 87.19 W, 99 %
2026/05/06 15:08:35.923, 63.78 W, 100 %
2026/05/06 15:08:36.023, 88.07 W, 100 %
2026/05/06 15:08:36.123, 87.52 W, 86 %
2026/05/06 15:08:36.223, 87.52 W, 86 %
2026/05/06 15:08:36.323, 87.80 W, 100 %
2026/05/06 15:08:36.423, 87.52 W, 100 %
2026/05/06 15:08:36.523, 87.19 W, 99 %
2026/05/06 15:08:36.623, 82.23 W, 99 %
2026/05/06 15:08:36.723, 87.52 W, 100 %
2026/05/06 15:08:36.824, 87.52 W, 100 %
2026/05/06 15:08:36.924, 84.85 W, 99 %
2026/05/06 15:08:37.024, 87.80 W, 99 %
2026/05/06 15:08:37.124, 87.80 W, 99 %
2026/05/06 15:08:37.224, 87.19 W, 99 %
2026/05/06 15:08:37.324, 87.52 W, 100 %
2026/05/06 15:08:37.424, 87.80 W, 100 %
2026/05/06 15:08:37.524, 87.19 W, 99 %
2026/05/06 15:08:37.624, 59.69 W, 99 %
2026/05/06 15:08:37.724, 87.52 W, 96 %
2026/05/06 15:08:37.825, 87.80 W, 96 %
2026/05/06 15:08:37.925, 87.52 W, 86 %
2026/05/06 15:08:38.025, 87.80 W, 86 %
2026/05/06 15:08:38.125, 86.92 W, 99 %
2026/05/06 15:08:38.225, 87.52 W, 99 %
2026/05/06 15:08:38.325, 85.72 W, 100 %
2026/05/06 15:08:38.425, 87.52 W, 100 %
2026/05/06 15:08:38.525, 87.80 W, 99 %
2026/05/06 15:08:38.625, 79.29 W, 99 %
2026/05/06 15:08:38.725, 87.52 W, 100 %
2026/05/06 15:08:38.825, 86.65 W, 100 %
2026/05/06 15:08:38.925, 84.85 W, 99 %
2026/05/06 15:08:39.026, 87.19 W, 99 %
2026/05/06 15:08:39.126, 87.80 W, 99 %
2026/05/06 15:08:39.226, 87.19 W, 99 %
2026/05/06 15:08:39.326, 83.98 W, 100 %
2026/05/06 15:08:39.426, 87.80 W, 100 %
2026/05/06 15:08:39.526, 87.80 W, 86 %
2026/05/06 15:08:39.626, 78.51 W, 86 %
2026/05/06 15:08:39.726, 87.52 W, 100 %
2026/05/06 15:08:39.826, 87.52 W, 100 %
2026/05/06 15:08:39.926, 84.58 W, 99 %
2026/05/06 15:08:40.026, 87.80 W, 99 %
2026/05/06 15:08:40.126, 87.19 W, 99 %
2026/05/06 15:08:40.227, 87.80 W, 99 %
2026/05/06 15:08:40.327, 87.19 W, 100 %
2026/05/06 15:08:40.427, 87.52 W, 100 %
2026/05/06 15:08:40.527, 87.52 W, 99 %
2026/05/06 15:08:40.627, 87.19 W, 99 %
2026/05/06 15:08:40.727, 87.52 W, 99 %
2026/05/06 15:08:40.827, 87.52 W, 99 %
2026/05/06 15:08:40.927, 67.06 W, 100 %
2026/05/06 15:08:41.027, 87.80 W, 100 %
2026/05/06 15:08:41.127, 86.92 W, 82 %
2026/05/06 15:08:41.227, 85.18 W, 82 %
