timestamp, power.draw [W], utilization.gpu [%]
2026/05/06 20:12:14.503, 57.62 W, 0 %
2026/05/06 20:12:14.605, 57.62 W, 0 %
2026/05/06 20:12:14.706, 57.68 W, 0 %
2026/05/06 20:12:14.806, 57.62 W, 0 %
2026/05/06 20:12:14.906, 57.68 W, 0 %
2026/05/06 20:12:15.006, 57.62 W, 0 %
2026/05/06 20:12:15.106, 59.42 W, 0 %
2026/05/06 20:12:15.206, 57.95 W, 0 %
2026/05/06 20:12:15.306, 59.42 W, 0 %
2026/05/06 20:12:15.407, 59.42 W, 2 %
2026/05/06 20:12:15.507, 58.22 W, 2 %
2026/05/06 20:12:15.607, 57.62 W, 14 %
2026/05/06 20:12:15.707, 57.62 W, 14 %
2026/05/06 20:12:15.807, 57.62 W, 0 %
2026/05/06 20:12:15.907, 57.62 W, 0 %
2026/05/06 20:12:16.008, 57.62 W, 0 %
2026/05/06 20:12:16.108, 57.62 W, 0 %
2026/05/06 20:12:16.208, 57.62 W, 0 %
2026/05/06 20:12:16.308, 57.62 W, 0 %
2026/05/06 20:12:16.408, 57.68 W, 0 %
2026/05/06 20:12:16.508, 57.68 W, 0 %
2026/05/06 20:12:16.608, 57.68 W, 0 %
2026/05/06 20:12:16.709, 57.62 W, 0 %
2026/05/06 20:12:16.809, 57.62 W, 0 %
2026/05/06 20:12:16.909, 57.62 W, 0 %
2026/05/06 20:12:17.009, 57.68 W, 0 %
2026/05/06 20:12:17.109, 57.62 W, 0 %
2026/05/06 20:12:17.209, 57.62 W, 0 %
2026/05/06 20:12:17.309, 57.62 W, 0 %
2026/05/06 20:12:17.410, 57.62 W, 0 %
2026/05/06 20:12:17.510, 57.62 W, 0 %
2026/05/06 20:12:17.610, 57.62 W, 0 %
2026/05/06 20:12:17.710, 57.62 W, 0 %
2026/05/06 20:12:17.810, 57.62 W, 0 %
2026/05/06 20:12:17.910, 57.62 W, 0 %
2026/05/06 20:12:18.011, 57.62 W, 0 %
2026/05/06 20:12:18.111, 57.68 W, 0 %
2026/05/06 20:12:18.211, 59.48 W, 0 %
2026/05/06 20:12:18.311, 58.22 W, 0 %
2026/05/06 20:12:18.411, 57.62 W, 4 %
2026/05/06 20:12:18.511, 57.68 W, 4 %
2026/05/06 20:12:18.611, 57.62 W, 0 %
2026/05/06 20:12:18.712, 57.62 W, 0 %
2026/05/06 20:12:18.812, 57.62 W, 0 %
