timestamp, power.draw [W], utilization.gpu [%]
2026/05/06 21:38:40.890, 57.95 W, 0 %
2026/05/06 21:38:40.993, 58.22 W, 0 %
2026/05/06 21:38:41.093, 57.95 W, 0 %
2026/05/06 21:38:41.193, 57.95 W, 0 %
2026/05/06 21:38:41.293, 57.95 W, 0 %
2026/05/06 21:38:41.393, 59.42 W, 0 %
2026/05/06 21:38:41.493, 58.82 W, 0 %
2026/05/06 21:38:41.593, 59.96 W, 0 %
2026/05/06 21:38:41.694, 59.42 W, 0 %
2026/05/06 21:38:41.794, 60.35 W, 0 %
2026/05/06 21:38:41.894, 58.61 W, 5 %
2026/05/06 21:38:41.994, 59.96 W, 5 %
2026/05/06 21:38:42.094, 58.22 W, 9 %
2026/05/06 21:38:42.194, 99.77 W, 9 %
2026/05/06 21:38:42.294, 98.36 W, 42 %
2026/05/06 21:38:42.394, 96.02 W, 42 %
2026/05/06 21:38:42.494, 93.68 W, 87 %
2026/05/06 21:38:42.594, 97.16 W, 87 %
2026/05/06 21:38:42.694, 96.56 W, 89 %
2026/05/06 21:38:42.795, 100.97 W, 89 %
2026/05/06 21:38:42.895, 96.02 W, 88 %
2026/05/06 21:38:42.995, 99.23 W, 88 %
2026/05/06 21:38:43.095, 99.23 W, 88 %
2026/05/06 21:38:43.195, 93.07 W, 88 %
2026/05/06 21:38:43.295, 97.16 W, 88 %
2026/05/06 21:38:43.395, 93.95 W, 88 %
2026/05/06 21:38:43.495, 98.63 W, 88 %
2026/05/06 21:38:43.595, 98.63 W, 88 %
2026/05/06 21:38:43.695, 97.16 W, 88 %
2026/05/06 21:38:43.795, 97.76 W, 88 %
2026/05/06 21:38:43.895, 96.29 W, 88 %
2026/05/06 21:38:43.995, 96.29 W, 88 %
2026/05/06 21:38:44.096, 99.23 W, 88 %
2026/05/06 21:38:44.196, 99.23 W, 88 %
2026/05/06 21:38:44.296, 95.09 W, 88 %
2026/05/06 21:38:44.396, 94.55 W, 88 %
2026/05/06 21:38:44.496, 93.95 W, 87 %
2026/05/06 21:38:44.596, 95.09 W, 87 %
2026/05/06 21:38:44.696, 99.23 W, 89 %
2026/05/06 21:38:44.796, 99.77 W, 89 %
2026/05/06 21:38:44.896, 95.09 W, 88 %
2026/05/06 21:38:44.996, 99.23 W, 88 %
2026/05/06 21:38:45.096, 99.23 W, 88 %
2026/05/06 21:38:45.196, 97.76 W, 88 %
2026/05/06 21:38:45.296, 92.75 W, 89 %
2026/05/06 21:38:45.397, 98.90 W, 89 %
2026/05/06 21:38:45.497, 100.10 W, 87 %
2026/05/06 21:38:45.597, 100.70 W, 87 %
2026/05/06 21:38:45.697, 96.56 W, 88 %
2026/05/06 21:38:45.797, 95.42 W, 88 %
2026/05/06 21:38:45.897, 93.07 W, 89 %
2026/05/06 21:38:45.997, 92.21 W, 89 %
2026/05/06 21:38:46.097, 99.77 W, 88 %
2026/05/06 21:38:46.197, 99.50 W, 88 %
2026/05/06 21:38:46.297, 100.70 W, 87 %
2026/05/06 21:38:46.397, 94.22 W, 87 %
2026/05/06 21:38:46.497, 93.95 W, 88 %
2026/05/06 21:38:46.597, 91.60 W, 88 %
2026/05/06 21:38:46.698, 100.70 W, 88 %
2026/05/06 21:38:46.798, 98.36 W, 88 %
2026/05/06 21:38:46.898, 99.77 W, 88 %
2026/05/06 21:38:46.998, 98.90 W, 88 %
2026/05/06 21:38:47.098, 92.21 W, 88 %
2026/05/06 21:38:47.198, 93.95 W, 88 %
2026/05/06 21:38:47.298, 101.24 W, 87 %
2026/05/06 21:38:47.398, 92.75 W, 87 %
2026/05/06 21:38:47.498, 99.77 W, 88 %
2026/05/06 21:38:47.598, 99.77 W, 88 %
2026/05/06 21:38:47.698, 91.33 W, 79 %
2026/05/06 21:38:47.798, 98.03 W, 79 %
