timestamp, power.draw [W], utilization.gpu [%]
2026/05/06 20:09:45.322, 59.24 W, 0 %
2026/05/06 20:09:45.430, 58.36 W, 0 %
2026/05/06 20:09:45.530, 58.30 W, 0 %
2026/05/06 20:09:45.630, 58.30 W, 0 %
2026/05/06 20:09:45.730, 58.36 W, 0 %
2026/05/06 20:09:45.831, 58.36 W, 0 %
2026/05/06 20:09:45.931, 58.63 W, 0 %
2026/05/06 20:09:46.031, 58.57 W, 0 %
2026/05/06 20:09:46.131, 66.44 W, 0 %
2026/05/06 20:09:46.231, 66.44 W, 1 %
2026/05/06 20:09:46.331, 64.77 W, 1 %
2026/05/06 20:09:46.432, 63.83 W, 9 %
2026/05/06 20:09:46.532, 63.90 W, 9 %
2026/05/06 20:09:46.632, 63.51 W, 0 %
2026/05/06 20:09:46.732, 63.51 W, 0 %
2026/05/06 20:09:46.832, 63.83 W, 0 %
2026/05/06 20:09:46.932, 63.51 W, 0 %
2026/05/06 20:09:47.033, 63.51 W, 0 %
2026/05/06 20:09:47.133, 63.51 W, 0 %
2026/05/06 20:09:47.233, 63.51 W, 0 %
2026/05/06 20:09:47.333, 63.51 W, 0 %
2026/05/06 20:09:47.433, 58.36 W, 0 %
2026/05/06 20:09:47.533, 58.30 W, 0 %
2026/05/06 20:09:47.633, 58.36 W, 0 %
2026/05/06 20:09:47.734, 58.36 W, 0 %
2026/05/06 20:09:47.834, 58.36 W, 0 %
2026/05/06 20:09:47.934, 58.36 W, 0 %
2026/05/06 20:09:48.034, 57.98 W, 0 %
2026/05/06 20:09:48.134, 57.98 W, 0 %
2026/05/06 20:09:48.234, 57.98 W, 0 %
2026/05/06 20:09:48.335, 57.98 W, 0 %
2026/05/06 20:09:48.435, 57.98 W, 0 %
2026/05/06 20:09:48.535, 57.98 W, 0 %
2026/05/06 20:09:48.635, 58.04 W, 0 %
2026/05/06 20:09:48.735, 58.30 W, 0 %
2026/05/06 20:09:48.835, 58.36 W, 0 %
2026/05/06 20:09:48.936, 63.03 W, 0 %
2026/05/06 20:09:49.036, 66.44 W, 0 %
2026/05/06 20:09:49.136, 63.31 W, 0 %
2026/05/06 20:09:49.236, 63.24 W, 3 %
2026/05/06 20:09:49.336, 63.51 W, 3 %
2026/05/06 20:09:49.436, 63.31 W, 0 %
2026/05/06 20:09:49.536, 63.31 W, 0 %
2026/05/06 20:09:49.637, 63.24 W, 0 %
2026/05/06 20:09:49.737, 63.24 W, 0 %
2026/05/06 20:09:49.837, 63.24 W, 0 %
2026/05/06 20:09:49.937, 63.24 W, 0 %
2026/05/06 20:09:50.037, 63.24 W, 0 %
2026/05/06 20:09:50.137, 63.24 W, 0 %
2026/05/06 20:09:50.238, 63.24 W, 0 %
2026/05/06 20:09:50.338, 63.24 W, 0 %
2026/05/06 20:09:50.438, 63.31 W, 0 %
2026/05/06 20:09:50.538, 63.24 W, 0 %
2026/05/06 20:09:50.638, 63.31 W, 0 %
2026/05/06 20:09:50.738, 63.31 W, 0 %
2026/05/06 20:09:50.838, 63.24 W, 1 %
2026/05/06 20:09:50.939, 140.21 W, 1 %
2026/05/06 20:09:51.039, 194.51 W, 53 %
2026/05/06 20:09:51.139, 194.51 W, 53 %
2026/05/06 20:09:51.239, 231.24 W, 91 %
2026/05/06 20:09:51.339, 247.23 W, 91 %
2026/05/06 20:09:51.439, 237.04 W, 92 %
2026/05/06 20:09:51.539, 245.76 W, 92 %
2026/05/06 20:09:51.639, 241.42 W, 90 %
2026/05/06 20:09:51.739, 248.09 W, 90 %
2026/05/06 20:09:51.839, 246.09 W, 91 %
2026/05/06 20:09:51.939, 205.56 W, 91 %
2026/05/06 20:09:52.039, 248.96 W, 92 %
2026/05/06 20:09:52.139, 221.92 W, 92 %
2026/05/06 20:09:52.240, 246.09 W, 92 %
2026/05/06 20:09:52.340, 233.84 W, 92 %
2026/05/06 20:09:52.440, 248.69 W, 91 %
2026/05/06 20:09:52.540, 240.83 W, 91 %
2026/05/06 20:09:52.640, 247.82 W, 92 %
2026/05/06 20:09:52.740, 244.89 W, 92 %
2026/05/06 20:09:52.840, 216.66 W, 92 %
2026/05/06 20:09:52.940, 246.36 W, 92 %
2026/05/06 20:09:53.040, 219.86 W, 92 %
2026/05/06 20:09:53.140, 247.55 W, 92 %
2026/05/06 20:09:53.240, 235.57 W, 92 %
2026/05/06 20:09:53.340, 249.55 W, 92 %
2026/05/06 20:09:53.440, 240.56 W, 92 %
2026/05/06 20:09:53.541, 250.74 W, 92 %
2026/05/06 20:09:53.641, 242.89 W, 92 %
2026/05/06 20:09:53.741, 207.62 W, 92 %
2026/05/06 20:09:53.841, 249.55 W, 92 %
2026/05/06 20:09:53.941, 219.86 W, 92 %
2026/05/06 20:09:54.041, 255.95 W, 92 %
2026/05/06 20:09:54.141, 232.97 W, 92 %
2026/05/06 20:09:54.241, 248.42 W, 90 %
2026/05/06 20:09:54.341, 244.62 W, 90 %
2026/05/06 20:09:54.441, 250.74 W, 92 %
2026/05/06 20:09:54.541, 248.09 W, 92 %
2026/05/06 20:09:54.641, 211.41 W, 92 %
2026/05/06 20:09:54.741, 248.69 W, 92 %
2026/05/06 20:09:54.842, 224.52 W, 92 %
2026/05/06 20:09:54.942, 250.15 W, 92 %
2026/05/06 20:09:55.042, 232.65 W, 92 %
2026/05/06 20:09:55.142, 248.42 W, 92 %
2026/05/06 20:09:55.242, 243.43 W, 92 %
2026/05/06 20:09:55.342, 246.09 W, 92 %
2026/05/06 20:09:55.442, 239.37 W, 92 %
2026/05/06 20:09:55.542, 227.45 W, 92 %
2026/05/06 20:09:55.642, 245.76 W, 92 %
2026/05/06 20:09:55.742, 211.14 W, 92 %
2026/05/06 20:09:55.842, 249.55 W, 92 %
2026/05/06 20:09:55.943, 176.65 W, 92 %
2026/05/06 20:09:56.044, 242.29 W, 88 %
2026/05/06 20:09:56.144, 244.62 W, 88 %
2026/05/06 20:09:56.244, 248.69 W, 89 %
2026/05/06 20:09:56.344, 247.23 W, 89 %
2026/05/06 20:09:56.444, 249.88 W, 89 %
2026/05/06 20:09:56.544, 241.70 W, 89 %
2026/05/06 20:09:56.644, 242.29 W, 91 %
2026/05/06 20:09:56.744, 242.89 W, 91 %
2026/05/06 20:09:56.844, 210.55 W, 91 %
2026/05/06 20:09:56.944, 251.61 W, 91 %
2026/05/06 20:09:57.044, 223.06 W, 92 %
2026/05/06 20:09:57.144, 253.61 W, 92 %
2026/05/06 20:09:57.244, 237.91 W, 92 %
2026/05/06 20:09:57.345, 242.29 W, 92 %
2026/05/06 20:09:57.445, 244.02 W, 92 %
2026/05/06 20:09:57.545, 251.88 W, 92 %
2026/05/06 20:09:57.645, 241.42 W, 92 %
2026/05/06 20:09:57.745, 214.01 W, 92 %
2026/05/06 20:09:57.845, 248.69 W, 92 %
2026/05/06 20:09:57.945, 219.86 W, 92 %
2026/05/06 20:09:58.045, 249.55 W, 92 %
2026/05/06 20:09:58.145, 235.30 W, 92 %
2026/05/06 20:09:58.245, 248.09 W, 91 %
2026/05/06 20:09:58.345, 240.83 W, 91 %
2026/05/06 20:09:58.445, 250.74 W, 91 %
2026/05/06 20:09:58.545, 243.16 W, 91 %
2026/05/06 20:09:58.646, 248.69 W, 91 %
2026/05/06 20:09:58.746, 245.49 W, 91 %
2026/05/06 20:09:58.846, 211.41 W, 92 %
2026/05/06 20:09:58.946, 249.28 W, 92 %
2026/05/06 20:09:59.046, 230.64 W, 92 %
2026/05/06 20:09:59.146, 250.15 W, 92 %
2026/05/06 20:09:59.246, 238.50 W, 92 %
2026/05/06 20:09:59.346, 242.56 W, 92 %
2026/05/06 20:09:59.446, 244.89 W, 92 %
2026/05/06 20:09:59.546, 254.21 W, 92 %
2026/05/06 20:09:59.646, 243.76 W, 92 %
2026/05/06 20:09:59.746, 211.68 W, 92 %
2026/05/06 20:09:59.846, 252.75 W, 92 %
2026/05/06 20:09:59.947, 218.40 W, 92 %
2026/05/06 20:10:00.047, 246.09 W, 92 %
2026/05/06 20:10:00.147, 234.98 W, 92 %
2026/05/06 20:10:00.247, 251.02 W, 90 %
2026/05/06 20:10:00.347, 245.22 W, 90 %
2026/05/06 20:10:00.447, 253.07 W, 91 %
2026/05/06 20:10:00.547, 240.24 W, 91 %
2026/05/06 20:10:00.647, 234.98 W, 92 %
2026/05/06 20:10:00.747, 248.09 W, 92 %
2026/05/06 20:10:00.847, 213.74 W, 92 %
2026/05/06 20:10:00.947, 246.95 W, 92 %
2026/05/06 20:10:01.047, 232.97 W, 92 %
2026/05/06 20:10:01.148, 251.88 W, 92 %
2026/05/06 20:10:01.248, 232.97 W, 92 %
2026/05/06 20:10:01.348, 251.29 W, 92 %
2026/05/06 20:10:01.448, 247.55 W, 91 %
2026/05/06 20:10:01.548, 254.21 W, 91 %
2026/05/06 20:10:01.648, 242.89 W, 92 %
2026/05/06 20:10:01.748, 211.14 W, 92 %
2026/05/06 20:10:01.848, 250.42 W, 92 %
2026/05/06 20:10:01.948, 217.54 W, 92 %
2026/05/06 20:10:02.048, 251.61 W, 92 %
2026/05/06 20:10:02.148, 251.61 W, 92 %
2026/05/06 20:10:02.248, 249.88 W, 91 %
2026/05/06 20:10:02.348, 249.88 W, 91 %
2026/05/06 20:10:02.449, 242.89 W, 92 %
2026/05/06 20:10:02.549, 248.69 W, 92 %
2026/05/06 20:10:02.649, 241.42 W, 92 %
2026/05/06 20:10:02.749, 246.36 W, 92 %
2026/05/06 20:10:02.849, 249.55 W, 92 %
2026/05/06 20:10:02.949, 193.05 W, 92 %
2026/05/06 20:10:03.049, 249.88 W, 90 %
2026/05/06 20:10:03.149, 210.82 W, 90 %
2026/05/06 20:10:03.249, 251.02 W, 92 %
2026/05/06 20:10:03.349, 235.30 W, 92 %
2026/05/06 20:10:03.449, 248.09 W, 92 %
2026/05/06 20:10:03.549, 237.91 W, 92 %
2026/05/06 20:10:03.649, 251.61 W, 92 %
2026/05/06 20:10:03.750, 246.63 W, 92 %
2026/05/06 20:10:03.850, 253.95 W, 92 %
2026/05/06 20:10:03.950, 248.69 W, 92 %
2026/05/06 20:10:04.050, 209.68 W, 92 %
2026/05/06 20:10:04.150, 248.42 W, 92 %
2026/05/06 20:10:04.250, 227.99 W, 92 %
2026/05/06 20:10:04.350, 254.21 W, 92 %
2026/05/06 20:10:04.450, 239.37 W, 91 %
2026/05/06 20:10:04.550, 251.02 W, 91 %
2026/05/06 20:10:04.650, 248.09 W, 92 %
2026/05/06 20:10:04.750, 250.42 W, 92 %
2026/05/06 20:10:04.850, 246.63 W, 92 %
2026/05/06 20:10:04.950, 208.81 W, 92 %
2026/05/06 20:10:05.051, 250.15 W, 92 %
2026/05/06 20:10:05.151, 230.05 W, 92 %
2026/05/06 20:10:05.251, 252.21 W, 92 %
2026/05/06 20:10:05.351, 234.71 W, 92 %
2026/05/06 20:10:05.451, 246.63 W, 92 %
2026/05/06 20:10:05.551, 241.70 W, 92 %
2026/05/06 20:10:05.651, 252.75 W, 92 %
2026/05/06 20:10:05.751, 243.16 W, 92 %
2026/05/06 20:10:05.851, 227.12 W, 92 %
2026/05/06 20:10:05.951, 248.09 W, 92 %
2026/05/06 20:10:06.051, 219.27 W, 92 %
2026/05/06 20:10:06.151, 251.02 W, 92 %
2026/05/06 20:10:06.251, 234.71 W, 92 %
2026/05/06 20:10:06.352, 253.35 W, 92 %
2026/05/06 20:10:06.452, 237.91 W, 90 %
2026/05/06 20:10:06.552, 252.21 W, 90 %
