timestamp, power.draw [W], utilization.gpu [%]
2026/05/06 00:15:44.615, 74.97 W, 0 %
2026/05/06 00:15:44.718, 74.97 W, 0 %
2026/05/06 00:15:44.819, 74.97 W, 0 %
2026/05/06 00:15:44.919, 75.88 W, 0 %
2026/05/06 00:15:45.019, 75.94 W, 4 %
2026/05/06 00:15:45.119, 76.07 W, 4 %
2026/05/06 00:15:45.219, 76.24 W, 2 %
2026/05/06 00:15:45.319, 78.37 W, 2 %
2026/05/06 00:15:45.419, 83.42 W, 81 %
2026/05/06 00:15:45.519, 88.03 W, 81 %
2026/05/06 00:15:45.619, 92.15 W, 82 %
2026/05/06 00:15:45.719, 114.82 W, 82 %
2026/05/06 00:15:45.820, 118.95 W, 82 %
2026/05/06 00:15:45.920, 133.81 W, 82 %
2026/05/06 00:15:46.020, 139.73 W, 83 %
2026/05/06 00:15:46.120, 148.40 W, 83 %
2026/05/06 00:15:46.220, 156.78 W, 82 %
2026/05/06 00:15:46.320, 164.53 W, 82 %
2026/05/06 00:15:46.420, 170.01 W, 81 %
2026/05/06 00:15:46.520, 170.40 W, 81 %
2026/05/06 00:15:46.620, 170.48 W, 82 %
2026/05/06 00:15:46.720, 170.40 W, 82 %
2026/05/06 00:15:46.820, 170.22 W, 81 %
2026/05/06 00:15:46.920, 171.12 W, 81 %
2026/05/06 00:15:47.021, 171.10 W, 82 %
2026/05/06 00:15:47.121, 170.70 W, 82 %
2026/05/06 00:15:47.221, 170.42 W, 82 %
2026/05/06 00:15:47.321, 170.69 W, 82 %
2026/05/06 00:15:47.421, 171.63 W, 82 %
2026/05/06 00:15:47.521, 171.68 W, 82 %
2026/05/06 00:15:47.621, 171.45 W, 82 %
2026/05/06 00:15:47.721, 171.04 W, 82 %
2026/05/06 00:15:47.821, 171.58 W, 81 %
2026/05/06 00:15:47.921, 172.25 W, 81 %
2026/05/06 00:15:48.021, 172.11 W, 82 %
2026/05/06 00:15:48.121, 171.79 W, 82 %
2026/05/06 00:15:48.221, 171.59 W, 81 %
2026/05/06 00:15:48.322, 172.08 W, 81 %
2026/05/06 00:15:48.422, 172.29 W, 83 %
2026/05/06 00:15:48.522, 172.10 W, 83 %
2026/05/06 00:15:48.622, 171.77 W, 81 %
2026/05/06 00:15:48.722, 171.28 W, 81 %
2026/05/06 00:15:48.822, 171.94 W, 82 %
2026/05/06 00:15:48.922, 171.62 W, 82 %
2026/05/06 00:15:49.022, 171.45 W, 82 %
2026/05/06 00:15:49.122, 171.26 W, 82 %
2026/05/06 00:15:49.222, 170.93 W, 82 %
2026/05/06 00:15:49.322, 171.67 W, 82 %
2026/05/06 00:15:49.422, 171.52 W, 82 %
2026/05/06 00:15:49.522, 171.17 W, 82 %
2026/05/06 00:15:49.623, 169.96 W, 80 %
2026/05/06 00:15:49.723, 169.63 W, 80 %
2026/05/06 00:15:49.823, 170.39 W, 82 %
2026/05/06 00:15:49.923, 170.25 W, 82 %
2026/05/06 00:15:50.023, 170.15 W, 81 %
2026/05/06 00:15:50.123, 169.76 W, 81 %
2026/05/06 00:15:50.223, 169.24 W, 82 %
2026/05/06 00:15:50.323, 169.84 W, 82 %
2026/05/06 00:15:50.423, 170.00 W, 78 %
2026/05/06 00:15:50.523, 170.25 W, 78 %
2026/05/06 00:15:50.624, 169.94 W, 79 %
2026/05/06 00:15:50.724, 169.69 W, 79 %
