timestamp, power.draw [W], utilization.gpu [%]
2026/05/06 02:03:15.709, 87.41 W, 0 %
2026/05/06 02:03:15.812, 87.41 W, 0 %
2026/05/06 02:03:15.912, 88.62 W, 0 %
2026/05/06 02:03:16.013, 88.85 W, 0 %
2026/05/06 02:03:16.113, 89.28 W, 5 %
2026/05/06 02:03:16.213, 89.21 W, 5 %
2026/05/06 02:03:16.313, 89.13 W, 0 %
2026/05/06 02:03:16.413, 89.06 W, 0 %
2026/05/06 02:03:16.513, 89.01 W, 0 %
2026/05/06 02:03:16.613, 88.95 W, 0 %
2026/05/06 02:03:16.714, 88.89 W, 0 %
2026/05/06 02:03:16.814, 90.67 W, 0 %
2026/05/06 02:03:16.914, 90.44 W, 3 %
2026/05/06 02:03:17.014, 89.45 W, 3 %
2026/05/06 02:03:17.114, 89.07 W, 0 %
2026/05/06 02:03:17.214, 88.40 W, 0 %
2026/05/06 02:03:17.314, 88.34 W, 0 %
2026/05/06 02:03:17.415, 88.30 W, 0 %
2026/05/06 02:03:17.515, 109.31 W, 76 %
2026/05/06 02:03:17.615, 129.09 W, 76 %
2026/05/06 02:03:17.715, 148.96 W, 98 %
2026/05/06 02:03:17.815, 174.80 W, 98 %
2026/05/06 02:03:17.915, 174.48 W, 81 %
2026/05/06 02:03:18.015, 190.26 W, 81 %
2026/05/06 02:03:18.115, 209.53 W, 99 %
2026/05/06 02:03:18.215, 229.49 W, 99 %
2026/05/06 02:03:18.315, 267.04 W, 99 %
2026/05/06 02:03:18.415, 270.93 W, 99 %
2026/05/06 02:03:18.515, 287.89 W, 60 %
2026/05/06 02:03:18.616, 286.47 W, 60 %
2026/05/06 02:03:18.716, 286.17 W, 99 %
2026/05/06 02:03:18.816, 286.71 W, 99 %
2026/05/06 02:03:18.916, 288.17 W, 99 %
2026/05/06 02:03:19.016, 300.40 W, 99 %
2026/05/06 02:03:19.116, 304.45 W, 99 %
2026/05/06 02:03:19.216, 305.64 W, 99 %
2026/05/06 02:03:19.316, 306.36 W, 99 %
2026/05/06 02:03:19.416, 305.63 W, 99 %
2026/05/06 02:03:19.516, 306.04 W, 60 %
2026/05/06 02:03:19.616, 309.22 W, 60 %
2026/05/06 02:03:19.716, 309.56 W, 99 %
2026/05/06 02:03:19.816, 310.01 W, 99 %
2026/05/06 02:03:19.917, 310.08 W, 99 %
2026/05/06 02:03:20.017, 312.17 W, 99 %
2026/05/06 02:03:20.117, 312.89 W, 99 %
2026/05/06 02:03:20.217, 313.39 W, 99 %
2026/05/06 02:03:20.317, 312.98 W, 99 %
2026/05/06 02:03:20.417, 312.55 W, 99 %
2026/05/06 02:03:20.517, 314.01 W, 71 %
2026/05/06 02:03:20.617, 313.93 W, 71 %
2026/05/06 02:03:20.717, 314.15 W, 99 %
2026/05/06 02:03:20.817, 314.22 W, 99 %
2026/05/06 02:03:20.917, 311.98 W, 94 %
2026/05/06 02:03:21.018, 312.24 W, 94 %
2026/05/06 02:03:21.118, 310.65 W, 99 %
2026/05/06 02:03:21.218, 309.49 W, 99 %
2026/05/06 02:03:21.318, 308.11 W, 98 %
2026/05/06 02:03:21.418, 295.63 W, 98 %
2026/05/06 02:03:21.518, 296.52 W, 90 %
2026/05/06 02:03:21.618, 294.95 W, 90 %
2026/05/06 02:03:21.718, 291.70 W, 98 %
2026/05/06 02:03:21.818, 288.86 W, 98 %
2026/05/06 02:03:21.918, 272.71 W, 74 %
2026/05/06 02:03:22.018, 273.55 W, 74 %
2026/05/06 02:03:22.119, 269.35 W, 99 %
2026/05/06 02:03:22.219, 267.26 W, 99 %
2026/05/06 02:03:22.319, 266.94 W, 99 %
2026/05/06 02:03:22.419, 255.33 W, 99 %
2026/05/06 02:03:22.519, 265.12 W, 99 %
2026/05/06 02:03:22.619, 262.32 W, 99 %
2026/05/06 02:03:22.719, 261.77 W, 99 %
2026/05/06 02:03:22.819, 264.61 W, 99 %
2026/05/06 02:03:22.919, 248.43 W, 52 %
2026/05/06 02:03:23.019, 264.56 W, 52 %
2026/05/06 02:03:23.119, 265.35 W, 99 %
2026/05/06 02:03:23.220, 269.36 W, 99 %
2026/05/06 02:03:23.320, 271.29 W, 99 %
2026/05/06 02:03:23.420, 272.81 W, 99 %
2026/05/06 02:03:23.520, 271.45 W, 55 %
2026/05/06 02:03:23.620, 274.21 W, 55 %
2026/05/06 02:03:23.720, 276.23 W, 99 %
2026/05/06 02:03:23.820, 276.19 W, 99 %
2026/05/06 02:03:23.920, 276.30 W, 99 %
2026/05/06 02:03:24.020, 294.61 W, 99 %
2026/05/06 02:03:24.120, 293.14 W, 60 %
2026/05/06 02:03:24.221, 291.62 W, 60 %
2026/05/06 02:03:24.321, 288.41 W, 99 %
2026/05/06 02:03:24.421, 284.04 W, 99 %
2026/05/06 02:03:24.521, 282.13 W, 99 %
2026/05/06 02:03:24.621, 295.84 W, 99 %
