timestamp, power.draw [W], utilization.gpu [%]
2026/05/06 02:49:33.994, 92.07 W, 0 %
2026/05/06 02:49:34.097, 92.07 W, 0 %
2026/05/06 02:49:34.197, 93.37 W, 0 %
2026/05/06 02:49:34.297, 93.40 W, 0 %
2026/05/06 02:49:34.397, 93.62 W, 0 %
2026/05/06 02:49:34.497, 93.79 W, 8 %
2026/05/06 02:49:34.598, 93.67 W, 8 %
2026/05/06 02:49:34.698, 93.55 W, 0 %
2026/05/06 02:49:34.798, 93.44 W, 0 %
2026/05/06 02:49:34.898, 93.35 W, 0 %
2026/05/06 02:49:34.998, 93.25 W, 0 %
2026/05/06 02:49:35.098, 94.23 W, 0 %
2026/05/06 02:49:35.198, 94.00 W, 0 %
2026/05/06 02:49:35.299, 92.55 W, 0 %
2026/05/06 02:49:35.399, 92.38 W, 0 %
2026/05/06 02:49:35.499, 91.91 W, 0 %
2026/05/06 02:49:35.599, 91.91 W, 0 %
2026/05/06 02:49:35.699, 91.91 W, 0 %
2026/05/06 02:49:35.800, 91.91 W, 0 %
2026/05/06 02:49:35.900, 91.91 W, 0 %
2026/05/06 02:49:36.000, 91.91 W, 0 %
2026/05/06 02:49:36.100, 92.22 W, 0 %
2026/05/06 02:49:36.201, 92.34 W, 0 %
2026/05/06 02:49:36.301, 92.30 W, 3 %
2026/05/06 02:49:36.401, 92.28 W, 3 %
2026/05/06 02:49:36.501, 92.22 W, 0 %
2026/05/06 02:49:36.601, 92.17 W, 0 %
2026/05/06 02:49:36.702, 92.05 W, 0 %
2026/05/06 02:49:36.802, 91.94 W, 0 %
2026/05/06 02:49:36.902, 91.87 W, 1 %
2026/05/06 02:49:37.002, 91.79 W, 1 %
2026/05/06 02:49:37.102, 91.71 W, 0 %
2026/05/06 02:49:37.202, 90.92 W, 0 %
2026/05/06 02:49:37.303, 90.77 W, 2 %
2026/05/06 02:49:37.403, 97.08 W, 2 %
2026/05/06 02:49:37.503, 110.22 W, 22 %
2026/05/06 02:49:37.603, 129.56 W, 22 %
2026/05/06 02:49:37.703, 148.58 W, 99 %
2026/05/06 02:49:37.803, 169.09 W, 99 %
2026/05/06 02:49:37.903, 188.97 W, 99 %
2026/05/06 02:49:38.003, 207.26 W, 99 %
2026/05/06 02:49:38.103, 226.74 W, 99 %
2026/05/06 02:49:38.203, 245.91 W, 99 %
2026/05/06 02:49:38.303, 265.78 W, 99 %
2026/05/06 02:49:38.404, 266.45 W, 99 %
2026/05/06 02:49:38.504, 281.16 W, 57 %
2026/05/06 02:49:38.604, 288.03 W, 57 %
2026/05/06 02:49:38.704, 289.10 W, 99 %
2026/05/06 02:49:38.804, 287.99 W, 99 %
2026/05/06 02:49:38.904, 286.11 W, 99 %
2026/05/06 02:49:39.004, 285.55 W, 99 %
2026/05/06 02:49:39.104, 286.94 W, 99 %
2026/05/06 02:49:39.204, 287.13 W, 99 %
2026/05/06 02:49:39.304, 288.33 W, 99 %
2026/05/06 02:49:39.405, 280.28 W, 99 %
2026/05/06 02:49:39.505, 298.19 W, 99 %
2026/05/06 02:49:39.605, 296.03 W, 99 %
2026/05/06 02:49:39.705, 295.96 W, 99 %
2026/05/06 02:49:39.805, 294.65 W, 99 %
2026/05/06 02:49:39.905, 297.19 W, 99 %
2026/05/06 02:49:40.005, 296.36 W, 99 %
2026/05/06 02:49:40.105, 294.70 W, 99 %
2026/05/06 02:49:40.205, 293.88 W, 99 %
2026/05/06 02:49:40.305, 275.39 W, 57 %
2026/05/06 02:49:40.405, 273.09 W, 57 %
2026/05/06 02:49:40.506, 280.17 W, 99 %
2026/05/06 02:49:40.606, 280.93 W, 99 %
2026/05/06 02:49:40.706, 281.26 W, 99 %
2026/05/06 02:49:40.806, 281.52 W, 99 %
2026/05/06 02:49:40.906, 282.13 W, 99 %
2026/05/06 02:49:41.006, 280.85 W, 99 %
2026/05/06 02:49:41.106, 282.42 W, 99 %
2026/05/06 02:49:41.206, 268.95 W, 99 %
2026/05/06 02:49:41.306, 271.06 W, 79 %
2026/05/06 02:49:41.406, 289.57 W, 79 %
2026/05/06 02:49:41.507, 289.37 W, 99 %
2026/05/06 02:49:41.607, 289.14 W, 99 %
2026/05/06 02:49:41.707, 288.96 W, 99 %
2026/05/06 02:49:41.807, 289.70 W, 99 %
2026/05/06 02:49:41.907, 288.91 W, 99 %
2026/05/06 02:49:42.007, 288.95 W, 99 %
2026/05/06 02:49:42.107, 289.05 W, 97 %
2026/05/06 02:49:42.207, 291.14 W, 97 %
2026/05/06 02:49:42.307, 305.88 W, 99 %
2026/05/06 02:49:42.407, 304.92 W, 99 %
2026/05/06 02:49:42.508, 304.84 W, 99 %
2026/05/06 02:49:42.608, 305.99 W, 99 %
2026/05/06 02:49:42.708, 305.71 W, 99 %
