timestamp, power.draw [W], utilization.gpu [%]
2026/05/05 14:27:48.924, 62.85 W, 0 %
2026/05/05 14:27:49.028, 62.85 W, 0 %
2026/05/05 14:27:49.128, 63.48 W, 0 %
2026/05/05 14:27:49.228, 63.48 W, 0 %
2026/05/05 14:27:49.328, 63.53 W, 2 %
2026/05/05 14:27:49.428, 63.58 W, 2 %
2026/05/05 14:27:49.528, 64.17 W, 8 %
2026/05/05 14:27:49.628, 64.06 W, 8 %
2026/05/05 14:27:49.729, 63.95 W, 0 %
2026/05/05 14:27:49.829, 63.87 W, 0 %
2026/05/05 14:27:49.929, 63.80 W, 0 %
2026/05/05 14:27:50.029, 63.73 W, 0 %
2026/05/05 14:27:50.129, 63.67 W, 0 %
2026/05/05 14:27:50.229, 63.11 W, 0 %
2026/05/05 14:27:50.329, 63.06 W, 0 %
2026/05/05 14:27:50.430, 62.90 W, 0 %
2026/05/05 14:27:50.530, 62.90 W, 0 %
2026/05/05 14:27:50.630, 62.90 W, 0 %
2026/05/05 14:27:50.730, 62.90 W, 0 %
2026/05/05 14:27:50.830, 62.90 W, 0 %
2026/05/05 14:27:50.930, 62.90 W, 0 %
2026/05/05 14:27:51.031, 62.90 W, 0 %
2026/05/05 14:27:51.131, 62.90 W, 0 %
2026/05/05 14:27:51.231, 62.90 W, 0 %
2026/05/05 14:27:51.331, 62.90 W, 0 %
2026/05/05 14:27:51.431, 62.56 W, 0 %
2026/05/05 14:27:51.531, 62.56 W, 0 %
2026/05/05 14:27:51.631, 62.56 W, 0 %
2026/05/05 14:27:51.732, 62.56 W, 0 %
2026/05/05 14:27:51.832, 62.56 W, 0 %
2026/05/05 14:27:51.932, 62.56 W, 0 %
2026/05/05 14:27:52.032, 62.71 W, 0 %
2026/05/05 14:27:52.132, 62.72 W, 0 %
2026/05/05 14:27:52.232, 62.73 W, 0 %
2026/05/05 14:27:52.332, 62.72 W, 0 %
2026/05/05 14:27:52.433, 62.72 W, 0 %
2026/05/05 14:27:52.533, 62.85 W, 0 %
2026/05/05 14:27:52.633, 62.82 W, 0 %
2026/05/05 14:27:52.733, 62.80 W, 0 %
2026/05/05 14:27:52.833, 62.78 W, 0 %
2026/05/05 14:27:52.933, 62.77 W, 0 %
2026/05/05 14:27:53.033, 62.75 W, 0 %
2026/05/05 14:27:53.134, 62.60 W, 0 %
2026/05/05 14:27:53.234, 62.60 W, 0 %
