timestamp, power.draw [W], utilization.gpu [%]
2026/05/05 17:10:38.589, 63.76 W, 0 %
2026/05/05 17:10:38.693, 63.57 W, 0 %
2026/05/05 17:10:38.793, 63.57 W, 0 %
2026/05/05 17:10:38.893, 63.85 W, 0 %
2026/05/05 17:10:38.993, 63.93 W, 0 %
2026/05/05 17:10:39.093, 64.03 W, 0 %
2026/05/05 17:10:39.193, 64.08 W, 10 %
2026/05/05 17:10:39.293, 64.06 W, 10 %
2026/05/05 17:10:39.393, 64.06 W, 0 %
2026/05/05 17:10:39.494, 64.11 W, 0 %
2026/05/05 17:10:39.594, 64.08 W, 2 %
2026/05/05 17:10:39.694, 64.06 W, 2 %
2026/05/05 17:10:39.794, 68.51 W, 70 %
2026/05/05 17:10:39.894, 71.90 W, 70 %
2026/05/05 17:10:39.994, 76.64 W, 95 %
2026/05/05 17:10:40.094, 80.53 W, 95 %
2026/05/05 17:10:40.194, 84.62 W, 95 %
2026/05/05 17:10:40.294, 88.76 W, 95 %
2026/05/05 17:10:40.394, 97.22 W, 95 %
2026/05/05 17:10:40.494, 97.22 W, 95 %
2026/05/05 17:10:40.594, 101.41 W, 95 %
2026/05/05 17:10:40.694, 105.73 W, 95 %
2026/05/05 17:10:40.795, 109.99 W, 93 %
2026/05/05 17:10:40.895, 110.21 W, 93 %
2026/05/05 17:10:40.995, 110.57 W, 96 %
2026/05/05 17:10:41.095, 110.32 W, 96 %
2026/05/05 17:10:41.195, 109.88 W, 94 %
2026/05/05 17:10:41.295, 109.43 W, 94 %
2026/05/05 17:10:41.395, 109.04 W, 95 %
2026/05/05 17:10:41.495, 108.80 W, 95 %
2026/05/05 17:10:41.595, 108.34 W, 95 %
2026/05/05 17:10:41.695, 108.07 W, 95 %
2026/05/05 17:10:41.795, 107.93 W, 95 %
2026/05/05 17:10:41.895, 107.87 W, 95 %
2026/05/05 17:10:41.995, 107.75 W, 95 %
2026/05/05 17:10:42.095, 107.52 W, 95 %
2026/05/05 17:10:42.196, 107.91 W, 94 %
2026/05/05 17:10:42.296, 108.38 W, 94 %
2026/05/05 17:10:42.396, 108.87 W, 95 %
2026/05/05 17:10:42.496, 109.30 W, 95 %
2026/05/05 17:10:42.596, 109.60 W, 95 %
2026/05/05 17:10:42.696, 110.05 W, 95 %
2026/05/05 17:10:42.796, 110.31 W, 95 %
2026/05/05 17:10:42.896, 110.48 W, 95 %
2026/05/05 17:10:42.996, 110.66 W, 96 %
2026/05/05 17:10:43.096, 110.78 W, 96 %
2026/05/05 17:10:43.196, 110.44 W, 94 %
2026/05/05 17:10:43.296, 110.02 W, 94 %
2026/05/05 17:10:43.396, 109.76 W, 95 %
2026/05/05 17:10:43.497, 109.50 W, 95 %
2026/05/05 17:10:43.597, 109.26 W, 94 %
2026/05/05 17:10:43.697, 108.99 W, 94 %
2026/05/05 17:10:43.797, 108.84 W, 95 %
2026/05/05 17:10:43.897, 108.74 W, 95 %
2026/05/05 17:10:43.997, 108.64 W, 95 %
2026/05/05 17:10:44.097, 108.53 W, 95 %
2026/05/05 17:10:44.197, 108.47 W, 94 %
2026/05/05 17:10:44.297, 108.93 W, 94 %
2026/05/05 17:10:44.397, 109.36 W, 95 %
2026/05/05 17:10:44.497, 109.65 W, 95 %
2026/05/05 17:10:44.597, 109.88 W, 95 %
2026/05/05 17:10:44.697, 110.12 W, 95 %
2026/05/05 17:10:44.797, 110.22 W, 95 %
2026/05/05 17:10:44.898, 109.89 W, 95 %
2026/05/05 17:10:44.998, 109.73 W, 86 %
2026/05/05 17:10:45.098, 109.70 W, 86 %
2026/05/05 17:10:45.198, 109.23 W, 91 %
2026/05/05 17:10:45.298, 108.88 W, 91 %
2026/05/05 17:10:45.398, 108.58 W, 95 %
2026/05/05 17:10:45.498, 108.34 W, 95 %
2026/05/05 17:10:45.598, 108.10 W, 94 %
2026/05/05 17:10:45.698, 107.95 W, 94 %
2026/05/05 17:10:45.798, 107.83 W, 95 %
2026/05/05 17:10:45.898, 107.88 W, 95 %
2026/05/05 17:10:45.998, 108.28 W, 95 %
2026/05/05 17:10:46.098, 108.52 W, 95 %
2026/05/05 17:10:46.199, 108.65 W, 95 %
2026/05/05 17:10:46.299, 109.20 W, 95 %
2026/05/05 17:10:46.399, 109.59 W, 95 %
2026/05/05 17:10:46.499, 109.94 W, 95 %
2026/05/05 17:10:46.599, 110.28 W, 94 %
2026/05/05 17:10:46.699, 110.52 W, 94 %
2026/05/05 17:10:46.799, 110.71 W, 94 %
2026/05/05 17:10:46.899, 110.82 W, 94 %
2026/05/05 17:10:46.999, 110.81 W, 94 %
2026/05/05 17:10:47.099, 110.46 W, 94 %
2026/05/05 17:10:47.199, 110.04 W, 96 %
2026/05/05 17:10:47.299, 109.72 W, 96 %
2026/05/05 17:10:47.399, 109.49 W, 95 %
2026/05/05 17:10:47.499, 109.11 W, 95 %
2026/05/05 17:10:47.600, 108.86 W, 95 %
2026/05/05 17:10:47.700, 108.67 W, 95 %
2026/05/05 17:10:47.800, 108.56 W, 96 %
2026/05/05 17:10:47.900, 108.47 W, 96 %
2026/05/05 17:10:48.000, 108.34 W, 94 %
2026/05/05 17:10:48.100, 108.49 W, 94 %
2026/05/05 17:10:48.200, 108.89 W, 95 %
2026/05/05 17:10:48.300, 109.33 W, 95 %
2026/05/05 17:10:48.400, 109.67 W, 95 %
2026/05/05 17:10:48.500, 109.90 W, 95 %
2026/05/05 17:10:48.600, 110.28 W, 95 %
2026/05/05 17:10:48.700, 110.54 W, 95 %
2026/05/05 17:10:48.800, 110.71 W, 94 %
2026/05/05 17:10:48.901, 110.88 W, 94 %
2026/05/05 17:10:49.001, 110.70 W, 94 %
2026/05/05 17:10:49.101, 110.24 W, 94 %
2026/05/05 17:10:49.201, 109.65 W, 95 %
2026/05/05 17:10:49.301, 109.27 W, 95 %
2026/05/05 17:10:49.401, 109.00 W, 96 %
2026/05/05 17:10:49.501, 108.75 W, 96 %
2026/05/05 17:10:49.601, 108.56 W, 95 %
2026/05/05 17:10:49.701, 108.44 W, 95 %
2026/05/05 17:10:49.801, 108.31 W, 96 %
2026/05/05 17:10:49.901, 108.16 W, 96 %
2026/05/05 17:10:50.001, 108.00 W, 94 %
2026/05/05 17:10:50.101, 108.22 W, 94 %
2026/05/05 17:10:50.201, 108.82 W, 95 %
2026/05/05 17:10:50.302, 109.36 W, 95 %
2026/05/05 17:10:50.402, 109.75 W, 95 %
2026/05/05 17:10:50.502, 110.00 W, 95 %
2026/05/05 17:10:50.602, 110.23 W, 96 %
2026/05/05 17:10:50.702, 110.39 W, 96 %
2026/05/05 17:10:50.802, 110.57 W, 94 %
2026/05/05 17:10:50.902, 110.74 W, 94 %
2026/05/05 17:10:51.002, 110.58 W, 95 %
2026/05/05 17:10:51.102, 110.15 W, 95 %
2026/05/05 17:10:51.202, 109.69 W, 95 %
2026/05/05 17:10:51.302, 109.33 W, 95 %
2026/05/05 17:10:51.402, 108.86 W, 94 %
2026/05/05 17:10:51.502, 108.62 W, 94 %
2026/05/05 17:10:51.603, 108.47 W, 95 %
2026/05/05 17:10:51.703, 108.35 W, 95 %
2026/05/05 17:10:51.803, 108.25 W, 95 %
2026/05/05 17:10:51.903, 108.02 W, 95 %
2026/05/05 17:10:52.003, 107.80 W, 96 %
2026/05/05 17:10:52.103, 108.03 W, 96 %
2026/05/05 17:10:52.203, 108.58 W, 96 %
2026/05/05 17:10:52.303, 109.00 W, 96 %
2026/05/05 17:10:52.403, 109.43 W, 94 %
2026/05/05 17:10:52.503, 110.05 W, 94 %
2026/05/05 17:10:52.603, 110.32 W, 96 %
2026/05/05 17:10:52.703, 110.50 W, 96 %
2026/05/05 17:10:52.803, 110.65 W, 94 %
2026/05/05 17:10:52.904, 110.79 W, 94 %
2026/05/05 17:10:53.004, 111.03 W, 94 %
2026/05/05 17:10:53.104, 110.61 W, 94 %
2026/05/05 17:10:53.204, 110.09 W, 95 %
2026/05/05 17:10:53.304, 109.71 W, 95 %
2026/05/05 17:10:53.404, 109.52 W, 94 %
2026/05/05 17:10:53.504, 109.21 W, 94 %
