timestamp, power.draw [W], utilization.gpu [%]
2026/05/05 10:01:01.675, 61.29 W, 0 %
2026/05/05 10:01:01.779, 61.29 W, 0 %
2026/05/05 10:01:01.879, 61.29 W, 0 %
2026/05/05 10:01:01.979, 61.99 W, 0 %
2026/05/05 10:01:02.079, 63.81 W, 4 %
2026/05/05 10:01:02.179, 65.22 W, 4 %
2026/05/05 10:01:02.279, 66.43 W, 0 %
2026/05/05 10:01:02.379, 67.46 W, 0 %
2026/05/05 10:01:02.479, 68.38 W, 0 %
2026/05/05 10:01:02.580, 69.20 W, 0 %
2026/05/05 10:01:02.680, 69.93 W, 0 %
2026/05/05 10:01:02.780, 79.18 W, 0 %
2026/05/05 10:01:02.880, 79.68 W, 3 %
2026/05/05 10:01:02.980, 84.36 W, 3 %
2026/05/05 10:01:03.080, 84.61 W, 0 %
2026/05/05 10:01:03.180, 84.35 W, 0 %
2026/05/05 10:01:03.280, 84.28 W, 0 %
2026/05/05 10:01:03.380, 84.26 W, 0 %
2026/05/05 10:01:03.481, 87.68 W, 62 %
2026/05/05 10:01:03.581, 91.04 W, 62 %
2026/05/05 10:01:03.681, 94.41 W, 100 %
2026/05/05 10:01:03.781, 97.60 W, 100 %
2026/05/05 10:01:03.881, 100.89 W, 100 %
2026/05/05 10:01:03.981, 102.42 W, 100 %
2026/05/05 10:01:04.081, 107.19 W, 98 %
2026/05/05 10:01:04.181, 109.23 W, 98 %
2026/05/05 10:01:04.281, 110.62 W, 100 %
2026/05/05 10:01:04.381, 113.35 W, 100 %
2026/05/05 10:01:04.481, 113.72 W, 99 %
2026/05/05 10:01:04.581, 113.75 W, 99 %
2026/05/05 10:01:04.681, 113.85 W, 100 %
2026/05/05 10:01:04.781, 113.53 W, 100 %
2026/05/05 10:01:04.882, 113.56 W, 100 %
2026/05/05 10:01:04.982, 113.62 W, 100 %
2026/05/05 10:01:05.082, 109.42 W, 18 %
2026/05/05 10:01:05.182, 108.15 W, 18 %
2026/05/05 10:01:05.282, 108.56 W, 100 %
2026/05/05 10:01:05.382, 110.01 W, 100 %
2026/05/05 10:01:05.482, 110.33 W, 99 %
2026/05/05 10:01:05.582, 110.16 W, 99 %
2026/05/05 10:01:05.682, 109.18 W, 100 %
2026/05/05 10:01:05.782, 109.28 W, 100 %
2026/05/05 10:01:05.882, 109.22 W, 100 %
2026/05/05 10:01:05.982, 107.03 W, 100 %
2026/05/05 10:01:06.083, 106.54 W, 98 %
2026/05/05 10:01:06.183, 110.69 W, 98 %
2026/05/05 10:01:06.283, 112.31 W, 100 %
2026/05/05 10:01:06.383, 112.96 W, 100 %
2026/05/05 10:01:06.483, 112.84 W, 99 %
2026/05/05 10:01:06.583, 113.06 W, 99 %
2026/05/05 10:01:06.683, 113.06 W, 100 %
2026/05/05 10:01:06.783, 121.18 W, 100 %
2026/05/05 10:01:06.883, 120.55 W, 100 %
2026/05/05 10:01:06.983, 120.34 W, 100 %
2026/05/05 10:01:07.083, 120.71 W, 98 %
2026/05/05 10:01:07.183, 122.06 W, 98 %
2026/05/05 10:01:07.283, 122.50 W, 100 %
2026/05/05 10:01:07.384, 121.75 W, 100 %
2026/05/05 10:01:07.484, 121.13 W, 99 %
2026/05/05 10:01:07.584, 121.38 W, 99 %
2026/05/05 10:01:07.684, 122.09 W, 100 %
2026/05/05 10:01:07.784, 121.83 W, 100 %
2026/05/05 10:01:07.884, 114.20 W, 100 %
2026/05/05 10:01:07.984, 114.36 W, 100 %
2026/05/05 10:01:08.084, 113.10 W, 98 %
2026/05/05 10:01:08.184, 114.32 W, 98 %
2026/05/05 10:01:08.284, 114.07 W, 100 %
2026/05/05 10:01:08.384, 113.81 W, 100 %
2026/05/05 10:01:08.484, 113.50 W, 72 %
2026/05/05 10:01:08.585, 114.14 W, 72 %
2026/05/05 10:01:08.685, 114.03 W, 100 %
2026/05/05 10:01:08.785, 115.15 W, 100 %
2026/05/05 10:01:08.885, 114.75 W, 100 %
2026/05/05 10:01:08.985, 114.71 W, 100 %
2026/05/05 10:01:09.085, 113.41 W, 98 %
2026/05/05 10:01:09.185, 114.53 W, 98 %
2026/05/05 10:01:09.285, 114.29 W, 100 %
2026/05/05 10:01:09.385, 113.68 W, 100 %
2026/05/05 10:01:09.485, 114.11 W, 98 %
2026/05/05 10:01:09.585, 113.98 W, 100 %
2026/05/05 10:01:09.685, 115.04 W, 100 %
2026/05/05 10:01:09.785, 113.50 W, 100 %
2026/05/05 10:01:09.886, 113.12 W, 100 %
2026/05/05 10:01:09.986, 109.49 W, 81 %
2026/05/05 10:01:10.086, 109.74 W, 81 %
2026/05/05 10:01:10.186, 110.36 W, 100 %
2026/05/05 10:01:10.286, 110.57 W, 100 %
2026/05/05 10:01:10.386, 110.44 W, 98 %
2026/05/05 10:01:10.486, 111.01 W, 98 %
2026/05/05 10:01:10.586, 111.04 W, 100 %
2026/05/05 10:01:10.686, 112.29 W, 100 %
2026/05/05 10:01:10.786, 111.00 W, 100 %
2026/05/05 10:01:10.886, 110.12 W, 100 %
2026/05/05 10:01:10.986, 113.21 W, 100 %
2026/05/05 10:01:11.087, 113.65 W, 100 %
2026/05/05 10:01:11.187, 114.28 W, 100 %
2026/05/05 10:01:11.287, 114.10 W, 100 %
2026/05/05 10:01:11.387, 113.83 W, 98 %
2026/05/05 10:01:11.487, 114.19 W, 98 %
2026/05/05 10:01:11.587, 114.20 W, 100 %
2026/05/05 10:01:11.687, 118.64 W, 100 %
2026/05/05 10:01:11.787, 117.38 W, 100 %
2026/05/05 10:01:11.887, 117.30 W, 100 %
2026/05/05 10:01:11.987, 118.32 W, 98 %
2026/05/05 10:01:12.087, 119.17 W, 98 %
2026/05/05 10:01:12.187, 118.79 W, 100 %
2026/05/05 10:01:12.288, 118.21 W, 100 %
2026/05/05 10:01:12.388, 117.68 W, 99 %
2026/05/05 10:01:12.488, 117.99 W, 99 %
2026/05/05 10:01:12.588, 118.88 W, 100 %
2026/05/05 10:01:12.688, 119.44 W, 100 %
2026/05/05 10:01:12.788, 115.19 W, 100 %
2026/05/05 10:01:12.888, 115.21 W, 100 %
2026/05/05 10:01:12.988, 114.03 W, 99 %
2026/05/05 10:01:13.088, 114.22 W, 99 %
2026/05/05 10:01:13.188, 113.90 W, 100 %
2026/05/05 10:01:13.288, 114.30 W, 100 %
2026/05/05 10:01:13.388, 122.52 W, 36 %
2026/05/05 10:01:13.489, 124.28 W, 36 %
2026/05/05 10:01:13.589, 123.84 W, 100 %
2026/05/05 10:01:13.689, 123.40 W, 100 %
2026/05/05 10:01:13.789, 121.95 W, 98 %
2026/05/05 10:01:13.889, 121.88 W, 98 %
2026/05/05 10:01:13.989, 121.48 W, 100 %
2026/05/05 10:01:14.089, 122.90 W, 100 %
2026/05/05 10:01:14.189, 122.18 W, 99 %
2026/05/05 10:01:14.289, 122.88 W, 99 %
2026/05/05 10:01:14.389, 123.54 W, 100 %
2026/05/05 10:01:14.489, 114.91 W, 100 %
2026/05/05 10:01:14.589, 114.67 W, 99 %
2026/05/05 10:01:14.689, 114.25 W, 99 %
2026/05/05 10:01:14.790, 114.13 W, 100 %
2026/05/05 10:01:14.890, 114.81 W, 100 %
2026/05/05 10:01:14.990, 114.79 W, 100 %
2026/05/05 10:01:15.090, 115.15 W, 100 %
2026/05/05 10:01:15.190, 115.95 W, 100 %
2026/05/05 10:01:15.290, 119.86 W, 100 %
2026/05/05 10:01:15.390, 119.68 W, 100 %
2026/05/05 10:01:15.490, 119.40 W, 100 %
2026/05/05 10:01:15.590, 120.14 W, 100 %
2026/05/05 10:01:15.690, 120.14 W, 100 %
2026/05/05 10:01:15.790, 120.12 W, 100 %
2026/05/05 10:01:15.890, 119.62 W, 100 %
2026/05/05 10:01:15.991, 119.18 W, 100 %
2026/05/05 10:01:16.091, 119.01 W, 100 %
2026/05/05 10:01:16.191, 118.67 W, 100 %
2026/05/05 10:01:16.291, 118.71 W, 100 %
2026/05/05 10:01:16.391, 113.86 W, 100 %
2026/05/05 10:01:16.491, 113.85 W, 100 %
2026/05/05 10:01:16.591, 113.91 W, 100 %
2026/05/05 10:01:16.691, 113.91 W, 100 %
2026/05/05 10:01:16.791, 114.61 W, 100 %
2026/05/05 10:01:16.891, 114.45 W, 99 %
2026/05/05 10:01:16.991, 114.76 W, 100 %
2026/05/05 10:01:17.091, 115.38 W, 100 %
2026/05/05 10:01:17.191, 116.99 W, 61 %
2026/05/05 10:01:17.292, 116.75 W, 61 %
2026/05/05 10:01:17.392, 116.42 W, 100 %
2026/05/05 10:01:17.492, 117.67 W, 100 %
2026/05/05 10:01:17.592, 117.07 W, 99 %
2026/05/05 10:01:17.692, 117.07 W, 99 %
2026/05/05 10:01:17.792, 117.01 W, 99 %
2026/05/05 10:01:17.892, 117.22 W, 100 %
2026/05/05 10:01:17.992, 115.40 W, 100 %
2026/05/05 10:01:18.092, 115.67 W, 99 %
2026/05/05 10:01:18.192, 115.68 W, 99 %
2026/05/05 10:01:18.292, 113.80 W, 100 %
2026/05/05 10:01:18.392, 113.74 W, 99 %
2026/05/05 10:01:18.493, 114.10 W, 99 %
2026/05/05 10:01:18.593, 113.73 W, 100 %
2026/05/05 10:01:18.693, 113.73 W, 100 %
2026/05/05 10:01:18.793, 114.57 W, 100 %
2026/05/05 10:01:18.893, 114.39 W, 100 %
2026/05/05 10:01:18.993, 114.35 W, 100 %
2026/05/05 10:01:19.093, 114.98 W, 100 %
2026/05/05 10:01:19.193, 120.91 W, 100 %
2026/05/05 10:01:19.293, 120.57 W, 100 %
2026/05/05 10:01:19.393, 122.17 W, 100 %
2026/05/05 10:01:19.493, 121.32 W, 100 %
2026/05/05 10:01:19.593, 121.93 W, 100 %
2026/05/05 10:01:19.693, 121.93 W, 100 %
2026/05/05 10:01:19.794, 121.03 W, 100 %
2026/05/05 10:01:19.894, 119.77 W, 100 %
2026/05/05 10:01:19.994, 119.47 W, 100 %
2026/05/05 10:01:20.094, 119.85 W, 100 %
2026/05/05 10:01:20.194, 119.96 W, 100 %
2026/05/05 10:01:20.294, 113.80 W, 98 %
2026/05/05 10:01:20.394, 113.71 W, 98 %
2026/05/05 10:01:20.494, 113.83 W, 100 %
2026/05/05 10:01:20.594, 113.73 W, 100 %
2026/05/05 10:01:20.694, 115.49 W, 98 %
2026/05/05 10:01:20.794, 115.15 W, 98 %
2026/05/05 10:01:20.894, 115.70 W, 100 %
2026/05/05 10:01:20.995, 116.59 W, 100 %
2026/05/05 10:01:21.095, 123.34 W, 63 %
2026/05/05 10:01:21.195, 123.47 W, 63 %
2026/05/05 10:01:21.295, 122.67 W, 100 %
2026/05/05 10:01:21.395, 122.51 W, 100 %
2026/05/05 10:01:21.495, 123.79 W, 99 %
2026/05/05 10:01:21.595, 123.83 W, 99 %
2026/05/05 10:01:21.695, 122.95 W, 100 %
2026/05/05 10:01:21.795, 121.88 W, 100 %
2026/05/05 10:01:21.895, 121.79 W, 100 %
2026/05/05 10:01:21.995, 122.48 W, 100 %
2026/05/05 10:01:22.095, 121.39 W, 100 %
2026/05/05 10:01:22.196, 115.22 W, 100 %
2026/05/05 10:01:22.296, 114.81 W, 100 %
2026/05/05 10:01:22.396, 114.64 W, 100 %
2026/05/05 10:01:22.496, 115.85 W, 98 %
2026/05/05 10:01:22.596, 115.46 W, 98 %
2026/05/05 10:01:22.696, 115.67 W, 100 %
2026/05/05 10:01:22.796, 115.51 W, 100 %
2026/05/05 10:01:22.896, 114.43 W, 72 %
2026/05/05 10:01:22.996, 114.28 W, 72 %
2026/05/05 10:01:23.096, 114.16 W, 100 %
2026/05/05 10:01:23.196, 113.39 W, 100 %
2026/05/05 10:01:23.296, 113.16 W, 100 %
2026/05/05 10:01:23.397, 113.79 W, 100 %
2026/05/05 10:01:23.497, 114.24 W, 100 %
2026/05/05 10:01:23.597, 113.34 W, 100 %
2026/05/05 10:01:23.697, 112.43 W, 100 %
2026/05/05 10:01:23.797, 112.31 W, 100 %
2026/05/05 10:01:23.897, 111.73 W, 100 %
2026/05/05 10:01:23.997, 112.49 W, 100 %
2026/05/05 10:01:24.097, 111.78 W, 100 %
2026/05/05 10:01:24.197, 112.32 W, 100 %
2026/05/05 10:01:24.297, 115.07 W, 98 %
2026/05/05 10:01:24.397, 115.34 W, 98 %
2026/05/05 10:01:24.497, 115.41 W, 100 %
2026/05/05 10:01:24.598, 113.18 W, 100 %
2026/05/05 10:01:24.698, 112.95 W, 71 %
2026/05/05 10:01:24.798, 112.95 W, 71 %
2026/05/05 10:01:24.898, 113.51 W, 100 %
2026/05/05 10:01:24.998, 115.57 W, 100 %
