timestamp, power.draw [W], utilization.gpu [%]
2026/05/05 13:20:36.358, 63.42 W, 0 %
2026/05/05 13:20:36.461, 63.42 W, 0 %
2026/05/05 13:20:36.561, 63.42 W, 0 %
2026/05/05 13:20:36.661, 64.06 W, 0 %
2026/05/05 13:20:36.761, 66.19 W, 0 %
2026/05/05 13:20:36.862, 67.80 W, 0 %
2026/05/05 13:20:36.962, 68.97 W, 2 %
2026/05/05 13:20:37.062, 70.02 W, 2 %
2026/05/05 13:20:37.162, 70.94 W, 0 %
2026/05/05 13:20:37.262, 71.77 W, 0 %
2026/05/05 13:20:37.362, 81.63 W, 0 %
2026/05/05 13:20:37.462, 82.09 W, 0 %
2026/05/05 13:20:37.562, 82.46 W, 0 %
2026/05/05 13:20:37.662, 87.37 W, 0 %
2026/05/05 13:20:37.763, 87.69 W, 0 %
2026/05/05 13:20:37.863, 87.02 W, 0 %
2026/05/05 13:20:37.963, 87.02 W, 0 %
2026/05/05 13:20:38.063, 87.02 W, 0 %
2026/05/05 13:20:38.163, 87.02 W, 0 %
2026/05/05 13:20:38.263, 87.02 W, 0 %
2026/05/05 13:20:38.364, 87.02 W, 0 %
2026/05/05 13:20:38.464, 87.02 W, 0 %
2026/05/05 13:20:38.564, 87.15 W, 0 %
2026/05/05 13:20:38.664, 87.19 W, 0 %
2026/05/05 13:20:38.764, 87.18 W, 0 %
2026/05/05 13:20:38.864, 87.17 W, 0 %
2026/05/05 13:20:38.964, 87.15 W, 0 %
2026/05/05 13:20:39.065, 87.10 W, 0 %
2026/05/05 13:20:39.165, 87.04 W, 0 %
2026/05/05 13:20:39.265, 87.03 W, 0 %
2026/05/05 13:20:39.365, 86.99 W, 0 %
2026/05/05 13:20:39.465, 86.96 W, 0 %
2026/05/05 13:20:39.565, 86.60 W, 0 %
2026/05/05 13:20:39.665, 86.61 W, 0 %
2026/05/05 13:20:39.766, 100.28 W, 19 %
2026/05/05 13:20:39.866, 111.87 W, 19 %
2026/05/05 13:20:39.966, 120.20 W, 96 %
2026/05/05 13:20:40.066, 129.56 W, 96 %
2026/05/05 13:20:40.166, 134.46 W, 99 %
2026/05/05 13:20:40.266, 144.59 W, 99 %
2026/05/05 13:20:40.366, 154.18 W, 98 %
2026/05/05 13:20:40.466, 171.89 W, 98 %
2026/05/05 13:20:40.566, 183.24 W, 98 %
2026/05/05 13:20:40.666, 193.85 W, 98 %
2026/05/05 13:20:40.766, 191.52 W, 98 %
2026/05/05 13:20:40.867, 188.74 W, 98 %
2026/05/05 13:20:40.967, 179.02 W, 81 %
2026/05/05 13:20:41.067, 180.13 W, 81 %
2026/05/05 13:20:41.167, 179.71 W, 98 %
2026/05/05 13:20:41.267, 179.74 W, 98 %
2026/05/05 13:20:41.367, 179.74 W, 99 %
2026/05/05 13:20:41.467, 180.95 W, 99 %
2026/05/05 13:20:41.567, 181.01 W, 98 %
2026/05/05 13:20:41.667, 180.89 W, 98 %
2026/05/05 13:20:41.768, 181.08 W, 98 %
2026/05/05 13:20:41.868, 183.67 W, 98 %
2026/05/05 13:20:41.968, 180.48 W, 98 %
2026/05/05 13:20:42.068, 189.25 W, 98 %
2026/05/05 13:20:42.168, 187.47 W, 99 %
2026/05/05 13:20:42.268, 198.47 W, 99 %
2026/05/05 13:20:42.368, 197.67 W, 99 %
2026/05/05 13:20:42.468, 197.18 W, 99 %
2026/05/05 13:20:42.568, 196.43 W, 99 %
2026/05/05 13:20:42.668, 194.18 W, 99 %
2026/05/05 13:20:42.769, 194.27 W, 99 %
2026/05/05 13:20:42.869, 194.29 W, 99 %
2026/05/05 13:20:42.969, 194.55 W, 98 %
2026/05/05 13:20:43.069, 198.02 W, 98 %
2026/05/05 13:20:43.169, 197.51 W, 98 %
2026/05/05 13:20:43.269, 199.79 W, 98 %
2026/05/05 13:20:43.369, 180.68 W, 85 %
2026/05/05 13:20:43.469, 182.55 W, 85 %
2026/05/05 13:20:43.569, 183.25 W, 99 %
2026/05/05 13:20:43.669, 184.99 W, 99 %
