timestamp, power.draw [W], utilization.gpu [%]
2026/05/05 16:10:11.566, 67.19 W, 0 %
2026/05/05 16:10:11.670, 67.19 W, 0 %
2026/05/05 16:10:11.770, 67.24 W, 0 %
2026/05/05 16:10:11.870, 68.97 W, 0 %
2026/05/05 16:10:11.970, 71.19 W, 4 %
2026/05/05 16:10:12.070, 72.58 W, 4 %
2026/05/05 16:10:12.170, 73.80 W, 0 %
2026/05/05 16:10:12.270, 75.12 W, 0 %
2026/05/05 16:10:12.371, 76.07 W, 1 %
2026/05/05 16:10:12.471, 84.84 W, 1 %
2026/05/05 16:10:12.571, 93.88 W, 91 %
2026/05/05 16:10:12.671, 134.32 W, 91 %
2026/05/05 16:10:12.771, 145.45 W, 91 %
2026/05/05 16:10:12.871, 173.57 W, 91 %
2026/05/05 16:10:12.971, 187.50 W, 90 %
2026/05/05 16:10:13.071, 202.12 W, 90 %
2026/05/05 16:10:13.171, 217.00 W, 91 %
2026/05/05 16:10:13.271, 247.48 W, 91 %
2026/05/05 16:10:13.371, 247.70 W, 92 %
2026/05/05 16:10:13.471, 263.76 W, 92 %
2026/05/05 16:10:13.571, 266.51 W, 92 %
2026/05/05 16:10:13.671, 267.21 W, 92 %
2026/05/05 16:10:13.771, 265.83 W, 92 %
2026/05/05 16:10:13.872, 264.52 W, 92 %
2026/05/05 16:10:13.972, 262.77 W, 91 %
2026/05/05 16:10:14.072, 262.46 W, 91 %
2026/05/05 16:10:14.172, 263.04 W, 91 %
2026/05/05 16:10:14.272, 264.64 W, 91 %
2026/05/05 16:10:14.372, 264.42 W, 92 %
2026/05/05 16:10:14.472, 266.33 W, 92 %
2026/05/05 16:10:14.572, 266.06 W, 91 %
2026/05/05 16:10:14.672, 264.25 W, 91 %
2026/05/05 16:10:14.772, 262.69 W, 92 %
2026/05/05 16:10:14.872, 262.35 W, 92 %
2026/05/05 16:10:14.972, 263.41 W, 92 %
2026/05/05 16:10:15.072, 263.94 W, 92 %
2026/05/05 16:10:15.172, 264.62 W, 91 %
2026/05/05 16:10:15.273, 265.02 W, 91 %
2026/05/05 16:10:15.373, 264.35 W, 91 %
2026/05/05 16:10:15.473, 262.64 W, 91 %
2026/05/05 16:10:15.573, 261.01 W, 91 %
2026/05/05 16:10:15.673, 260.89 W, 91 %
2026/05/05 16:10:15.773, 262.25 W, 92 %
2026/05/05 16:10:15.873, 263.41 W, 92 %
2026/05/05 16:10:15.973, 265.21 W, 92 %
2026/05/05 16:10:16.073, 265.70 W, 92 %
2026/05/05 16:10:16.173, 266.22 W, 91 %
2026/05/05 16:10:16.273, 264.05 W, 91 %
2026/05/05 16:10:16.373, 262.66 W, 91 %
2026/05/05 16:10:16.473, 261.72 W, 91 %
2026/05/05 16:10:16.573, 262.04 W, 90 %
2026/05/05 16:10:16.674, 263.00 W, 90 %
2026/05/05 16:10:16.774, 264.40 W, 92 %
2026/05/05 16:10:16.874, 265.11 W, 92 %
2026/05/05 16:10:16.974, 265.77 W, 91 %
2026/05/05 16:10:17.074, 265.09 W, 91 %
2026/05/05 16:10:17.174, 263.52 W, 91 %
2026/05/05 16:10:17.274, 261.89 W, 91 %
2026/05/05 16:10:17.374, 262.68 W, 91 %
2026/05/05 16:10:17.474, 260.92 W, 91 %
2026/05/05 16:10:17.574, 261.50 W, 81 %
2026/05/05 16:10:17.674, 261.85 W, 81 %
2026/05/05 16:10:17.774, 261.81 W, 92 %
