timestamp, power.draw [W], utilization.gpu [%]
2026/05/05 17:32:49.841, 68.56 W, 0 %
2026/05/05 17:32:49.945, 68.56 W, 0 %
2026/05/05 17:32:50.045, 68.56 W, 0 %
2026/05/05 17:32:50.145, 69.82 W, 0 %
2026/05/05 17:32:50.245, 72.19 W, 4 %
2026/05/05 17:32:50.345, 74.02 W, 4 %
2026/05/05 17:32:50.445, 75.39 W, 4 %
2026/05/05 17:32:50.545, 84.51 W, 4 %
2026/05/05 17:32:50.645, 93.43 W, 81 %
2026/05/05 17:32:50.745, 102.05 W, 81 %
2026/05/05 17:32:50.846, 109.86 W, 81 %
2026/05/05 17:32:50.946, 159.55 W, 81 %
2026/05/05 17:32:51.046, 168.23 W, 82 %
2026/05/05 17:32:51.146, 197.26 W, 82 %
2026/05/05 17:32:51.246, 208.95 W, 83 %
2026/05/05 17:32:51.346, 223.10 W, 83 %
2026/05/05 17:32:51.446, 236.45 W, 80 %
2026/05/05 17:32:51.546, 251.71 W, 80 %
2026/05/05 17:32:51.646, 253.34 W, 81 %
2026/05/05 17:32:51.746, 253.30 W, 81 %
2026/05/05 17:32:51.846, 253.47 W, 83 %
2026/05/05 17:32:51.946, 253.92 W, 83 %
2026/05/05 17:32:52.046, 255.96 W, 82 %
2026/05/05 17:32:52.146, 256.17 W, 82 %
2026/05/05 17:32:52.247, 256.56 W, 83 %
2026/05/05 17:32:52.347, 256.86 W, 83 %
2026/05/05 17:32:52.447, 257.06 W, 81 %
2026/05/05 17:32:52.547, 258.57 W, 81 %
2026/05/05 17:32:52.647, 258.65 W, 81 %
2026/05/05 17:32:52.747, 258.77 W, 81 %
2026/05/05 17:32:52.847, 259.87 W, 82 %
2026/05/05 17:32:52.947, 259.29 W, 82 %
2026/05/05 17:32:53.047, 259.44 W, 82 %
2026/05/05 17:32:53.147, 259.89 W, 82 %
2026/05/05 17:32:53.247, 258.94 W, 82 %
2026/05/05 17:32:53.347, 259.37 W, 82 %
2026/05/05 17:32:53.447, 260.16 W, 82 %
2026/05/05 17:32:53.547, 260.74 W, 82 %
2026/05/05 17:32:53.647, 261.11 W, 81 %
2026/05/05 17:32:53.748, 259.99 W, 81 %
2026/05/05 17:32:53.848, 260.66 W, 82 %
2026/05/05 17:32:53.948, 260.75 W, 82 %
2026/05/05 17:32:54.048, 261.88 W, 83 %
2026/05/05 17:32:54.148, 262.57 W, 83 %
2026/05/05 17:32:54.248, 261.37 W, 80 %
2026/05/05 17:32:54.348, 260.64 W, 80 %
2026/05/05 17:32:54.448, 261.06 W, 83 %
2026/05/05 17:32:54.548, 260.95 W, 83 %
2026/05/05 17:32:54.648, 261.13 W, 82 %
2026/05/05 17:32:54.748, 261.33 W, 82 %
2026/05/05 17:32:54.848, 261.54 W, 82 %
2026/05/05 17:32:54.948, 261.77 W, 82 %
2026/05/05 17:32:55.048, 262.33 W, 83 %
2026/05/05 17:32:55.149, 261.98 W, 83 %
2026/05/05 17:32:55.249, 262.11 W, 81 %
2026/05/05 17:32:55.349, 262.14 W, 81 %
2026/05/05 17:32:55.449, 263.50 W, 83 %
2026/05/05 17:32:55.549, 262.60 W, 83 %
2026/05/05 17:32:55.649, 263.20 W, 81 %
2026/05/05 17:32:55.749, 263.45 W, 81 %
2026/05/05 17:32:55.849, 263.47 W, 81 %
2026/05/05 17:32:55.949, 263.31 W, 81 %
2026/05/05 17:32:56.049, 263.25 W, 83 %
2026/05/05 17:32:56.149, 263.28 W, 83 %
2026/05/05 17:32:56.249, 263.36 W, 81 %
2026/05/05 17:32:56.349, 263.24 W, 81 %
2026/05/05 17:32:56.450, 264.28 W, 81 %
2026/05/05 17:32:56.550, 263.42 W, 81 %
2026/05/05 17:32:56.650, 264.01 W, 83 %
2026/05/05 17:32:56.750, 263.12 W, 83 %
2026/05/05 17:32:56.850, 262.47 W, 81 %
2026/05/05 17:32:56.950, 262.47 W, 81 %
2026/05/05 17:32:57.050, 262.29 W, 82 %
2026/05/05 17:32:57.150, 262.31 W, 82 %
2026/05/05 17:32:57.250, 262.31 W, 83 %
2026/05/05 17:32:57.350, 262.04 W, 83 %
2026/05/05 17:32:57.450, 262.34 W, 82 %
2026/05/05 17:32:57.550, 262.86 W, 83 %
2026/05/05 17:32:57.650, 262.34 W, 83 %
2026/05/05 17:32:57.750, 262.39 W, 83 %
2026/05/05 17:32:57.851, 262.64 W, 83 %
2026/05/05 17:32:57.951, 262.79 W, 81 %
2026/05/05 17:32:58.051, 262.62 W, 81 %
2026/05/05 17:32:58.151, 262.95 W, 83 %
2026/05/05 17:32:58.251, 262.95 W, 83 %
2026/05/05 17:32:58.351, 262.86 W, 82 %
2026/05/05 17:32:58.451, 263.23 W, 82 %
2026/05/05 17:32:58.551, 261.75 W, 81 %
2026/05/05 17:32:58.651, 261.79 W, 81 %
2026/05/05 17:32:58.751, 262.71 W, 83 %
2026/05/05 17:32:58.851, 262.54 W, 83 %
2026/05/05 17:32:58.951, 263.14 W, 81 %
2026/05/05 17:32:59.051, 262.64 W, 81 %
2026/05/05 17:32:59.151, 263.11 W, 83 %
2026/05/05 17:32:59.251, 263.11 W, 83 %
2026/05/05 17:32:59.352, 263.02 W, 82 %
2026/05/05 17:32:59.452, 263.30 W, 82 %
2026/05/05 17:32:59.552, 263.13 W, 81 %
2026/05/05 17:32:59.652, 263.66 W, 81 %
2026/05/05 17:32:59.752, 263.61 W, 82 %
2026/05/05 17:32:59.852, 262.27 W, 82 %
2026/05/05 17:32:59.952, 261.57 W, 83 %
2026/05/05 17:33:00.052, 261.30 W, 83 %
2026/05/05 17:33:00.152, 261.91 W, 80 %
2026/05/05 17:33:00.252, 261.91 W, 80 %
2026/05/05 17:33:00.352, 262.11 W, 80 %
2026/05/05 17:33:00.452, 262.02 W, 83 %
2026/05/05 17:33:00.552, 261.90 W, 83 %
2026/05/05 17:33:00.653, 262.24 W, 81 %
2026/05/05 17:33:00.753, 262.02 W, 81 %
2026/05/05 17:33:00.853, 262.33 W, 81 %
2026/05/05 17:33:00.953, 263.65 W, 83 %
