timestamp, power.draw [W], utilization.gpu [%]
2026/03/18 04:28:17.707, 200.63 W, 63 %
2026/03/18 04:28:17.809, 185.24 W, 0 %
2026/03/18 04:28:17.909, 169.64 W, 0 %
2026/03/18 04:28:18.009, 153.47 W, 0 %
2026/03/18 04:28:18.109, 141.04 W, 0 %
2026/03/18 04:28:18.209, 123.66 W, 4 %
2026/03/18 04:28:18.309, 112.28 W, 4 %
2026/03/18 04:28:18.409, 94.85 W, 0 %
2026/03/18 04:28:18.510, 86.44 W, 0 %
2026/03/18 04:28:18.610, 86.15 W, 0 %
2026/03/18 04:28:18.710, 85.90 W, 0 %
2026/03/18 04:28:18.810, 85.70 W, 0 %
2026/03/18 04:28:18.910, 85.44 W, 0 %
2026/03/18 04:28:19.010, 85.27 W, 0 %
2026/03/18 04:28:19.110, 85.09 W, 0 %
2026/03/18 04:28:19.211, 85.01 W, 0 %
2026/03/18 04:28:19.311, 85.00 W, 0 %
2026/03/18 04:28:19.411, 85.26 W, 10 %
2026/03/18 04:28:19.511, 85.27 W, 10 %
2026/03/18 04:28:19.611, 85.28 W, 1 %
2026/03/18 04:28:19.711, 85.28 W, 1 %
2026/03/18 04:28:19.811, 85.29 W, 0 %
2026/03/18 04:28:19.912, 85.28 W, 0 %
2026/03/18 04:28:20.012, 85.27 W, 0 %
2026/03/18 04:28:20.112, 85.26 W, 0 %
2026/03/18 04:28:20.212, 85.25 W, 0 %
2026/03/18 04:28:20.312, 85.24 W, 0 %
2026/03/18 04:28:20.412, 84.99 W, 2 %
2026/03/18 04:28:20.512, 94.85 W, 2 %
2026/03/18 04:28:20.613, 109.87 W, 98 %
2026/03/18 04:28:20.713, 124.82 W, 98 %
2026/03/18 04:28:20.813, 139.65 W, 98 %
2026/03/18 04:28:20.913, 154.39 W, 98 %
2026/03/18 04:28:21.013, 167.60 W, 98 %
2026/03/18 04:28:21.113, 182.60 W, 98 %
2026/03/18 04:28:21.213, 199.48 W, 98 %
2026/03/18 04:28:21.314, 211.93 W, 98 %
2026/03/18 04:28:21.414, 226.38 W, 98 %
2026/03/18 04:28:21.514, 234.35 W, 98 %
2026/03/18 04:28:21.614, 234.14 W, 97 %
2026/03/18 04:28:21.714, 234.42 W, 97 %
2026/03/18 04:28:21.814, 234.64 W, 98 %
2026/03/18 04:28:21.914, 234.46 W, 98 %
2026/03/18 04:28:22.015, 234.35 W, 98 %
2026/03/18 04:28:22.115, 234.17 W, 98 %
2026/03/18 04:28:22.215, 233.92 W, 98 %
2026/03/18 04:28:22.315, 233.87 W, 98 %
2026/03/18 04:28:22.415, 229.83 W, 74 %
2026/03/18 04:28:22.515, 229.71 W, 74 %
2026/03/18 04:28:22.615, 229.62 W, 98 %
2026/03/18 04:28:22.716, 229.32 W, 98 %
2026/03/18 04:28:22.816, 229.16 W, 98 %
2026/03/18 04:28:22.916, 229.34 W, 98 %
2026/03/18 04:28:23.016, 229.55 W, 98 %
2026/03/18 04:28:23.116, 229.60 W, 98 %
2026/03/18 04:28:23.216, 229.62 W, 98 %
2026/03/18 04:28:23.316, 229.24 W, 98 %
2026/03/18 04:28:23.417, 231.35 W, 98 %
2026/03/18 04:28:23.517, 233.87 W, 98 %
2026/03/18 04:28:23.617, 234.24 W, 98 %
2026/03/18 04:28:23.717, 234.31 W, 98 %
2026/03/18 04:28:23.817, 234.52 W, 98 %
2026/03/18 04:28:23.917, 234.45 W, 98 %
2026/03/18 04:28:24.017, 234.41 W, 98 %
