timestamp, power.draw [W], utilization.gpu [%]
2026/03/18 06:15:54.758, 173.17 W, 92 %
2026/03/18 06:15:54.859, 163.44 W, 2 %
2026/03/18 06:15:54.960, 153.75 W, 2 %
2026/03/18 06:15:55.060, 145.10 W, 0 %
2026/03/18 06:15:55.160, 135.91 W, 0 %
2026/03/18 06:15:55.260, 124.96 W, 5 %
2026/03/18 06:15:55.360, 115.07 W, 5 %
2026/03/18 06:15:55.460, 104.99 W, 0 %
2026/03/18 06:15:55.560, 98.95 W, 0 %
2026/03/18 06:15:55.661, 100.22 W, 73 %
2026/03/18 06:15:55.761, 109.39 W, 73 %
2026/03/18 06:15:55.861, 119.29 W, 93 %
2026/03/18 06:15:55.961, 129.14 W, 93 %
2026/03/18 06:15:56.061, 138.78 W, 93 %
2026/03/18 06:15:56.161, 147.39 W, 93 %
2026/03/18 06:15:56.261, 158.38 W, 90 %
2026/03/18 06:15:56.362, 166.75 W, 90 %
2026/03/18 06:15:56.462, 178.62 W, 93 %
2026/03/18 06:15:56.562, 186.35 W, 93 %
2026/03/18 06:15:56.662, 186.35 W, 93 %
2026/03/18 06:15:56.762, 186.97 W, 93 %
2026/03/18 06:15:56.862, 187.14 W, 91 %
2026/03/18 06:15:56.962, 187.39 W, 91 %
2026/03/18 06:15:57.063, 187.26 W, 93 %
2026/03/18 06:15:57.163, 187.05 W, 93 %
2026/03/18 06:15:57.263, 187.73 W, 93 %
2026/03/18 06:15:57.363, 187.53 W, 93 %
2026/03/18 06:15:57.463, 187.02 W, 91 %
2026/03/18 06:15:57.563, 187.46 W, 91 %
2026/03/18 06:15:57.663, 187.50 W, 93 %
2026/03/18 06:15:57.764, 187.42 W, 93 %
2026/03/18 06:15:57.864, 187.18 W, 93 %
2026/03/18 06:15:57.964, 186.86 W, 93 %
2026/03/18 06:15:58.064, 186.02 W, 90 %
2026/03/18 06:15:58.164, 187.18 W, 90 %
2026/03/18 06:15:58.264, 186.57 W, 93 %
2026/03/18 06:15:58.364, 186.57 W, 93 %
2026/03/18 06:15:58.465, 186.68 W, 91 %
2026/03/18 06:15:58.565, 186.51 W, 91 %
2026/03/18 06:15:58.665, 185.84 W, 87 %
2026/03/18 06:15:58.765, 185.99 W, 87 %
2026/03/18 06:15:58.865, 185.73 W, 93 %
2026/03/18 06:15:58.965, 185.89 W, 93 %
2026/03/18 06:15:59.065, 186.64 W, 93 %
2026/03/18 06:15:59.166, 186.67 W, 93 %
2026/03/18 06:15:59.266, 186.65 W, 92 %
2026/03/18 06:15:59.366, 187.21 W, 92 %
2026/03/18 06:15:59.466, 188.06 W, 93 %
2026/03/18 06:15:59.566, 188.39 W, 93 %
2026/03/18 06:15:59.666, 188.75 W, 93 %
2026/03/18 06:15:59.766, 188.86 W, 93 %
2026/03/18 06:15:59.867, 188.64 W, 90 %
2026/03/18 06:15:59.967, 188.70 W, 90 %
2026/03/18 06:16:00.067, 188.65 W, 93 %
2026/03/18 06:16:00.167, 187.84 W, 93 %
2026/03/18 06:16:00.267, 188.15 W, 93 %
2026/03/18 06:16:00.367, 187.18 W, 93 %
2026/03/18 06:16:00.467, 186.72 W, 92 %
2026/03/18 06:16:00.568, 186.16 W, 92 %
2026/03/18 06:16:00.668, 186.33 W, 93 %
2026/03/18 06:16:00.768, 186.02 W, 93 %
2026/03/18 06:16:00.868, 186.15 W, 93 %
2026/03/18 06:16:00.968, 186.89 W, 93 %
2026/03/18 06:16:01.068, 187.27 W, 92 %
2026/03/18 06:16:01.168, 188.12 W, 92 %
2026/03/18 06:16:01.269, 188.07 W, 93 %
2026/03/18 06:16:01.369, 188.04 W, 93 %
2026/03/18 06:16:01.469, 187.93 W, 93 %
2026/03/18 06:16:01.569, 188.02 W, 93 %
2026/03/18 06:16:01.669, 187.90 W, 88 %
2026/03/18 06:16:01.769, 188.04 W, 88 %
2026/03/18 06:16:01.869, 188.54 W, 93 %
2026/03/18 06:16:01.970, 187.90 W, 93 %
2026/03/18 06:16:02.070, 187.61 W, 93 %
2026/03/18 06:16:02.170, 187.13 W, 93 %
2026/03/18 06:16:02.270, 187.07 W, 90 %
2026/03/18 06:16:02.370, 187.34 W, 90 %
2026/03/18 06:16:02.470, 187.71 W, 93 %
2026/03/18 06:16:02.570, 188.14 W, 93 %
2026/03/18 06:16:02.671, 188.28 W, 93 %
2026/03/18 06:16:02.771, 188.37 W, 93 %
2026/03/18 06:16:02.871, 187.33 W, 92 %
2026/03/18 06:16:02.971, 187.39 W, 92 %
2026/03/18 06:16:03.071, 186.72 W, 93 %
2026/03/18 06:16:03.171, 185.95 W, 93 %
2026/03/18 06:16:03.271, 186.39 W, 93 %
2026/03/18 06:16:03.372, 186.45 W, 93 %
2026/03/18 06:16:03.472, 185.95 W, 92 %
2026/03/18 06:16:03.572, 185.75 W, 92 %
2026/03/18 06:16:03.672, 186.05 W, 93 %
2026/03/18 06:16:03.772, 186.23 W, 93 %
2026/03/18 06:16:03.872, 187.07 W, 93 %
2026/03/18 06:16:03.972, 187.18 W, 93 %
2026/03/18 06:16:04.073, 187.92 W, 92 %
2026/03/18 06:16:04.173, 188.83 W, 92 %
2026/03/18 06:16:04.273, 188.69 W, 93 %
2026/03/18 06:16:04.373, 188.96 W, 93 %
2026/03/18 06:16:04.473, 189.65 W, 93 %
2026/03/18 06:16:04.573, 189.74 W, 93 %
2026/03/18 06:16:04.673, 188.68 W, 88 %
2026/03/18 06:16:04.774, 187.79 W, 88 %
2026/03/18 06:16:04.874, 187.19 W, 93 %
2026/03/18 06:16:04.974, 187.10 W, 93 %
2026/03/18 06:16:05.074, 186.82 W, 93 %
2026/03/18 06:16:05.174, 186.46 W, 93 %
2026/03/18 06:16:05.274, 185.75 W, 90 %
2026/03/18 06:16:05.374, 185.80 W, 90 %
2026/03/18 06:16:05.475, 185.68 W, 93 %
2026/03/18 06:16:05.575, 185.81 W, 93 %
2026/03/18 06:16:05.675, 186.81 W, 93 %
2026/03/18 06:16:05.775, 187.58 W, 93 %
2026/03/18 06:16:05.875, 188.21 W, 92 %
2026/03/18 06:16:05.975, 187.96 W, 92 %
2026/03/18 06:16:06.076, 187.92 W, 93 %
2026/03/18 06:16:06.176, 187.18 W, 93 %
2026/03/18 06:16:06.276, 188.00 W, 93 %
2026/03/18 06:16:06.376, 187.86 W, 93 %
2026/03/18 06:16:06.476, 187.98 W, 92 %
2026/03/18 06:16:06.576, 188.41 W, 92 %
2026/03/18 06:16:06.676, 188.20 W, 93 %
2026/03/18 06:16:06.777, 188.27 W, 93 %
2026/03/18 06:16:06.877, 188.01 W, 93 %
2026/03/18 06:16:06.977, 188.45 W, 93 %
2026/03/18 06:16:07.077, 188.20 W, 92 %
2026/03/18 06:16:07.177, 190.02 W, 92 %
2026/03/18 06:16:07.277, 189.94 W, 93 %
2026/03/18 06:16:07.377, 189.79 W, 93 %
2026/03/18 06:16:07.478, 189.66 W, 93 %
2026/03/18 06:16:07.578, 188.58 W, 93 %
2026/03/18 06:16:07.678, 188.14 W, 89 %
2026/03/18 06:16:07.778, 188.17 W, 89 %
2026/03/18 06:16:07.878, 188.10 W, 93 %
2026/03/18 06:16:07.978, 187.55 W, 93 %
2026/03/18 06:16:08.078, 187.90 W, 93 %
2026/03/18 06:16:08.179, 186.67 W, 93 %
2026/03/18 06:16:08.279, 186.71 W, 92 %
2026/03/18 06:16:08.379, 187.17 W, 92 %
2026/03/18 06:16:08.479, 187.32 W, 93 %
2026/03/18 06:16:08.579, 187.62 W, 93 %
2026/03/18 06:16:08.679, 188.51 W, 93 %
2026/03/18 06:16:08.779, 188.05 W, 93 %
2026/03/18 06:16:08.880, 187.72 W, 90 %
2026/03/18 06:16:08.980, 187.74 W, 90 %
2026/03/18 06:16:09.080, 187.82 W, 93 %
2026/03/18 06:16:09.180, 187.94 W, 93 %
2026/03/18 06:16:09.280, 188.26 W, 93 %
2026/03/18 06:16:09.380, 188.53 W, 93 %
2026/03/18 06:16:09.480, 188.10 W, 92 %
2026/03/18 06:16:09.581, 187.68 W, 92 %
2026/03/18 06:16:09.681, 187.50 W, 93 %
2026/03/18 06:16:09.781, 187.64 W, 93 %
2026/03/18 06:16:09.881, 187.90 W, 93 %
2026/03/18 06:16:09.981, 188.38 W, 93 %
2026/03/18 06:16:10.081, 188.62 W, 92 %
2026/03/18 06:16:10.181, 188.61 W, 92 %
2026/03/18 06:16:10.282, 188.45 W, 93 %
2026/03/18 06:16:10.382, 187.91 W, 93 %
2026/03/18 06:16:10.482, 187.88 W, 93 %
2026/03/18 06:16:10.582, 188.48 W, 93 %
2026/03/18 06:16:10.682, 188.41 W, 88 %
2026/03/18 06:16:10.782, 188.32 W, 88 %
2026/03/18 06:16:10.882, 188.07 W, 93 %
2026/03/18 06:16:10.983, 188.31 W, 93 %
2026/03/18 06:16:11.083, 188.16 W, 93 %
2026/03/18 06:16:11.183, 188.56 W, 93 %
2026/03/18 06:16:11.283, 188.65 W, 92 %
2026/03/18 06:16:11.383, 188.70 W, 92 %
2026/03/18 06:16:11.483, 189.15 W, 93 %
2026/03/18 06:16:11.583, 189.03 W, 93 %
2026/03/18 06:16:11.684, 189.45 W, 93 %
2026/03/18 06:16:11.784, 189.48 W, 93 %
2026/03/18 06:16:11.884, 189.76 W, 92 %
2026/03/18 06:16:11.984, 189.37 W, 92 %
2026/03/18 06:16:12.084, 189.40 W, 93 %
2026/03/18 06:16:12.184, 189.00 W, 93 %
2026/03/18 06:16:12.284, 188.54 W, 92 %
2026/03/18 06:16:12.385, 188.02 W, 92 %
2026/03/18 06:16:12.485, 187.86 W, 92 %
2026/03/18 06:16:12.585, 188.06 W, 92 %
2026/03/18 06:16:12.685, 188.15 W, 93 %
2026/03/18 06:16:12.785, 188.61 W, 93 %
2026/03/18 06:16:12.885, 188.74 W, 93 %
2026/03/18 06:16:12.985, 189.13 W, 93 %
2026/03/18 06:16:13.086, 188.49 W, 92 %
2026/03/18 06:16:13.186, 188.80 W, 92 %
2026/03/18 06:16:13.286, 189.06 W, 93 %
2026/03/18 06:16:13.386, 189.46 W, 93 %
2026/03/18 06:16:13.486, 189.93 W, 93 %
2026/03/18 06:16:13.586, 189.75 W, 93 %
2026/03/18 06:16:13.686, 189.21 W, 88 %
2026/03/18 06:16:13.787, 188.57 W, 88 %
2026/03/18 06:16:13.887, 188.44 W, 93 %
2026/03/18 06:16:13.987, 188.05 W, 93 %
2026/03/18 06:16:14.087, 188.33 W, 93 %
2026/03/18 06:16:14.187, 188.52 W, 93 %
2026/03/18 06:16:14.287, 187.65 W, 93 %
2026/03/18 06:16:14.387, 187.67 W, 93 %
2026/03/18 06:16:14.488, 186.75 W, 93 %
2026/03/18 06:16:14.588, 186.72 W, 93 %
2026/03/18 06:16:14.688, 187.19 W, 93 %
2026/03/18 06:16:14.788, 187.65 W, 93 %
2026/03/18 06:16:14.888, 187.55 W, 92 %
2026/03/18 06:16:14.988, 187.89 W, 92 %
2026/03/18 06:16:15.088, 187.90 W, 93 %
2026/03/18 06:16:15.189, 187.35 W, 93 %
2026/03/18 06:16:15.289, 187.90 W, 93 %
2026/03/18 06:16:15.389, 187.96 W, 93 %
2026/03/18 06:16:15.489, 188.49 W, 93 %
2026/03/18 06:16:15.589, 188.21 W, 93 %
2026/03/18 06:16:15.689, 187.73 W, 93 %
2026/03/18 06:16:15.789, 187.44 W, 93 %
2026/03/18 06:16:15.890, 187.32 W, 93 %
2026/03/18 06:16:15.990, 187.46 W, 93 %
2026/03/18 06:16:16.090, 187.11 W, 93 %
2026/03/18 06:16:16.190, 187.92 W, 93 %
2026/03/18 06:16:16.290, 188.48 W, 93 %
2026/03/18 06:16:16.390, 188.86 W, 93 %
